t,pos_err_mm,yaw_err_deg
0.025000,1.0505,0.0008
0.026000,1.0857,0.0009
0.027000,1.1208,0.0009
0.028000,1.1560,0.0009
0.029000,1.1912,0.0009
0.030000,1.2264,0.0009
0.031000,1.2616,0.0009
0.032000,1.2968,0.0009
0.033000,1.3320,0.0009
0.034000,1.3672,0.0010
0.035000,1.4024,0.0010
0.254000,9.0135,0.0036
0.255000,9.0473,0.0036
0.256000,9.0812,0.0036
0.257000,9.1151,0.0036
0.258000,9.1489,0.0036
0.259000,9.1828,0.0036
0.260000,9.2167,0.0036
0.261000,9.2506,0.0036
0.262000,9.2844,0.0036
0.263000,9.3183,0.0036
0.264000,9.3522,0.0036
0.265000,9.3861,0.0035
0.266000,9.4200,0.0035
0.267000,9.4538,0.0035
0.285000,10.0633,0.0034
0.288000,10.1649,0.0033
0.289000,10.1988,0.0033
0.290000,10.2327,0.0033
0.291000,10.2666,0.0033
0.297000,10.4698,0.0032
0.301000,10.6054,0.0031
0.305000,10.7408,0.0032
0.308000,10.8425,0.0033
0.312000,10.9780,0.0034
0.316000,11.1135,0.0035
0.317000,11.1474,0.0035
0.319000,11.2151,0.0036
0.321000,11.2829,0.0037
0.326000,11.4523,0.0038
0.363000,7.3572,0.0084
0.365000,7.3942,0.0084
0.367000,7.4312,0.0085
0.368000,7.4497,0.0085
0.369000,7.4682,0.0085
0.370000,7.4866,0.0085
0.371000,7.5051,0.0086
0.372000,7.5236,0.0086
0.373000,7.5421,0.0086
0.374000,7.5605,0.0086
0.375000,7.5790,0.0086
0.376000,7.5974,0.0087
0.377000,7.6159,0.0087
0.378000,7.6343,0.0087
0.379000,7.6528,0.0087
0.380000,7.6712,0.0087
0.381000,7.6897,0.0087
0.382000,7.7081,0.0088
0.383000,7.7266,0.0088
0.384000,7.7450,0.0088
0.385000,7.7635,0.0089
0.386000,7.7820,0.0089
0.387000,7.8004,0.0089
0.395000,7.9483,0.0092
0.416000,6.0675,0.0105
0.417000,6.0803,0.0106
0.418000,6.0931,0.0106
0.419000,6.1059,0.0107
0.436000,8.7078,0.0099
0.420000,6.1187,0.0107
0.446000,8.8927,0.0100
0.447000,8.9112,0.0100
0.421000,6.1314,0.0107
0.422000,6.1442,0.0107
0.423000,6.1570,0.0108
0.424000,6.1698,0.0108
0.425000,6.1825,0.0108
0.426000,6.1953,0.0108
0.427000,6.2080,0.0109
0.430000,6.2463,0.0109
0.458000,6.6025,0.0115
0.462000,6.6536,0.0115
0.463000,6.6663,0.0115
0.470000,6.9947,0.0292
0.478000,7.1004,0.0297
0.482000,7.1532,0.0300
0.484000,7.1795,0.0301
0.485000,7.1926,0.0302
0.486000,7.2058,0.0302
0.487000,7.2189,0.0303
0.503000,7.2240,0.0528
0.504000,7.2367,0.0529
0.505000,7.2493,0.0530
0.506000,7.2619,0.0531
0.507000,7.2746,0.0531
0.508000,7.2872,0.0532
0.509000,7.2998,0.0533
0.510000,7.3124,0.0534
0.511000,7.3250,0.0534
0.512000,7.3376,0.0535
0.513000,7.3501,0.0535
0.514000,7.3627,0.0536
0.515000,7.3753,0.0537
0.516000,7.3878,0.0537
0.517000,7.4004,0.0538
0.518000,7.4130,0.0539
0.519000,7.4255,0.0539
0.520000,7.4381,0.0540
0.521000,7.4507,0.0541
0.522000,7.4632,0.0542
0.523000,7.4758,0.0542
0.524000,7.4883,0.0543
0.525000,7.5009,0.0544
0.526000,7.5134,0.0545
0.527000,7.5260,0.0547
0.528000,7.5385,0.0548
0.529000,7.5510,0.0549
0.530000,7.5636,0.0550
0.531000,7.5761,0.0551
0.532000,7.5887,0.0552
0.533000,7.6012,0.0553
0.534000,7.6138,0.0554
0.535000,7.6263,0.0555
0.536000,7.6389,0.0556
0.537000,7.6514,0.0557
0.538000,7.6640,0.0558
0.539000,7.6765,0.0559
0.787000,8.1326,0.0655
0.797000,8.2105,0.0664
0.798000,8.2183,0.0665
0.799000,8.2261,0.0666
0.805000,8.2727,0.0670
0.851000,8.6264,0.0702
0.852000,8.6340,0.0703
0.853000,8.6416,0.0704
0.854000,8.6492,0.0705
0.855000,8.6568,0.0706
0.856000,8.6644,0.0706
0.857000,8.6720,0.0707
0.858000,8.6796,0.0708
0.859000,8.6871,0.0709
0.860000,8.6947,0.0709
0.861000,8.7023,0.0710
0.862000,8.7098,0.0711
0.863000,8.7174,0.0712
0.864000,8.7249,0.0713
0.865000,8.7325,0.0713
0.866000,8.7400,0.0714
0.867000,8.7475,0.0715
0.868000,8.7551,0.0716
0.869000,8.7626,0.0717
0.870000,8.7701,0.0718
0.868000,5.9073,0.0828
0.869000,5.9096,0.0829
0.870000,5.9118,0.0829
0.871000,5.9140,0.0830
