t,pos_err_mm,yaw_err_deg
0.531000,18.8769,0.0015
0.535000,19.0176,0.0015
0.536000,19.0527,0.0016
0.537000,19.0879,0.0016
0.538000,19.1230,0.0016
0.539000,19.1582,0.0016
0.540000,19.1934,0.0016
0.541000,19.2285,0.0016
0.542000,19.2636,0.0016
0.552000,19.6151,0.0017
0.565000,20.0721,0.0018
0.762000,18.6748,0.0175
0.792000,19.3787,0.0183
0.797000,19.4958,0.0185
0.798000,19.5192,0.0186
0.799000,19.5426,0.0186
0.800000,19.5660,0.0186
0.801000,19.5894,0.0186
0.802000,19.6128,0.0186
0.803000,19.6362,0.0187
0.804000,19.6596,0.0187
0.848000,9.1151,0.0300
0.849000,9.1241,0.0301
0.850000,9.1330,0.0301
0.851000,9.1419,0.0301
0.852000,9.1509,0.0302
0.853000,9.1598,0.0302
0.854000,9.1687,0.0302
0.855000,9.1777,0.0302
0.856000,9.1866,0.0302
0.867000,9.2846,0.0300
0.875000,9.3557,0.0301
0.876000,9.3646,0.0301
0.877000,9.3735,0.0301
0.878000,9.3823,0.0301
0.879000,9.3912,0.0302
0.880000,9.4001,0.0302
0.881000,9.4089,0.0302
0.882000,9.4178,0.0302
0.883000,9.4267,0.0303
0.884000,9.4355,0.0303
0.885000,9.4444,0.0304
0.894000,9.5242,0.0307
0.937000,7.3307,0.0193
0.938000,7.3368,0.0193
0.939000,7.3430,0.0193
0.940000,7.3491,0.0193
0.941000,7.3552,0.0192
0.944000,7.3735,0.0193
0.947000,7.3918,0.0193
0.949000,7.4040,0.0193
0.951000,7.4162,0.0194
0.952000,7.4223,0.0194
0.953000,7.4284,0.0194
0.954000,7.4345,0.0194
0.955000,7.4406,0.0195
0.956000,7.4467,0.0195
0.957000,7.4528,0.0196
0.958000,7.4588,0.0196
0.959000,7.4649,0.0196
0.960000,7.4709,0.0197
0.961000,7.4770,0.0197
0.962000,7.4830,0.0197
0.963000,7.4891,0.0197
0.964000,7.4951,0.0198
0.965000,7.5011,0.0198
0.966000,7.5072,0.0198
0.967000,7.5132,0.0198
0.968000,7.5193,0.0198
0.969000,7.5253,0.0198
0.970000,7.5313,0.0198
0.971000,7.5373,0.0198
0.972000,7.5433,0.0198
0.973000,7.5494,0.0198
0.974000,7.5554,0.0198
0.975000,7.5614,0.0198
0.976000,7.5673,0.0198
0.977000,7.5733,0.0198
0.978000,7.5793,0.0199
0.979000,7.5853,0.0199
0.980000,7.5913,0.0199
0.981000,7.5973,0.0199
0.982000,7.6033,0.0199
0.983000,7.6093,0.0199
0.984000,7.6153,0.0199
0.985000,7.6213,0.0199
0.986000,7.6273,0.0200
0.987000,7.6333,0.0200
0.988000,7.6393,0.0200
0.989000,7.6453,0.0200
0.990000,7.6513,0.0200
0.991000,7.6573,0.0200
0.992000,7.6633,0.0200
0.993000,7.6692,0.0200
0.994000,7.6752,0.0201
0.995000,7.6812,0.0201
0.996000,7.6871,0.0201
0.997000,7.6931,0.0201
0.998000,7.6991,0.0202
0.999000,7.7050,0.0202
1.000000,7.7110,0.0202
1.001000,7.7169,0.0202
1.002000,7.7228,0.0202
1.003000,7.7288,0.0202
1.004000,7.7347,0.0202
1.005000,7.7406,0.0203
1.006000,7.7466,0.0203
1.007000,7.7525,0.0203
1.008000,7.7584,0.0203
1.009000,7.7644,0.0203
