t,pos_err_mm,yaw_err_deg
0.113000,4.1510,0.0017
0.114000,4.1863,0.0017
0.114000,11.6827,0.0019
0.115000,11.7824,0.0019
0.116000,11.8820,0.0019
0.117000,11.9817,0.0018
0.118000,12.0813,0.0018
0.119000,12.1809,0.0018
0.163000,7.3692,0.0030
0.164000,7.4121,0.0030
0.165000,7.4550,0.0030
0.166000,7.4980,0.0030
0.167000,7.5409,0.0030
0.168000,7.5839,0.0030
0.169000,7.6268,0.0030
0.170000,7.6697,0.0030
0.171000,7.7127,0.0030
0.172000,7.7556,0.0030
0.173000,7.7986,0.0030
0.174000,7.8415,0.0029
0.175000,7.8845,0.0029
0.176000,7.9274,0.0029
0.182000,8.1851,0.0029
0.183000,8.2280,0.0029
0.184000,8.2710,0.0029
0.185000,8.3139,0.0028
0.186000,8.3569,0.0028
0.187000,8.3998,0.0028
0.188000,8.4428,0.0028
0.189000,8.4857,0.0028
0.190000,8.5287,0.0027
0.191000,8.5716,0.0027
0.192000,8.6145,0.0027
0.210000,9.3873,0.0025
0.211000,9.4303,0.0025
0.211000,7.5605,0.0032
0.272000,7.2188,0.0056
0.284000,7.5154,0.0057
0.285000,7.5401,0.0057
0.286000,7.5649,0.0057
0.287000,7.5896,0.0057
0.288000,7.6143,0.0058
0.289000,7.6390,0.0058
0.290000,7.6637,0.0058
0.291000,7.6884,0.0058
0.292000,7.7131,0.0058
0.294000,7.7625,0.0058
0.300000,7.9107,0.0059
0.307000,8.0834,0.0060
0.324000,8.5028,0.0064
0.368000,7.2707,0.0140
0.375000,7.3983,0.0142
0.376000,7.4165,0.0142
0.399000,7.8351,0.0145
0.400000,7.8532,0.0145
0.401000,7.8714,0.0145
0.402000,7.8896,0.0145
0.403000,7.9077,0.0145
0.404000,7.9259,0.0145
0.405000,7.9440,0.0145
0.406000,7.9622,0.0146
0.407000,7.9803,0.0146
0.408000,7.9985,0.0146
0.409000,8.0166,0.0146
0.441000,8.5946,0.0155
0.478000,9.2619,0.0165
0.484000,9.3700,0.0168
0.485000,9.3880,0.0168
0.486000,9.4060,0.0168
0.487000,9.4239,0.0168
0.488000,9.4419,0.0168
0.489000,9.4599,0.0169
0.490000,9.4778,0.0169
0.491000,9.4958,0.0169
0.492000,9.5138,0.0169
0.493000,9.5317,0.0170
0.494000,9.5497,0.0170
0.495000,9.5676,0.0170
0.496000,9.5855,0.0170
0.497000,9.6035,0.0170
0.498000,9.6214,0.0170
0.499000,9.6394,0.0170
