t,pos_err_mm,yaw_err_deg
0.039000,1.5427,0.0006
0.040000,1.5779,0.0006
0.041000,1.6131,0.0006
0.042000,1.6483,0.0006
0.043000,1.6835,0.0006
0.044000,1.7187,0.0007
0.045000,1.7539,0.0007
0.046000,1.7891,0.0007
0.047000,1.8242,0.0007
0.048000,1.8594,0.0007
0.049000,1.8946,0.0007
0.050000,1.9298,0.0007
0.051000,1.9650,0.0007
0.052000,2.0002,0.0007
0.053000,2.0354,0.0007
0.054000,2.0706,0.0007
0.055000,2.1057,0.0007
0.056000,2.1409,0.0007
0.057000,2.1761,0.0007
0.058000,2.2113,0.0007
0.059000,2.2465,0.0007
0.060000,2.2817,0.0007
0.060000,6.3014,0.0008
0.061000,6.4010,0.0008
0.062000,6.5006,0.0008
0.063000,6.6002,0.0008
0.064000,6.6998,0.0008
0.065000,6.7994,0.0008
0.066000,6.8990,0.0008
0.067000,6.9986,0.0009
0.068000,7.0982,0.0009
0.069000,7.1977,0.0009
0.070000,7.2973,0.0009
0.071000,7.3969,0.0009
0.072000,7.4965,0.0009
0.073000,7.5961,0.0009
0.074000,7.6957,0.0009
0.075000,7.7953,0.0009
0.076000,7.8949,0.0009
0.077000,7.9945,0.0009
0.078000,8.0941,0.0009
0.079000,8.1937,0.0009
0.080000,8.2933,0.0009
0.081000,8.3929,0.0009
0.082000,8.4924,0.0009
0.083000,8.5920,0.0009
0.084000,8.6916,0.0009
0.085000,8.7912,0.0009
0.086000,8.8908,0.0009
0.087000,8.9904,0.0009
0.088000,9.0900,0.0009
0.089000,9.1896,0.0009
0.090000,9.2892,0.0009
0.091000,9.3888,0.0009
0.092000,9.4884,0.0009
0.093000,9.5880,0.0009
0.094000,9.6876,0.0009
0.095000,9.7871,0.0009
0.096000,9.8867,0.0009
0.097000,9.9863,0.0009
0.098000,10.0859,0.0009
0.098000,7.0536,0.0015
0.099000,7.1225,0.0015
0.100000,7.1913,0.0015
0.101000,7.2601,0.0015
0.102000,7.3289,0.0015
0.103000,7.3977,0.0015
0.104000,7.4665,0.0015
0.105000,7.5353,0.0015
0.106000,7.6041,0.0015
0.107000,7.6729,0.0015
0.108000,7.7417,0.0016
0.109000,7.8105,0.0016
0.110000,7.8793,0.0016
0.111000,7.9481,0.0016
0.112000,8.0169,0.0016
0.113000,8.0857,0.0016
0.114000,8.1545,0.0016
0.115000,8.2233,0.0016
0.115000,7.4664,0.0029
0.116000,7.5285,0.0029
0.117000,7.5907,0.0029
0.118000,7.6528,0.0029
0.119000,7.7150,0.0029
0.120000,7.7772,0.0029
0.121000,7.8393,0.0029
0.122000,7.9015,0.0029
0.123000,7.9637,0.0029
0.124000,8.0258,0.0030
0.125000,8.0880,0.0030
0.126000,8.1502,0.0030
0.127000,8.2123,0.0030
0.128000,8.2745,0.0030
0.129000,8.3366,0.0030
0.130000,8.3988,0.0030
0.131000,8.4610,0.0030
0.138000,8.8961,0.0031
0.140000,9.0204,0.0031
0.141000,9.0826,0.0032
0.142000,9.1448,0.0032
0.143000,9.2069,0.0032
0.144000,9.2691,0.0032
0.145000,9.3313,0.0032
0.146000,9.3934,0.0032
0.147000,9.4556,0.0032
0.148000,9.5177,0.0032
0.149000,9.5799,0.0033
0.150000,9.6421,0.0033
0.151000,9.7042,0.0033
0.152000,9.7664,0.0033
0.153000,9.8286,0.0033
0.154000,9.8907,0.0033
0.155000,9.9529,0.0033
0.156000,10.0150,0.0033
0.157000,10.0772,0.0033
0.158000,10.1394,0.0034
0.159000,10.2015,0.0034
0.160000,10.2637,0.0034
0.161000,10.3259,0.0034
0.162000,10.3880,0.0034
0.163000,10.4502,0.0034
0.164000,10.5124,0.0034
0.180000,11.5070,0.0036
0.181000,11.5692,0.0036
0.182000,11.6313,0.0036
0.188000,8.4767,0.0037
0.195000,7.0428,0.0043
0.196000,7.0767,0.0043
0.197000,7.1107,0.0043
0.198000,7.1446,0.0043
0.199000,7.1785,0.0043
0.200000,7.2125,0.0043
0.201000,7.2464,0.0044
0.202000,7.2803,0.0044
0.203000,7.3142,0.0044
0.204000,7.3482,0.0044
0.217000,7.7892,0.0046
0.227000,7.4559,0.0063
0.228000,7.4868,0.0063
0.228000,6.1430,0.0062
0.229000,6.1676,0.0062
0.230000,6.1923,0.0062
0.231000,6.2170,0.0062
0.232000,6.2417,0.0062
0.233000,6.2663,0.0063
0.234000,6.2910,0.0063
0.235000,6.3157,0.0063
0.236000,6.3403,0.0063
0.237000,6.3650,0.0063
0.238000,6.3897,0.0063
0.239000,6.4144,0.0064
0.254000,5.2028,0.0115
0.255000,5.2209,0.0116
0.257000,5.2571,0.0116
0.258000,5.2752,0.0117
0.259000,5.2933,0.0117
0.272000,5.5366,0.0238
0.273000,5.5549,0.0239
0.274000,5.5732,0.0240
0.275000,5.5914,0.0241
0.276000,5.6097,0.0241
0.287000,5.8108,0.0249
0.288000,5.8291,0.0250
0.291000,5.8839,0.0252
0.292000,5.9022,0.0252
0.308000,5.3664,0.0265
0.309000,5.3817,0.0266
0.310000,5.3969,0.0266
0.311000,5.4122,0.0267
0.312000,5.4274,0.0268
0.313000,5.4427,0.0268
0.320000,5.5494,0.0273
0.324000,5.8812,0.0333
0.328000,5.9459,0.0337
0.329000,5.9620,0.0338
0.330000,5.9782,0.0338
0.331000,5.9943,0.0339
0.332000,6.0105,0.0340
0.333000,6.0266,0.0341
0.334000,6.0428,0.0342
0.335000,6.0589,0.0343
0.337000,6.0912,0.0344
0.338000,6.1074,0.0345
0.339000,6.1235,0.0346
0.340000,6.1397,0.0347
0.341000,6.1558,0.0348
0.342000,6.1720,0.0349
0.348000,5.7096,0.0404
0.349000,5.7239,0.0405
0.350000,5.7382,0.0406
0.351000,5.7526,0.0407
0.352000,5.7669,0.0408
0.353000,5.7812,0.0409
0.354000,5.7956,0.0410
0.355000,5.8099,0.0411
0.356000,5.8243,0.0412
0.357000,5.8386,0.0413
0.358000,5.8529,0.0414
0.359000,5.8673,0.0415
0.360000,5.8816,0.0416
0.361000,5.8959,0.0417
0.362000,5.9103,0.0418
0.363000,5.9246,0.0419
0.364000,5.9389,0.0420
0.365000,5.9533,0.0421
0.366000,5.9676,0.0422
0.367000,5.9819,0.0423
0.367000,5.2192,0.0425
0.370000,5.2551,0.0427
0.372000,5.2791,0.0429
0.373000,5.2911,0.0430
0.374000,5.3030,0.0431
0.375000,5.3150,0.0432
0.376000,5.3270,0.0433
0.377000,5.3390,0.0434
0.378000,5.3509,0.0435
0.379000,5.3629,0.0436
0.379000,5.5411,0.0506
0.380000,5.5537,0.0507
0.381000,5.5662,0.0508
0.382000,5.5787,0.0509
0.383000,5.5912,0.0510
0.384000,5.6037,0.0511
0.385000,5.6163,0.0512
0.389000,5.6663,0.0517
0.392000,5.7039,0.0520
0.393000,5.7164,0.0522
0.394000,5.7289,0.0523
0.395000,5.7414,0.0524
0.396000,5.7540,0.0525
0.397000,5.7665,0.0526
0.398000,5.7790,0.0527
0.399000,5.7915,0.0528
0.400000,5.8040,0.0530
0.401000,5.8165,0.0531
0.402000,5.8290,0.0532
0.403000,5.8415,0.0533
0.404000,5.8540,0.0534
0.405000,5.8665,0.0535
0.406000,5.8790,0.0536
0.407000,5.8916,0.0538
0.408000,5.9041,0.0539
0.409000,5.9166,0.0540
0.410000,5.9291,0.0541
0.411000,5.9416,0.0542
0.412000,5.9541,0.0543
0.413000,5.9666,0.0544
0.414000,5.9791,0.0545
0.415000,5.9916,0.0547
0.416000,6.0041,0.0548
0.417000,6.0166,0.0549
0.418000,6.0291,0.0550
0.419000,6.0416,0.0551
0.420000,6.0541,0.0552
0.420000,6.0734,0.0565
0.423000,6.1110,0.0568
0.428000,6.1737,0.0574
0.429000,6.1862,0.0575
0.430000,6.1987,0.0576
0.431000,6.2113,0.0577
0.432000,6.2238,0.0578
0.433000,6.2363,0.0580
0.434000,6.2489,0.0581
0.435000,6.2614,0.0582
0.436000,6.2739,0.0583
0.437000,6.2864,0.0584
0.438000,6.2990,0.0585
0.439000,6.3115,0.0587
0.440000,6.3240,0.0588
0.441000,6.3365,0.0589
0.441000,6.2881,0.0698
0.442000,6.3005,0.0700
0.443000,6.3129,0.0701
0.444000,6.3252,0.0703
0.445000,6.3376,0.0704
0.446000,6.3500,0.0705
0.447000,6.3624,0.0707
0.448000,6.3748,0.0708
0.449000,6.3872,0.0710
0.450000,6.3996,0.0711
0.451000,6.4119,0.0712
0.452000,6.4243,0.0714
