t,pos_err_mm,yaw_err_deg
0.663000,4.782365,0.015954
0.664000,4.789587,0.015972
0.665000,4.796810,0.015990
0.666000,4.804033,0.016008
0.667000,4.811256,0.016026
0.668000,4.818479,0.016044
0.669000,4.825701,0.016062
0.670000,4.832924,0.016080
0.671000,4.840147,0.016098
0.672000,4.847370,0.016116
0.673000,4.854592,0.016134
0.674000,4.861815,0.016152
0.675000,4.869037,0.016170
0.676000,4.876260,0.016188
0.677000,4.883482,0.016206
0.678000,4.890705,0.016224
0.679000,4.897927,0.016242
0.679000,3.139228,0.012278
0.680000,3.143844,0.012291
0.681000,3.148461,0.012303
0.682000,3.153077,0.012315
0.683000,3.157694,0.012327
0.684000,3.162310,0.012339
0.685000,3.166926,0.012352
0.686000,3.171542,0.012364
0.687000,3.176158,0.012377
0.688000,3.180775,0.012389
0.689000,3.185391,0.012402
0.690000,3.190006,0.012415
0.691000,3.194622,0.012428
0.692000,3.199238,0.012441
0.693000,3.203854,0.012454
0.694000,3.208470,0.012467
0.695000,3.213086,0.012481
0.696000,3.217701,0.012494
0.697000,3.222317,0.012508
0.698000,3.226932,0.012522
0.699000,3.231548,0.012536
0.700000,3.236163,0.012550
0.701000,3.240779,0.012564
0.702000,3.245394,0.012579
0.703000,3.250009,0.012593
0.704000,3.254625,0.012607
0.705000,3.259240,0.012622
0.706000,3.263855,0.012636
0.706000,3.415474,0.003476
0.707000,3.420312,0.003478
0.708000,3.425150,0.003480
0.709000,3.429989,0.003481
0.710000,3.434827,0.003483
0.711000,3.439665,0.003485
0.712000,3.444504,0.003486
0.713000,3.449342,0.003488
0.714000,3.454180,0.003489
0.715000,3.459018,0.003491
0.716000,3.463856,0.003492
0.717000,3.468694,0.003494
0.718000,3.473532,0.003495
0.719000,3.478370,0.003496
0.720000,3.483208,0.003498
0.721000,3.488045,0.003499
0.722000,3.492883,0.003501
0.723000,3.497721,0.003502
0.724000,3.502559,0.003504
0.725000,3.507396,0.003506
0.726000,3.512234,0.003507
0.727000,3.517071,0.003509
0.728000,3.521909,0.003511
0.729000,3.526746,0.003513
0.730000,3.531584,0.003515
0.730000,3.534229,0.035158
0.731000,3.539112,0.035202
0.732000,3.543996,0.035247
0.733000,3.548880,0.035291
0.734000,3.553764,0.035335
0.735000,3.558648,0.035379
0.736000,3.563532,0.035424
0.737000,3.568416,0.035468
0.738000,3.573300,0.035512
0.739000,3.578184,0.035556
0.740000,3.583069,0.035601
0.741000,3.587953,0.035645
0.742000,3.592837,0.035689
0.743000,3.597722,0.035733
0.744000,3.602606,0.035777
0.745000,3.607491,0.035821
0.746000,3.612375,0.035865
0.747000,3.617260,0.035909
0.748000,3.622145,0.035954
0.749000,3.627030,0.035998
0.750000,3.631915,0.036042
0.751000,3.636800,0.036086
0.752000,3.641685,0.036130
0.753000,3.646570,0.036174
0.754000,3.651455,0.036218
0.755000,3.656340,0.036262
0.756000,3.661225,0.036306
0.757000,3.666111,0.036350
0.757000,3.824101,0.068984
0.758000,3.829272,0.069070
0.759000,3.834442,0.069156
0.760000,3.839613,0.069242
0.761000,3.844783,0.069328
0.762000,3.849954,0.069414
0.763000,3.855126,0.069500
0.764000,3.860297,0.069586
0.765000,3.865469,0.069672
0.766000,3.870641,0.069758
0.767000,3.875814,0.069843
0.768000,3.880986,0.069929
0.769000,3.886159,0.070014
0.770000,3.891332,0.070100
0.771000,3.896505,0.070185
0.772000,3.901679,0.070271
0.773000,3.906853,0.070356
0.774000,3.912027,0.070441
0.775000,3.917201,0.070526
0.776000,3.922376,0.070611
0.777000,3.927551,0.070696
0.778000,3.932726,0.070781
0.779000,3.937901,0.070866
0.780000,3.943077,0.070951
0.780000,3.960916,0.058108
0.781000,3.966090,0.058177
0.782000,3.971264,0.058246
0.783000,3.976439,0.058315
0.784000,3.981613,0.058384
0.785000,3.986788,0.058454
0.786000,3.991963,0.058523
0.787000,3.997138,0.058592
0.788000,4.002314,0.058661
0.789000,4.007489,0.058730
0.790000,4.012665,0.058799
0.791000,4.017841,0.058868
0.792000,4.023017,0.058937
0.793000,4.028193,0.059005
0.794000,4.033369,0.059074
0.795000,4.038546,0.059143
0.796000,4.043723,0.059212
0.797000,4.048900,0.059281
0.798000,4.054077,0.059350
0.799000,4.059254,0.059419
0.800000,4.064431,0.059488
0.801000,4.069609,0.059557
0.802000,4.074787,0.059626
0.803000,4.079965,0.059695
0.804000,4.085143,0.059764
0.804000,4.389315,0.060328
0.805000,4.395084,0.060398
0.806000,4.400854,0.060468
0.807000,4.406624,0.060538
0.808000,4.412394,0.060607
0.809000,4.418166,0.060677
0.810000,4.423938,0.060747
0.811000,4.429710,0.060818
0.812000,4.435483,0.060888
0.813000,4.441257,0.060958
0.814000,4.447031,0.061028
0.815000,4.452806,0.061098
0.816000,4.458582,0.061168
0.817000,4.464358,0.061238
0.818000,4.470135,0.061308
0.819000,4.475912,0.061378
0.820000,4.481690,0.061447
0.821000,4.487469,0.061517
0.822000,4.493248,0.061587
0.823000,4.499027,0.061656
0.824000,4.504808,0.061726
0.825000,4.510588,0.061796
0.826000,4.516370,0.061866
0.827000,4.522152,0.061936
0.828000,4.527935,0.062006
0.829000,4.533718,0.062075
0.829000,4.211323,0.066182
0.830000,4.216445,0.066256
0.831000,4.221566,0.066331
0.832000,4.226688,0.066405
0.833000,4.231809,0.066480
0.834000,4.236931,0.066554
0.835000,4.242052,0.066629
0.836000,4.247174,0.066703
0.837000,4.252296,0.066777
0.838000,4.257418,0.066851
0.839000,4.262540,0.066925
0.840000,4.267662,0.066999
0.841000,4.272784,0.067073
0.842000,4.277906,0.067147
0.843000,4.283028,0.067221
0.844000,4.288150,0.067295
0.845000,4.293272,0.067368
0.846000,4.298394,0.067442
0.847000,4.303516,0.067516
0.848000,4.308639,0.067589
0.849000,4.313761,0.067663
0.850000,4.318883,0.067737
0.851000,4.324006,0.067811
0.852000,4.329128,0.067885
0.853000,4.334251,0.067959
0.854000,4.339374,0.068033
0.855000,4.344496,0.068107
0.855000,3.929857,0.077549
0.856000,3.934061,0.077634
0.857000,3.938264,0.077718
0.858000,3.942466,0.077803
0.859000,3.946668,0.077888
0.860000,3.950869,0.077972
0.861000,3.955069,0.078057
0.862000,3.959268,0.078142
0.863000,3.963467,0.078227
0.864000,3.967664,0.078311
0.865000,3.971861,0.078396
0.866000,3.976058,0.078480
0.867000,3.980253,0.078565
0.868000,3.984448,0.078649
0.869000,3.988642,0.078733
0.870000,3.992836,0.078817
0.871000,3.997029,0.078901
0.872000,4.001220,0.078985
0.873000,4.005412,0.079068
0.874000,4.009602,0.079152
0.875000,4.013792,0.079236
0.876000,4.017981,0.079319
0.877000,4.022169,0.079403
0.878000,4.026357,0.079486
0.879000,4.030544,0.079570
0.880000,4.034730,0.079653
0.880000,4.384560,0.088792
0.881000,4.389582,0.088886
0.882000,4.394603,0.088980
0.883000,4.399625,0.089074
0.884000,4.404647,0.089168
0.885000,4.409669,0.089262
0.886000,4.414691,0.089356
0.887000,4.419713,0.089450
0.888000,4.424735,0.089544
0.889000,4.429757,0.089638
0.890000,4.434779,0.089733
0.891000,4.439802,0.089827
0.892000,4.444824,0.089921
0.893000,4.449846,0.090016
0.894000,4.454869,0.090110
0.895000,4.459891,0.090204
0.896000,4.464914,0.090299
0.897000,4.469936,0.090393
0.898000,4.474959,0.090488
0.899000,4.479982,0.090582
0.900000,4.485005,0.090677
0.901000,4.490027,0.090772
0.902000,4.495050,0.090866
0.903000,4.500073,0.090961
