t,pos_err_mm,yaw_err_deg
0.050000,0.897737,0.000064
0.051000,0.932588,0.000065
0.076000,2.196740,0.000255
0.077000,2.239666,0.000257
0.078000,2.282593,0.000259
0.079000,2.325519,0.000260
0.080000,2.368445,0.000262
0.081000,2.411372,0.000264
0.082000,2.454298,0.000265
0.083000,2.497225,0.000267
0.084000,2.540151,0.000269
0.085000,2.583078,0.000270
0.086000,2.626005,0.000272
0.087000,2.668931,0.000273
0.088000,2.711858,0.000274
0.089000,2.754785,0.000276
0.090000,2.797712,0.000277
0.091000,2.840639,0.000278
0.092000,2.883566,0.000279
0.093000,2.926493,0.000280
0.094000,2.969420,0.000282
0.095000,3.012347,0.000283
0.096000,3.055274,0.000284
0.097000,3.098201,0.000286
0.098000,3.141128,0.000288
0.099000,3.184055,0.000289
0.100000,3.226983,0.000291
0.101000,3.269910,0.000293
0.102000,3.312837,0.000295
0.103000,3.355765,0.000297
0.104000,3.398692,0.000299
0.105000,3.441619,0.000301
0.106000,3.484547,0.000303
0.107000,3.527475,0.000305
0.102000,4.705297,0.000894
0.103000,4.767140,0.000899
0.104000,4.828983,0.000904
0.105000,4.890825,0.000908
0.106000,4.952668,0.000913
0.107000,5.014511,0.000918
0.108000,5.076354,0.000923
0.109000,5.138197,0.000928
0.110000,5.200040,0.000933
0.111000,5.261883,0.000938
0.112000,5.323726,0.000943
0.113000,5.385569,0.000948
0.114000,5.447412,0.000953
0.115000,5.509255,0.000958
0.116000,5.571098,0.000964
0.117000,5.632942,0.000969
0.118000,5.694785,0.000974
0.119000,5.756628,0.000979
0.120000,5.818472,0.000985
0.121000,5.880315,0.000990
0.122000,5.942159,0.000995
0.123000,6.004003,0.001001
0.124000,6.065846,0.001006
0.125000,6.127690,0.001011
0.126000,6.189534,0.001016
0.127000,6.251377,0.001022
0.128000,6.313221,0.001027
0.129000,6.375065,0.001032
0.130000,6.436909,0.001037
0.131000,6.498753,0.001042
0.132000,6.560597,0.001048
0.133000,6.622441,0.001053
0.134000,6.684285,0.001058
0.135000,6.746129,0.001063
0.136000,6.807973,0.001068
0.137000,6.869818,0.001073
0.138000,6.931662,0.001078
0.139000,6.993506,0.001083
0.139000,4.069057,0.000966
0.140000,4.104237,0.000971
0.141000,4.139417,0.000976
0.142000,4.174597,0.000980
0.143000,4.209777,0.000985
0.144000,4.244958,0.000989
0.145000,4.280138,0.000994
0.146000,4.315318,0.000999
0.147000,4.350499,0.001003
0.148000,4.385679,0.001008
0.149000,4.420860,0.001013
0.150000,4.456040,0.001017
0.151000,4.491221,0.001022
0.152000,4.526402,0.001027
0.153000,4.561582,0.001031
0.154000,4.596763,0.001036
0.155000,4.631944,0.001041
0.156000,4.667125,0.001045
0.157000,4.702306,0.001050
0.158000,4.737487,0.001055
0.159000,4.772668,0.001060
0.159000,4.177505,0.001731
0.160000,4.208034,0.001739
0.161000,4.238564,0.001746
0.162000,4.269093,0.001754
0.163000,4.299623,0.001761
0.164000,4.330152,0.001769
0.165000,4.360682,0.001776
0.166000,4.391212,0.001784
0.167000,4.421741,0.001791
0.168000,4.452271,0.001798
0.169000,4.482801,0.001805
0.170000,4.513331,0.001813
0.171000,4.543861,0.001820
0.172000,4.574391,0.001827
0.173000,4.604921,0.001835
0.174000,4.635451,0.001842
0.175000,4.665981,0.001849
0.176000,4.696511,0.001856
0.177000,4.727041,0.001864
0.178000,4.757571,0.001871
0.179000,4.788101,0.001878
0.180000,4.818631,0.001886
0.181000,4.849161,0.001893
0.181000,4.926234,0.003510
0.182000,4.957265,0.003525
0.183000,4.988295,0.003540
0.184000,5.019326,0.003555
0.185000,5.050357,0.003570
0.186000,5.081387,0.003585
0.187000,5.112418,0.003600
0.188000,5.143449,0.003615
0.189000,5.174480,0.003630
0.190000,5.205510,0.003646
0.191000,5.236541,0.003661
0.192000,5.267572,0.003677
0.193000,5.298602,0.003692
0.194000,5.329633,0.003707
0.195000,5.360664,0.003722
0.196000,5.391695,0.003737
0.197000,5.422725,0.003753
0.198000,5.453756,0.003768
0.199000,5.484787,0.003783
0.200000,5.515818,0.003798
0.201000,5.546848,0.003813
0.202000,5.577879,0.003828
0.203000,5.608910,0.003843
0.204000,5.639940,0.003858
0.205000,5.670971,0.003873
0.205000,4.767974,0.003737
0.206000,4.793605,0.003751
0.207000,4.819236,0.003766
0.208000,4.844867,0.003780
0.209000,4.870498,0.003794
0.210000,4.896129,0.003808
0.211000,4.921760,0.003822
0.212000,4.947390,0.003836
0.213000,4.973021,0.003850
0.214000,4.998652,0.003865
0.215000,5.024283,0.003879
0.216000,5.049913,0.003893
0.217000,5.075544,0.003907
0.218000,5.101175,0.003921
0.219000,5.126805,0.003935
0.220000,5.152436,0.003949
0.221000,5.178066,0.003963
0.222000,5.203696,0.003977
0.223000,5.229327,0.003990
0.224000,5.254957,0.004004
0.225000,5.280587,0.004018
0.226000,5.306218,0.004031
0.227000,5.331848,0.004045
0.228000,5.357478,0.004059
0.229000,5.383108,0.004073
0.230000,5.408738,0.004086
0.231000,5.434368,0.004100
0.231000,4.071884,0.009894
0.232000,4.090310,0.009929
0.233000,4.108737,0.009965
0.234000,4.127163,0.010001
0.235000,4.145589,0.010036
0.236000,4.164015,0.010072
0.237000,4.182441,0.010108
0.238000,4.200866,0.010143
0.239000,4.219292,0.010179
0.240000,4.237718,0.010214
0.241000,4.256143,0.010250
0.242000,4.274568,0.010285
0.243000,4.292994,0.010321
0.244000,4.311419,0.010356
0.245000,4.329844,0.010392
0.246000,4.348268,0.010427
0.247000,4.366693,0.010463
0.248000,4.385118,0.010498
0.249000,4.403542,0.010534
0.250000,4.421967,0.010569
0.251000,4.440391,0.010605
0.252000,4.458816,0.010640
0.253000,4.477240,0.010676
0.254000,4.495664,0.010712
0.255000,4.514088,0.010748
0.255000,4.772641,0.023334
0.256000,4.792528,0.023415
0.257000,4.812416,0.023496
0.258000,4.832304,0.023577
0.259000,4.852193,0.023658
0.260000,4.872081,0.023739
0.261000,4.891970,0.023820
0.262000,4.911859,0.023901
0.263000,4.931749,0.023983
0.264000,4.951638,0.024064
0.265000,4.971528,0.024146
0.266000,4.991418,0.024227
0.267000,5.011309,0.024309
0.268000,5.031199,0.024390
0.269000,5.051090,0.024472
0.270000,5.070981,0.024553
0.271000,5.090873,0.024634
0.272000,5.110764,0.024716
0.273000,5.130656,0.024797
0.274000,5.150548,0.024878
0.275000,5.170441,0.024959
0.276000,5.190333,0.025040
0.277000,5.210226,0.025121
0.278000,5.230119,0.025202
0.279000,5.250012,0.025283
0.280000,5.269905,0.025364
0.281000,5.289799,0.025445
0.281000,4.642071,0.025626
0.282000,4.658958,0.025707
0.283000,4.675845,0.025789
0.284000,4.692732,0.025870
0.285000,4.709619,0.025952
0.286000,4.726505,0.026033
0.287000,4.743392,0.026114
0.288000,4.760278,0.026195
0.289000,4.777164,0.026276
0.290000,4.794050,0.026357
0.291000,4.810936,0.026438
0.292000,4.827821,0.026518
0.293000,4.844707,0.026599
0.294000,4.861592,0.026679
0.295000,4.878477,0.026760
0.296000,4.895362,0.026840
0.297000,4.912247,0.026921
0.298000,4.929132,0.027001
0.299000,4.946016,0.027081
0.300000,4.962900,0.027162
0.301000,4.979785,0.027242
0.302000,4.996669,0.027322
0.303000,5.013552,0.027402
0.304000,5.030436,0.027482
0.305000,5.047320,0.027563
0.306000,5.064203,0.027643
0.306000,5.348680,0.032108
0.307000,5.366715,0.032203
0.308000,5.384749,0.032297
0.309000,5.402783,0.032391
0.310000,5.420818,0.032486
0.311000,5.438852,0.032580
0.312000,5.456886,0.032674
0.313000,5.474920,0.032768
0.314000,5.492954,0.032862
0.315000,5.510987,0.032956
0.316000,5.529021,0.033049
0.317000,5.547055,0.033143
0.318000,5.565088,0.033237
0.319000,5.583121,0.033331
0.320000,5.601155,0.033425
0.321000,5.619188,0.033519
0.322000,5.637221,0.033613
0.323000,5.655254,0.033707
0.324000,5.673287,0.033801
0.325000,5.691319,0.033894
0.326000,5.709352,0.033988
0.327000,5.727384,0.034082
0.328000,5.745417,0.034176
0.329000,5.763449,0.034270
0.330000,5.781481,0.034363
0.331000,5.799513,0.034457
0.331000,5.348931,0.038789
0.332000,5.365231,0.038895
0.333000,5.381530,0.039002
0.334000,5.397830,0.039108
0.335000,5.414129,0.039214
0.336000,5.430427,0.039320
0.337000,5.446726,0.039427
0.338000,5.463024,0.039533
0.339000,5.479322,0.039639
0.340000,5.495619,0.039746
0.341000,5.511916,0.039852
0.342000,5.528213,0.039958
0.343000,5.544510,0.040065
0.344000,5.560806,0.040171
0.345000,5.577102,0.040277
0.346000,5.593398,0.040383
0.347000,5.609694,0.040489
0.348000,5.625989,0.040596
0.349000,5.642284,0.040702
0.350000,5.658578,0.040808
0.351000,5.674873,0.040914
0.352000,5.691167,0.041021
0.353000,5.707460,0.041127
0.354000,5.723754,0.041233
0.355000,5.740047,0.041340
0.356000,5.756340,0.041446
0.357000,5.772632,0.041552
0.357000,5.101757,0.041671
0.358000,5.115672,0.041778
0.359000,5.129585,0.041884
0.360000,5.143498,0.041990
0.361000,5.157411,0.042096
0.362000,5.171323,0.042202
0.363000,5.185234,0.042309
0.364000,5.199145,0.042415
0.365000,5.213055,0.042521
0.366000,5.226965,0.042627
0.367000,5.240874,0.042733
0.368000,5.254782,0.042839
0.369000,5.268690,0.042946
0.370000,5.282598,0.043052
0.371000,5.296505,0.043158
0.372000,5.310411,0.043264
0.373000,5.324317,0.043370
0.374000,5.338222,0.043475
0.375000,5.352127,0.043581
0.376000,5.366031,0.043687
0.377000,5.379934,0.043793
0.378000,5.393837,0.043899
0.379000,5.407740,0.044005
0.380000,5.421642,0.044111
0.381000,5.435543,0.044217
0.381000,5.595512,0.050325
0.382000,5.609960,0.050446
0.383000,5.624407,0.050568
0.384000,5.638854,0.050689
0.385000,5.653300,0.050811
0.386000,5.667745,0.050932
0.387000,5.682191,0.051054
0.388000,5.696635,0.051175
0.389000,5.711080,0.051296
0.390000,5.725524,0.051418
0.391000,5.739967,0.051539
0.392000,5.754410,0.051660
0.393000,5.768852,0.051781
0.394000,5.783295,0.051903
0.395000,5.797736,0.052024
0.396000,5.812177,0.052145
0.397000,5.826618,0.052266
0.398000,5.841058,0.052387
0.399000,5.855498,0.052509
0.400000,5.869938,0.052630
0.401000,5.884376,0.052752
0.402000,5.898815,0.052873
0.403000,5.913253,0.052994
0.404000,5.927691,0.053116
0.405000,5.942128,0.053237
0.405000,5.987845,0.054315
0.406000,6.002420,0.054439
0.407000,6.016994,0.054563
0.408000,6.031568,0.054687
0.409000,6.046142,0.054811
0.410000,6.060715,0.054936
0.411000,6.075287,0.055060
0.412000,6.089860,0.055184
0.413000,6.104431,0.055308
0.414000,6.119003,0.055432
0.415000,6.133574,0.055556
0.416000,6.148144,0.055680
0.417000,6.162714,0.055804
0.418000,6.177284,0.055928
0.419000,6.191853,0.056052
0.420000,6.206421,0.056176
0.421000,6.220989,0.056300
0.422000,6.235557,0.056424
0.423000,6.250124,0.056548
0.424000,6.264691,0.056672
0.425000,6.279258,0.056795
0.426000,6.293824,0.056919
0.427000,6.308389,0.057043
0.428000,6.322954,0.057167
0.429000,6.337519,0.057290
0.430000,6.352083,0.057414
0.431000,6.366647,0.057537
0.432000,6.381210,0.057660
0.433000,6.395773,0.057784
0.434000,6.410335,0.057907
0.435000,6.424897,0.058030
0.436000,6.439459,0.058153
0.437000,6.454020,0.058277
0.437000,6.378029,0.068123
0.438000,6.392359,0.068269
0.439000,6.406688,0.068415
0.440000,6.421017,0.068561
0.441000,6.435346,0.068707
0.442000,6.449674,0.068853
0.443000,6.464002,0.068999
0.444000,6.478329,0.069145
0.445000,6.492655,0.069292
0.446000,6.506981,0.069438
0.447000,6.521307,0.069584
0.448000,6.535632,0.069730
0.449000,6.549957,0.069877
0.450000,6.564281,0.070023
0.451000,6.578604,0.070169
0.452000,6.592927,0.070315
0.453000,6.607250,0.070462
0.454000,6.621572,0.070608
0.455000,6.635893,0.070754
0.456000,6.650214,0.070900
0.457000,6.664535,0.071047
0.457000,5.913393,0.068961
0.458000,5.925482,0.069102
0.459000,5.937570,0.069244
0.460000,5.949657,0.069385
0.461000,5.961743,0.069527
0.462000,5.973827,0.069668
0.463000,5.985910,0.069809
0.464000,5.997992,0.069950
0.465000,6.010072,0.070090
0.466000,6.022152,0.070231
0.467000,6.034230,0.070372
0.468000,6.046307,0.070512
0.469000,6.058382,0.070653
0.470000,6.070457,0.070793
0.471000,6.082530,0.070933
0.472000,6.094602,0.071073
0.473000,6.106673,0.071214
0.474000,6.118742,0.071354
0.475000,6.130810,0.071494
0.476000,6.142878,0.071634
0.477000,6.154943,0.071775
0.478000,6.167008,0.071915
0.479000,6.179071,0.072055
0.480000,6.191134,0.072196
0.481000,6.203195,0.072336
0.481000,5.886715,0.074784
0.482000,5.897859,0.074930
0.483000,5.909002,0.075075
0.484000,5.920143,0.075221
0.485000,5.931283,0.075366
0.486000,5.942421,0.075512
0.487000,5.953557,0.075657
0.488000,5.964692,0.075802
0.489000,5.975825,0.075948
0.490000,5.986957,0.076093
0.491000,5.998087,0.076238
0.492000,6.009215,0.076383
0.493000,6.020342,0.076529
0.494000,6.031468,0.076674
0.495000,6.042591,0.076819
0.496000,6.053714,0.076965
0.497000,6.064834,0.077110
0.498000,6.075953,0.077255
0.499000,6.087071,0.077400
0.500000,6.098187,0.077545
0.501000,6.109301,0.077691
0.502000,6.120414,0.077836
0.503000,6.131525,0.077981
0.504000,6.142635,0.078126
0.505000,6.153743,0.078271
0.506000,6.164850,0.078416
0.507000,6.175955,0.078561
0.508000,6.187058,0.078706
0.509000,6.198160,0.078851
0.509000,6.129658,0.082259
0.510000,6.140563,0.082411
0.511000,6.151466,0.082563
0.512000,6.162368,0.082715
0.513000,6.173268,0.082867
0.514000,6.184167,0.083019
0.515000,6.195063,0.083171
0.516000,6.205958,0.083323
0.517000,6.216851,0.083475
0.518000,6.227743,0.083627
0.519000,6.238633,0.083779
0.520000,6.249521,0.083931
0.521000,6.260407,0.084083
0.522000,6.271292,0.084235
0.523000,6.282175,0.084388
0.524000,6.293056,0.084540
0.525000,6.303936,0.084692
0.526000,6.314814,0.084845
0.527000,6.325690,0.084997
0.528000,6.336565,0.085149
0.529000,6.347437,0.085302
0.530000,6.358308,0.085454
0.531000,6.369178,0.085606
0.532000,6.380046,0.085758
0.533000,6.390912,0.085910
0.534000,6.401776,0.086062
0.534000,5.941833,0.081344
0.535000,5.951476,0.081487
0.536000,5.961117,0.081630
0.537000,5.970757,0.081772
0.538000,5.980394,0.081915
0.539000,5.990028,0.082058
0.540000,5.999661,0.082200
0.541000,6.009292,0.082343
0.542000,6.018920,0.082485
0.543000,6.028546,0.082627
0.544000,6.038170,0.082770
0.545000,6.047792,0.082912
0.546000,6.057411,0.083054
0.547000,6.067029,0.083197
0.548000,6.076644,0.083339
0.549000,6.086257,0.083481
0.550000,6.095868,0.083623
0.551000,6.105477,0.083765
0.552000,6.115083,0.083907
0.553000,6.124688,0.084050
0.554000,6.134290,0.084191
0.555000,6.143890,0.084333
0.556000,6.153488,0.084475
0.557000,6.163084,0.084617
0.558000,6.172678,0.084759
0.559000,6.182269,0.084901
0.559000,5.651266,0.089561
0.560000,5.659365,0.089711
0.561000,5.667461,0.089861
0.562000,5.675554,0.090012
0.563000,5.683643,0.090161
0.564000,5.691729,0.090311
0.565000,5.699812,0.090461
0.566000,5.707891,0.090611
0.567000,5.715968,0.090760
0.568000,5.724041,0.090910
0.569000,5.732111,0.091060
0.570000,5.740178,0.091209
0.571000,5.748241,0.091359
0.572000,5.756302,0.091508
0.573000,5.764359,0.091658
0.574000,5.772413,0.091807
0.575000,5.780463,0.091956
0.576000,5.788511,0.092106
0.577000,5.796555,0.092255
0.578000,5.804596,0.092404
0.579000,5.812634,0.092554
0.580000,5.820669,0.092703
0.581000,5.828700,0.092852
0.582000,5.836728,0.093001
0.582000,5.407428,0.086491
0.583000,5.414286,0.086629
0.584000,5.421141,0.086766
0.585000,5.427991,0.086904
0.586000,5.434837,0.087042
0.587000,5.441679,0.087179
0.588000,5.448518,0.087317
0.589000,5.455352,0.087455
0.590000,5.462182,0.087592
0.591000,5.469008,0.087730
0.592000,5.475830,0.087868
0.593000,5.482648,0.088006
0.594000,5.489462,0.088144
0.595000,5.496272,0.088282
0.596000,5.503077,0.088421
0.597000,5.509879,0.088559
0.598000,5.516677,0.088697
0.599000,5.523470,0.088835
0.600000,5.530260,0.088973
0.601000,5.537046,0.089112
0.602000,5.543827,0.089250
0.603000,5.550605,0.089388
0.604000,5.557378,0.089527
0.605000,5.564147,0.089665
0.606000,5.570912,0.089804
0.606000,5.868103,0.107739
0.607000,5.875673,0.107908
0.608000,5.883240,0.108077
0.609000,5.890804,0.108246
0.610000,5.898365,0.108414
0.611000,5.905921,0.108583
0.612000,5.913475,0.108752
0.613000,5.921025,0.108920
0.614000,5.928572,0.109089
0.615000,5.936115,0.109258
0.616000,5.943655,0.109426
0.617000,5.951192,0.109594
0.618000,5.958725,0.109763
0.619000,5.966255,0.109931
0.620000,5.973781,0.110099
0.621000,5.981304,0.110267
0.622000,5.988824,0.110435
0.623000,5.996340,0.110603
0.624000,6.003853,0.110771
0.625000,6.011362,0.110939
0.626000,6.018868,0.111107
0.627000,6.026371,0.111275
0.628000,6.033870,0.111443
0.629000,6.041366,0.111611
0.630000,6.048858,0.111779
0.630000,5.761611,0.103832
0.631000,5.768313,0.103987
0.632000,5.775011,0.104143
0.633000,5.781705,0.104298
0.634000,5.788394,0.104453
0.635000,5.795080,0.104609
0.636000,5.801761,0.104764
0.637000,5.808439,0.104920
0.638000,5.815112,0.105075
0.639000,5.821781,0.105231
0.640000,5.828446,0.105386
0.641000,5.835107,0.105542
0.642000,5.841764,0.105698
0.643000,5.848416,0.105853
0.644000,5.855065,0.106009
0.645000,5.861709,0.106165
0.646000,5.868349,0.106320
0.647000,5.874985,0.106476
0.648000,5.881617,0.106632
0.649000,5.888245,0.106788
0.650000,5.894869,0.106943
0.651000,5.901488,0.107099
0.652000,5.908104,0.107254
0.653000,5.914715,0.107410
0.654000,5.921322,0.107565
0.655000,5.927925,0.107721
0.655000,5.838978,0.116194
0.656000,5.845336,0.116363
0.657000,5.851690,0.116531
0.658000,5.858039,0.116700
0.659000,5.864384,0.116869
0.660000,5.870725,0.117037
0.661000,5.877061,0.117205
0.662000,5.883394,0.117374
0.663000,5.889721,0.117542
0.664000,5.896045,0.117711
0.665000,5.902364,0.117879
0.666000,5.908678,0.118047
0.667000,5.914988,0.118215
0.668000,5.921294,0.118383
0.669000,5.927596,0.118552
0.670000,5.933893,0.118720
0.671000,5.940186,0.118888
0.672000,5.946474,0.119056
0.673000,5.952759,0.119224
0.674000,5.959038,0.119392
