t,pos_err_mm,yaw_err_deg
0.299000,3.5231,0.0012
0.300000,3.5348,0.0012
0.301000,3.5466,0.0012
0.302000,3.5583,0.0012
0.303000,3.5700,0.0012
0.304000,3.5818,0.0012
0.305000,3.5935,0.0012
0.306000,3.6052,0.0012
0.307000,3.6170,0.0012
0.308000,3.6287,0.0012
0.309000,3.6404,0.0012
0.309000,5.6385,0.0088
0.310000,5.6567,0.0088
0.311000,5.6749,0.0089
0.312000,5.6931,0.0089
0.313000,5.7113,0.0089
0.314000,5.7295,0.0089
0.315000,5.7477,0.0089
0.316000,5.7659,0.0090
0.317000,5.7841,0.0090
0.318000,5.8023,0.0090
0.319000,5.8205,0.0090
0.320000,5.8387,0.0091
0.321000,5.8569,0.0091
0.322000,5.8751,0.0091
0.323000,5.8933,0.0091
0.324000,5.9115,0.0092
0.325000,5.9297,0.0092
0.326000,5.9479,0.0092
0.327000,5.9661,0.0092
0.328000,5.9843,0.0093
0.329000,6.0025,0.0093
0.330000,6.0207,0.0093
0.330000,5.1555,0.0168
0.331000,5.1711,0.0168
0.332000,5.1866,0.0169
0.333000,5.2022,0.0169
0.334000,5.2177,0.0170
0.335000,5.2333,0.0170
0.336000,5.2488,0.0171
0.337000,5.2644,0.0171
0.338000,5.2800,0.0171
0.339000,5.2955,0.0172
0.340000,5.3111,0.0172
0.341000,5.3266,0.0173
0.342000,5.3422,0.0173
0.343000,5.3577,0.0174
0.344000,5.3733,0.0174
0.345000,5.3888,0.0175
0.346000,5.4044,0.0175
0.347000,5.4199,0.0175
0.348000,5.4355,0.0176
0.349000,5.4510,0.0176
0.350000,5.4666,0.0177
0.351000,5.4822,0.0177
0.352000,5.4977,0.0178
0.353000,5.5133,0.0178
0.354000,5.5288,0.0178
0.355000,5.5444,0.0179
0.356000,5.5599,0.0179
0.357000,5.5755,0.0180
0.358000,5.5910,0.0180
0.359000,5.6066,0.0181
0.360000,5.6221,0.0181
0.361000,5.6377,0.0181
0.361000,4.6958,0.0199
0.362000,4.7087,0.0199
0.363000,4.7216,0.0200
0.364000,4.7344,0.0200
0.365000,4.7473,0.0201
0.366000,4.7602,0.0201
0.367000,4.7731,0.0202
0.368000,4.7859,0.0202
0.369000,4.7988,0.0203
0.370000,4.8117,0.0203
0.371000,4.8245,0.0204
0.372000,4.8374,0.0204
0.373000,4.8503,0.0205
0.374000,4.8632,0.0205
0.375000,4.8760,0.0206
0.376000,4.8889,0.0206
0.377000,4.9018,0.0206
0.378000,4.9146,0.0207
0.379000,4.9275,0.0207
0.380000,4.9404,0.0208
0.381000,4.9533,0.0208
0.382000,4.9661,0.0209
0.382000,5.2977,0.0333
0.383000,5.3115,0.0334
0.384000,5.3252,0.0334
0.385000,5.3390,0.0335
0.386000,5.3528,0.0336
0.387000,5.3666,0.0337
0.388000,5.3804,0.0337
0.389000,5.3942,0.0338
0.390000,5.4080,0.0339
0.391000,5.4217,0.0340
0.392000,5.4355,0.0340
0.393000,5.4493,0.0341
0.394000,5.4631,0.0342
0.395000,5.4769,0.0343
0.396000,5.4907,0.0343
0.397000,5.5044,0.0344
0.398000,5.5182,0.0345
0.399000,5.5320,0.0346
0.400000,5.5458,0.0346
0.401000,5.5596,0.0347
