t,pos_err_mm,yaw_err_deg
0.029000,1.1909,0.0006
0.030000,1.2261,0.0006
0.031000,1.2612,0.0006
0.032000,1.2964,0.0006
0.033000,1.3316,0.0006
0.034000,1.3668,0.0006
0.035000,1.4020,0.0006
0.036000,1.4372,0.0006
0.037000,1.4724,0.0006
0.038000,1.5076,0.0006
0.039000,1.5427,0.0006
0.040000,1.5779,0.0006
0.041000,1.6131,0.0006
0.042000,1.6483,0.0006
0.043000,1.6835,0.0006
0.044000,1.7187,0.0007
0.045000,1.7539,0.0007
0.046000,1.7891,0.0007
0.047000,1.8242,0.0007
0.048000,1.8594,0.0007
0.049000,1.8946,0.0007
0.050000,1.9298,0.0007
0.051000,1.9650,0.0007
0.052000,2.0002,0.0007
0.053000,2.0354,0.0007
0.054000,2.0706,0.0007
0.054000,5.7039,0.0008
0.055000,5.8035,0.0008
0.056000,5.9031,0.0008
0.057000,6.0026,0.0008
0.058000,6.1022,0.0008
0.059000,6.2018,0.0008
0.060000,6.3014,0.0008
0.061000,6.4010,0.0008
0.062000,6.5006,0.0008
0.063000,6.6002,0.0008
0.064000,6.6998,0.0008
0.065000,6.7994,0.0008
0.066000,6.8990,0.0008
0.067000,6.9986,0.0009
0.068000,7.0982,0.0009
0.069000,7.1977,0.0009
0.070000,7.2973,0.0009
0.071000,7.3969,0.0009
0.072000,7.4965,0.0009
0.073000,7.5961,0.0009
0.074000,7.6957,0.0009
0.075000,7.7953,0.0009
0.076000,7.8949,0.0009
0.077000,7.9945,0.0009
0.078000,8.0941,0.0009
0.079000,8.1937,0.0009
0.080000,8.2933,0.0009
0.081000,8.3929,0.0009
0.081000,5.8840,0.0014
0.082000,5.9528,0.0014
0.083000,6.0216,0.0014
0.084000,6.0904,0.0014
0.085000,6.1592,0.0014
0.086000,6.2280,0.0014
0.087000,6.2968,0.0014
0.088000,6.3656,0.0014
0.089000,6.4344,0.0015
0.090000,6.5032,0.0015
0.091000,6.5720,0.0015
0.092000,6.6408,0.0015
0.093000,6.7096,0.0015
0.094000,6.7784,0.0015
0.095000,6.8472,0.0015
0.096000,6.9160,0.0015
0.097000,6.9848,0.0015
0.098000,7.0536,0.0015
0.099000,7.1225,0.0015
0.100000,7.1913,0.0015
0.101000,7.2601,0.0015
0.102000,7.3289,0.0015
0.103000,7.3977,0.0015
0.104000,7.4665,0.0015
0.105000,7.5353,0.0015
0.106000,7.6041,0.0015
0.107000,7.6729,0.0015
0.107000,6.9691,0.0028
0.108000,7.0312,0.0028
0.109000,7.0934,0.0028
0.110000,7.1555,0.0028
0.111000,7.2177,0.0028
0.112000,7.2799,0.0028
0.113000,7.3420,0.0028
0.114000,7.4042,0.0028
0.115000,7.4664,0.0029
0.116000,7.5285,0.0029
0.117000,7.5907,0.0029
0.118000,7.6528,0.0029
0.119000,7.7150,0.0029
0.120000,7.7772,0.0029
0.121000,7.8393,0.0029
0.122000,7.9015,0.0029
0.123000,7.9637,0.0029
0.124000,8.0258,0.0030
0.125000,8.0880,0.0030
0.126000,8.1502,0.0030
0.127000,8.2123,0.0030
0.128000,8.2745,0.0030
0.129000,8.3366,0.0030
0.130000,8.3988,0.0030
0.131000,8.4610,0.0030
0.131000,6.0219,0.0030
0.132000,6.0650,0.0031
0.133000,6.1081,0.0031
0.134000,6.1511,0.0031
0.135000,6.1942,0.0031
0.136000,6.2373,0.0031
0.137000,6.2803,0.0031
0.138000,6.3234,0.0031
0.139000,6.3665,0.0031
0.140000,6.4095,0.0032
0.141000,6.4526,0.0032
0.142000,6.4957,0.0032
0.143000,6.5387,0.0032
0.144000,6.5818,0.0032
0.145000,6.6249,0.0032
0.146000,6.6679,0.0032
0.147000,6.7110,0.0032
0.148000,6.7541,0.0032
0.149000,6.7972,0.0033
0.150000,6.8402,0.0033
0.151000,6.8833,0.0033
0.152000,6.9264,0.0033
0.153000,6.9694,0.0033
0.154000,7.0125,0.0033
0.155000,7.0556,0.0033
0.156000,7.0986,0.0033
0.157000,7.1417,0.0033
0.158000,7.1847,0.0034
0.159000,7.2278,0.0034
0.159000,5.8205,0.0038
0.160000,5.8545,0.0038
0.161000,5.8884,0.0038
0.162000,5.9223,0.0038
0.163000,5.9562,0.0038
0.164000,5.9902,0.0039
0.165000,6.0241,0.0039
0.166000,6.0580,0.0039
0.167000,6.0919,0.0039
0.168000,6.1259,0.0039
0.169000,6.1598,0.0039
0.170000,6.1937,0.0039
0.171000,6.2276,0.0039
0.172000,6.2616,0.0040
0.173000,6.2955,0.0040
0.174000,6.3294,0.0040
0.175000,6.3633,0.0040
0.176000,6.3973,0.0040
0.177000,6.4312,0.0040
0.178000,6.4651,0.0040
0.179000,6.4990,0.0041
0.180000,6.5330,0.0041
0.181000,6.5669,0.0041
0.182000,6.6008,0.0041
0.182000,6.0669,0.0054
0.183000,6.0977,0.0054
0.184000,6.1286,0.0055
0.185000,6.1594,0.0055
0.186000,6.1903,0.0055
0.187000,6.2211,0.0055
0.188000,6.2520,0.0055
0.189000,6.2828,0.0056
0.190000,6.3137,0.0056
0.191000,6.3445,0.0056
0.192000,6.3754,0.0056
0.193000,6.4062,0.0056
0.194000,6.4371,0.0057
0.195000,6.4679,0.0057
0.196000,6.4988,0.0057
0.197000,6.5296,0.0057
0.198000,6.5605,0.0057
0.199000,6.5913,0.0057
0.200000,6.6222,0.0058
0.201000,6.6530,0.0058
0.202000,6.6839,0.0058
0.203000,6.7147,0.0058
0.204000,6.7456,0.0058
0.205000,6.7764,0.0059
0.206000,6.8073,0.0059
0.207000,6.8381,0.0059
0.207000,5.6242,0.0058
0.208000,5.6489,0.0058
0.209000,5.6736,0.0058
0.210000,5.6983,0.0058
0.211000,5.7229,0.0059
0.212000,5.7476,0.0059
0.213000,5.7723,0.0059
0.214000,5.7969,0.0059
0.215000,5.8216,0.0059
0.216000,5.8463,0.0059
0.217000,5.8710,0.0060
0.218000,5.8956,0.0060
0.219000,5.9203,0.0060
0.220000,5.9450,0.0060
0.221000,5.9696,0.0060
0.222000,5.9943,0.0061
0.223000,6.0190,0.0061
0.224000,6.0437,0.0061
0.225000,6.0683,0.0061
