t,pos_err_mm,yaw_err_deg
2.929000,6.307750,0.140935
2.930000,6.310960,0.141012
2.931000,6.314170,0.141089
2.932000,6.317381,0.141165
2.933000,6.320592,0.141242
2.934000,6.323803,0.141319
2.935000,6.327014,0.141396
2.936000,6.330225,0.141473
2.936000,1.660231,0.089640
2.937000,1.660702,0.089692
2.938000,1.661173,0.089744
2.939000,1.661644,0.089795
2.940000,1.662116,0.089847
2.941000,1.662587,0.089899
2.942000,1.663058,0.089951
2.943000,1.663529,0.090003
2.944000,1.664000,0.090054
2.945000,1.664471,0.090106
2.946000,1.664942,0.090158
2.947000,1.665413,0.090210
2.948000,1.665884,0.090262
2.949000,1.666355,0.090313
2.950000,1.666826,0.090365
2.951000,1.667297,0.090417
2.952000,1.667768,0.090469
2.953000,1.668239,0.090520
2.954000,1.668709,0.090572
2.955000,1.669180,0.090624
2.956000,1.669651,0.090676
2.956000,3.949977,0.089717
2.957000,3.952861,0.089768
2.958000,3.955745,0.089820
2.959000,3.958630,0.089871
2.960000,3.961516,0.089922
2.961000,3.964403,0.089973
2.962000,3.967290,0.090024
2.963000,3.970179,0.090075
2.964000,3.973068,0.090126
2.965000,3.975958,0.090177
2.966000,3.978849,0.090228
2.967000,3.981741,0.090279
2.968000,3.984633,0.090331
2.969000,3.987527,0.090382
2.970000,3.990421,0.090433
2.971000,3.993316,0.090484
2.972000,3.996212,0.090536
2.973000,3.999109,0.090587
2.974000,4.002007,0.090639
2.975000,4.004905,0.090690
2.976000,4.007805,0.090742
2.977000,4.010705,0.090794
2.978000,4.013606,0.090845
2.979000,4.016508,0.090897
2.980000,4.019410,0.090949
2.981000,4.022314,0.091001
2.982000,4.025218,0.091053
2.983000,4.028123,0.091105
2.984000,4.031029,0.091157
2.985000,4.033936,0.091209
2.986000,4.036844,0.091261
2.987000,4.039753,0.091313
2.988000,4.042662,0.091365
2.989000,4.045572,0.091416
2.990000,4.048483,0.091468
2.991000,4.051395,0.091520
2.992000,4.054308,0.091571
2.992000,4.144560,0.052332
2.993000,4.147825,0.052365
2.994000,4.151092,0.052397
2.995000,4.154360,0.052430
2.996000,4.157630,0.052463
2.997000,4.160901,0.052496
2.998000,4.164173,0.052528
2.999000,4.167447,0.052561
3.000000,4.170722,0.052593
3.001000,4.173998,0.052626
3.002000,4.177276,0.052659
3.003000,4.180555,0.052691
3.004000,4.183836,0.052724
3.005000,4.187118,0.052756
3.006000,4.190401,0.052788
3.007000,4.193686,0.052821
3.008000,4.196972,0.052853
3.009000,4.200260,0.052885
3.009000,4.454044,0.058369
3.010000,4.457691,0.058404
3.011000,4.461338,0.058439
3.012000,4.464987,0.058474
3.013000,4.468637,0.058508
3.014000,4.472288,0.058543
3.015000,4.475941,0.058578
