t,pos_err_mm,yaw_err_deg
0.025000,1.0501,0.0006
0.026000,1.0853,0.0006
0.050000,5.3054,0.0008
0.051000,5.4050,0.0008
0.076000,5.5390,0.0014
0.077000,5.6078,0.0014
0.101000,6.5933,0.0027
0.102000,6.6554,0.0027
0.126000,5.7814,0.0028
0.127000,5.8243,0.0028
0.279000,4.7562,0.0249
0.283000,4.8148,0.0252
0.287000,4.8733,0.0255
0.289000,4.9026,0.0257
0.299000,5.0490,0.0264
0.309000,5.1953,0.0271
0.319000,5.3415,0.0278
0.315000,5.6040,0.0331
0.319000,5.6670,0.0334
0.320000,5.6827,0.0335
0.324000,5.4146,0.0282
0.325000,5.4292,0.0282
0.326000,5.4439,0.0283
0.324000,5.7457,0.0339
0.343000,5.6924,0.0295
0.345000,6.0760,0.0357
0.346000,6.0918,0.0358
0.351000,5.8093,0.0301
0.360000,5.9407,0.0308
0.358000,6.2805,0.0369
0.333000,5.3839,0.0395
0.334000,5.3979,0.0396
0.335000,5.4120,0.0397
0.336000,5.4260,0.0398
0.337000,5.4400,0.0399
0.338000,5.4540,0.0400
0.339000,5.4680,0.0401
0.340000,5.4820,0.0402
0.341000,5.4961,0.0403
0.342000,5.5101,0.0404
0.343000,5.5241,0.0405
0.344000,5.5381,0.0406
0.345000,5.5521,0.0407
0.363000,5.9846,0.0310
0.366000,6.4062,0.0376
0.370000,6.4691,0.0379
0.346000,5.5661,0.0408
0.347000,5.5801,0.0409
0.348000,5.5942,0.0410
0.349000,5.6082,0.0411
0.350000,5.6222,0.0412
0.351000,5.6362,0.0413
0.352000,5.6502,0.0414
0.353000,5.6642,0.0415
0.354000,5.6782,0.0416
0.355000,5.6922,0.0417
0.356000,5.7062,0.0418
0.356000,4.9921,0.0419
0.357000,5.0038,0.0420
0.358000,5.0155,0.0421
0.359000,5.0273,0.0422
0.372000,6.5005,0.0381
0.376000,6.5634,0.0385
0.379000,6.6106,0.0387
0.360000,5.0390,0.0423
0.361000,5.0507,0.0424
0.362000,5.0625,0.0425
0.363000,5.0742,0.0426
0.364000,5.0859,0.0427
0.365000,5.0977,0.0428
0.366000,5.1094,0.0429
0.367000,5.1211,0.0430
0.368000,5.1328,0.0431
0.369000,5.1446,0.0432
0.370000,5.1563,0.0433
0.371000,5.1680,0.0434
0.372000,5.1797,0.0435
0.388000,6.3496,0.0328
0.381000,6.6420,0.0389
0.383000,6.6734,0.0391
0.384000,6.6891,0.0392
0.386000,6.7206,0.0394
0.373000,5.1915,0.0436
0.374000,5.2032,0.0437
0.375000,5.2149,0.0438
