[INFO] [1785294279.827061842] [backend_optimizer_node]: graph (re)initialized at X0=(-2.419, 1.354, 0.000) V0=(0.000, 0.000)
[INFO] [1785294279.828206789] [backend_optimizer_node]: backend_optimizer_node started (0 cylinders registered)
[WARN] [1785294302.168141333] [backend_optimizer_node]: slow smoother update: 24.7ms (index 666)
[WARN] [1785294302.251480639] [backend_optimizer_node]: slow smoother update: 21.5ms (index 670)
[WARN] [1785294304.304695211] [backend_optimizer_node]: slow smoother update: 34.2ms (index 749)
[WARN] [1785294304.572706014] [backend_optimizer_node]: slow smoother update: 30.1ms (index 759)
[WARN] [1785294308.578695830] [backend_optimizer_node]: slow smoother update: 31.2ms (index 911)
[WARN] [1785294309.539420232] [backend_optimizer_node]: slow smoother update: 38.5ms (index 946)
[WARN] [1785294314.844845592] [backend_optimizer_node]: slow smoother update: 20.5ms (index 1158)
[WARN] [1785294319.822965817] [backend_optimizer_node]: slow smoother update: 40.4ms (index 1348)
[WARN] [1785294320.111071111] [backend_optimizer_node]: slow smoother update: 24.7ms (index 1360)
[WARN] [1785294320.673420343] [backend_optimizer_node]: slow smoother update: 36.4ms (index 1378)
[WARN] [1785294322.034763531] [backend_optimizer_node]: slow smoother update: 20.0ms (index 1427)
[WARN] [1785294322.822128633] [backend_optimizer_node]: slow smoother update: 37.1ms (index 1457)
[WARN] [1785294323.572364924] [backend_optimizer_node]: slow smoother update: 23.2ms (index 1488)
[WARN] [1785294324.628535117] [backend_optimizer_node]: slow smoother update: 51.4ms (index 1526)
[WARN] [1785294324.794620714] [backend_optimizer_node]: slow smoother update: 33.2ms (index 1533)
[WARN] [1785294333.095495374] [backend_optimizer_node]: slow smoother update: 27.5ms (index 1863)
[WARN] [1785294333.845700785] [backend_optimizer_node]: slow smoother update: 25.3ms (index 1892)
[WARN] [1785294335.014854357] [backend_optimizer_node]: slow smoother update: 20.1ms (index 1930)
[INFO] [1785294348.351035518] [rclcpp]: signal_handler(signum=2)
