t,pos_err_mm,yaw_err_deg
0.331000,20.9102,0.0043
0.333000,21.0348,0.0043
0.334000,21.0972,0.0043
0.335000,21.1595,0.0043
0.336000,21.2218,0.0044
0.337000,21.2841,0.0044
0.338000,21.3464,0.0044
0.339000,21.4087,0.0044
0.340000,21.4710,0.0044
0.341000,21.5334,0.0044
0.342000,21.5957,0.0044
0.343000,21.6580,0.0045
0.344000,21.7203,0.0045
0.345000,21.7827,0.0045
0.346000,21.8450,0.0045
0.347000,21.9073,0.0045
0.348000,21.9697,0.0045
0.349000,22.0320,0.0046
0.350000,22.0944,0.0046
0.351000,22.1568,0.0046
0.352000,22.2191,0.0046
0.353000,22.2815,0.0046
0.354000,22.3439,0.0046
0.355000,22.4063,0.0046
0.484000,18.4160,0.0070
0.524000,19.8912,0.0068
0.525000,19.9280,0.0068
0.526000,19.9648,0.0068
0.527000,20.0016,0.0069
0.528000,20.0384,0.0069
0.529000,20.0752,0.0069
0.530000,20.1120,0.0069
0.531000,20.1488,0.0069
0.532000,20.1856,0.0069
0.533000,20.2224,0.0070
0.534000,20.2592,0.0070
0.534000,12.5712,0.0106
0.535000,12.5931,0.0106
0.536000,12.6151,0.0107
0.537000,12.6371,0.0107
0.538000,12.6590,0.0107
0.539000,12.6810,0.0107
0.540000,12.7030,0.0107
0.541000,12.7250,0.0107
0.542000,12.7469,0.0108
0.543000,12.7689,0.0108
0.544000,12.7909,0.0108
0.545000,12.8129,0.0107
0.546000,12.8349,0.0107
0.547000,12.8568,0.0107
0.548000,12.8788,0.0107
0.549000,12.9008,0.0107
0.550000,12.9228,0.0107
0.551000,12.9448,0.0107
0.552000,12.9667,0.0107
0.553000,12.9887,0.0108
0.554000,13.0107,0.0108
0.562000,13.1865,0.0110
0.564000,13.2305,0.0110
0.565000,13.2525,0.0110
0.566000,13.2744,0.0110
0.581000,5.1630,0.0468
0.582000,5.1700,0.0469
0.583000,5.1769,0.0469
0.584000,5.1839,0.0470
0.585000,5.1908,0.0471
0.586000,5.1977,0.0472
0.587000,5.2047,0.0473
0.588000,5.2116,0.0473
0.589000,5.2186,0.0474
0.590000,5.2255,0.0475
0.600000,5.2948,0.0483
0.601000,5.3018,0.0484
0.602000,5.3087,0.0485
0.603000,5.3156,0.0486
0.604000,5.3225,0.0487
0.605000,5.3294,0.0488
0.606000,5.3363,0.0488
0.607000,5.3432,0.0489
0.609000,5.3570,0.0491
0.610000,5.3639,0.0491
0.611000,5.3708,0.0492
0.612000,5.3777,0.0492
0.613000,5.3845,0.0493
0.614000,5.3914,0.0494
0.615000,5.3983,0.0494
0.616000,5.4052,0.0495
0.617000,5.4121,0.0495
0.618000,5.4190,0.0495
0.619000,5.4259,0.0495
0.620000,5.4328,0.0496
0.621000,5.4396,0.0496
0.622000,5.4465,0.0497
0.623000,5.4534,0.0497
0.624000,5.4603,0.0498
0.640000,5.5704,0.0510
0.647000,6.7684,0.0929
0.647000,5.8601,0.0818
0.648000,5.8674,0.0819
0.649000,5.8747,0.0820
0.650000,5.8820,0.0821
0.651000,5.8893,0.0822
0.667000,5.8488,0.1013
0.687000,5.9882,0.1042
0.688000,5.9951,0.1043
0.690000,6.0090,0.1045
0.729000,5.3928,0.1032
0.730000,5.3980,0.1033
0.731000,5.4033,0.1034
0.732000,5.4085,0.1035
0.733000,5.4137,0.1036
0.734000,5.4190,0.1037
0.735000,5.4242,0.1038
0.736000,5.4294,0.1039
0.737000,5.4347,0.1041
0.738000,5.4399,0.1042
0.739000,5.4451,0.1043
0.740000,5.4503,0.1044
0.741000,5.4555,0.1045
0.742000,5.4607,0.1046
0.743000,5.4660,0.1048
0.744000,5.4712,0.1049
0.745000,5.4764,0.1050
0.750000,5.5023,0.1058
0.777000,5.2300,0.0923
0.818000,5.4097,0.0969
0.819000,5.4140,0.0970
0.820000,5.4183,0.0971
0.821000,5.4227,0.0972
0.828000,5.4529,0.0979
0.834000,5.4787,0.0985
0.841000,5.5088,0.0993
0.847000,5.5346,0.0999
0.848000,5.5389,0.1001
0.849000,5.5432,0.1002
0.914000,5.6951,0.0906
0.962000,5.8963,0.0951
0.963000,5.9004,0.0952
0.964000,5.9045,0.0953
0.965000,5.9086,0.0954
0.966000,5.9127,0.0954
0.967000,5.9168,0.0955
0.968000,5.9209,0.0956
0.969000,5.9250,0.0957
0.970000,5.9291,0.0958
0.995000,6.0309,0.0980
0.996000,6.0349,0.0981
0.997000,6.0389,0.0982
0.999000,6.0470,0.0983
1.042000,6.2188,0.1023
1.043000,6.2228,0.1024
1.044000,6.2267,0.1025
1.045000,6.2307,0.1026
1.054000,6.2662,0.1035
1.064000,6.3055,0.1045
