t,pos_err_mm,yaw_err_deg
0.100000,3.6924,0.0015
0.311000,13.0129,0.0021
0.312000,13.0532,0.0021
0.313000,13.0936,0.0021
0.314000,13.1339,0.0021
0.320000,13.3761,0.0022
0.335000,13.9820,0.0024
0.336000,14.0224,0.0024
0.355000,14.7905,0.0026
0.356000,14.8310,0.0026
0.357000,14.8715,0.0026
0.358000,14.9119,0.0026
0.359000,14.9524,0.0026
0.360000,14.9929,0.0026
0.361000,15.0333,0.0026
0.362000,15.0738,0.0026
0.363000,15.1143,0.0026
0.364000,15.1548,0.0026
0.365000,15.1952,0.0026
0.366000,15.2357,0.0026
0.367000,15.2762,0.0025
0.368000,15.3167,0.0025
0.369000,15.3572,0.0025
0.370000,15.3976,0.0025
0.371000,15.4381,0.0025
0.372000,15.4786,0.0025
0.373000,15.5190,0.0025
0.374000,15.5595,0.0025
0.375000,15.5999,0.0026
0.376000,15.6404,0.0026
0.377000,15.6809,0.0026
0.378000,15.7213,0.0026
0.379000,15.7617,0.0026
0.390000,16.2066,0.0023
0.391000,16.2470,0.0023
0.392000,16.2874,0.0023
0.400000,7.8325,0.0046
0.402000,6.8789,0.0178
0.407000,6.5868,0.0228
0.408000,6.6015,0.0228
0.409000,6.6162,0.0229
0.410000,6.6309,0.0229
0.411000,6.6455,0.0229
0.412000,6.6602,0.0229
0.413000,6.6749,0.0229
0.414000,6.6895,0.0230
0.415000,6.7042,0.0230
0.417000,6.7334,0.0231
0.418000,6.7481,0.0232
0.419000,6.7627,0.0233
0.420000,6.7773,0.0233
0.421000,6.7919,0.0234
0.422000,6.8066,0.0234
0.423000,6.8212,0.0235
0.424000,6.8358,0.0235
0.425000,6.8504,0.0236
0.426000,6.8650,0.0236
0.427000,6.8795,0.0237
0.428000,6.8941,0.0238
0.429000,6.9087,0.0238
0.430000,6.9233,0.0239
0.431000,6.9378,0.0239
0.432000,6.9524,0.0240
0.505000,6.2681,0.0461
0.506000,6.2789,0.0461
0.506000,5.8496,0.0521
0.507000,5.8594,0.0522
0.508000,5.8692,0.0523
0.509000,5.8790,0.0524
0.510000,5.8888,0.0524
0.511000,5.8986,0.0525
0.512000,5.9083,0.0526
0.513000,5.9181,0.0526
0.514000,5.9279,0.0527
0.515000,5.9376,0.0527
0.580000,6.5700,0.0589
0.581000,6.5797,0.0590
0.582000,6.5894,0.0591
0.583000,6.5992,0.0592
0.584000,6.6089,0.0593
0.606000,6.8227,0.0616
0.608000,6.8421,0.0618
0.609000,6.8518,0.0619
0.610000,6.8614,0.0620
0.611000,6.8711,0.0621
0.612000,6.8808,0.0621
0.613000,6.8905,0.0622
0.614000,6.9002,0.0623
0.615000,6.9099,0.0624
0.616000,6.9196,0.0624
0.617000,6.9293,0.0625
0.618000,6.9390,0.0625
0.619000,6.9487,0.0626
0.620000,6.9584,0.0627
0.621000,6.9681,0.0627
0.622000,6.9778,0.0628
0.623000,6.9875,0.0629
0.624000,6.9972,0.0630
0.625000,7.0069,0.0631
0.652000,6.2729,0.0758
0.653000,6.2807,0.0759
0.654000,6.2885,0.0760
0.655000,6.2964,0.0761
0.656000,6.3042,0.0762
0.657000,6.3120,0.0763
0.658000,6.3198,0.0764
0.659000,6.3277,0.0765
0.660000,6.3355,0.0766
0.661000,6.3433,0.0767
0.662000,6.3511,0.0768
0.663000,6.3589,0.0769
0.664000,6.3667,0.0770
0.665000,6.3745,0.0771
0.666000,6.3823,0.0772
0.667000,6.3901,0.0772
0.668000,6.3979,0.0773
0.669000,6.4057,0.0774
0.670000,6.4134,0.0775
0.671000,6.4212,0.0776
0.672000,6.4290,0.0777
0.673000,6.4368,0.0778
0.674000,6.4446,0.0779
0.675000,6.4523,0.0780
0.676000,6.4601,0.0782
0.677000,6.4679,0.0783
0.678000,6.4757,0.0784
0.689000,6.5612,0.0796
0.690000,6.5689,0.0797
0.692000,6.5844,0.0798
0.704000,5.1533,0.0801
0.714000,5.1996,0.0811
0.721000,5.2318,0.0820
0.727000,5.2591,0.0826
0.728000,5.2636,0.0827
0.729000,5.2682,0.0828
0.730000,5.2727,0.0828
0.731000,5.2772,0.0829
0.732000,5.2817,0.0830
0.733000,5.2862,0.0831
0.734000,5.2908,0.0832
0.747000,5.3489,0.0845
0.759000,5.4021,0.0858
0.764000,5.4242,0.0864
0.768000,5.4418,0.0869
0.772000,5.4594,0.0873
0.776000,5.4771,0.0878
0.780000,5.4947,0.0882
0.783000,5.5078,0.0886
0.848000,5.7838,0.0953
0.849000,5.7879,0.0954
0.850000,5.7921,0.0955
0.851000,5.7963,0.0956
0.852000,5.8005,0.0957
0.853000,5.8046,0.0958
0.854000,5.8088,0.0959
0.855000,5.8130,0.0960
0.859000,5.8295,0.0963
0.876000,5.8992,0.0975
0.884000,5.9317,0.0983
0.897000,6.0933,0.1101
0.905000,6.1270,0.1112
0.910000,6.1478,0.1118
0.923000,6.2013,0.1133
0.924000,6.2053,0.1134
0.925000,6.2094,0.1136
0.926000,6.2134,0.1137
0.927000,6.2175,0.1138
0.932000,6.2376,0.1144
0.938000,6.2616,0.1151
0.942000,6.2775,0.1154
1.005000,6.5171,0.1227
1.006000,6.5207,0.1228
1.007000,6.5244,0.1230
1.008000,6.5280,0.1231
1.009000,6.5317,0.1232
1.010000,6.5354,0.1233
1.011000,6.5390,0.1234
1.012000,6.5427,0.1235
1.013000,6.5463,0.1236
1.014000,6.5500,0.1237
1.015000,6.5536,0.1238
1.016000,6.5573,0.1239
1.017000,6.5609,0.1241
1.018000,6.5645,0.1242
1.019000,6.5681,0.1243
