t,n,x_n,y_n,x_degenerate,y_degenerate
0.025,541,270,271,0,0
0.05,541,270,271,0,0
0.076,541,270,271,0,0
0.301,541,270,271,0,0
0.351,541,270,271,0,0
0.376,541,270,271,0,0
0.401,541,270,271,0,0
0.426,541,270,271,0,0
0.451,541,270,271,0,0
0.476,541,270,271,0,0
0.551,541,270,271,0,0
0.626,541,270,271,0,0
0.651,541,270,271,0,0
0.676,541,270,271,0,0
0.876,541,270,271,0,0
1.026,541,270,271,0,0
1.051,541,270,271,0,0
1.076,541,270,271,0,0
1.101,541,270,271,0,0
1.126,541,270,271,0,0
1.151,541,270,271,0,0
1.201,541,270,271,0,0
1.276,541,270,271,0,0
1.351,541,270,271,0,0
1.376,541,270,271,0,0
1.401,541,270,271,0,0
1.451,541,270,271,0,0
1.476,541,270,271,0,0
1.501,541,270,271,0,0
1.526,541,270,271,0,0
1.551,541,270,271,0,0
1.576,541,270,271,0,0
1.651,541,270,271,0,0
1.676,541,270,271,0,0
1.701,541,270,271,0,0
1.751,541,270,271,0,0
1.776,541,270,271,0,0
1.801,541,270,271,0,0
1.876,541,270,271,0,0
2.101,541,270,271,0,0
2.126,541,270,271,0,0
2.151,541,270,271,0,0
2.176,541,270,271,0,0
2.201,541,270,271,0,0
2.226,541,270,271,0,0
2.276,541,270,271,0,0
2.301,541,270,271,0,0
2.326,541,270,271,0,0
2.351,541,270,271,0,0
2.376,541,270,271,0,0
2.401,541,270,271,0,0
2.451,541,270,271,0,0
2.476,537,268,269,0,0
2.501,537,268,269,0,0
2.526,541,270,271,0,0
2.551,541,270,271,0,0
2.576,541,270,271,0,0
2.651,541,270,271,0,0
2.676,541,270,271,0,0
2.701,541,270,271,0,0
2.726,541,270,271,0,0
2.751,541,270,271,0,0
2.776,541,270,271,0,0
2.801,541,270,271,0,0
2.826,541,270,271,0,0
2.851,541,270,271,0,0
2.876,541,270,271,0,0
2.901,541,270,271,0,0
2.926,541,270,271,0,0
2.951,541,270,271,0,0
2.976,537,268,269,0,0
3.001,541,270,271,0,0
3.026,541,270,271,0,0
3.051,541,270,271,0,0
3.076,541,270,271,0,0
3.101,541,270,271,0,0
3.126,541,270,271,0,0
3.151,541,270,271,0,0
3.176,541,270,271,0,0
3.201,541,270,271,0,0
3.226,541,270,271,0,0
3.251,541,270,271,0,0
3.276,541,270,271,0,0
3.301,541,270,271,0,0
3.326,541,270,271,0,0
3.351,541,270,271,0,0
3.376,541,270,271,0,0
3.401,541,270,271,0,0
3.426,541,270,271,0,0
3.451,541,270,271,0,0
3.476,541,270,271,0,0
3.501,541,270,271,0,0
3.526,541,270,271,0,0
3.551,541,270,271,0,0
3.576,541,270,271,0,0
3.601,541,270,271,0,0
3.626,541,270,271,0,0
3.651,541,270,271,0,0
3.676,541,270,271,0,0
3.701,541,270,271,0,0
3.726,541,270,271,0,0
3.751,541,270,271,0,0
3.776,541,270,271,0,0
3.801,541,270,271,0,0
3.826,541,270,271,0,0
3.851,541,270,271,0,0
3.876,541,270,271,0,0
3.901,541,270,271,0,0
3.926,541,270,271,0,0
3.951,541,270,271,0,0
3.976,541,270,271,0,0
4.001,541,270,271,0,0
4.026,541,270,271,0,0
4.051,541,270,271,0,0
4.076,541,270,271,0,0
4.101,541,270,271,0,0
4.126,541,270,271,0,0
4.151,541,270,271,0,0
4.176,541,270,271,0,0
4.201,541,270,271,0,0
4.226,541,270,271,0,0
4.251,541,270,271,0,0
4.276,541,270,271,0,0
4.301,541,270,271,0,0
4.326,541,270,271,0,0
4.351,541,270,271,0,0
4.376,541,270,271,0,0
4.401,541,270,271,0,0
4.451,541,270,271,0,0
4.501,541,270,271,0,0
4.526,541,270,271,0,0
4.551,541,270,271,0,0
4.576,541,270,271,0,0
4.601,541,270,271,0,0
4.626,541,270,271,0,0
4.651,541,270,271,0,0
4.676,541,270,271,0,0
4.701,541,270,271,0,0
4.726,541,270,271,0,0
4.751,541,270,271,0,0
4.776,541,270,271,0,0
4.801,541,270,271,0,0
4.826,541,270,271,0,0
4.851,541,270,271,0,0
4.876,541,270,271,0,0
4.926,541,270,271,0,0
4.951,541,270,271,0,0
4.976,541,270,271,0,0
5.001,541,270,271,0,0
5.026,541,270,271,0,0
5.051,541,270,271,0,0
5.076,541,270,271,0,0
5.101,541,270,271,0,0
5.126,541,270,271,0,0
5.151,541,270,271,0,0
5.176,541,270,271,0,0
5.201,541,270,271,0,0
5.251,541,270,271,0,0
5.276,541,270,271,0,0
