t,pos_err_mm,yaw_err_deg
0.251000,0.807034,0.001997
0.252000,0.839450,0.001990
0.253000,0.871871,0.002014
0.254000,0.904293,0.002041
0.255000,0.936712,0.002053
0.256000,0.969123,0.002061
0.257000,1.001529,0.002069
0.258000,1.033931,0.002073
0.259000,1.066332,0.002071
0.260000,1.098734,0.002081
0.261000,1.131133,0.002076
0.262000,1.163530,0.002042
0.263000,1.195925,0.002010
0.264000,1.228315,0.001982
0.265000,1.260701,0.001955
0.266000,1.293085,0.001916
0.267000,1.325468,0.001892
0.268000,1.357848,0.001872
0.269000,1.390222,0.001860
0.270000,1.422591,0.001861
0.271000,1.454956,0.001854
0.272000,1.487316,0.001847
0.273000,1.519672,0.001822
0.274000,1.552022,0.001792
0.275000,1.584367,0.001780
0.276000,1.616705,0.001788
0.277000,1.649039,0.001792
0.278000,1.681373,0.001788
0.279000,1.713709,0.001791
0.280000,1.746049,0.001794
0.281000,1.778393,0.001788
0.282000,1.810741,0.001772
0.283000,1.843097,0.001767
0.284000,1.875462,0.001767
0.285000,1.907840,0.001767
0.286000,1.940231,0.001792
0.287000,1.972634,0.001809
0.288000,2.005051,0.001811
0.289000,2.037484,0.001807
0.290000,2.069933,0.001792
0.291000,2.102394,0.001782
0.292000,2.134865,0.001776
0.293000,2.167345,0.001771
0.293000,0.298657,0.000239
0.294000,0.303061,0.000235
0.295000,0.307492,0.000248
0.296000,0.311953,0.000244
0.297000,0.316440,0.000222
0.298000,0.320955,0.000216
0.299000,0.325501,0.000207
0.300000,0.330079,0.000200
0.301000,0.334691,0.000203
0.302000,0.339337,0.000207
0.303000,0.344017,0.000234
0.304000,0.348727,0.000242
0.305000,0.353465,0.000247
0.306000,0.358227,0.000251
0.307000,0.363008,0.000233
0.308000,0.367804,0.000216
0.309000,0.372614,0.000212
0.310000,0.377437,0.000209
0.311000,0.382272,0.000204
0.312000,0.387117,0.000205
0.313000,0.391968,0.000179
0.314000,0.396821,0.000176
0.315000,0.401676,0.000185
0.316000,0.406532,0.000196
0.317000,0.411386,0.000222
0.317000,0.354358,0.000803
0.318000,0.357303,0.000821
0.319000,0.360245,0.000840
0.320000,0.363182,0.000872
0.321000,0.366116,0.000891
0.322000,0.369048,0.000906
0.323000,0.371980,0.000922
0.324000,0.374908,0.000934
0.325000,0.377829,0.000940
0.326000,0.380744,0.000958
0.327000,0.383654,0.000969
0.328000,0.386563,0.000986
0.328000,0.055278,0.000863
0.329000,0.053977,0.000872
0.330000,0.052689,0.000884
0.331000,0.051417,0.000907
0.332000,0.050165,0.000911
0.333000,0.048939,0.000900
0.334000,0.047745,0.000914
0.335000,0.046583,0.000934
0.336000,0.045458,0.000952
0.337000,0.044376,0.000951
0.338000,0.043340,0.000962
0.339000,0.042354,0.000967
0.340000,0.041420,0.000983
0.341000,0.040534,0.000975
0.342000,0.039697,0.000990
0.343000,0.038912,0.000999
0.344000,0.038184,0.001009
0.345000,0.037509,0.001003
0.346000,0.036890,0.001016
0.347000,0.036328,0.001029
0.348000,0.035824,0.001036
0.349000,0.035380,0.001062
0.350000,0.034997,0.001075
0.351000,0.034678,0.001076
0.352000,0.034424,0.001039
0.353000,0.034240,0.001008
0.354000,0.034129,0.000975
0.355000,0.034091,0.000958
0.356000,0.034125,0.000936
0.357000,0.034232,0.000933
0.358000,0.034408,0.000943
0.358000,0.307382,0.000121
0.359000,0.309331,0.000121
0.360000,0.311289,0.000105
0.361000,0.313252,0.000078
0.362000,0.315218,0.000019
0.363000,0.317189,0.000056
0.364000,0.319165,0.000101
0.365000,0.321151,0.000142
0.366000,0.323147,0.000166
0.367000,0.325154,0.000158
0.368000,0.327173,0.000144
0.369000,0.329203,0.000138
0.370000,0.331245,0.000106
0.371000,0.333298,0.000073
0.372000,0.335364,0.000061
0.373000,0.337446,0.000080
0.374000,0.339541,0.000113
0.375000,0.341645,0.000152
0.376000,0.343758,0.000197
0.377000,0.345876,0.000243
0.378000,0.347997,0.000293
0.379000,0.350119,0.000354
0.380000,0.352245,0.000422
0.381000,0.354376,0.000487
0.382000,0.356511,0.000520
0.383000,0.358653,0.000568
0.384000,0.360800,0.000617
0.385000,0.362952,0.000656
0.386000,0.365110,0.000676
0.387000,0.367276,0.000690
0.388000,0.369451,0.000702
0.388000,0.182868,0.001155
0.389000,0.183226,0.001183
0.390000,0.183581,0.001216
0.391000,0.183933,0.001261
0.392000,0.184280,0.001285
0.393000,0.184624,0.001304
0.394000,0.184962,0.001307
0.395000,0.185294,0.001319
0.396000,0.185619,0.001349
0.397000,0.185935,0.001383
0.398000,0.186243,0.001427
0.399000,0.186540,0.001474
0.400000,0.186828,0.001502
0.401000,0.187110,0.001527
0.402000,0.187385,0.001569
0.402000,0.218522,0.000064
0.403000,0.219249,0.000099
0.404000,0.219974,0.000122
0.405000,0.220692,0.000148
0.406000,0.221401,0.000169
0.407000,0.222099,0.000183
0.408000,0.222789,0.000181
0.409000,0.223468,0.000205
0.410000,0.224139,0.000270
0.411000,0.224804,0.000329
0.412000,0.225455,0.000370
0.413000,0.226095,0.000396
0.414000,0.226725,0.000415
0.415000,0.227343,0.000426
0.416000,0.227946,0.000442
0.417000,0.228537,0.000431
0.418000,0.229121,0.000413
0.419000,0.229701,0.000380
0.420000,0.230277,0.000355
0.421000,0.230844,0.000356
0.422000,0.231402,0.000368
0.423000,0.231952,0.000364
0.424000,0.232496,0.000367
0.425000,0.233033,0.000361
0.426000,0.233561,0.000353
0.427000,0.234077,0.000336
0.428000,0.234577,0.000326
0.429000,0.235067,0.000335
0.430000,0.235551,0.000340
0.430000,0.104691,0.001334
0.431000,0.104150,0.001339
0.432000,0.103605,0.001341
0.433000,0.103059,0.001348
0.434000,0.102514,0.001368
0.435000,0.101968,0.001362
0.436000,0.101422,0.001377
0.437000,0.100877,0.001406
0.438000,0.100334,0.001446
0.439000,0.099791,0.001475
0.440000,0.099248,0.001473
0.441000,0.098707,0.001453
0.442000,0.098169,0.001447
0.443000,0.097632,0.001459
0.444000,0.097093,0.001506
0.445000,0.096549,0.001552
0.446000,0.096004,0.001567
0.447000,0.095457,0.001574
0.448000,0.094910,0.001585
0.449000,0.094365,0.001593
0.450000,0.093824,0.001605
0.451000,0.093283,0.001595
0.452000,0.092738,0.001610
0.453000,0.092185,0.001623
0.454000,0.091625,0.001609
0.455000,0.091060,0.001586
0.456000,0.090492,0.001574
0.457000,0.089919,0.001547
0.458000,0.089340,0.001556
0.459000,0.088758,0.001576
0.460000,0.088170,0.001614
0.461000,0.087574,0.001647
0.462000,0.086977,0.001698
0.463000,0.086383,0.001737
0.464000,0.085800,0.001785
0.465000,0.085227,0.001800
0.466000,0.084665,0.001814
0.467000,0.084111,0.001813
0.468000,0.083560,0.001803
0.469000,0.083012,0.001817
0.470000,0.082471,0.001838
0.471000,0.081937,0.001842
0.472000,0.081408,0.001842
0.473000,0.080882,0.001820
0.474000,0.080357,0.001797
0.475000,0.079833,0.001783
0.476000,0.079311,0.001771
0.477000,0.078790,0.001764
0.478000,0.078272,0.001753
0.479000,0.077757,0.001742
0.480000,0.077246,0.001725
0.481000,0.076741,0.001711
0.482000,0.076238,0.001682
0.482000,0.169311,0.004429
0.482000,0.137306,0.000142
0.483000,0.137657,0.000134
0.484000,0.138030,0.000139
0.485000,0.138425,0.000137
0.486000,0.138840,0.000152
0.487000,0.139271,0.000165
0.488000,0.139716,0.000200
0.489000,0.140173,0.000213
0.490000,0.140644,0.000231
0.491000,0.141129,0.000246
0.492000,0.141627,0.000252
0.493000,0.142142,0.000245
0.494000,0.142672,0.000255
0.495000,0.143214,0.000276
0.496000,0.143761,0.000296
0.497000,0.144313,0.000319
0.498000,0.144870,0.000352
0.499000,0.145430,0.000402
0.500000,0.145992,0.000414
0.501000,0.146558,0.000434
0.502000,0.147128,0.000455
0.503000,0.147701,0.000454
0.504000,0.148275,0.000442
0.505000,0.148857,0.000462
0.505000,0.312394,0.006611
0.506000,0.313688,0.006609
0.507000,0.314972,0.006614
0.508000,0.316240,0.006606
0.509000,0.317492,0.006588
0.510000,0.318733,0.006551
0.511000,0.319964,0.006511
0.512000,0.321189,0.006488
0.513000,0.322415,0.006473
0.514000,0.323639,0.006447
0.515000,0.324859,0.006412
0.516000,0.326078,0.006381
0.517000,0.327295,0.006357
0.518000,0.328513,0.006325
0.519000,0.329727,0.006292
0.520000,0.330932,0.006268
0.521000,0.332127,0.006249
0.522000,0.333315,0.006260
0.523000,0.334498,0.006281
0.524000,0.335676,0.006301
0.525000,0.336846,0.006323
