t,pos_err_mm,yaw_err_deg
0.048000,0.084301,0.001248
0.049000,0.086233,0.001283
0.050000,0.088158,0.001316
0.051000,0.090078,0.001343
0.052000,0.091992,0.001378
0.053000,0.093904,0.001441
0.054000,0.095816,0.001519
0.055000,0.097730,0.001584
0.056000,0.099639,0.001630
0.057000,0.101541,0.001686
0.058000,0.103438,0.001726
0.059000,0.105333,0.001774
0.060000,0.107225,0.001805
0.061000,0.109111,0.001836
0.062000,0.110991,0.001871
0.063000,0.112866,0.001906
0.064000,0.114742,0.001912
0.065000,0.116623,0.001929
0.066000,0.118511,0.001948
0.067000,0.120405,0.001955
0.068000,0.122303,0.001956
0.069000,0.124207,0.001949
0.070000,0.126116,0.001944
0.071000,0.128031,0.001945
0.072000,0.129954,0.001942
0.073000,0.131885,0.001909
0.074000,0.133821,0.001867
0.075000,0.135762,0.001829
0.076000,0.137707,0.001801
0.077000,0.139657,0.001778
0.078000,0.141612,0.001751
0.078000,1.372082,0.002346
0.079000,1.392236,0.002337
0.080000,1.412398,0.002339
0.081000,1.432567,0.002378
0.082000,1.452743,0.002406
0.083000,1.472923,0.002425
0.084000,1.493109,0.002436
0.085000,1.513304,0.002436
0.085000,0.753317,0.001997
0.086000,0.762721,0.001993
0.087000,0.772130,0.002014
0.088000,0.781545,0.002014
0.089000,0.790966,0.002004
0.090000,0.800393,0.001974
0.091000,0.809819,0.001947
0.092000,0.819241,0.001918
0.093000,0.828659,0.001903
0.094000,0.838076,0.001881
0.095000,0.847495,0.001852
0.096000,0.856918,0.001841
0.097000,0.866346,0.001847
0.098000,0.875783,0.001868
0.099000,0.885224,0.001868
0.100000,0.894667,0.001887
0.101000,0.904110,0.001919
0.102000,0.913553,0.001954
0.103000,0.922998,0.001987
0.104000,0.932444,0.002043
0.105000,0.941887,0.002107
0.106000,0.951325,0.002155
0.107000,0.960764,0.002164
0.108000,0.970208,0.002167
0.109000,0.979655,0.002205
0.110000,0.989100,0.002228
0.111000,0.998541,0.002251
0.112000,1.007980,0.002260
0.113000,1.017419,0.002259
0.114000,1.026856,0.002265
0.115000,1.036285,0.002250
0.116000,1.045705,0.002226
0.117000,1.055114,0.002175
0.118000,1.064513,0.002133
0.119000,1.073903,0.002091
0.120000,1.083286,0.002062
0.121000,1.092663,0.002044
0.122000,1.102035,0.002037
0.123000,1.111404,0.002024
0.123000,0.876897,0.002591
0.124000,0.883975,0.002561
0.125000,0.891056,0.002523
0.126000,0.898139,0.002474
0.127000,0.905226,0.002424
0.128000,0.912316,0.002364
0.129000,0.919403,0.002301
0.130000,0.926492,0.002240
0.131000,0.933584,0.002174
0.132000,0.940678,0.002129
0.133000,0.947773,0.002100
0.134000,0.954863,0.002060
0.135000,0.961946,0.002017
0.136000,0.969025,0.001959
0.137000,0.976101,0.001892
0.138000,0.983178,0.001817
0.139000,0.990261,0.001752
0.140000,0.997350,0.001713
0.140000,0.147341,0.000706
0.141000,0.147310,0.000663
0.142000,0.147288,0.000628
0.143000,0.147275,0.000606
0.144000,0.147271,0.000593
0.145000,0.147279,0.000574
0.146000,0.147293,0.000558
0.147000,0.147309,0.000552
0.148000,0.147324,0.000541
0.149000,0.147333,0.000534
0.150000,0.147336,0.000533
0.151000,0.147335,0.000529
0.152000,0.147330,0.000537
0.153000,0.147323,0.000542
0.154000,0.147321,0.000545
0.155000,0.147322,0.000559
0.156000,0.147324,0.000538
0.157000,0.147330,0.000548
0.158000,0.147340,0.000551
0.159000,0.147361,0.000567
0.160000,0.147395,0.000583
0.161000,0.147445,0.000609
0.162000,0.147507,0.000625
0.163000,0.147579,0.000648
0.164000,0.147662,0.000660
0.165000,0.147751,0.000665
0.166000,0.147845,0.000651
0.167000,0.147945,0.000628
0.168000,0.148054,0.000617
0.169000,0.148171,0.000591
0.170000,0.148297,0.000553
0.171000,0.148436,0.000529
0.172000,0.148586,0.000495
0.173000,0.148740,0.000469
0.174000,0.148893,0.000434
0.175000,0.149045,0.000391
0.176000,0.149194,0.000346
0.177000,0.149341,0.000304
0.178000,0.149487,0.000261
0.178000,0.213484,0.000345
0.179000,0.214589,0.000326
0.180000,0.215714,0.000309
0.181000,0.216859,0.000288
0.182000,0.218021,0.000272
0.183000,0.219193,0.000274
0.184000,0.220371,0.000241
0.185000,0.221555,0.000194
0.186000,0.222746,0.000150
0.187000,0.223944,0.000093
0.188000,0.225150,0.000055
0.189000,0.226364,0.000009
0.190000,0.227584,0.000044
0.191000,0.228808,0.000095
0.192000,0.230035,0.000143
0.193000,0.231265,0.000194
0.194000,0.232497,0.000247
0.195000,0.233730,0.000291
0.196000,0.234964,0.000326
0.197000,0.236196,0.000361
0.198000,0.237425,0.000379
0.199000,0.238652,0.000377
0.200000,0.239879,0.000393
0.201000,0.241108,0.000403
0.202000,0.242343,0.000409
0.203000,0.243585,0.000422
0.204000,0.244831,0.000449
0.204000,0.041219,0.000178
0.204000,0.180044,0.001591
0.205000,0.181658,0.001612
0.206000,0.183271,0.001654
0.207000,0.184883,0.001686
0.208000,0.186498,0.001727
0.209000,0.188117,0.001794
0.210000,0.189742,0.001833
0.211000,0.191375,0.001903
0.212000,0.193014,0.001952
0.213000,0.194657,0.001989
0.214000,0.196300,0.002014
0.215000,0.197942,0.002067
0.216000,0.199581,0.002125
