t,pos_err_mm,yaw_err_deg
0.026000,0.007382,0.000458
0.027000,0.007577,0.000453
0.028000,0.007772,0.000448
0.029000,0.007969,0.000485
0.030000,0.008173,0.000531
0.031000,0.008384,0.000589
0.032000,0.008599,0.000622
0.033000,0.008818,0.000650
0.034000,0.009036,0.000676
0.035000,0.009255,0.000701
0.036000,0.009478,0.000719
0.037000,0.009708,0.000737
0.038000,0.009946,0.000736
0.039000,0.010192,0.000726
0.040000,0.010451,0.000717
0.041000,0.010723,0.000708
0.042000,0.011009,0.000701
0.043000,0.011301,0.000683
0.044000,0.011595,0.000702
0.045000,0.011889,0.000714
0.046000,0.012180,0.000752
0.047000,0.012470,0.000780
0.048000,0.012756,0.000815
0.049000,0.013039,0.000849
0.050000,0.013315,0.000881
0.051000,0.013586,0.000908
0.052000,0.013852,0.000943
0.053000,0.014116,0.001005
0.054000,0.014379,0.001082
0.054000,0.448797,0.001249
0.055000,0.456690,0.001314
0.056000,0.464577,0.001360
0.057000,0.472456,0.001416
0.058000,0.480329,0.001455
0.059000,0.488195,0.001504
0.060000,0.496057,0.001535
0.061000,0.503912,0.001565
0.062000,0.511764,0.001601
0.063000,0.519615,0.001635
0.064000,0.527472,0.001641
0.065000,0.535334,0.001657
0.066000,0.543201,0.001677
0.067000,0.551071,0.001683
0.068000,0.558944,0.001685
0.069000,0.566819,0.001678
0.070000,0.574695,0.001672
0.071000,0.582571,0.001674
0.072000,0.590451,0.001670
0.073000,0.598332,0.001637
0.074000,0.606216,0.001594
0.075000,0.614103,0.001556
0.076000,0.621997,0.001529
0.077000,0.629900,0.001505
0.078000,0.637813,0.001478
0.078000,0.410772,0.001134
0.079000,0.415903,0.001124
0.080000,0.421038,0.001123
0.081000,0.426181,0.001160
0.082000,0.431329,0.001187
0.083000,0.436479,0.001203
0.084000,0.441631,0.001213
0.085000,0.446787,0.001211
0.086000,0.451947,0.001205
0.087000,0.457111,0.001225
0.088000,0.462281,0.001224
0.089000,0.467456,0.001212
0.090000,0.472635,0.001180
0.091000,0.477815,0.001152
0.092000,0.482989,0.001122
0.093000,0.488159,0.001105
0.094000,0.493328,0.001082
0.095000,0.498498,0.001051
0.096000,0.503671,0.001039
0.097000,0.508850,0.001043
0.098000,0.514037,0.001063
0.099000,0.519228,0.001062
0.100000,0.524420,0.001079
0.101000,0.529612,0.001110
0.102000,0.534804,0.001144
0.103000,0.539997,0.001175
0.103000,0.535132,0.001553
0.104000,0.540251,0.001609
0.105000,0.545367,0.001672
0.106000,0.550477,0.001719
0.107000,0.555587,0.001727
0.108000,0.560702,0.001729
0.109000,0.565820,0.001766
0.110000,0.570935,0.001788
0.111000,0.576045,0.001810
0.112000,0.581152,0.001818
0.113000,0.586259,0.001816
0.114000,0.591362,0.001821
0.115000,0.596457,0.001805
0.116000,0.601542,0.001780
0.117000,0.606615,0.001728
0.118000,0.611677,0.001684
0.119000,0.616731,0.001642
0.120000,0.621776,0.001612
0.121000,0.626813,0.001593
0.122000,0.631845,0.001585
