t,pos_err_mm,yaw_err_deg
0.027000,0.007711,0.000453
0.028000,0.007917,0.000448
0.029000,0.008127,0.000485
0.030000,0.008344,0.000532
0.031000,0.008568,0.000589
0.032000,0.008796,0.000622
0.033000,0.009029,0.000650
0.034000,0.009262,0.000676
0.035000,0.009496,0.000701
0.036000,0.009734,0.000719
0.037000,0.009979,0.000737
0.038000,0.010232,0.000736
0.039000,0.010494,0.000726
0.040000,0.010768,0.000717
0.041000,0.011056,0.000708
0.042000,0.011359,0.000701
0.043000,0.011667,0.000683
0.044000,0.011978,0.000702
0.045000,0.012288,0.000714
0.046000,0.012597,0.000752
0.047000,0.012903,0.000780
0.048000,0.013207,0.000815
0.049000,0.013507,0.000849
0.050000,0.013802,0.000882
0.051000,0.014092,0.000908
0.052000,0.014378,0.000943
0.052000,0.433481,0.001109
0.053000,0.441399,0.001171
0.054000,0.449318,0.001249
0.055000,0.457235,0.001314
0.056000,0.465148,0.001360
0.057000,0.473054,0.001416
0.058000,0.480953,0.001455
0.059000,0.488848,0.001504
0.060000,0.496737,0.001535
0.061000,0.504620,0.001565
0.062000,0.512501,0.001601
0.063000,0.520382,0.001635
0.064000,0.528269,0.001641
0.065000,0.536162,0.001657
0.066000,0.544060,0.001677
0.067000,0.551963,0.001683
0.068000,0.559867,0.001685
0.069000,0.567776,0.001678
0.070000,0.575684,0.001673
0.071000,0.583595,0.001674
0.072000,0.591508,0.001670
0.073000,0.599425,0.001637
0.074000,0.607344,0.001595
0.075000,0.615266,0.001556
0.076000,0.623196,0.001529
0.077000,0.631137,0.001505
0.078000,0.639087,0.001478
0.079000,0.647046,0.001468
0.079000,0.420390,0.001125
0.080000,0.425600,0.001124
0.081000,0.430818,0.001162
0.082000,0.436041,0.001188
0.083000,0.441267,0.001204
0.084000,0.446497,0.001214
0.085000,0.451730,0.001212
0.086000,0.456968,0.001207
0.087000,0.462211,0.001226
0.088000,0.467460,0.001225
0.089000,0.472716,0.001213
0.090000,0.477976,0.001182
0.091000,0.483236,0.001154
0.092000,0.488493,0.001124
0.093000,0.493745,0.001107
0.094000,0.498996,0.001083
0.095000,0.504250,0.001052
0.096000,0.509507,0.001041
0.097000,0.514769,0.001045
0.098000,0.520041,0.001064
0.099000,0.525317,0.001064
0.100000,0.530595,0.001081
0.101000,0.535873,0.001112
0.102000,0.541151,0.001145
0.103000,0.546432,0.001176
0.104000,0.551714,0.001232
0.105000,0.556992,0.001294
0.105000,0.550299,0.001670
0.106000,0.555482,0.001717
0.107000,0.560666,0.001724
0.108000,0.565854,0.001726
0.109000,0.571047,0.001763
0.110000,0.576236,0.001785
0.111000,0.581421,0.001807
0.112000,0.586604,0.001816
0.113000,0.591787,0.001813
0.114000,0.596966,0.001818
0.115000,0.602138,0.001803
0.116000,0.607299,0.001777
0.117000,0.612450,0.001725
0.118000,0.617589,0.001682
0.119000,0.622720,0.001640
0.120000,0.627843,0.001609
0.121000,0.632959,0.001590
0.122000,0.638069,0.001582
0.123000,0.643177,0.001568
0.124000,0.648284,0.001536
0.125000,0.653393,0.001497
0.126000,0.658505,0.001445
0.127000,0.663622,0.001393
0.128000,0.668741,0.001331
0.129000,0.673859,0.001265
0.130000,0.678978,0.001203
0.131000,0.684100,0.001135
0.131000,0.222429,0.000569
0.132000,0.224067,0.000521
0.133000,0.225705,0.000489
0.134000,0.227339,0.000446
0.135000,0.228967,0.000400
0.136000,0.230590,0.000339
0.137000,0.232211,0.000269
0.138000,0.233834,0.000191
0.139000,0.235462,0.000123
0.140000,0.237096,0.000082
0.141000,0.238741,0.000038
0.142000,0.240394,0.000003
0.143000,0.242054,0.000018
0.144000,0.243723,0.000032
0.145000,0.245401,0.000051
0.146000,0.247086,0.000067
0.147000,0.248773,0.000074
0.148000,0.250457,0.000085
0.149000,0.252134,0.000092
0.150000,0.253805,0.000094
0.151000,0.255471,0.000098
0.152000,0.257134,0.000090
0.153000,0.258795,0.000086
0.153000,0.200669,0.000127
0.154000,0.201936,0.000130
0.155000,0.203214,0.000143
0.156000,0.204495,0.000122
0.157000,0.205779,0.000131
0.158000,0.207067,0.000134
0.159000,0.208363,0.000149
0.160000,0.209671,0.000165
0.161000,0.210993,0.000190
