t,pos_err_mm,yaw_err_deg
0.503000,0.000089,0.000033
0.504000,0.000088,0.000019
0.505000,0.000097,0.000036
0.506000,0.000120,0.000059
0.507000,0.000157,0.000075
0.508000,0.000214,0.000104
0.509000,0.000289,0.000142
0.510000,0.000378,0.000200
0.511000,0.000480,0.000261
0.512000,0.000592,0.000305
0.513000,0.000708,0.000342
0.514000,0.000830,0.000388
0.515000,0.000960,0.000444
0.516000,0.001094,0.000496
0.517000,0.001231,0.000542
0.518000,0.001371,0.000594
0.519000,0.001514,0.000649
0.520000,0.001666,0.000694
0.521000,0.001828,0.000734
0.522000,0.001995,0.000744
0.523000,0.002166,0.000744
0.524000,0.002342,0.000746
0.525000,0.002527,0.000746
0.526000,0.002722,0.000732
0.527000,0.002927,0.000699
0.528000,0.003137,0.000681
0.529000,0.003352,0.000678
0.530000,0.003567,0.000666
0.531000,0.003780,0.000655
0.532000,0.003989,0.000660
0.533000,0.004192,0.000652
0.534000,0.004392,0.000658
0.535000,0.004589,0.000663
0.536000,0.004782,0.000643
0.537000,0.004968,0.000627
0.538000,0.005142,0.000619
0.539000,0.005308,0.000625
0.540000,0.005470,0.000620
0.541000,0.005629,0.000639
0.542000,0.005785,0.000651
0.543000,0.005938,0.000667
0.544000,0.006085,0.000699
0.545000,0.006226,0.000739
0.546000,0.006360,0.000771
0.547000,0.006486,0.000802
0.548000,0.006601,0.000824
0.549000,0.006703,0.000855
0.550000,0.006787,0.000880
0.551000,0.006859,0.000912
0.552000,0.006924,0.000920
0.553000,0.006987,0.000913
0.554000,0.007052,0.000903
0.555000,0.007121,0.000883
0.556000,0.007198,0.000857
0.557000,0.007278,0.000840
0.558000,0.007360,0.000822
0.559000,0.007442,0.000822
0.560000,0.007527,0.000830
0.561000,0.007613,0.000839
0.562000,0.007698,0.000834
0.563000,0.007782,0.000832
0.564000,0.007860,0.000830
0.565000,0.007931,0.000830
0.566000,0.007998,0.000821
0.567000,0.008061,0.000811
0.568000,0.008115,0.000790
0.569000,0.008158,0.000767
0.570000,0.008193,0.000740
0.571000,0.008223,0.000716
0.572000,0.008252,0.000686
0.573000,0.008277,0.000640
0.574000,0.008301,0.000567
0.575000,0.008327,0.000502
0.576000,0.008359,0.000456
0.577000,0.008396,0.000403
0.578000,0.008435,0.000351
0.579000,0.008481,0.000320
0.580000,0.008531,0.000302
0.581000,0.008582,0.000313
0.582000,0.008633,0.000320
0.583000,0.008682,0.000316
0.584000,0.008733,0.000293
0.585000,0.008785,0.000282
0.586000,0.008838,0.000290
0.587000,0.008889,0.000272
0.588000,0.008937,0.000262
0.589000,0.008984,0.000240
0.590000,0.009032,0.000237
0.591000,0.009079,0.000230
0.592000,0.009123,0.000211
0.593000,0.009162,0.000213
0.594000,0.009201,0.000212
0.595000,0.009243,0.000206
0.596000,0.009290,0.000185
0.597000,0.009339,0.000164
0.598000,0.009392,0.000120
0.599000,0.009451,0.000093
0.600000,0.009515,0.000063
0.601000,0.009583,0.000032
