t,pos_err_mm,yaw_err_deg
0.026000,0.007464,0.000458
0.027000,0.007666,0.000453
0.028000,0.007868,0.000448
0.029000,0.008074,0.000485
0.030000,0.008287,0.000531
0.031000,0.008505,0.000589
0.032000,0.008729,0.000622
0.033000,0.008957,0.000650
0.034000,0.009185,0.000676
0.035000,0.009413,0.000701
0.036000,0.009646,0.000719
0.037000,0.009886,0.000737
0.038000,0.010133,0.000736
0.039000,0.010390,0.000726
0.040000,0.010659,0.000717
0.041000,0.010941,0.000708
0.042000,0.011238,0.000701
0.043000,0.011540,0.000683
0.044000,0.011845,0.000702
0.045000,0.012149,0.000714
0.046000,0.012452,0.000752
0.047000,0.012752,0.000780
0.048000,0.013050,0.000815
0.049000,0.013344,0.000849
0.050000,0.013632,0.000881
0.051000,0.013915,0.000908
0.052000,0.014194,0.000943
0.053000,0.014471,0.001005
0.053000,0.441178,0.001171
0.054000,0.449085,0.001249
0.055000,0.456991,0.001314
0.056000,0.464893,0.001360
0.057000,0.472787,0.001416
0.058000,0.480675,0.001455
0.059000,0.488557,0.001504
0.060000,0.496433,0.001535
0.061000,0.504305,0.001565
0.062000,0.512173,0.001601
0.063000,0.520041,0.001635
0.064000,0.527914,0.001641
0.065000,0.535794,0.001657
0.066000,0.543679,0.001677
0.067000,0.551567,0.001683
0.068000,0.559457,0.001685
0.069000,0.567351,0.001678
0.070000,0.575245,0.001672
0.071000,0.583140,0.001674
0.072000,0.591038,0.001670
0.073000,0.598939,0.001637
0.074000,0.606843,0.001594
0.075000,0.614749,0.001556
0.076000,0.622663,0.001529
0.077000,0.630586,0.001505
0.078000,0.638520,0.001478
0.079000,0.646461,0.001468
0.079000,0.416355,0.001124
0.080000,0.421507,0.001123
0.081000,0.426667,0.001160
0.082000,0.431832,0.001187
0.083000,0.437000,0.001203
0.084000,0.442171,0.001213
0.085000,0.447345,0.001211
0.086000,0.452523,0.001205
0.087000,0.457707,0.001225
0.088000,0.462896,0.001224
0.089000,0.468091,0.001212
0.090000,0.473291,0.001180
0.091000,0.478490,0.001152
0.092000,0.483686,0.001122
0.093000,0.488877,0.001105
0.094000,0.494067,0.001082
0.095000,0.499259,0.001051
0.096000,0.504454,0.001039
0.097000,0.509655,0.001043
0.098000,0.514864,0.001063
0.099000,0.520078,0.001062
0.100000,0.525293,0.001079
0.101000,0.530508,0.001110
0.102000,0.535723,0.001144
0.103000,0.540941,0.001175
0.103000,0.535792,0.001553
0.104000,0.540933,0.001609
0.105000,0.546071,0.001672
0.106000,0.551203,0.001719
0.107000,0.556336,0.001727
0.108000,0.561473,0.001729
0.109000,0.566614,0.001766
0.110000,0.571752,0.001788
0.111000,0.576886,0.001810
0.112000,0.582016,0.001818
0.113000,0.587147,0.001816
0.114000,0.592274,0.001821
0.115000,0.597394,0.001805
0.116000,0.602503,0.001780
0.117000,0.607601,0.001728
0.118000,0.612688,0.001684
0.119000,0.617766,0.001642
0.120000,0.622836,0.001612
0.121000,0.627899,0.001593
0.122000,0.632957,0.001585
0.123000,0.638011,0.001571
0.124000,0.643065,0.001539
0.125000,0.648121,0.001500
0.126000,0.653179,0.001448
0.127000,0.658243,0.001395
0.128000,0.663308,0.001334
0.129000,0.668372,0.001268
0.130000,0.673436,0.001205
0.130000,0.203433,0.000630
0.131000,0.204925,0.000561
0.132000,0.206420,0.000513
0.133000,0.207916,0.000481
0.134000,0.209408,0.000439
0.135000,0.210894,0.000393
0.136000,0.212375,0.000331
0.137000,0.213853,0.000261
0.138000,0.215333,0.000183
0.139000,0.216818,0.000115
0.140000,0.218310,0.000074
0.141000,0.219811,0.000030
0.142000,0.221320,0.000005
0.143000,0.222837,0.000026
0.144000,0.224362,0.000040
0.145000,0.225896,0.000059
0.146000,0.227437,0.000076
0.147000,0.228979,0.000082
0.148000,0.230518,0.000094
0.149000,0.232050,0.000101
0.150000,0.233576,0.000102
0.151000,0.235097,0.000106
0.152000,0.236613,0.000099
0.153000,0.238127,0.000095
0.154000,0.239647,0.000091
0.155000,0.241168,0.000079
0.156000,0.242690,0.000099
0.157000,0.244215,0.000090
0.158000,0.245744,0.000087
0.158000,0.194506,0.000123
0.159000,0.195703,0.000138
0.160000,0.196912,0.000154
0.161000,0.198134,0.000179
0.162000,0.199365,0.000194
0.163000,0.200605,0.000217
0.164000,0.201855,0.000229
0.165000,0.203112,0.000234
0.166000,0.204374,0.000219
0.167000,0.205639,0.000196
0.168000,0.206905,0.000184
0.169000,0.208172,0.000157
0.170000,0.209436,0.000119
0.171000,0.210699,0.000094
0.172000,0.211959,0.000060
0.173000,0.213213,0.000033
0.174000,0.214463,0.000002
0.175000,0.215710,0.000045
0.176000,0.216954,0.000091
0.177000,0.218197,0.000134
0.178000,0.219445,0.000178
0.178000,0.115892,0.000270
0.179000,0.116580,0.000288
0.180000,0.117269,0.000304
0.181000,0.117959,0.000325
0.182000,0.118653,0.000340
0.183000,0.119348,0.000338
0.184000,0.120038,0.000370
0.185000,0.120724,0.000416
0.186000,0.121402,0.000459
0.187000,0.122069,0.000516
0.188000,0.122726,0.000554
0.189000,0.123371,0.000599
0.190000,0.124006,0.000652
0.191000,0.124637,0.000702
0.192000,0.125266,0.000749
0.193000,0.125894,0.000800
0.194000,0.126520,0.000852
0.195000,0.127146,0.000895
0.196000,0.127773,0.000929
0.197000,0.128401,0.000964
0.198000,0.129033,0.000982
0.199000,0.129668,0.000979
0.200000,0.130304,0.000994
0.201000,0.130936,0.001004
0.202000,0.131564,0.001010
0.203000,0.132193,0.001021
0.204000,0.132830,0.001048
0.204000,0.116208,0.001233
0.205000,0.116771,0.001250
0.206000,0.117338,0.001289
0.207000,0.117911,0.001317
0.208000,0.118489,0.001355
0.209000,0.119073,0.001418
0.210000,0.119665,0.001454
0.211000,0.120264,0.001521
0.212000,0.120867,0.001566
0.213000,0.121474,0.001599
0.214000,0.122083,0.001621
0.215000,0.122690,0.001670
0.216000,0.123296,0.001725
0.217000,0.123900,0.001777
0.218000,0.124504,0.001818
0.219000,0.125113,0.001813
0.220000,0.125728,0.001843
0.221000,0.126353,0.001868
0.222000,0.126988,0.001896
0.223000,0.127634,0.001925
0.224000,0.128291,0.001940
0.225000,0.128957,0.001920
0.226000,0.129631,0.001890
0.227000,0.130314,0.001837
0.228000,0.131005,0.001809
0.229000,0.131705,0.001775
0.229000,0.342008,0.001197
0.230000,0.343488,0.001161
0.231000,0.344971,0.001140
0.232000,0.346457,0.001122
0.233000,0.347947,0.001098
0.234000,0.349442,0.001075
0.235000,0.350939,0.001042
0.236000,0.352436,0.001043
0.237000,0.353932,0.001015
0.238000,0.355427,0.000984
0.239000,0.356921,0.000950
0.240000,0.358416,0.000893
0.241000,0.359915,0.000845
0.242000,0.361419,0.000784
0.243000,0.362927,0.000746
0.244000,0.364444,0.000734
0.245000,0.365968,0.000717
0.246000,0.367498,0.000694
0.247000,0.369029,0.000691
0.248000,0.370563,0.000708
0.249000,0.372096,0.000715
0.250000,0.373630,0.000719
0.251000,0.375167,0.000727
0.252000,0.376703,0.000737
0.253000,0.378238,0.000715
0.254000,0.379769,0.000691
0.255000,0.381292,0.000682
0.255000,0.618434,0.001841
0.256000,0.621215,0.001855
0.257000,0.623987,0.001870
0.258000,0.626753,0.001881
0.259000,0.629515,0.001885
0.260000,0.632275,0.001901
0.261000,0.635032,0.001903
0.262000,0.637786,0.001875
0.263000,0.640539,0.001850
0.264000,0.643289,0.001829
0.265000,0.646038,0.001808
0.266000,0.648786,0.001775
0.267000,0.651535,0.001758
0.268000,0.654283,0.001744
0.269000,0.657028,0.001740
0.270000,0.659768,0.001747
0.271000,0.662506,0.001746
0.272000,0.665241,0.001746
0.273000,0.667972,0.001727
0.274000,0.670698,0.001704
0.275000,0.673419,0.001698
0.276000,0.676133,0.001713
0.277000,0.678842,0.001724
0.278000,0.681552,0.001726
0.279000,0.684265,0.001736
0.279000,0.414887,0.000428
0.280000,0.416460,0.000426
0.281000,0.418036,0.000433
0.282000,0.419617,0.000449
0.283000,0.421204,0.000454
0.284000,0.422800,0.000456
0.285000,0.424405,0.000456
0.286000,0.426021,0.000432
0.287000,0.427646,0.000415
0.288000,0.429281,0.000414
0.289000,0.430929,0.000418
0.290000,0.432587,0.000433
0.291000,0.434254,0.000445
0.292000,0.435931,0.000451
0.293000,0.437618,0.000456
0.294000,0.439311,0.000456
0.295000,0.441010,0.000438
0.296000,0.442717,0.000437
0.297000,0.444431,0.000455
0.298000,0.446152,0.000456
0.299000,0.447880,0.000460
0.300000,0.449612,0.000463
0.301000,0.451353,0.000455
0.302000,0.453106,0.000446
0.303000,0.454870,0.000415
0.303000,0.383921,0.000362
0.304000,0.385646,0.000377
0.305000,0.387383,0.000389
0.306000,0.389136,0.000400
0.307000,0.390907,0.000389
0.308000,0.392691,0.000379
0.309000,0.394486,0.000382
0.310000,0.396290,0.000386
0.311000,0.398100,0.000388
0.312000,0.399912,0.000396
0.313000,0.401724,0.000377
0.314000,0.403533,0.000381
0.315000,0.405337,0.000397
0.316000,0.407132,0.000415
0.317000,0.408917,0.000448
0.318000,0.410687,0.000470
0.319000,0.412444,0.000494
0.320000,0.414189,0.000531
0.321000,0.415923,0.000554
0.322000,0.417647,0.000574
0.323000,0.419362,0.000595
0.324000,0.421066,0.000612
0.325000,0.422755,0.000622
0.326000,0.424430,0.000645
0.327000,0.426093,0.000660
0.328000,0.427743,0.000682
0.329000,0.429380,0.000696
0.329000,0.317617,0.000551
0.330000,0.318740,0.000568
0.331000,0.319855,0.000595
0.332000,0.320963,0.000605
0.333000,0.322068,0.000598
0.334000,0.323172,0.000618
0.335000,0.324275,0.000643
0.336000,0.325381,0.000665
0.337000,0.326493,0.000669
0.338000,0.327612,0.000685
0.339000,0.328739,0.000695
0.340000,0.329873,0.000716
0.341000,0.331010,0.000712
0.342000,0.332148,0.000733
0.343000,0.333287,0.000747
0.344000,0.334426,0.000762
0.345000,0.335566,0.000761
0.346000,0.336705,0.000778
0.347000,0.337843,0.000796
0.348000,0.338982,0.000808
0.349000,0.340123,0.000839
0.350000,0.341265,0.000857
0.351000,0.342402,0.000863
0.352000,0.343536,0.000831
0.353000,0.344669,0.000805
0.354000,0.345804,0.000777
0.354000,0.369863,0.000052
0.355000,0.370985,0.000067
0.356000,0.372111,0.000085
0.357000,0.373244,0.000085
0.358000,0.374384,0.000073
0.359000,0.375532,0.000067
0.360000,0.376690,0.000076
0.361000,0.377854,0.000097
0.362000,0.379023,0.000149
0.363000,0.380196,0.000218
0.364000,0.381375,0.000257
0.365000,0.382560,0.000292
0.366000,0.383756,0.000310
0.367000,0.384963,0.000296
0.368000,0.386182,0.000275
0.369000,0.387414,0.000263
0.370000,0.388661,0.000225
0.371000,0.389923,0.000185
0.372000,0.391202,0.000167
0.373000,0.392502,0.000180
0.374000,0.393822,0.000207
0.375000,0.395156,0.000239
0.376000,0.396504,0.000278
0.377000,0.397861,0.000318
0.378000,0.399221,0.000362
0.378000,0.340371,0.000786
0.379000,0.341788,0.000840
0.380000,0.343211,0.000903
0.381000,0.344638,0.000962
0.382000,0.346070,0.000989
0.383000,0.347506,0.001032
0.384000,0.348943,0.001075
0.385000,0.350379,0.001108
0.386000,0.351816,0.001123
0.387000,0.353255,0.001131
0.388000,0.354692,0.001137
0.389000,0.356125,0.001158
0.390000,0.357557,0.001185
0.391000,0.358984,0.001224
0.392000,0.360409,0.001240
0.393000,0.361831,0.001253
0.394000,0.363247,0.001249
0.395000,0.364658,0.001254
0.396000,0.366063,0.001277
0.397000,0.367459,0.001305
0.398000,0.368846,0.001342
0.399000,0.370224,0.001382
0.400000,0.371593,0.001404
0.401000,0.372955,0.001422
0.402000,0.374311,0.001457
0.403000,0.375663,0.001491
0.403000,0.324183,0.000206
0.404000,0.325347,0.000225
0.405000,0.326500,0.000248
0.406000,0.327636,0.000265
0.407000,0.328755,0.000275
0.408000,0.329861,0.000270
0.409000,0.330956,0.000290
0.410000,0.332044,0.000351
0.411000,0.333129,0.000406
0.412000,0.334207,0.000444
0.413000,0.335276,0.000466
0.414000,0.336337,0.000481
0.415000,0.337390,0.000489
0.416000,0.338433,0.000501
0.417000,0.339465,0.000486
0.418000,0.340491,0.000464
0.419000,0.341515,0.000428
0.420000,0.342537,0.000399
0.421000,0.343554,0.000396
0.422000,0.344567,0.000404
0.423000,0.345578,0.000397
0.424000,0.346589,0.000396
0.425000,0.347600,0.000386
0.426000,0.348609,0.000374
0.427000,0.349612,0.000354
0.428000,0.350605,0.000340
0.429000,0.351591,0.000346
0.430000,0.352575,0.000347
0.430000,0.295982,0.001088
0.431000,0.296885,0.001087
0.432000,0.297787,0.001083
0.433000,0.298690,0.001083
0.434000,0.299597,0.001098
0.435000,0.300504,0.001085
0.436000,0.301410,0.001094
0.437000,0.302318,0.001118
0.438000,0.303227,0.001151
0.439000,0.304134,0.001174
0.440000,0.305039,0.001166
0.441000,0.305946,0.001140
0.442000,0.306855,0.001128
