t,pos_err_mm,yaw_err_deg
0.027000,0.007666,0.000415
0.028000,0.007868,0.000409
0.029000,0.008074,0.000445
0.030000,0.008287,0.000490
0.031000,0.008505,0.000546
0.032000,0.008730,0.000577
0.033000,0.008957,0.000604
0.034000,0.009185,0.000629
0.035000,0.009413,0.000652
0.036000,0.009646,0.000669
0.037000,0.009886,0.000686
0.038000,0.010133,0.000683
0.039000,0.010390,0.000672
0.040000,0.010659,0.000662
0.041000,0.010941,0.000652
0.042000,0.011238,0.000643
0.043000,0.011540,0.000623
0.044000,0.011845,0.000641
0.045000,0.012149,0.000651
0.046000,0.012452,0.000688
0.047000,0.012752,0.000714
0.048000,0.013050,0.000748
0.049000,0.013344,0.000782
0.050000,0.013632,0.000813
0.051000,0.013915,0.000838
0.052000,0.014195,0.000871
0.053000,0.014471,0.000932
0.053000,0.441178,0.001099
0.054000,0.449085,0.001176
0.055000,0.456991,0.001240
0.056000,0.464893,0.001285
0.057000,0.472787,0.001340
0.058000,0.480675,0.001378
0.059000,0.488557,0.001425
0.060000,0.496433,0.001454
0.061000,0.504305,0.001484
0.062000,0.512173,0.001518
0.063000,0.520041,0.001551
0.064000,0.527914,0.001555
0.065000,0.535794,0.001571
0.066000,0.543679,0.001589
0.067000,0.551567,0.001594
0.068000,0.559457,0.001594
0.069000,0.567351,0.001585
0.070000,0.575245,0.001579
0.071000,0.583140,0.001578
0.072000,0.591038,0.001574
0.073000,0.598939,0.001539
0.074000,0.606843,0.001495
0.075000,0.614749,0.001455
0.076000,0.622663,0.001426
0.077000,0.630586,0.001400
0.078000,0.638520,0.001372
0.078000,0.411205,0.001027
0.079000,0.416352,0.001015
0.080000,0.421504,0.001013
0.081000,0.426664,0.001049
0.082000,0.431829,0.001074
0.083000,0.436997,0.001089
0.084000,0.442168,0.001098
0.085000,0.447342,0.001094
0.086000,0.452520,0.001087
0.087000,0.457704,0.001106
0.088000,0.462893,0.001103
0.089000,0.468088,0.001089
0.090000,0.473288,0.001056
0.091000,0.478487,0.001027
0.092000,0.483682,0.000995
0.093000,0.488874,0.000977
0.094000,0.494064,0.000951
0.095000,0.499256,0.000919
0.096000,0.504451,0.000906
0.097000,0.509651,0.000908
0.098000,0.514860,0.000927
0.099000,0.520074,0.000925
0.100000,0.525289,0.000940
0.101000,0.530505,0.000970
0.102000,0.535720,0.001003
0.103000,0.540937,0.001032
0.103000,0.535790,0.001413
0.104000,0.540931,0.001468
0.105000,0.546069,0.001529
0.106000,0.551202,0.001576
0.107000,0.556334,0.001581
0.108000,0.561472,0.001582
0.109000,0.566612,0.001618
0.110000,0.571750,0.001638
0.111000,0.576884,0.001659
0.112000,0.582015,0.001666
0.113000,0.587145,0.001663
0.114000,0.592273,0.001666
0.115000,0.597392,0.001649
0.116000,0.602501,0.001622
0.117000,0.607599,0.001568
0.118000,0.612686,0.001523
0.119000,0.617764,0.001479
0.120000,0.622835,0.001447
0.121000,0.627898,0.001427
0.122000,0.632955,0.001418
0.123000,0.638010,0.001402
0.124000,0.643064,0.001368
0.125000,0.648119,0.001328
0.126000,0.653178,0.001274
0.127000,0.658241,0.001220
0.128000,0.663306,0.001157
0.129000,0.668370,0.001089
0.129000,0.201942,0.000514
0.130000,0.203431,0.000448
0.131000,0.204923,0.000378
0.132000,0.206418,0.000328
0.133000,0.207914,0.000295
0.134000,0.209406,0.000251
0.135000,0.210892,0.000203
0.136000,0.212373,0.000140
0.137000,0.213851,0.000068
0.138000,0.215331,0.000012
0.139000,0.216816,0.000082
0.140000,0.218308,0.000124
0.141000,0.219809,0.000170
0.142000,0.221318,0.000206
0.143000,0.222835,0.000229
0.144000,0.224360,0.000244
0.145000,0.225894,0.000265
0.146000,0.227435,0.000283
0.147000,0.228977,0.000291
0.148000,0.230516,0.000304
0.149000,0.232048,0.000313
0.150000,0.233574,0.000315
0.151000,0.235095,0.000321
0.152000,0.236611,0.000315
0.153000,0.238125,0.000312
0.154000,0.239644,0.000311
0.155000,0.241166,0.000299
0.155000,0.190945,0.000085
0.156000,0.192129,0.000107
0.157000,0.193316,0.000100
0.158000,0.194506,0.000098
0.159000,0.195703,0.000084
0.160000,0.196912,0.000070
0.161000,0.198134,0.000046
0.162000,0.199365,0.000032
0.163000,0.200606,0.000010
0.164000,0.201855,0.000000
0.165000,0.203112,0.000003
0.166000,0.204375,0.000013
0.167000,0.205639,0.000038
0.168000,0.206906,0.000051
0.169000,0.208173,0.000079
0.170000,0.209437,0.000119
0.171000,0.210699,0.000145
0.172000,0.211959,0.000182
0.173000,0.213214,0.000210
0.174000,0.214463,0.000247
0.175000,0.215710,0.000291
0.176000,0.216954,0.000338
0.177000,0.218198,0.000383
0.178000,0.219445,0.000428
0.179000,0.220700,0.000449
0.179000,0.116582,0.000537
0.180000,0.117270,0.000555
0.181000,0.117961,0.000578
0.182000,0.118655,0.000594
0.183000,0.119349,0.000593
0.184000,0.120040,0.000627
0.185000,0.120726,0.000675
0.186000,0.121404,0.000719
0.187000,0.122071,0.000778
0.188000,0.122728,0.000817
0.189000,0.123373,0.000864
0.190000,0.124008,0.000918
0.191000,0.124639,0.000970
0.192000,0.125268,0.001019
0.193000,0.125896,0.001071
0.194000,0.126523,0.001125
0.195000,0.127149,0.001170
0.196000,0.127775,0.001206
0.197000,0.128404,0.001242
0.198000,0.129036,0.001261
0.199000,0.129671,0.001259
0.200000,0.130306,0.001277
0.201000,0.130938,0.001288
0.202000,0.131566,0.001295
0.203000,0.132196,0.001308
0.203000,0.115651,0.001485
0.204000,0.116211,0.001514
0.205000,0.116775,0.001533
0.206000,0.117342,0.001573
0.207000,0.117914,0.001602
0.208000,0.118493,0.001642
0.209000,0.119077,0.001707
0.210000,0.119669,0.001744
0.211000,0.120268,0.001812
