t,pos_err_mm,yaw_err_deg
0.030000,0.132821,0.014930
0.031000,0.141517,0.015373
0.032000,0.150496,0.015840
0.033000,0.159756,0.016312
0.034000,0.169293,0.016786
0.035000,0.179109,0.017261
0.036000,0.189207,0.017743
0.037000,0.199591,0.018225
0.038000,0.210261,0.018726
0.039000,0.221218,0.019235
0.040000,0.232466,0.019744
0.041000,0.244004,0.020253
0.042000,0.255834,0.020760
0.043000,0.267947,0.021278
0.044000,0.280342,0.021759
0.045000,0.293015,0.022247
0.046000,0.305965,0.022709
0.047000,0.319191,0.023181
0.048000,0.332691,0.023646
0.049000,0.346464,0.024112
0.050000,0.360509,0.024579
0.051000,0.374824,0.025053
0.052000,0.389412,0.025518
0.053000,0.404274,0.025956
0.053000,0.647376,0.025595
0.054000,0.665976,0.026017
0.055000,0.684840,0.026451
0.056000,0.703966,0.026903
0.057000,0.723351,0.027347
0.058000,0.742995,0.027807
0.059000,0.762902,0.028258
0.060000,0.783072,0.028726
0.061000,0.803505,0.029194
0.062000,0.824200,0.029658
0.063000,0.845163,0.030123
0.064000,0.866398,0.030616
0.065000,0.887908,0.031099
0.066000,0.909694,0.031579
0.067000,0.931756,0.032071
0.068000,0.954090,0.032569
0.069000,0.976700,0.033075
0.070000,0.999583,0.033580
0.071000,1.022741,0.034078
0.072000,1.046176,0.034581
0.073000,1.069888,0.035113
0.074000,1.093876,0.035655
0.075000,1.118141,0.036192
0.076000,1.142684,0.036719
0.077000,1.167507,0.037242
0.078000,1.192611,0.037768
0.079000,1.217996,0.038277
0.079000,0.876371,0.038426
0.080000,0.898362,0.038925
0.081000,0.920636,0.039386
0.082000,0.943194,0.039857
0.083000,0.966029,0.040339
0.084000,0.989143,0.040828
0.085000,1.012536,0.041328
0.086000,1.036206,0.041831
0.087000,1.060158,0.042310
0.088000,1.084390,0.042810
0.089000,1.108905,0.043320
0.090000,1.133702,0.043849
0.091000,1.158775,0.044376
0.092000,1.184120,0.044904
0.093000,1.209737,0.045419
0.094000,1.235630,0.045941
0.095000,1.261802,0.046470
0.096000,1.288252,0.046980
0.097000,1.314986,0.047474
0.098000,1.342006,0.047953
0.099000,1.369308,0.048452
0.100000,1.396887,0.048933
0.101000,1.424743,0.049400
0.102000,1.452878,0.049865
0.103000,1.481293,0.050332
0.104000,1.509987,0.050775
0.104000,1.213521,0.050156
0.105000,1.239479,0.050590
0.106000,1.265712,0.051040
0.107000,1.292226,0.051530
0.108000,1.319025,0.052025
0.109000,1.346107,0.052484
0.110000,1.373465,0.052960
0.111000,1.401099,0.053434
0.112000,1.429012,0.053923
0.113000,1.457206,0.054422
0.114000,1.485678,0.054915
0.115000,1.514425,0.055427
0.116000,1.543443,0.055950
0.117000,1.572732,0.056499
0.118000,1.602290,0.057039
0.119000,1.632120,0.057578
0.120000,1.662224,0.058106
0.121000,1.692604,0.058622
0.122000,1.723261,0.059127
0.123000,1.754196,0.059638
0.124000,1.785413,0.060167
0.125000,1.816912,0.060703
0.126000,1.848695,0.061252
0.127000,1.880762,0.061802
0.128000,1.913112,0.062360
0.129000,1.945741,0.062923
0.130000,1.978651,0.063483
0.131000,2.011844,0.064048
0.131000,1.233858,0.064209
0.132000,1.261620,0.064752
0.133000,1.289663,0.065279
0.134000,1.317981,0.065817
0.135000,1.346572,0.066358
0.136000,1.375437,0.066914
0.137000,1.404578,0.067479
0.138000,1.434000,0.068052
0.139000,1.463703,0.068616
0.140000,1.493691,0.069152
0.141000,1.523965,0.069690
0.142000,1.554526,0.070221
0.143000,1.585371,0.070737
0.144000,1.616503,0.071246
0.145000,1.647922,0.071760
0.146000,1.679624,0.072272
0.147000,1.711603,0.072773
0.148000,1.743857,0.073280
0.149000,1.776380,0.073782
0.150000,1.809173,0.074278
0.151000,1.842237,0.074778
0.152000,1.875570,0.075265
0.153000,1.909175,0.075756
0.154000,1.943057,0.076248
0.155000,1.977216,0.076730
0.155000,1.349408,0.075942
0.156000,1.379559,0.076455
0.157000,1.409994,0.076939
0.158000,1.440713,0.077428
0.159000,1.471722,0.077905
0.160000,1.503023,0.078382
0.161000,1.534618,0.078849
0.162000,1.566503,0.079326
0.163000,1.598677,0.079796
0.164000,1.631139,0.080277
0.165000,1.663886,0.080764
0.166000,1.696915,0.081272
0.167000,1.730231,0.081787
0.168000,1.763834,0.082291
0.169000,1.797725,0.082810
0.170000,1.831905,0.083341
0.171000,1.866378,0.083858
