t,pos_err_mm,yaw_err_deg
0.029000,0.008040,0.001054
0.030000,0.008251,0.001102
0.031000,0.008469,0.001160
0.032000,0.008692,0.001194
0.033000,0.008919,0.001224
0.034000,0.009146,0.001251
0.035000,0.009373,0.001278
0.036000,0.009605,0.001297
0.037000,0.009844,0.001316
0.038000,0.010090,0.001317
0.039000,0.010345,0.001309
0.040000,0.010613,0.001301
0.041000,0.010895,0.001294
0.042000,0.011190,0.001288
0.043000,0.011492,0.001271
0.044000,0.011795,0.001292
0.045000,0.012098,0.001305
0.046000,0.012400,0.001344
0.047000,0.012700,0.001373
0.048000,0.012996,0.001410
0.049000,0.013289,0.001445
0.050000,0.013577,0.001479
0.051000,0.013859,0.001507
0.052000,0.014137,0.001543
0.053000,0.014412,0.001606
0.054000,0.014688,0.001685
0.054000,0.449171,0.003371
0.055000,0.457079,0.003444
0.056000,0.464981,0.003498
0.057000,0.472877,0.003561
0.058000,0.480766,0.003607
0.059000,0.488649,0.003663
0.060000,0.496527,0.003702
0.061000,0.504400,0.003740
0.062000,0.512269,0.003782
0.063000,0.520139,0.003824
0.064000,0.528014,0.003838
0.065000,0.535894,0.003861
0.066000,0.543781,0.003888
0.067000,0.551670,0.003902
0.068000,0.559562,0.003911
0.069000,0.567457,0.003912
0.070000,0.575352,0.003914
0.071000,0.583249,0.003922
0.072000,0.591149,0.003926
0.073000,0.599051,0.003900
0.074000,0.606956,0.003865
0.075000,0.614864,0.003835
0.076000,0.622779,0.003815
0.077000,0.630704,0.003798
0.078000,0.638639,0.003779
0.079000,0.646582,0.003776
0.079000,0.417052,0.004541
0.080000,0.422213,0.004553
0.081000,0.427381,0.004603
0.082000,0.432555,0.004642
0.083000,0.437731,0.004671
0.084000,0.442910,0.004694
0.085000,0.448093,0.004704
0.086000,0.453280,0.004712
0.087000,0.458472,0.004744
0.088000,0.463670,0.004755
0.089000,0.468873,0.004756
0.090000,0.474082,0.004738
0.091000,0.479290,0.004722
0.092000,0.484494,0.004705
0.093000,0.489694,0.004701
0.094000,0.494892,0.004690
0.095000,0.500093,0.004672
0.096000,0.505296,0.004673
0.097000,0.510506,0.004689
0.098000,0.515723,0.004722
0.099000,0.520946,0.004734
0.100000,0.526170,0.004764
0.101000,0.531393,0.004808
0.102000,0.536618,0.004854
0.103000,0.541843,0.004897
0.104000,0.547071,0.004966
0.104000,0.541679,0.006522
0.105000,0.546824,0.006604
0.106000,0.551964,0.006670
0.107000,0.557103,0.006695
0.108000,0.562248,0.006716
0.109000,0.567395,0.006772
0.110000,0.572541,0.006812
0.111000,0.577681,0.006853
0.112000,0.582819,0.006880
0.113000,0.587957,0.006896
0.114000,0.593091,0.006919
0.115000,0.598217,0.006922
0.116000,0.603334,0.006915
0.117000,0.608439,0.006882
0.118000,0.613532,0.006857
0.119000,0.618618,0.006833
0.120000,0.623695,0.006821
0.121000,0.628765,0.006821
0.122000,0.633830,0.006832
0.123000,0.638891,0.006836
0.124000,0.643952,0.006823
0.125000,0.649015,0.006802
0.126000,0.654080,0.006769
0.127000,0.659150,0.006735
0.128000,0.664223,0.006692
0.129000,0.669294,0.006645
0.130000,0.674365,0.006601
0.130000,0.204644,0.007531
0.131000,0.206144,0.007489
0.132000,0.207648,0.007466
0.133000,0.209152,0.007460
0.134000,0.210653,0.007443
0.135000,0.212147,0.007423
0.136000,0.213635,0.007388
0.137000,0.215122,0.007343
0.138000,0.216611,0.007291
0.139000,0.218104,0.007249
0.140000,0.219604,0.007233
0.141000,0.221113,0.007216
0.142000,0.222631,0.007206
0.143000,0.224155,0.007210
0.144000,0.225689,0.007223
0.145000,0.227232,0.007229
0.146000,0.228780,0.007238
0.147000,0.230330,0.007258
0.148000,0.231878,0.007272
0.149000,0.233419,0.007291
0.150000,0.234953,0.007315
0.151000,0.236482,0.007336
0.152000,0.238006,0.007370
0.153000,0.239530,0.007400
0.154000,0.241058,0.007429
0.154000,0.191281,0.009706
0.155000,0.192471,0.009753
0.156000,0.193664,0.009768
0.157000,0.194861,0.009812
0.158000,0.196061,0.009850
0.159000,0.197267,0.009900
0.160000,0.198486,0.009951
0.161000,0.199718,0.010012
0.162000,0.200958,0.010062
0.163000,0.202209,0.010120
0.164000,0.203468,0.010167
0.165000,0.204735,0.010207
0.166000,0.206007,0.010227
0.167000,0.207281,0.010239
0.168000,0.208558,0.010262
0.169000,0.209834,0.010271
0.170000,0.211108,0.010268
0.171000,0.212381,0.010278
0.172000,0.213651,0.010279
0.173000,0.214915,0.010288
0.174000,0.216174,0.010287
0.175000,0.217432,0.010280
0.176000,0.218685,0.010269
0.177000,0.219939,0.010261
0.178000,0.221196,0.010253
0.179000,0.222461,0.010269
0.179000,0.111675,0.013063
0.180000,0.112336,0.013094
0.181000,0.112998,0.013121
0.182000,0.113664,0.013153
0.183000,0.114331,0.013203
0.184000,0.114994,0.013218
0.185000,0.115652,0.013220
0.186000,0.116302,0.013224
0.187000,0.116942,0.013214
0.188000,0.117571,0.013225
0.189000,0.118188,0.013226
0.190000,0.118796,0.013222
0.191000,0.119400,0.013219
0.192000,0.120001,0.013219
0.193000,0.120601,0.013216
0.194000,0.121201,0.013211
0.195000,0.121799,0.013215
0.196000,0.122398,0.013228
0.197000,0.122999,0.013241
0.198000,0.123603,0.013271
0.199000,0.124210,0.013322
0.200000,0.124818,0.013353
0.201000,0.125422,0.013391
0.202000,0.126023,0.013433
0.203000,0.126624,0.013469
0.204000,0.127233,0.013490
0.204000,0.113794,0.017406
0.205000,0.114346,0.017453
0.206000,0.114901,0.017478
0.207000,0.115461,0.017513
0.208000,0.116027,0.017539
0.209000,0.116599,0.017540
0.210000,0.117178,0.017567
0.211000,0.117765,0.017564
0.212000,0.118355,0.017582
0.213000,0.118949,0.017613
0.214000,0.119546,0.017655
0.215000,0.120140,0.017669
0.216000,0.120733,0.017678
0.217000,0.121324,0.017690
0.218000,0.121915,0.017713
0.219000,0.122511,0.017782
0.220000,0.123114,0.017815
0.221000,0.123725,0.017854
0.222000,0.124348,0.017889
0.223000,0.124981,0.017924
0.224000,0.125626,0.017973
0.225000,0.126279,0.018056
0.226000,0.126940,0.018150
0.227000,0.127611,0.018266
0.228000,0.128289,0.018358
0.229000,0.128975,0.018456
0.229000,0.340902,0.024583
0.230000,0.342376,0.024702
0.231000,0.343852,0.024808
0.232000,0.345330,0.024910
0.233000,0.346814,0.025017
0.234000,0.348301,0.025125
0.235000,0.349791,0.025241
0.236000,0.351280,0.025325
0.237000,0.352769,0.025437
0.238000,0.354257,0.025552
0.239000,0.355743,0.025670
0.240000,0.357230,0.025811
0.241000,0.358721,0.025942
0.242000,0.360217,0.026088
0.243000,0.361718,0.026210
0.244000,0.363226,0.026306
0.245000,0.364743,0.026407
0.246000,0.366264,0.026514
0.247000,0.367787,0.026602
0.248000,0.369312,0.026668
0.249000,0.370836,0.026745
0.250000,0.372362,0.026826
0.251000,0.373890,0.026902
0.252000,0.375418,0.026976
0.253000,0.376943,0.027081
0.254000,0.378465,0.027190
0.254000,0.617172,0.036406
0.255000,0.619968,0.036531
0.256000,0.622754,0.036653
0.257000,0.625533,0.036774
0.258000,0.628305,0.036892
0.259000,0.631074,0.037003
0.260000,0.633840,0.037126
0.261000,0.636602,0.037235
0.262000,0.639363,0.037314
0.263000,0.642122,0.037396
0.264000,0.644879,0.037481
0.265000,0.647633,0.037568
0.266000,0.650387,0.037642
0.267000,0.653142,0.037732
0.268000,0.655897,0.037825
0.269000,0.658648,0.037927
0.270000,0.661394,0.038042
0.271000,0.664139,0.038148
0.272000,0.666879,0.038254
0.273000,0.669617,0.038342
0.274000,0.672349,0.038426
0.275000,0.675076,0.038527
0.276000,0.677796,0.038649
0.277000,0.680511,0.038767
0.278000,0.683227,0.038876
0.279000,0.685947,0.038993
0.279000,0.414027,0.043985
0.280000,0.415596,0.044116
0.281000,0.417169,0.044239
0.282000,0.418746,0.044353
0.283000,0.420330,0.044477
0.284000,0.421922,0.044606
0.285000,0.423524,0.044735
0.286000,0.425136,0.044889
0.287000,0.426757,0.045036
0.288000,0.428389,0.045167
0.289000,0.430032,0.045292
0.290000,0.431687,0.045407
0.291000,0.433351,0.045525
0.292000,0.435024,0.045649
0.293000,0.436707,0.045773
0.294000,0.438397,0.045903
0.295000,0.440092,0.046051
0.296000,0.441795,0.046182
0.297000,0.443505,0.046294
0.298000,0.445223,0.046422
0.299000,0.446947,0.046548
0.300000,0.448676,0.046675
0.301000,0.450413,0.046812
0.302000,0.452162,0.046951
0.303000,0.453923,0.047113
0.303000,0.383347,0.055318
0.304000,0.385070,0.055485
0.305000,0.386805,0.055650
0.306000,0.388557,0.055812
0.307000,0.390326,0.055953
0.308000,0.392109,0.056096
0.309000,0.393902,0.056251
0.310000,0.395705,0.056407
0.311000,0.397513,0.056561
0.312000,0.399323,0.056721
0.313000,0.401134,0.056853
0.314000,0.402941,0.057009
0.315000,0.404743,0.057178
0.316000,0.406537,0.057348
0.317000,0.408320,0.057533
0.318000,0.410089,0.057707
0.319000,0.411844,0.057883
0.320000,0.413588,0.058072
0.321000,0.415320,0.058247
0.322000,0.417043,0.058419
0.323000,0.418757,0.058592
0.324000,0.420459,0.058761
0.325000,0.422147,0.058923
0.326000,0.423820,0.059098
0.327000,0.425481,0.059265
0.328000,0.427130,0.059439
0.329000,0.428765,0.059605
0.330000,0.430391,0.059775
0.330000,0.317599,0.067212
0.331000,0.318710,0.067413
0.332000,0.319814,0.067595
0.333000,0.320917,0.067762
0.334000,0.322017,0.067954
0.335000,0.323117,0.068153
0.336000,0.324220,0.068348
0.337000,0.325328,0.068525
0.338000,0.326444,0.068714
0.339000,0.327568,0.068898
0.340000,0.328699,0.069092
0.341000,0.329833,0.069262
0.342000,0.330968,0.069455
0.343000,0.332103,0.069643
0.344000,0.333240,0.069831
0.345000,0.334376,0.070003
0.346000,0.335512,0.070194
0.347000,0.336647,0.070384
0.348000,0.337783,0.070570
0.349000,0.338921,0.070774
0.350000,0.340059,0.070966
0.351000,0.341194,0.071145
0.352000,0.342324,0.071286
0.353000,0.343454,0.071432
0.354000,0.344586,0.071578
0.355000,0.345723,0.071738
0.355000,0.369909,0.078415
0.356000,0.371032,0.078590
0.357000,0.372162,0.078783
0.358000,0.373297,0.078988
0.359000,0.374442,0.079187
0.360000,0.375596,0.079371
0.361000,0.376757,0.079543
0.362000,0.377922,0.079683
0.363000,0.379092,0.079807
0.364000,0.380267,0.079962
0.365000,0.381448,0.080120
0.366000,0.382640,0.080295
0.367000,0.383844,0.080502
0.368000,0.385060,0.080715
0.369000,0.386288,0.080920
0.370000,0.387532,0.081151
0.371000,0.388790,0.081384
0.372000,0.390066,0.081595
0.373000,0.391362,0.081775
0.374000,0.392678,0.081941
0.375000,0.394009,0.082102
0.376000,0.395353,0.082256
0.377000,0.396706,0.082409
0.378000,0.398063,0.082558
0.379000,0.399423,0.082697
0.380000,0.400787,0.082828
0.380000,0.342311,0.089662
0.381000,0.343736,0.089814
0.382000,0.345166,0.089997
0.383000,0.346599,0.090166
0.384000,0.348034,0.090334
0.385000,0.349468,0.090511
0.386000,0.350903,0.090708
0.387000,0.352340,0.090911
0.388000,0.353774,0.091115
0.389000,0.355206,0.091305
0.390000,0.356634,0.091489
0.391000,0.358060,0.091662
0.392000,0.359483,0.091856
0.393000,0.360902,0.092054
0.394000,0.362316,0.092269
0.395000,0.363725,0.092475
0.396000,0.365127,0.092663
0.397000,0.366521,0.092847
0.398000,0.367906,0.093020
0.399000,0.369282,0.093191
0.400000,0.370649,0.093381
0.401000,0.372009,0.093573
0.402000,0.373362,0.093749
0.403000,0.374712,0.093926
0.403000,0.323593,0.102034
