t,pos_err_mm,yaw_err_deg
1.333000,0.629688,0.006908
1.333000,0.531030,0.001167
1.334000,0.531312,0.001107
1.334000,0.478054,0.005384
1.335000,0.478391,0.005320
1.335000,0.433990,0.002294
1.336000,0.433894,0.002226
1.336000,0.263092,0.004036
1.337000,0.262592,0.003971
1.337000,0.321931,0.003970
1.337000,0.257843,0.003451
1.337000,0.271814,0.008109
1.338000,0.271414,0.008055
1.338000,0.205561,0.006059
1.339000,0.205067,0.006002
1.340000,0.204566,0.005971
1.341000,0.204058,0.005927
1.342000,0.203547,0.005899
1.343000,0.203035,0.005893
1.344000,0.202523,0.005874
1.345000,0.202016,0.005856
1.346000,0.201515,0.005847
1.347000,0.201018,0.005847
1.348000,0.200522,0.005833
1.349000,0.200027,0.005825
1.350000,0.199535,0.005815
1.351000,0.199043,0.005816
1.352000,0.198547,0.005791
1.353000,0.198049,0.005790
1.354000,0.197546,0.005794
1.354000,0.268808,0.008562
1.355000,0.268497,0.008571
1.356000,0.268180,0.008583
1.357000,0.267858,0.008579
1.358000,0.267532,0.008597
1.359000,0.267201,0.008620
1.360000,0.266869,0.008620
1.361000,0.266535,0.008649
1.362000,0.266200,0.008684
1.363000,0.265861,0.008732
1.364000,0.265515,0.008787
1.365000,0.265162,0.008850
1.366000,0.264800,0.008897
1.367000,0.264430,0.008962
1.368000,0.264057,0.009030
1.369000,0.263684,0.009092
1.370000,0.263313,0.009141
1.371000,0.262946,0.009181
1.372000,0.262585,0.009212
1.373000,0.262229,0.009228
1.374000,0.261878,0.009255
1.375000,0.261531,0.009285
1.376000,0.261191,0.009322
1.377000,0.260857,0.009363
1.378000,0.260528,0.009409
1.379000,0.260202,0.009451
1.380000,0.259874,0.009477
1.380000,0.267484,0.005640
1.381000,0.267478,0.005657
1.382000,0.267476,0.005662
1.383000,0.267475,0.005685
1.384000,0.267481,0.005692
1.385000,0.267496,0.005719
1.386000,0.267518,0.005748
1.387000,0.267543,0.005756
1.388000,0.267571,0.005770
1.389000,0.267603,0.005785
1.390000,0.267638,0.005762
1.391000,0.267670,0.005768
1.392000,0.267701,0.005790
1.393000,0.267730,0.005820
1.394000,0.267755,0.005825
1.395000,0.267779,0.005841
1.396000,0.267802,0.005845
1.397000,0.267826,0.005869
1.398000,0.267854,0.005876
1.399000,0.267889,0.005889
1.400000,0.267931,0.005880
1.401000,0.267977,0.005890
1.402000,0.268025,0.005912
1.403000,0.268076,0.005921
1.404000,0.268132,0.005925
1.404000,0.301206,0.001697
1.405000,0.301495,0.001673
1.406000,0.301794,0.001670
1.407000,0.302109,0.001655
1.408000,0.302439,0.001636
1.409000,0.302781,0.001604
1.410000,0.303135,0.001606
1.411000,0.303500,0.001604
1.412000,0.303873,0.001593
1.413000,0.304254,0.001578
1.414000,0.304638,0.001547
1.415000,0.305025,0.001517
1.416000,0.305413,0.001493
1.417000,0.305798,0.001488
1.418000,0.306179,0.001459
1.419000,0.306552,0.001474
1.420000,0.306923,0.001520
1.421000,0.307291,0.001590
1.422000,0.307658,0.001640
1.423000,0.308026,0.001689
1.424000,0.308399,0.001736
1.425000,0.308778,0.001775
1.426000,0.309160,0.001819
1.427000,0.309542,0.001849
1.428000,0.309921,0.001851
1.429000,0.310300,0.001840
1.430000,0.310681,0.001845
1.431000,0.311068,0.001842
1.431000,0.242373,0.003931
1.432000,0.242545,0.003948
1.433000,0.242721,0.003947
1.434000,0.242900,0.003932
1.435000,0.243081,0.003903
1.436000,0.243263,0.003889
1.437000,0.243450,0.003862
1.438000,0.243641,0.003837
1.439000,0.243834,0.003822
1.440000,0.244031,0.003811
1.441000,0.244232,0.003814
1.442000,0.244437,0.003795
1.443000,0.244647,0.003764
1.444000,0.244860,0.003744
1.445000,0.245079,0.003734
1.446000,0.245305,0.003728
1.447000,0.245542,0.003697
1.448000,0.245789,0.003652
1.449000,0.246041,0.003638
1.450000,0.246296,0.003638
1.451000,0.246556,0.003653
1.452000,0.246825,0.003662
1.453000,0.247102,0.003686
1.454000,0.247387,0.003710
1.454000,0.200607,0.006600
1.455000,0.200297,0.006609
1.456000,0.199995,0.006596
1.457000,0.199700,0.006599
1.458000,0.199415,0.006617
1.459000,0.199135,0.006640
1.460000,0.198861,0.006669
1.461000,0.198593,0.006702
1.462000,0.198332,0.006702
1.463000,0.198075,0.006706
1.464000,0.197823,0.006717
1.465000,0.197575,0.006732
1.466000,0.197328,0.006749
1.467000,0.197081,0.006757
1.468000,0.196833,0.006773
1.469000,0.196584,0.006794
1.470000,0.196337,0.006808
1.471000,0.196095,0.006809
1.472000,0.195858,0.006815
1.473000,0.195628,0.006811
1.474000,0.195408,0.006832
