t,pos_err_mm,yaw_err_deg
0.027000,0.048351,0.000453
0.028000,0.051374,0.000448
0.029000,0.054157,0.000485
0.030000,0.056695,0.000531
0.031000,0.059075,0.000589
0.032000,0.061448,0.000622
0.033000,0.063969,0.000650
0.034000,0.066737,0.000676
0.035000,0.069757,0.000701
0.036000,0.072942,0.000719
0.037000,0.076139,0.000737
0.038000,0.079194,0.000736
0.039000,0.082007,0.000726
0.040000,0.084576,0.000717
0.041000,0.086993,0.000708
0.042000,0.089410,0.000701
0.043000,0.091977,0.000683
0.044000,0.094789,0.000702
0.045000,0.097851,0.000714
0.046000,0.101071,0.000752
0.047000,0.104299,0.000780
0.048000,0.107378,0.000815
0.049000,0.110210,0.000849
0.050000,0.112787,0.000881
0.051000,0.115198,0.000908
0.052000,0.117597,0.000943
0.053000,0.120141,0.001005
0.054000,0.122931,0.001082
0.054000,0.489889,0.001249
0.055000,0.497774,0.001314
0.056000,0.505818,0.001360
0.057000,0.513865,0.001416
0.058000,0.521759,0.001455
0.059000,0.529401,0.001504
0.060000,0.536782,0.001535
0.061000,0.543995,0.001565
0.062000,0.551193,0.001601
0.063000,0.558538,0.001635
0.064000,0.566135,0.001641
0.065000,0.573993,0.001657
0.066000,0.582020,0.001677
0.067000,0.590061,0.001683
0.068000,0.597958,0.001685
0.069000,0.605611,0.001678
0.070000,0.613010,0.001672
0.071000,0.620247,0.001674
0.072000,0.627475,0.001670
0.073000,0.634852,0.001637
0.074000,0.642479,0.001594
0.075000,0.650364,0.001556
0.076000,0.658420,0.001529
0.077000,0.666496,0.001505
0.078000,0.674436,0.001478
0.079000,0.682137,0.001468
0.079000,0.462815,0.001124
0.080000,0.468758,0.001123
0.081000,0.474554,0.001160
0.082000,0.480346,0.001187
0.083000,0.486277,0.001203
0.084000,0.492446,0.001213
0.085000,0.498858,0.001211
0.086000,0.505429,0.001205
0.087000,0.512016,0.001225
0.088000,0.518472,0.001224
0.089000,0.524700,0.001212
0.090000,0.530694,0.001180
0.091000,0.536533,0.001152
0.092000,0.542357,0.001122
0.093000,0.548316,0.001105
0.094000,0.554507,0.001082
0.095000,0.560939,0.001051
0.096000,0.567530,0.001039
0.097000,0.574137,0.001043
0.098000,0.580614,0.001063
0.099000,0.586863,0.001062
0.100000,0.592873,0.001079
0.101000,0.598729,0.001110
0.102000,0.604575,0.001144
0.103000,0.610560,0.001175
0.104000,0.616780,0.001230
0.105000,0.623236,0.001293
0.105000,0.581841,0.001672
0.106000,0.587292,0.001719
0.107000,0.592753,0.001727
0.108000,0.598079,0.001729
0.109000,0.603169,0.001766
0.110000,0.608011,0.001788
0.111000,0.612692,0.001810
0.112000,0.617358,0.001818
0.113000,0.622166,0.001816
0.114000,0.627208,0.001821
0.115000,0.632487,0.001805
0.116000,0.637913,0.001780
0.117000,0.643338,0.001728
0.118000,0.648612,0.001684
0.119000,0.653638,0.001642
0.120000,0.658412,0.001612
0.121000,0.663021,0.001593
0.122000,0.667613,0.001585
0.123000,0.672343,0.001571
0.124000,0.677311,0.001539
0.125000,0.682525,0.001500
0.126000,0.687899,0.001448
0.127000,0.693289,0.001395
0.128000,0.698539,0.001334
0.129000,0.703551,0.001268
0.130000,0.708318,0.001205
0.131000,0.712932,0.001137
0.132000,0.717537,0.001090
0.133000,0.722283,0.001059
0.133000,0.244589,0.000481
0.134000,0.246765,0.000439
0.135000,0.249176,0.000393
0.136000,0.251737,0.000331
