t,pos_err_mm,yaw_err_deg
0.037000,1.0779,0.0108
0.038000,1.1049,0.0111
0.039000,1.1318,0.0114
0.040000,1.1589,0.0117
0.041000,1.1859,0.0120
0.042000,1.2131,0.0123
0.043000,1.2403,0.0126
0.044000,1.2675,0.0129
0.045000,1.2948,0.0132
0.046000,1.3222,0.0135
0.047000,1.3496,0.0138
0.048000,1.3770,0.0141
0.049000,1.4046,0.0143
0.050000,1.4321,0.0146
0.051000,1.4598,0.0149
0.052000,1.4874,0.0152
0.053000,1.5151,0.0154
0.054000,1.5429,0.0157
0.055000,1.5708,0.0160
0.056000,1.5986,0.0163
0.057000,1.6266,0.0166
0.058000,1.6546,0.0169
0.059000,1.6826,0.0172
0.059000,4.8587,0.0170
0.060000,4.9387,0.0173
0.061000,5.0187,0.0176
0.062000,5.0988,0.0179
0.063000,5.1789,0.0182
0.064000,5.2591,0.0185
0.065000,5.3393,0.0188
0.066000,5.4196,0.0191
0.067000,5.4999,0.0194
0.068000,5.5803,0.0197
0.069000,5.6608,0.0200
0.070000,5.7413,0.0203
0.071000,5.8218,0.0206
0.072000,5.9024,0.0209
0.073000,5.9831,0.0211
0.074000,6.0638,0.0214
0.075000,6.1446,0.0217
0.076000,6.2254,0.0220
0.077000,6.3063,0.0222
0.078000,6.3872,0.0225
0.079000,6.4683,0.0228
0.080000,6.5493,0.0230
0.081000,6.6304,0.0233
0.082000,6.7116,0.0236
0.083000,6.7929,0.0239
0.084000,6.8741,0.0242
0.085000,6.9555,0.0245
0.086000,7.0369,0.0248
0.087000,7.1184,0.0251
0.088000,7.1999,0.0254
0.089000,7.2815,0.0257
0.090000,7.3632,0.0260
0.091000,7.4449,0.0263
0.092000,7.5266,0.0266
0.093000,7.6085,0.0269
0.094000,7.6903,0.0272
0.095000,7.7723,0.0275
0.096000,7.8543,0.0278
0.097000,7.9363,0.0281
0.098000,8.0184,0.0284
0.099000,8.1006,0.0286
0.100000,8.1828,0.0289
0.101000,8.2651,0.0292
0.101000,5.4624,0.0282
0.102000,5.5168,0.0284
0.103000,5.5714,0.0287
0.104000,5.6260,0.0289
0.105000,5.6807,0.0292
0.106000,5.7354,0.0295
0.107000,5.7902,0.0297
0.108000,5.8450,0.0300
0.109000,5.8999,0.0302
0.110000,5.9548,0.0305
0.111000,6.0098,0.0307
0.112000,6.0649,0.0310
0.113000,6.1200,0.0312
0.114000,6.1751,0.0315
0.115000,6.2304,0.0318
0.116000,6.2856,0.0321
0.117000,6.3410,0.0323
0.118000,6.3964,0.0326
0.119000,6.4518,0.0329
0.119000,5.2352,0.0316
0.120000,5.2804,0.0319
0.121000,5.3256,0.0322
0.122000,5.3708,0.0325
0.123000,5.4162,0.0328
0.124000,5.4615,0.0331
0.125000,5.5070,0.0334
0.126000,5.5525,0.0337
0.127000,5.5980,0.0340
0.128000,5.6436,0.0343
0.129000,5.6893,0.0346
0.130000,5.7350,0.0349
0.131000,5.7807,0.0352
0.132000,5.8266,0.0355
0.133000,5.8724,0.0358
0.133000,4.2870,0.0349
0.134000,4.3207,0.0352
0.135000,4.3544,0.0355
0.136000,4.3881,0.0358
0.137000,4.4219,0.0360
0.138000,4.4558,0.0363
0.139000,4.4897,0.0366
0.140000,4.5237,0.0369
0.141000,4.5577,0.0372
0.142000,4.5918,0.0375
0.143000,4.6259,0.0377
0.144000,4.6601,0.0380
0.145000,4.6943,0.0383
0.146000,4.7286,0.0386
0.147000,4.7629,0.0388
0.148000,4.7973,0.0391
0.149000,4.8318,0.0394
0.150000,4.8663,0.0396
0.151000,4.9008,0.0399
0.152000,4.9354,0.0402
0.153000,4.9701,0.0404
0.160000,5.2142,0.0421
0.161000,5.2493,0.0423
0.161000,5.9237,0.0428
0.162000,5.9633,0.0431
0.190000,7.0938,0.0509
0.191000,7.1350,0.0512
0.192000,7.1762,0.0515
0.193000,7.2175,0.0518
0.194000,7.2589,0.0521
0.195000,7.3003,0.0524
0.196000,7.3418,0.0527
0.197000,7.3833,0.0529
0.198000,7.4249,0.0532
0.199000,7.4666,0.0535
0.200000,7.5083,0.0538
0.201000,7.5501,0.0540
0.202000,7.5919,0.0543
0.203000,7.6338,0.0546
0.204000,7.6757,0.0549
0.205000,7.7177,0.0551
0.206000,7.7598,0.0554
0.207000,7.8019,0.0557
0.208000,7.8441,0.0560
0.209000,7.8863,0.0562
0.210000,7.9286,0.0565
0.211000,7.9710,0.0567
0.212000,8.0134,0.0570
0.213000,8.0559,0.0572
0.214000,8.0984,0.0575
