t,pos_err_mm,yaw_err_deg
0.327000,0.008817,0.000030
0.328000,0.009194,0.000026
0.329000,0.009572,0.000019
0.330000,0.009951,0.000019
0.331000,0.010329,0.000030
0.332000,0.010707,0.000025
0.333000,0.011086,0.000006
0.334000,0.011465,0.000015
0.335000,0.011843,0.000030
0.336000,0.012215,0.000043
0.337000,0.012581,0.000039
0.338000,0.012941,0.000047
0.339000,0.013297,0.000051
0.340000,0.013647,0.000065
0.341000,0.013990,0.000055
0.342000,0.014324,0.000070
0.343000,0.014653,0.000078
0.344000,0.014976,0.000088
0.345000,0.015288,0.000081
0.346000,0.015589,0.000094
0.347000,0.015877,0.000106
0.348000,0.016151,0.000114
0.349000,0.016410,0.000140
0.350000,0.016654,0.000153
0.351000,0.016890,0.000154
0.352000,0.017119,0.000118
0.353000,0.017340,0.000087
0.353000,0.123677,0.000068
0.354000,0.126953,0.000036
0.355000,0.130227,0.000018
0.356000,0.133498,0.000003
0.357000,0.136768,0.000006
0.358000,0.140038,0.000004
0.359000,0.143308,0.000008
0.360000,0.146581,0.000005
0.361000,0.149855,0.000028
0.362000,0.153128,0.000083
0.363000,0.156400,0.000155
0.364000,0.159675,0.000196
0.365000,0.162953,0.000233
0.366000,0.166239,0.000254
0.367000,0.169532,0.000243
0.368000,0.172833,0.000225
0.369000,0.176142,0.000216
0.370000,0.179459,0.000180
0.371000,0.182785,0.000142
0.372000,0.186122,0.000127
0.373000,0.189471,0.000143
0.374000,0.192832,0.000173
0.375000,0.196201,0.000207
0.376000,0.199576,0.000249
0.377000,0.202956,0.000291
0.378000,0.206335,0.000338
0.378000,0.145847,0.000576
0.379000,0.148636,0.000633
0.380000,0.151430,0.000697
0.381000,0.154228,0.000759
0.382000,0.157030,0.000788
0.383000,0.159834,0.000833
0.384000,0.162638,0.000878
0.385000,0.165439,0.000914
0.386000,0.168239,0.000930
0.387000,0.171038,0.000941
0.388000,0.173831,0.000950
0.389000,0.176618,0.000973
0.390000,0.179399,0.001002
0.391000,0.182175,0.001042
0.392000,0.184944,0.001061
0.393000,0.187705,0.001076
0.394000,0.190458,0.001074
0.395000,0.193203,0.001082
0.396000,0.195938,0.001107
0.397000,0.198663,0.001137
0.398000,0.201376,0.001176
0.399000,0.204077,0.001219
0.400000,0.206768,0.001242
0.401000,0.209448,0.001263
0.402000,0.212117,0.001300
0.403000,0.214779,0.001336
0.404000,0.217435,0.001361
0.404000,0.277364,0.001080
0.405000,0.280647,0.001106
0.406000,0.283917,0.001128
0.407000,0.287176,0.001142
0.408000,0.290424,0.001141
0.409000,0.293657,0.001165
0.410000,0.296880,0.001230
0.411000,0.300091,0.001289
0.412000,0.303286,0.001331
0.413000,0.306467,0.001357
0.414000,0.309634,0.001377
0.415000,0.312785,0.001389
0.416000,0.315919,0.001405
0.417000,0.319037,0.001394
0.418000,0.322146,0.001376
0.419000,0.325248,0.001344
0.420000,0.328342,0.001319
0.421000,0.331425,0.001321
0.422000,0.334495,0.001333
0.423000,0.337554,0.001330
0.424000,0.340605,0.001333
0.425000,0.343645,0.001328
0.426000,0.346674,0.001319
0.427000,0.349688,0.001303
0.428000,0.352684,0.001294
0.429000,0.355667,0.001303
0.429000,0.138889,0.001313
0.430000,0.139966,0.001319
0.431000,0.141039,0.001321
0.432000,0.142108,0.001320
0.433000,0.143174,0.001323
0.434000,0.144239,0.001340
0.435000,0.145300,0.001331
0.436000,0.146361,0.001343
0.437000,0.147422,0.001369
0.438000,0.148485,0.001406
0.439000,0.149549,0.001432
0.440000,0.150613,0.001427
0.441000,0.151679,0.001403
0.442000,0.152747,0.001394
0.443000,0.153816,0.001403
0.444000,0.154882,0.001447
0.445000,0.155943,0.001489
0.446000,0.157002,0.001501
0.447000,0.158059,0.001505
0.448000,0.159115,0.001513
0.449000,0.160173,0.001517
0.450000,0.161234,0.001526
0.451000,0.162295,0.001513
