t,icp_pos_err_mm
0.025000,4.4304
0.050000,7.7253
0.076000,3.2669
0.176000,4.9598
0.201000,3.4422
0.226000,1.7894
0.251000,6.0257
0.276000,3.4182
0.301000,6.0595
0.501000,5.7146
0.576000,3.0895
0.651000,5.3953
0.726000,5.2427
0.876000,6.2417
0.901000,5.9224
0.926000,5.1981
0.951000,4.5902
0.976000,4.3664
1.076000,2.3782
1.101000,6.3312
1.126000,4.7459
1.301000,4.5184
1.326000,4.2874
1.376000,2.4267
1.401000,3.3232
1.426000,5.0510
1.451000,6.3727
1.551000,5.9979
1.651000,6.4764
1.676000,4.0448
1.701000,4.8704
1.726000,7.0780
1.751000,3.7283
1.776000,6.5063
1.801000,8.4261
1.826000,1.2034
1.851000,2.9385
1.926000,7.6859
2.051000,4.3712
2.101000,3.4262
2.151000,5.4263
2.301000,2.4778
2.376000,3.8782
2.401000,6.2338
2.426000,3.1207
2.451000,4.6917
2.476000,5.2132
2.501000,6.4236
2.526000,4.5722
2.551000,2.3247
2.576000,8.3960
2.601000,7.8327
2.626000,4.3952
2.651000,3.8128
2.676000,5.6120
2.701000,3.6439
2.726000,2.5704
2.751000,2.9664
2.801000,1.9324
2.826000,8.4009
2.851000,1.6467
2.876000,4.0757
2.901000,6.2262
2.926000,0.4622
2.951000,7.5107
2.976000,4.2473
3.001000,5.9362
3.026000,7.2453
3.176000,2.6605
3.226000,1.2563
3.301000,5.0807
3.326000,2.0069
3.401000,5.3317
3.426000,4.0504
3.451000,4.4195
3.476000,2.9279
3.501000,0.8000
3.526000,5.0243
3.551000,6.5083
3.576000,5.3734
3.626000,2.1743
3.676000,5.2166
3.701000,7.2260
3.726000,5.4028
3.751000,6.6098
3.776000,5.5420
3.801000,3.3590
3.826000,7.6886
3.851000,3.8690
3.876000,1.4369
3.901000,6.2797
3.926000,1.8564
3.951000,5.2003
3.976000,4.2506
4.026000,5.7989
4.051000,4.1373
4.076000,2.7832
4.126000,3.1063
4.176000,4.8991
4.201000,5.5993
4.226000,3.3900
4.251000,4.6422
4.276000,0.4124
4.301000,3.3316
4.326000,4.1758
4.351000,4.6412
4.376000,5.2377
4.401000,4.7329
4.426000,4.7337
4.451000,7.4743
4.476000,5.5338
4.501000,6.1441
4.526000,5.3050
4.576000,6.2878
4.626000,3.2127
4.651000,4.1952
4.676000,5.7320
4.701000,0.3710
4.726000,4.6565
4.751000,5.6093
4.776000,8.1302
4.801000,4.4732
4.826000,6.1925
4.851000,5.7063
4.876000,7.2680
4.901000,4.0226
4.926000,5.1042
4.976000,3.6247
5.001000,4.4228
5.026000,3.7606
5.051000,5.9012
5.076000,8.7722
5.151000,3.2026
5.176000,4.3023
5.201000,2.5973
5.226000,2.5459
5.276000,7.4679
5.301000,6.2122
5.326000,6.4674
5.351000,1.4426
5.401000,3.3289
5.426000,5.4806
5.451000,2.3976
5.476000,5.2438
5.501000,1.8475
5.551000,3.1230
5.576000,3.9254
5.601000,4.4021
5.626000,4.5504
5.726000,5.1150
5.751000,6.1749
5.776000,1.5911
5.826000,6.2569
5.851000,4.7819
5.876000,4.7375
6.001000,1.8755
6.026000,0.9682
6.051000,1.9571
6.101000,6.4367
6.126000,2.4803
6.151000,3.6973
6.176000,5.3934
6.201000,7.2113
6.276000,0.7294
6.351000,2.2708
6.376000,3.1625
6.401000,5.7130
6.426000,3.8532
6.451000,5.8763
6.476000,6.3057
6.501000,3.1914
6.526000,4.5207
6.551000,3.9454
6.576000,1.3508
6.601000,4.6456
6.626000,6.9905
6.651000,8.1428
6.676000,1.5638
6.701000,3.7350
6.726000,4.9351
6.801000,1.1033
6.851000,7.9866
6.926000,6.6140
6.951000,4.1946
6.976000,3.8800
7.001000,4.0032
7.051000,6.8513
7.101000,6.8061
7.126000,7.0718
7.151000,3.0310
7.176000,3.6460
7.201000,2.0429
7.226000,3.0782
7.276000,3.6276
7.301000,6.0768
7.351000,4.1964
7.376000,3.2331
7.426000,6.3865
7.451000,9.0523
7.576000,1.3297
7.601000,5.8717
7.651000,3.5127
7.676000,3.9980
7.701000,3.9073
7.726000,6.4021
7.751000,3.8854
7.776000,3.9167
7.826000,4.3661
7.851000,0.2913
7.876000,3.4642
7.926000,3.9913
7.951000,2.1439
7.976000,5.1688
8.001000,5.9886
8.026000,4.5580
8.051000,1.7867
8.076000,4.7340
8.101000,3.0830
8.151000,6.3257
8.176000,7.0990
8.201000,5.9937
8.226000,5.6351
8.251000,2.0883
8.326000,3.6988
8.376000,1.2947
8.401000,7.0423
8.476000,3.7336
8.501000,7.8501
8.526000,3.6922
8.551000,5.4306
8.576000,5.8643
8.601000,3.1022
8.626000,4.9203
8.676000,6.2154
8.726000,4.9051
8.751000,3.6152
8.776000,5.4250
8.801000,2.9535
8.826000,5.6761
8.851000,1.2113
8.901000,6.5861
8.926000,4.6738
8.951000,4.8625
8.976000,2.1863
9.001000,9.1304
9.026000,5.4296
9.051000,3.3944
9.076000,2.9050
9.126000,1.0982
9.176000,1.7161
9.201000,5.0220
9.226000,6.8777
9.251000,3.7019
9.276000,2.6600
9.301000,1.6298
9.326000,6.5764
9.351000,4.7853
9.426000,3.8362
9.451000,2.2636
9.476000,0.3269
9.501000,6.5721
9.526000,3.6986
9.576000,4.6416
9.676000,6.7013
9.701000,6.6044
9.776000,3.3474
9.801000,4.0495
9.826000,6.2035
9.851000,6.8220
9.876000,6.6337
9.901000,5.1652
9.926000,5.5156
9.951000,3.3085
9.976000,4.8691
10.026000,2.6814
10.076000,6.3958
10.126000,4.5044
10.151000,2.9157
10.176000,1.0522
10.201000,3.7671
10.226000,2.5166
10.251000,5.2725
10.276000,3.1402
10.326000,4.2392
10.351000,6.1078
10.376000,3.6909
10.426000,6.2614
10.451000,7.7684
10.476000,5.3913
10.526000,3.2193
10.551000,4.7812
10.626000,7.8056
10.676000,5.0918
10.701000,6.8653
10.726000,2.3700
10.751000,2.9612
10.776000,4.7014
10.826000,2.9513
10.876000,6.8026
10.901000,6.9918
10.976000,13.2234
11.001000,14.4295
11.076000,13.7406
11.101000,18.8671
11.126000,17.4414
11.176000,18.3426
11.201000,15.6261
11.301000,8.8314
11.326000,8.2084
11.351000,13.3119
11.401000,3.9309
11.426000,4.9340
11.501000,6.6072
11.526000,10.5588
11.551000,3.8658
11.576000,3.5241
11.601000,4.4671
11.626000,4.9185
11.651000,4.4136
11.726000,8.2884
11.751000,6.0864
11.826000,12.5905
11.876000,2.6290
11.901000,5.1221
11.926000,8.0106
11.951000,2.7525
12.001000,9.4369
12.051000,6.6105
12.076000,3.8709
12.101000,8.1297
12.126000,7.4207
12.151000,4.0859
12.201000,6.7139
12.301000,6.7859
12.326000,7.2637
12.376000,7.2640
12.401000,12.9572
12.476000,15.4139
12.501000,8.6779
12.576000,11.1916
12.601000,8.8096
12.626000,12.8158
12.651000,12.9597
12.676000,12.9161
12.751000,6.7569
12.776000,6.1838
12.801000,8.2838
12.901000,5.3451
12.926000,5.8640
12.951000,2.8776
13.001000,7.6310
13.026000,6.5014
13.076000,4.6730
13.151000,9.0210
13.176000,14.2399
13.201000,9.4081
13.251000,13.8454
13.301000,11.4415
13.326000,12.1016
13.351000,13.9092
13.401000,6.5820
13.451000,6.4311
13.501000,4.2910
13.526000,6.0536
13.551000,4.9826
13.576000,9.5766
13.601000,7.9766
13.626000,7.2021
13.651000,9.3179
13.676000,4.3742
13.726000,10.2025
13.751000,8.4652
13.776000,6.0843
13.801000,5.2626
13.826000,6.1354
13.851000,7.6658
13.876000,2.3326
13.901000,6.7728
13.951000,6.5810
13.976000,5.3035
14.001000,5.3514
14.026000,2.4245
14.076000,5.3718
14.101000,11.0667
14.126000,8.3941
14.151000,7.1239
14.176000,7.5454
14.226000,6.3237
14.251000,0.7806
14.301000,8.5860
14.326000,2.7959
14.351000,6.3962
14.376000,4.6372
14.401000,8.5476
14.426000,5.9606
14.451000,4.2237
14.476000,10.4786
14.501000,8.4531
14.526000,7.5095
14.551000,4.3803
14.576000,8.6845
14.626000,4.9522
14.651000,6.9884
14.676000,12.8351
14.701000,12.0056
14.726000,3.9700
14.751000,8.6897
14.801000,8.0648
14.826000,3.9767
14.851000,0.9647
14.876000,7.3221
14.901000,11.9762
14.926000,9.0383
14.976000,32.1310
15.001000,10.4043
15.026000,11.8247
15.051000,8.7073
15.101000,5.8467
15.126000,8.0706
15.151000,15.7288
15.176000,13.8920
15.201000,11.7302
15.226000,13.6623
15.276000,11.0366
15.301000,13.0947
15.326000,11.2070
15.351000,16.4246
15.401000,8.8501
15.426000,11.2166
15.451000,12.6752
15.476000,7.5391
15.501000,10.3562
15.526000,17.8475
15.551000,10.9983
15.576000,8.6424
15.601000,9.4540
15.626000,8.3075
15.651000,8.7479
15.726000,8.1667
15.751000,7.6486
15.776000,8.9752
15.801000,10.6111
15.851000,8.6525
15.876000,7.9264
15.901000,7.7810
15.926000,7.6413
15.951000,12.0008
15.976000,8.7879
16.001000,13.0952
16.026000,13.4249
16.051000,7.2039
16.101000,8.5214
16.126000,10.7176
16.151000,9.7759
16.176000,8.8057
16.201000,7.2842
16.226000,10.6685
16.276000,6.4105
16.301000,9.2177
16.326000,9.6717
16.351000,15.1921
16.401000,11.9310
16.426000,14.8045
16.451000,7.5669
16.476000,6.3627
16.501000,10.8270
16.526000,12.4008
16.551000,7.5749
16.576000,9.6340
16.601000,5.8882
16.626000,5.1012
16.651000,10.7972
16.676000,5.7086
16.701000,8.1341
16.751000,8.2412
16.776000,8.2452
16.801000,5.8676
16.826000,5.4308
16.851000,7.7811
16.876000,11.4970
16.901000,7.6247
16.926000,7.5822
16.951000,11.8472
16.976000,9.8646
17.001000,10.4174
17.026000,11.3066
17.051000,6.5349
17.101000,6.3759
17.126000,9.7443
17.151000,7.3848
17.176000,4.9805
17.201000,11.7363
17.226000,8.8347
17.251000,10.3949
17.276000,7.7380
17.301000,10.0693
17.326000,12.1396
17.351000,7.7524
17.376000,8.5107
17.476000,6.5398
17.501000,9.0660
17.526000,9.4042
17.551000,9.4898
17.576000,7.2976
17.601000,6.4046
17.626000,8.2182
17.651000,7.1372
17.676000,7.0401
17.701000,10.0972
17.726000,8.6177
17.751000,10.9157
17.801000,6.8509
17.851000,7.4742
17.901000,2.5157
17.926000,5.0964
17.951000,7.3991
17.976000,7.5413
18.001000,8.4299
18.026000,10.8618
18.076000,11.1544
18.101000,8.5975
18.151000,14.6467
18.176000,9.4613
18.201000,9.7997
18.251000,6.4585
18.276000,2.0839
18.326000,3.3997
18.351000,2.8286
18.376000,1.9593
18.401000,3.7304
18.426000,7.4257
18.451000,3.5514
18.501000,5.6243
18.526000,2.8568
18.551000,4.6394
18.576000,4.7352
18.601000,3.6705
18.626000,2.6660
18.651000,6.0743
18.676000,2.2142
18.701000,5.4157
18.726000,6.6782
18.751000,5.6553
18.776000,1.5821
18.801000,2.1600
18.826000,4.2666
18.851000,2.7223
18.901000,3.5799
18.926000,2.0906
18.951000,2.0047
18.976000,2.1675
19.026000,16.0049
19.051000,1.9851
19.101000,1.2886
19.126000,3.0253
19.201000,5.9295
19.226000,5.0472
19.251000,5.6288
19.276000,5.9344
19.326000,1.7080
19.351000,6.3011
19.376000,4.8980
19.426000,1.8760
19.451000,4.4385
19.476000,5.1984
19.501000,3.4079
19.526000,6.4327
19.576000,5.2828
19.601000,2.3735
19.626000,9.8028
19.651000,4.1688
19.701000,5.0762
19.726000,4.4035
19.751000,3.6009
19.776000,3.9547
19.801000,3.8916
19.826000,3.5335
19.851000,3.7802
19.876000,1.3186
19.901000,2.3641
19.926000,2.4772
19.951000,6.1446
19.976000,3.6359
20.026000,2.1957
20.051000,4.6715
20.076000,1.5743
20.101000,2.9320
20.151000,2.8727
20.176000,2.8549
20.201000,5.1892
20.226000,3.3726
20.251000,2.7689
20.276000,6.2862
20.301000,1.4683
20.326000,2.0110
20.351000,2.0637
20.376000,5.8978
20.401000,2.4582
20.426000,6.3890
20.451000,2.0064
20.476000,2.8266
20.526000,9.5983
20.551000,1.3282
20.576000,3.0881
20.601000,1.4687
20.651000,1.6275
20.676000,6.1816
20.701000,2.3197
20.726000,2.6001
20.751000,3.5836
20.776000,1.3750
20.801000,5.2185
20.826000,1.8890
20.851000,2.1537
20.876000,15.4278
20.901000,7.2693
20.926000,7.6121
20.976000,1.2839
21.001000,1.3946
21.026000,4.6055
21.051000,7.1873
21.076000,6.4042
21.101000,1.1800
21.126000,5.1432
21.151000,7.5173
21.176000,2.0077
21.201000,4.8024
21.226000,4.3493
21.251000,2.0115
21.276000,8.6454
21.301000,11.0855
21.326000,10.6382
21.376000,6.3642
21.426000,10.0936
21.451000,3.9665
21.476000,4.9689
21.501000,8.5328
21.526000,11.2689
