t,pos_err_mm,yaw_err_deg
0.227000,8.1738,0.0000
0.228000,8.2092,0.0000
0.228000,23.0456,0.0003
0.229000,23.1454,0.0003
0.229000,16.0798,0.0009
0.230000,16.1487,0.0010
0.230000,11.4949,0.0013
0.231000,11.5433,0.0013
0.231000,7.4946,0.0014
0.232000,7.5251,0.0014
0.232000,4.5005,0.0052
0.233000,4.5177,0.0052
0.251000,5.2269,0.0178
0.252000,5.2462,0.0179
0.276000,4.3867,0.0201
0.277000,4.4007,0.0202
0.301000,5.2293,0.0273
0.302000,5.2450,0.0274
0.303000,5.2606,0.0275
0.304000,5.2763,0.0276
0.305000,5.2920,0.0277
0.306000,5.3076,0.0278
0.307000,5.3233,0.0279
0.308000,5.3390,0.0281
0.309000,5.3547,0.0282
0.310000,5.3703,0.0282
0.311000,5.3860,0.0283
0.312000,5.4017,0.0284
0.313000,5.4174,0.0285
0.314000,5.4331,0.0286
0.315000,5.4488,0.0286
0.316000,5.4645,0.0287
0.317000,5.4802,0.0288
0.318000,5.4959,0.0289
0.319000,5.5116,0.0290
0.320000,5.5273,0.0291
0.321000,5.5430,0.0291
0.344000,5.9045,0.0307
0.365000,6.2344,0.0323
0.374000,6.3755,0.0331
0.378000,6.4381,0.0334
0.383000,6.5165,0.0338
0.387000,6.5793,0.0341
0.391000,6.6421,0.0345
0.392000,6.6578,0.0346
0.393000,6.6735,0.0347
0.394000,6.6892,0.0347
0.395000,6.7049,0.0348
0.396000,6.7206,0.0349
0.397000,6.7363,0.0350
0.398000,6.7520,0.0351
0.399000,6.7677,0.0352
0.401000,6.7991,0.0353
0.402000,6.8148,0.0354
0.408000,6.9091,0.0359
0.413000,6.9877,0.0363
0.415000,7.0192,0.0365
0.418000,7.0665,0.0367
0.421000,7.1138,0.0369
0.423000,7.1454,0.0371
0.424000,7.1612,0.0372
0.430000,7.2559,0.0375
0.433000,7.3032,0.0377
0.434000,7.3190,0.0378
0.437000,7.3663,0.0381
0.439000,7.3979,0.0382
0.443000,7.4609,0.0384
0.445000,7.4925,0.0385
0.446000,7.5082,0.0386
0.504000,7.3803,0.0476
0.546000,7.9287,0.0508
0.582000,8.3940,0.0538
0.583000,8.4070,0.0539
0.584000,8.4200,0.0539
0.590000,8.4979,0.0545
0.608000,8.7303,0.0561
0.619000,8.8715,0.0569
0.622000,8.9100,0.0572
0.623000,8.9229,0.0572
0.624000,8.9357,0.0573
0.627000,8.9741,0.0575
0.659000,9.3819,0.0599
0.668000,9.4966,0.0605
0.677000,9.6114,0.0613
0.582000,6.4383,0.0503
0.588000,6.4925,0.0508
0.590000,6.5106,0.0511
0.594000,6.5467,0.0515
0.598000,6.5828,0.0518
0.601000,6.6098,0.0521
0.602000,6.6188,0.0522
0.604000,6.6368,0.0523
0.606000,6.6548,0.0525
0.609000,6.6818,0.0528
0.620000,6.7807,0.0538
0.663000,7.1646,0.0569
0.664000,7.1736,0.0569
0.665000,7.1825,0.0570
0.666000,7.1914,0.0571
0.667000,7.2003,0.0572
0.668000,7.2092,0.0572
0.669000,7.2181,0.0573
0.670000,7.2270,0.0574
0.671000,7.2359,0.0574
0.672000,7.2448,0.0575
0.673000,7.2537,0.0576
0.674000,7.2626,0.0576
0.675000,7.2715,0.0577
0.676000,7.2804,0.0578
0.677000,7.2893,0.0578
0.678000,7.2982,0.0579
0.679000,7.3071,0.0580
0.680000,7.3160,0.0580
0.681000,7.3249,0.0581
0.682000,7.3337,0.0582
0.683000,7.3426,0.0582
0.684000,7.3514,0.0583
0.685000,7.3603,0.0583
0.686000,7.3692,0.0584
0.687000,7.3780,0.0584
0.688000,7.3869,0.0585
0.689000,7.3957,0.0586
0.690000,7.4046,0.0587
0.691000,7.4134,0.0588
0.692000,7.4223,0.0589
0.693000,7.4311,0.0590
0.694000,7.4400,0.0591
0.695000,7.4488,0.0591
0.696000,7.4577,0.0592
0.697000,7.4666,0.0593
0.698000,7.4754,0.0594
0.699000,7.4843,0.0595
0.774000,8.1384,0.0650
0.775000,8.1470,0.0651
0.776000,8.1556,0.0652
0.777000,8.1642,0.0653
0.778000,8.1728,0.0653
0.779000,8.1814,0.0654
0.780000,8.1900,0.0655
0.764000,7.1101,0.1099
0.765000,7.1172,0.1100
0.766000,7.1244,0.1102
0.767000,7.1315,0.1103
0.810000,7.4354,0.1163
0.826000,6.6141,0.1398
0.832000,6.6465,0.1407
0.833000,6.6519,0.1409
0.834000,6.6573,0.1410
0.835000,6.6627,0.1412
0.836000,6.6681,0.1413
0.837000,6.6735,0.1415
0.838000,6.6789,0.1417
0.839000,6.6843,0.1418
0.840000,6.6898,0.1420
0.841000,6.6952,0.1421
0.842000,6.7006,0.1423
0.843000,6.7060,0.1424
0.844000,6.7114,0.1426
0.845000,6.7168,0.1427
0.846000,6.7222,0.1429
0.847000,6.7276,0.1431
0.848000,6.7330,0.1432
0.849000,6.7384,0.1434
0.850000,6.7438,0.1436
0.851000,6.7492,0.1437
0.852000,6.7546,0.1439
0.853000,6.7600,0.1440
0.854000,6.7654,0.1442
0.855000,6.7708,0.1443
0.856000,6.7762,0.1444
0.857000,6.7816,0.1445
0.858000,6.7869,0.1447
0.859000,6.7923,0.1448
0.860000,6.7977,0.1449
0.861000,6.8030,0.1450
0.862000,6.8084,0.1451
0.864000,6.8191,0.1453
0.865000,6.8245,0.1455
0.867000,6.8351,0.1456
0.897000,6.6359,0.1530
0.898000,6.6404,0.1532
0.899000,6.6449,0.1534
0.900000,6.6494,0.1535
0.901000,6.6539,0.1537
0.902000,6.6584,0.1539
0.903000,6.6629,0.1541
0.904000,6.6674,0.1543
0.905000,6.6719,0.1545
0.906000,6.6763,0.1546
0.907000,6.6808,0.1548
0.908000,6.6852,0.1549
0.909000,6.6897,0.1551
0.910000,6.6941,0.1553
0.911000,6.6986,0.1554
0.912000,6.7030,0.1556
0.913000,6.7074,0.1558
0.914000,6.7118,0.1559
0.915000,6.7162,0.1561
0.916000,6.7206,0.1563
0.917000,6.7250,0.1565
0.918000,6.7294,0.1566
0.919000,6.7338,0.1568
0.920000,6.7381,0.1570
0.921000,6.7425,0.1571
0.922000,6.7469,0.1573
0.923000,6.7512,0.1574
0.924000,6.7556,0.1576
0.925000,6.7599,0.1577
0.926000,6.7642,0.1579
0.927000,6.7685,0.1581
0.928000,6.7729,0.1583
0.929000,6.7772,0.1584
0.929000,6.5345,0.1630
0.930000,6.5383,0.1632
0.931000,6.5421,0.1634
0.932000,6.5459,0.1635
0.933000,6.5497,0.1637
0.934000,6.5535,0.1639
0.935000,6.5573,0.1640
0.936000,6.5610,0.1642
0.937000,6.5648,0.1643
0.938000,6.5685,0.1645
0.939000,6.5723,0.1646
0.940000,6.5760,0.1648
0.941000,6.5797,0.1649
0.942000,6.5834,0.1651
0.943000,6.5872,0.1652
0.944000,6.5909,0.1654
0.945000,6.5946,0.1656
0.945000,6.2392,0.1658
0.946000,6.2422,0.1659
0.947000,6.2452,0.1661
0.948000,6.2482,0.1662
0.949000,6.2511,0.1664
0.950000,6.2541,0.1666
0.951000,6.2571,0.1667
0.952000,6.2601,0.1669
0.953000,6.2631,0.1671
0.953000,5.7738,0.1530
0.954000,5.7757,0.1532
0.955000,5.7777,0.1534
0.956000,5.7796,0.1535
0.957000,5.7816,0.1537
0.958000,5.7835,0.1539
0.959000,5.7854,0.1541
0.960000,5.7873,0.1542
0.961000,5.7892,0.1544
0.962000,5.7911,0.1546
0.963000,5.7930,0.1547
0.964000,5.7949,0.1549
0.965000,5.7968,0.1550
0.966000,5.7986,0.1551
0.967000,5.8005,0.1553
0.968000,5.8023,0.1554
0.969000,5.8042,0.1556
0.970000,5.8060,0.1557
0.971000,5.8079,0.1559
0.972000,5.8097,0.1560
0.973000,5.8115,0.1562
0.974000,5.8133,0.1563
0.975000,5.8151,0.1564
0.976000,5.8169,0.1566
0.977000,5.8187,0.1567
0.978000,5.8204,0.1569
0.979000,5.8222,0.1570
0.980000,5.8240,0.1572
1.015000,5.5490,0.1762
1.016000,5.5498,0.1764
1.017000,5.5507,0.1765
1.018000,5.5515,0.1767
1.019000,5.5523,0.1769
1.020000,5.5531,0.1770
1.021000,5.5539,0.1772
1.051000,5.5745,0.1823
1.052000,5.5750,0.1825
1.053000,5.5756,0.1826
1.054000,5.5761,0.1828
1.055000,5.5766,0.1830
1.056000,5.5772,0.1832
1.057000,5.5777,0.1834
1.058000,5.5782,0.1836
1.059000,5.5787,0.1838
1.060000,5.5792,0.1839
1.061000,5.5796,0.1841
1.062000,5.5801,0.1842
1.063000,5.5806,0.1844
1.064000,5.5811,0.1845
1.065000,5.5815,0.1847
1.066000,5.5820,0.1848
1.067000,5.5824,0.1850
1.068000,5.5829,0.1851
1.069000,5.5833,0.1853
1.070000,5.5837,0.1854
1.071000,5.5841,0.1855
1.072000,5.5845,0.1857
1.073000,5.5849,0.1858
1.074000,5.5853,0.1859
1.075000,5.5857,0.1860
1.076000,5.5861,0.1862
1.077000,5.5865,0.1863
1.078000,5.5869,0.1865
1.079000,5.5872,0.1866
1.080000,5.5876,0.1868
1.081000,5.5880,0.1870
1.082000,5.5883,0.1871
1.083000,5.5887,0.1873
1.084000,5.5890,0.1875
1.085000,5.5893,0.1877
1.088000,5.5903,0.1883
1.089000,5.5906,0.1885
1.090000,5.5908,0.1886
1.091000,5.5911,0.1888
1.092000,5.5914,0.1890
1.093000,5.5917,0.1891
1.094000,5.5920,0.1892
1.095000,5.5922,0.1894
1.096000,5.5925,0.1895
1.097000,5.5928,0.1897
1.098000,5.5930,0.1899
1.207000,4.6050,0.1864
1.213000,4.5950,0.1874
1.214000,4.5933,0.1876
1.215000,4.5917,0.1878
1.231000,4.5650,0.1904
1.232000,4.5633,0.1905
1.271000,4.4938,0.1967
1.272000,4.4920,0.1968
1.273000,4.4902,0.1970
1.274000,4.4884,0.1971
1.275000,4.4866,0.1973
1.276000,4.4848,0.1975
1.277000,4.4830,0.1976
1.278000,4.4812,0.1978
1.279000,4.4794,0.1979
1.280000,4.4776,0.1981
1.281000,4.4758,0.1982
1.282000,4.4740,0.1983
1.283000,4.4722,0.1985
1.284000,4.4704,0.1986
1.285000,4.4686,0.1988
1.286000,4.4668,0.1989
1.287000,4.4650,0.1990
1.288000,4.4632,0.1992
1.289000,4.4614,0.1993
1.290000,4.4596,0.1995
1.291000,4.4578,0.1996
1.313000,4.4185,0.2029
1.314000,4.4168,0.2030
1.315000,4.4150,0.2032
1.316000,4.4133,0.2033
1.317000,4.4115,0.2035
1.318000,4.4098,0.2036
1.319000,4.4080,0.2038
1.320000,4.4063,0.2039
1.321000,4.4045,0.2041
1.322000,4.4028,0.2042
1.352000,4.2547,0.2182
1.353000,4.2520,0.2184
1.354000,4.2493,0.2185
1.355000,4.2465,0.2187
1.356000,4.2438,0.2188
1.378000,4.1621,0.2080
1.379000,4.1591,0.2082
1.380000,4.1561,0.2084
1.381000,4.1531,0.2085
1.382000,4.1502,0.2087
1.391000,4.1231,0.2100
1.392000,4.1201,0.2102
1.393000,4.1171,0.2104
1.394000,4.1141,0.2105
1.395000,4.1111,0.2107
1.396000,4.1081,0.2108
1.397000,4.1050,0.2110
1.398000,4.1020,0.2111
1.399000,4.0990,0.2113
1.400000,4.0960,0.2114
1.401000,4.0929,0.2116
1.402000,4.0899,0.2117
1.402000,3.5695,0.1802
1.415000,3.5186,0.1817
1.417000,3.5107,0.1819
1.418000,3.5068,0.1820
1.419000,3.5029,0.1822
1.420000,3.4990,0.1823
1.421000,3.4951,0.1825
1.422000,3.4912,0.1827
1.422000,3.4282,0.1757
1.423000,3.4241,0.1758
1.424000,3.4200,0.1760
1.425000,3.4159,0.1761
1.426000,3.4117,0.1763
1.427000,3.4076,0.1764
1.428000,3.4035,0.1765
1.429000,3.3994,0.1767
1.430000,3.3953,0.1768
1.430000,3.7263,0.1726
1.489000,3.5194,0.1794
1.490000,3.5158,0.1795
1.491000,3.5123,0.1796
1.492000,3.5087,0.1797
1.493000,3.5051,0.1798
1.494000,3.5016,0.1799
1.495000,3.4980,0.1800
1.496000,3.4944,0.1801
1.497000,3.4908,0.1803
1.498000,3.4872,0.1804
1.499000,3.4837,0.1805
1.500000,3.4801,0.1806
1.501000,3.4765,0.1807
1.502000,3.4729,0.1808
1.503000,3.4694,0.1809
1.630000,3.4971,0.1860
1.631000,3.4937,0.1861
1.645000,3.4466,0.1878
1.646000,3.4432,0.1879
1.647000,3.4399,0.1881
1.663000,3.3872,0.1902
1.664000,3.3839,0.1902
1.665000,3.3806,0.1903
1.666000,3.3773,0.1904
1.667000,3.3741,0.1905
1.668000,3.3708,0.1906
1.669000,3.3676,0.1907
1.670000,3.3643,0.1909
1.671000,3.3611,0.1910
1.672000,3.3578,0.1911
1.672000,3.9177,0.1945
1.673000,3.9149,0.1946
1.674000,3.9121,0.1947
1.675000,3.9093,0.1948
1.676000,3.9065,0.1950
1.697000,4.1552,0.2005
1.698000,4.1522,0.2006
1.699000,4.1493,0.2007
1.700000,4.1464,0.2008
1.701000,4.1435,0.2010
1.702000,4.1405,0.2011
1.703000,4.1376,0.2012
1.704000,4.1346,0.2013
1.705000,4.1317,0.2014
1.706000,4.1287,0.2015
1.707000,4.1257,0.2017
1.708000,4.1227,0.2018
1.709000,4.1197,0.2018
1.710000,4.1167,0.2019
1.711000,4.1137,0.2020
1.741000,4.0203,0.2056
1.742000,4.0171,0.2057
1.743000,4.0139,0.2058
1.744000,4.0107,0.2059
1.747000,4.7101,0.2016
1.757000,4.6926,0.2028
1.758000,4.6908,0.2029
1.759000,4.6891,0.2031
1.760000,4.6873,0.2032
1.761000,4.6855,0.2033
1.762000,4.6837,0.2034
1.763000,4.6819,0.2036
1.764000,4.6801,0.2037
1.765000,4.6783,0.2038
1.766000,4.6765,0.2039
1.767000,4.6746,0.2041
1.768000,4.6728,0.2042
1.769000,4.6709,0.2043
1.770000,4.6691,0.2045
1.771000,4.6672,0.2046
1.772000,4.6653,0.2047
1.773000,4.6635,0.2048
1.774000,4.6616,0.2050
1.775000,4.6597,0.2051
1.776000,4.6578,0.2052
1.777000,4.6560,0.2053
1.778000,4.6541,0.2054
1.779000,4.6522,0.2055
1.780000,4.6502,0.2057
1.781000,4.6483,0.2058
1.782000,4.6464,0.2059
1.794000,4.6227,0.2073
1.795000,4.6207,0.2075
1.796000,4.6186,0.2076
1.797000,4.6166,0.2077
1.798000,4.6146,0.2078
1.799000,4.6125,0.2080
1.807000,4.3841,0.2226
1.808000,4.3816,0.2227
1.835000,5.2278,0.2197
1.836000,5.2270,0.2199
1.837000,5.2262,0.2200
1.838000,5.2254,0.2201
1.881000,4.5250,0.2127
1.882000,4.5227,0.2128
1.883000,4.5205,0.2129
1.884000,4.5182,0.2130
1.885000,4.5159,0.2131
1.886000,4.5136,0.2132
1.887000,4.5113,0.2133
1.888000,4.5090,0.2134
1.889000,4.5066,0.2135
1.890000,4.5043,0.2136
1.891000,4.5020,0.2138
1.892000,4.4997,0.2139
1.893000,4.4973,0.2139
1.894000,4.4950,0.2140
1.895000,4.4926,0.2141
1.896000,4.4903,0.2142
1.897000,4.4879,0.2144
1.906000,4.4664,0.2154
1.907000,4.4640,0.2155
1.908000,4.4615,0.2156
1.909000,4.4591,0.2157
1.910000,4.4567,0.2158
1.970000,4.5383,0.1976
1.977000,4.5231,0.1984
2.011000,4.4477,0.2021
2.012000,4.4454,0.2022
2.013000,4.4432,0.2023
2.014000,4.4409,0.2024
2.015000,4.4386,0.2025
2.016000,4.4362,0.2026
2.017000,4.4339,0.2028
2.018000,4.4316,0.2029
2.019000,4.4293,0.2030
2.020000,4.4270,0.2031
2.021000,4.4247,0.2032
2.022000,4.4223,0.2034
2.023000,4.4200,0.2035
2.024000,4.4177,0.2036
2.025000,4.4153,0.2037
2.026000,4.4130,0.2038
2.027000,4.4106,0.2039
2.028000,4.4082,0.2041
2.061000,4.3303,0.2140
2.062000,4.3279,0.2141
2.063000,4.3255,0.2143
2.064000,4.3231,0.2144
2.065000,4.3207,0.2145
2.066000,4.3183,0.2146
2.067000,4.3159,0.2147
2.068000,4.3134,0.2149
2.069000,4.3110,0.2150
2.070000,4.3086,0.2151
2.072000,4.3037,0.2153
2.073000,4.3012,0.2154
2.074000,4.2987,0.2155
2.075000,4.2962,0.2156
2.076000,4.2938,0.2157
2.257000,3.7810,0.2350
2.258000,3.7778,0.2351
2.263000,3.7616,0.2355
2.264000,3.7584,0.2356
2.265000,3.7552,0.2357
2.266000,3.7519,0.2358
2.267000,3.7487,0.2359
2.268000,3.7454,0.2360
2.269000,3.7422,0.2360
2.270000,3.7389,0.2361
2.271000,3.7357,0.2362
2.287000,3.6831,0.2379
2.294000,3.6600,0.2386
2.299000,3.6436,0.2392
2.303000,3.3700,0.2276
2.312000,3.3385,0.2284
2.331000,3.3574,0.2218
2.332000,3.3536,0.2219
2.333000,3.3498,0.2220
2.351000,2.9668,0.2118
2.352000,2.9625,0.2119
2.362000,2.9195,0.2130
2.377000,2.8554,0.2146
2.378000,2.8511,0.2147
2.379000,2.8468,0.2148
2.380000,2.8425,0.2149
2.381000,2.8381,0.2149
2.382000,2.8338,0.2150
2.397000,2.7683,0.2161
2.410000,3.4000,0.2099
2.419000,3.3696,0.2105
2.423000,3.3560,0.2108
2.424000,3.3526,0.2109
2.425000,3.3492,0.2109
2.426000,3.3457,0.2110
2.427000,3.3423,0.2111
2.428000,3.3389,0.2111
2.429000,3.3354,0.2112
2.430000,3.3320,0.2113
2.431000,3.3286,0.2114
2.432000,3.3251,0.2115
2.433000,3.3217,0.2116
2.434000,3.3183,0.2116
2.435000,3.3149,0.2117
2.436000,3.3114,0.2118
2.437000,3.3080,0.2119
2.438000,3.3046,0.2120
2.439000,3.3012,0.2121
2.440000,3.2978,0.2122
2.441000,3.2944,0.2123
2.442000,3.2909,0.2124
2.443000,3.2875,0.2125
2.444000,3.2841,0.2126
2.444000,3.1081,0.2030
2.445000,3.1046,0.2031
