t,pos_err_mm,yaw_err_deg
0.056000,2.1420,0.0014
0.057000,2.1773,0.0014
0.058000,2.2125,0.0014
0.078000,2.9167,0.0015
0.079000,2.9519,0.0015
0.133000,9.4652,0.0019
0.134000,9.5341,0.0019
0.135000,9.6029,0.0018
0.136000,9.6718,0.0018
0.137000,9.7406,0.0018
0.138000,9.8094,0.0017
0.144000,10.2225,0.0016
0.161000,11.3932,0.0017
0.193000,13.5986,0.0013
0.194000,13.6675,0.0012
0.195000,13.7364,0.0012
0.196000,13.8053,0.0012
0.197000,13.8742,0.0012
0.198000,13.9431,0.0012
0.199000,14.0120,0.0012
0.200000,14.0809,0.0012
0.201000,14.1498,0.0012
0.202000,14.2187,0.0012
0.203000,14.2876,0.0012
0.204000,14.3565,0.0012
0.205000,14.4254,0.0012
0.206000,14.4944,0.0011
0.207000,14.5633,0.0011
0.208000,14.6322,0.0011
0.209000,14.7011,0.0011
0.210000,14.7701,0.0010
0.211000,14.8390,0.0010
0.212000,14.9079,0.0010
0.213000,14.9769,0.0010
0.214000,15.0458,0.0010
0.215000,15.1147,0.0009
0.216000,15.1837,0.0009
0.217000,15.2526,0.0009
0.218000,15.3215,0.0009
0.219000,15.3905,0.0009
0.220000,15.4594,0.0009
0.221000,15.5283,0.0008
0.222000,15.5973,0.0008
0.223000,15.6662,0.0008
0.224000,15.7351,0.0008
0.225000,15.8040,0.0008
0.226000,15.8730,0.0009
0.227000,15.9419,0.0009
0.228000,16.0108,0.0009
0.229000,16.0798,0.0009
0.230000,16.1487,0.0010
0.231000,16.2177,0.0010
0.232000,16.2866,0.0010
0.233000,16.3556,0.0010
0.234000,16.4245,0.0010
0.235000,16.4934,0.0011
0.236000,16.5624,0.0011
0.237000,16.6313,0.0011
0.238000,16.7003,0.0011
0.239000,16.7693,0.0011
0.240000,16.8382,0.0012
0.241000,16.9072,0.0012
0.242000,16.9761,0.0013
0.242000,9.2382,0.0024
0.243000,9.2746,0.0024
0.244000,9.3111,0.0024
0.245000,9.3475,0.0024
0.246000,9.3840,0.0024
0.247000,9.4204,0.0025
0.248000,9.4569,0.0025
0.249000,9.4933,0.0025
0.250000,9.5298,0.0025
0.251000,9.5662,0.0025
0.252000,9.6027,0.0025
0.253000,9.6392,0.0025
0.254000,9.6756,0.0025
0.255000,9.7121,0.0025
