t,pos_err_mm,yaw_err_deg
0.829000,1.356953,0.000126
0.830000,1.396206,0.000122
0.831000,1.435459,0.000118
0.832000,1.474711,0.000114
0.833000,1.513964,0.000110
0.834000,1.553217,0.000105
0.835000,1.592469,0.000101
0.836000,1.631722,0.000097
0.837000,1.670975,0.000092
0.838000,1.710227,0.000088
0.839000,1.749479,0.000083
0.840000,1.788732,0.000078
0.841000,1.827984,0.000073
0.842000,1.867236,0.000068
0.843000,1.906489,0.000064
0.844000,1.945741,0.000059
0.845000,1.984993,0.000054
0.846000,2.024245,0.000049
0.847000,2.063497,0.000044
0.848000,2.102749,0.000039
0.849000,2.142001,0.000034
0.850000,2.181253,0.000029
0.851000,2.220505,0.000024
0.852000,2.259757,0.000019
0.853000,2.299008,0.000014
0.854000,2.338260,0.000010
0.855000,2.377512,0.000005
0.855000,2.297938,0.001189
0.856000,2.335827,0.001189
0.857000,2.373716,0.001189
0.858000,2.411605,0.001189
0.859000,2.449494,0.001189
0.860000,2.487383,0.001189
0.861000,2.525271,0.001188
0.862000,2.563160,0.001188
0.863000,2.601049,0.001188
0.864000,2.638938,0.001188
0.865000,2.676827,0.001188
0.866000,2.714716,0.001187
0.867000,2.752604,0.001187
0.868000,2.790493,0.001186
0.869000,2.828382,0.001185
0.870000,2.866271,0.001184
0.871000,2.904160,0.001184
0.872000,2.942049,0.001182
0.873000,2.979938,0.001181
0.874000,3.017826,0.001180
0.875000,3.055715,0.001179
0.876000,3.093604,0.001177
0.877000,3.131493,0.001176
0.878000,3.169382,0.001175
0.879000,3.207271,0.001174
0.880000,3.245159,0.001172
0.880000,5.128888,0.002802
0.881000,5.190324,0.002808
0.882000,5.251760,0.002814
0.883000,5.313196,0.002821
0.884000,5.374633,0.002827
0.885000,5.436069,0.002833
0.886000,5.497505,0.002840
0.887000,5.558941,0.002846
0.888000,5.620377,0.002853
0.889000,5.681813,0.002860
0.890000,5.743249,0.002866
0.891000,5.804685,0.002873
0.892000,5.866121,0.002880
0.893000,5.927557,0.002886
0.894000,5.988993,0.002893
0.895000,6.050429,0.002900
0.896000,6.111864,0.002907
0.897000,6.173300,0.002914
0.898000,6.234736,0.002921
0.899000,6.296172,0.002928
0.900000,6.357608,0.002935
0.901000,6.419044,0.002942
0.902000,6.480480,0.002949
0.903000,6.541916,0.002956
0.904000,6.603352,0.002963
0.905000,6.664787,0.002971
0.906000,6.726223,0.002978
0.907000,6.787659,0.002985
0.907000,6.479484,0.005239
0.908000,6.537974,0.005257
0.909000,6.596464,0.005275
0.910000,6.654954,0.005293
0.911000,6.713444,0.005311
0.912000,6.771934,0.005329
0.913000,6.830424,0.005347
0.914000,6.888914,0.005365
0.915000,6.947404,0.005383
