t,pos_err_mm,yaw_err_deg
0.327000,3.3405,0.0006
0.328000,3.4051,0.0006
0.329000,3.4696,0.0006
0.330000,3.5342,0.0006
0.331000,3.5987,0.0006
0.332000,3.6632,0.0006
0.333000,3.7278,0.0006
0.334000,3.7923,0.0006
0.335000,3.8569,0.0006
0.336000,3.9214,0.0006
0.337000,3.9859,0.0006
0.338000,4.0505,0.0006
0.339000,4.1150,0.0006
0.340000,4.1796,0.0006
0.340000,5.0046,0.0016
0.341000,5.0829,0.0016
0.342000,5.1612,0.0016
0.343000,5.2394,0.0016
0.344000,5.3177,0.0016
0.345000,5.3960,0.0016
0.346000,5.4742,0.0016
0.347000,5.5525,0.0016
0.348000,5.6308,0.0016
0.349000,5.7091,0.0016
0.350000,5.7873,0.0016
0.351000,5.8656,0.0017
0.352000,5.9439,0.0017
0.353000,6.0222,0.0017
0.354000,6.1004,0.0017
0.355000,6.1787,0.0017
0.356000,6.2570,0.0017
0.357000,6.3353,0.0017
0.358000,6.4135,0.0017
0.359000,6.4918,0.0017
0.360000,6.5701,0.0017
0.361000,6.6484,0.0017
0.362000,6.7266,0.0017
0.363000,6.8049,0.0017
0.364000,6.8832,0.0017
0.364000,4.8716,0.0021
0.365000,4.9256,0.0021
0.366000,4.9797,0.0021
0.367000,5.0338,0.0021
0.368000,5.0879,0.0022
0.369000,5.1419,0.0022
0.370000,5.1960,0.0022
0.371000,5.2501,0.0022
0.372000,5.3041,0.0022
0.373000,5.3582,0.0022
0.374000,5.4123,0.0022
0.375000,5.4664,0.0022
0.376000,5.5204,0.0022
0.377000,5.5745,0.0022
0.378000,5.6286,0.0022
0.379000,5.6826,0.0022
0.380000,5.7367,0.0022
0.381000,5.7908,0.0022
0.382000,5.8449,0.0022
0.383000,5.8989,0.0022
0.384000,5.9530,0.0022
0.384000,6.1869,0.0046
0.385000,6.2433,0.0046
0.386000,6.2996,0.0046
0.387000,6.3559,0.0046
0.388000,6.4122,0.0046
0.389000,6.4685,0.0047
0.390000,6.5248,0.0047
0.391000,6.5811,0.0047
0.392000,6.6374,0.0047
0.393000,6.6937,0.0047
0.394000,6.7500,0.0047
0.395000,6.8063,0.0047
0.396000,6.8626,0.0048
0.397000,6.9190,0.0048
0.398000,6.9753,0.0048
0.399000,7.0316,0.0048
0.400000,7.0879,0.0048
0.401000,7.1442,0.0048
0.402000,7.2005,0.0049
0.403000,7.2568,0.0049
0.404000,7.3131,0.0049
0.405000,7.3694,0.0049
0.406000,7.4257,0.0049
0.407000,7.4820,0.0049
0.407000,6.9293,0.0059
0.408000,6.9810,0.0060
0.409000,7.0327,0.0060
0.410000,7.0845,0.0060
0.411000,7.1362,0.0060
0.412000,7.1879,0.0060
0.413000,7.2397,0.0061
0.414000,7.2914,0.0061
0.415000,7.3431,0.0061
0.416000,7.3949,0.0061
0.417000,7.4466,0.0061
0.418000,7.4983,0.0062
0.419000,7.5501,0.0062
0.420000,7.6018,0.0062
0.421000,7.6535,0.0062
0.422000,7.7053,0.0062
0.423000,7.7570,0.0063
0.424000,7.8087,0.0063
0.425000,7.8605,0.0063
0.426000,7.9122,0.0063
0.427000,7.9639,0.0063
0.428000,8.0157,0.0064
0.429000,8.0674,0.0064
0.430000,8.1191,0.0064
0.431000,8.1709,0.0064
0.432000,8.2226,0.0064
0.433000,8.2744,0.0065
0.433000,7.4134,0.0103
0.434000,7.4591,0.0103
0.435000,7.5048,0.0103
0.436000,7.5505,0.0104
0.437000,7.5962,0.0104
0.438000,7.6419,0.0104
0.439000,7.6876,0.0105
0.440000,7.7334,0.0105
0.441000,7.7791,0.0106
0.442000,7.8248,0.0106
0.443000,7.8705,0.0106
0.444000,7.9162,0.0107
0.445000,7.9619,0.0107
0.446000,8.0076,0.0107
0.447000,8.0533,0.0108
0.448000,8.0990,0.0108
0.449000,8.1447,0.0108
0.450000,8.1904,0.0109
0.451000,8.2361,0.0109
0.452000,8.2818,0.0110
0.453000,8.3275,0.0110
0.454000,8.3732,0.0110
0.455000,8.4189,0.0111
0.456000,8.4646,0.0111
0.457000,8.5103,0.0111
0.458000,8.5560,0.0112
0.458000,6.7755,0.0116
0.459000,6.8103,0.0116
0.460000,6.8451,0.0117
0.461000,6.8799,0.0117
0.462000,6.9147,0.0117
0.463000,6.9495,0.0118
0.464000,6.9844,0.0118
0.465000,7.0192,0.0118
0.466000,7.0540,0.0119
0.467000,7.0888,0.0119
0.468000,7.1236,0.0120
0.469000,7.1584,0.0120
0.470000,7.1932,0.0120
0.471000,7.2280,0.0121
0.472000,7.2629,0.0121
0.473000,7.2977,0.0121
0.474000,7.3325,0.0122
0.475000,7.3673,0.0122
0.476000,7.4021,0.0122
0.477000,7.4369,0.0123
0.478000,7.4717,0.0123
0.479000,7.5065,0.0124
0.480000,7.5413,0.0124
0.481000,7.5762,0.0124
0.482000,7.6110,0.0125
0.482000,6.5017,0.0151
0.483000,6.5304,0.0151
0.484000,6.5592,0.0152
0.485000,6.5880,0.0152
0.486000,6.6167,0.0152
0.487000,6.6455,0.0153
0.488000,6.6743,0.0153
0.489000,6.7031,0.0154
0.490000,6.7318,0.0154
0.491000,6.7606,0.0155
0.492000,6.7894,0.0155
0.493000,6.8181,0.0156
0.494000,6.8469,0.0156
0.495000,6.8757,0.0157
0.496000,6.9044,0.0157
0.497000,6.9332,0.0158
0.498000,6.9620,0.0158
0.499000,6.9907,0.0159
0.500000,7.0195,0.0159
0.501000,7.0483,0.0159
0.502000,7.0770,0.0160
0.503000,7.1058,0.0160
0.504000,7.1346,0.0161
0.505000,7.1633,0.0161
0.506000,7.1921,0.0162
0.507000,7.2209,0.0162
0.507000,6.7843,0.0198
0.508000,6.8109,0.0199
0.509000,6.8376,0.0199
0.510000,6.8642,0.0200
0.511000,6.8908,0.0200
0.512000,6.9175,0.0201
0.513000,6.9441,0.0202
0.514000,6.9707,0.0202
0.515000,6.9974,0.0203
0.516000,7.0240,0.0203
0.517000,7.0506,0.0204
0.518000,7.0773,0.0205
0.519000,7.1039,0.0205
0.520000,7.1305,0.0206
0.521000,7.1571,0.0206
0.522000,7.1838,0.0207
0.523000,7.2104,0.0207
0.524000,7.2370,0.0208
0.525000,7.2637,0.0209
0.526000,7.2903,0.0209
0.527000,7.3169,0.0210
0.528000,7.3435,0.0210
0.529000,7.3702,0.0211
0.530000,7.3968,0.0212
0.531000,7.4234,0.0212
0.531000,6.4459,0.0211
0.532000,6.4682,0.0212
0.533000,6.4904,0.0212
0.534000,6.5127,0.0213
0.535000,6.5349,0.0214
0.536000,6.5572,0.0214
0.537000,6.5794,0.0215
0.538000,6.6017,0.0215
0.539000,6.6239,0.0216
0.540000,6.6461,0.0216
0.541000,6.6684,0.0217
0.542000,6.6906,0.0218
0.543000,6.7129,0.0218
0.544000,6.7351,0.0219
0.545000,6.7573,0.0219
0.546000,6.7796,0.0220
0.547000,6.8018,0.0221
0.548000,6.8241,0.0221
0.549000,6.8463,0.0222
0.550000,6.8685,0.0222
0.551000,6.8908,0.0223
0.552000,6.9130,0.0223
0.553000,6.9352,0.0224
0.554000,6.9575,0.0225
0.555000,6.9797,0.0225
0.556000,7.0019,0.0226
0.557000,7.0242,0.0226
0.558000,7.0464,0.0227
0.558000,6.0308,0.0271
0.559000,6.0488,0.0272
0.560000,6.0669,0.0272
0.561000,6.0850,0.0273
0.562000,6.1030,0.0274
0.563000,6.1211,0.0275
0.564000,6.1392,0.0275
0.565000,6.1573,0.0276
0.566000,6.1753,0.0277
0.567000,6.1934,0.0277
0.568000,6.2115,0.0278
0.569000,6.2295,0.0279
0.570000,6.2476,0.0279
0.571000,6.2656,0.0280
0.572000,6.2837,0.0281
0.573000,6.3018,0.0282
0.574000,6.3198,0.0282
0.575000,6.3379,0.0283
0.576000,6.3560,0.0284
0.577000,6.3740,0.0284
0.578000,6.3921,0.0285
0.579000,6.4101,0.0286
0.580000,6.4282,0.0287
0.581000,6.4462,0.0287
0.582000,6.4643,0.0288
0.582000,5.5840,0.0278
0.583000,5.5988,0.0278
0.584000,5.6135,0.0279
0.585000,5.6282,0.0280
0.586000,5.6429,0.0280
0.587000,5.6576,0.0281
0.588000,5.6723,0.0282
0.589000,5.6870,0.0282
0.590000,5.7017,0.0283
0.591000,5.7164,0.0284
0.592000,5.7311,0.0284
0.593000,5.7458,0.0285
0.594000,5.7605,0.0286
0.595000,5.7752,0.0286
0.596000,5.7899,0.0287
0.597000,5.8046,0.0288
0.598000,5.8193,0.0288
0.599000,5.8339,0.0289
0.600000,5.8486,0.0290
0.601000,5.8633,0.0290
0.602000,5.8780,0.0291
0.603000,5.8927,0.0292
0.604000,5.9074,0.0292
0.605000,5.9221,0.0293
0.606000,5.9368,0.0294
0.607000,5.9514,0.0294
0.608000,5.9661,0.0295
0.608000,6.3804,0.0451
0.609000,6.3966,0.0452
0.610000,6.4129,0.0453
0.611000,6.4291,0.0454
0.612000,6.4454,0.0455
0.613000,6.4616,0.0457
0.614000,6.4779,0.0458
0.615000,6.4941,0.0459
0.616000,6.5103,0.0460
0.617000,6.5266,0.0461
0.618000,6.5428,0.0462
0.619000,6.5591,0.0463
0.620000,6.5753,0.0464
0.621000,6.5915,0.0465
0.622000,6.6078,0.0466
0.623000,6.6240,0.0468
0.624000,6.6403,0.0469
0.625000,6.6565,0.0470
0.626000,6.6727,0.0471
0.627000,6.6890,0.0472
0.628000,6.7052,0.0473
0.629000,6.7214,0.0474
0.630000,6.7377,0.0475
0.631000,6.7539,0.0476
0.632000,6.7701,0.0478
0.633000,6.7864,0.0479
0.633000,6.1861,0.0455
0.634000,6.2003,0.0457
0.635000,6.2144,0.0458
0.636000,6.2286,0.0459
0.637000,6.2427,0.0460
0.638000,6.2569,0.0461
0.639000,6.2710,0.0462
0.640000,6.2852,0.0463
0.641000,6.2993,0.0464
0.642000,6.3134,0.0465
0.643000,6.3276,0.0466
0.644000,6.3417,0.0467
0.645000,6.3559,0.0468
0.646000,6.3700,0.0469
0.647000,6.3841,0.0470
0.648000,6.3983,0.0471
0.649000,6.4124,0.0472
0.650000,6.4265,0.0473
0.651000,6.4406,0.0474
0.652000,6.4548,0.0475
0.653000,6.4689,0.0476
0.654000,6.4830,0.0477
0.655000,6.4971,0.0478
0.656000,6.5113,0.0480
