t,pos_err_mm,yaw_err_deg
0.073000,2.0807,0.0214
0.073000,5.9843,0.0211
0.074000,6.0650,0.0214
0.075000,6.1458,0.0217
0.076000,6.2267,0.0220
0.077000,6.3076,0.0222
0.078000,6.3885,0.0225
0.079000,6.4696,0.0228
0.080000,6.5506,0.0230
0.080000,4.3313,0.0221
0.081000,4.3847,0.0224
0.082000,4.4381,0.0227
0.083000,4.4915,0.0230
0.084000,4.5450,0.0233
0.085000,4.5986,0.0236
0.086000,4.6522,0.0239
0.087000,4.7059,0.0242
0.088000,4.7597,0.0245
0.089000,4.8135,0.0248
0.090000,4.8673,0.0251
0.091000,4.9212,0.0254
0.092000,4.9752,0.0256
0.093000,5.0292,0.0259
0.094000,5.0832,0.0262
0.095000,5.1373,0.0265
0.096000,5.1915,0.0268
0.097000,5.2457,0.0271
0.098000,5.3000,0.0273
0.099000,5.3543,0.0276
0.100000,5.4087,0.0279
0.101000,5.4631,0.0282
0.102000,5.5176,0.0284
0.103000,5.5722,0.0287
0.104000,5.6268,0.0289
0.105000,5.6815,0.0292
0.106000,5.7362,0.0295
0.107000,5.7910,0.0297
0.108000,5.8458,0.0300
0.109000,5.9007,0.0302
0.110000,5.9557,0.0305
0.111000,6.0107,0.0307
0.112000,6.0657,0.0310
0.113000,6.1208,0.0312
0.114000,6.1760,0.0315
0.115000,6.2312,0.0318
0.116000,6.2865,0.0321
0.117000,6.3419,0.0323
0.118000,6.3973,0.0326
0.119000,6.4527,0.0329
0.120000,6.5082,0.0332
0.121000,6.5638,0.0335
0.122000,6.6195,0.0338
0.123000,6.6752,0.0341
0.124000,6.7309,0.0344
0.125000,6.7867,0.0347
0.126000,6.8426,0.0350
0.127000,6.8985,0.0353
0.127000,4.4336,0.0341
0.128000,4.4697,0.0345
0.129000,4.5058,0.0348
0.130000,4.5420,0.0351
0.131000,4.5782,0.0354
0.132000,4.6145,0.0357
0.133000,4.6508,0.0360
0.134000,4.6872,0.0363
0.135000,4.7236,0.0366
0.136000,4.7600,0.0369
0.137000,4.7966,0.0372
0.138000,4.8331,0.0375
0.139000,4.8697,0.0378
0.140000,4.9063,0.0381
0.140000,3.6952,0.0371
0.141000,3.7231,0.0374
0.142000,3.7510,0.0376
0.143000,3.7790,0.0379
0.144000,3.8070,0.0382
0.145000,3.8351,0.0385
0.146000,3.8633,0.0387
0.147000,3.8915,0.0390
0.148000,3.9197,0.0393
0.149000,3.9480,0.0395
0.150000,3.9764,0.0398
0.151000,4.0048,0.0401
0.152000,4.0332,0.0403
0.153000,4.0617,0.0406
0.154000,4.0903,0.0408
0.155000,4.1189,0.0411
0.156000,4.1475,0.0413
0.157000,4.1762,0.0415
0.158000,4.2050,0.0418
0.159000,4.2338,0.0420
0.160000,4.2626,0.0423
0.161000,4.2915,0.0425
0.162000,4.3205,0.0428
0.163000,4.3495,0.0430
0.163000,5.3574,0.0438
0.164000,5.3931,0.0441
0.165000,5.4289,0.0444
0.166000,5.4647,0.0447
0.167000,5.5005,0.0449
0.168000,5.5364,0.0453
0.169000,5.5724,0.0456
0.170000,5.6084,0.0458
0.171000,5.6445,0.0461
0.172000,5.6807,0.0464
0.173000,5.7168,0.0467
0.174000,5.7531,0.0470
0.175000,5.7894,0.0473
0.176000,5.8258,0.0476
0.177000,5.8622,0.0478
0.178000,5.8987,0.0481
0.179000,5.9352,0.0484
0.180000,5.9718,0.0487
0.181000,6.0084,0.0489
0.182000,6.0451,0.0492
0.183000,6.0819,0.0495
0.184000,6.1187,0.0497
0.185000,6.1556,0.0500
0.186000,6.1925,0.0503
0.187000,6.2295,0.0506
0.188000,6.2665,0.0508
0.189000,6.3036,0.0511
0.190000,6.3408,0.0514
0.191000,6.3780,0.0517
0.258000,7.2773,0.0661
0.259000,7.3112,0.0664
0.260000,7.3453,0.0666
0.261000,7.3794,0.0669
0.262000,7.4135,0.0671
0.263000,7.4477,0.0674
0.264000,7.4820,0.0676
0.265000,7.5162,0.0679
0.296000,8.6063,0.0759
0.297000,8.6423,0.0761
0.298000,8.6784,0.0764
0.299000,8.7146,0.0767
0.300000,8.7507,0.0770
0.301000,8.7870,0.0772
0.302000,8.8233,0.0775
0.303000,8.8596,0.0778
0.305000,8.9325,0.0784
0.306000,8.9691,0.0787
0.307000,9.0057,0.0790
0.307000,6.8681,0.0765
0.307000,6.1844,0.0749
0.308000,6.2112,0.0752
0.309000,6.2381,0.0754
0.310000,6.2651,0.0757
0.311000,6.2921,0.0760
0.312000,6.3192,0.0763
0.313000,6.3463,0.0766
0.314000,6.3735,0.0768
0.315000,6.4007,0.0771
0.316000,6.4280,0.0773
0.317000,6.4554,0.0776
0.318000,6.4828,0.0778
0.319000,6.5103,0.0780
0.320000,6.5378,0.0783
0.321000,6.5654,0.0785
0.322000,6.5931,0.0787
0.323000,6.6208,0.0790
0.324000,6.6485,0.0792
0.325000,6.6763,0.0794
0.326000,6.7042,0.0797
0.327000,6.7321,0.0799
0.328000,6.7601,0.0801
0.329000,6.7881,0.0804
0.330000,6.8162,0.0806
0.331000,6.8443,0.0809
0.332000,6.8725,0.0811
0.333000,6.9007,0.0813
0.334000,6.9290,0.0816
0.354000,4.9246,0.0775
0.355000,4.9463,0.0777
0.356000,4.9682,0.0779
0.357000,4.9901,0.0782
0.358000,5.0120,0.0784
0.359000,5.0340,0.0786
0.360000,5.0561,0.0789
0.361000,5.0782,0.0791
0.381000,5.5331,0.0835
0.382000,5.5565,0.0837
0.383000,5.5798,0.0840
0.384000,5.6033,0.0842
0.385000,5.6268,0.0845
0.386000,5.6503,0.0847
0.387000,5.6739,0.0850
0.388000,5.6976,0.0852
0.389000,5.7213,0.0854
0.390000,5.7451,0.0856
0.391000,5.7689,0.0858
0.392000,5.7928,0.0861
0.393000,5.8168,0.0863
0.394000,5.8408,0.0865
0.395000,5.8649,0.0867
0.396000,5.8890,0.0869
0.397000,5.9131,0.0872
0.398000,5.9374,0.0874
0.399000,5.9617,0.0876
0.400000,5.9860,0.0878
0.401000,6.0104,0.0881
0.402000,6.0348,0.0883
0.403000,6.0593,0.0886
0.404000,6.0839,0.0888
0.404000,5.4554,0.0925
0.405000,5.4783,0.0927
0.406000,5.5014,0.0929
0.407000,5.5245,0.0932
0.408000,5.5476,0.0934
0.409000,5.5709,0.0937
0.410000,5.5941,0.0939
0.411000,5.6174,0.0942
0.412000,5.6408,0.0944
0.413000,5.6643,0.0946
0.414000,5.6878,0.0949
0.415000,5.7113,0.0951
0.416000,5.7349,0.0954
0.448000,5.7339,0.0992
0.449000,5.7573,0.0995
0.450000,5.7806,0.0997
0.451000,5.8041,0.0999
0.452000,5.8276,0.1002
0.453000,5.8511,0.1004
0.454000,5.8747,0.1006
0.455000,5.8984,0.1008
0.456000,5.9221,0.1011
0.457000,5.9458,0.1013
0.458000,5.9697,0.1015
0.459000,5.9935,0.1017
0.460000,6.0175,0.1020
0.461000,6.0415,0.1022
0.462000,6.0655,0.1024
0.463000,6.0896,0.1026
0.502000,7.0746,0.1115
0.503000,7.1010,0.1117
0.504000,7.1276,0.1119
0.505000,7.1541,0.1121
0.506000,7.1808,0.1124
0.507000,7.2075,0.1126
0.508000,7.2343,0.1128
0.509000,7.2611,0.1131
0.510000,7.2880,0.1133
0.511000,7.3148,0.1135
0.512000,7.3416,0.1138
0.513000,7.3685,0.1140
0.514000,7.3955,0.1143
0.515000,7.4226,0.1145
0.516000,7.4498,0.1148
0.517000,7.4770,0.1150
0.518000,7.5043,0.1152
0.519000,7.5317,0.1155
0.520000,7.5592,0.1157
0.521000,7.5861,0.1160
0.522000,7.6132,0.1162
0.523000,7.6403,0.1164
0.524000,7.6675,0.1166
0.525000,7.6949,0.1168
0.526000,7.7224,0.1170
0.527000,7.7500,0.1172
0.528000,7.7777,0.1174
0.529000,7.8056,0.1176
0.530000,7.8337,0.1178
0.531000,7.8604,0.1180
0.532000,7.8873,0.1183
0.533000,7.9144,0.1185
0.534000,7.9417,0.1187
0.535000,7.9692,0.1189
0.536000,7.9969,0.1191
0.537000,8.0248,0.1194
0.538000,8.0529,0.1196
0.539000,8.0813,0.1199
0.540000,8.1099,0.1201
0.541000,8.1363,0.1204
0.542000,8.1629,0.1206
0.543000,8.1898,0.1209
0.544000,8.2170,0.1211
0.545000,8.2446,0.1214
0.546000,8.2724,0.1216
0.547000,8.3005,0.1218
0.548000,8.3289,0.1220
0.549000,8.3577,0.1223
0.549000,7.0992,0.1040
0.549000,6.8727,0.0750
0.550000,6.8981,0.0752
0.551000,6.9205,0.0754
0.552000,6.9433,0.0755
0.553000,6.9664,0.0757
0.554000,6.9899,0.0758
0.554000,7.2850,0.0684
0.555000,7.3104,0.0685
0.556000,7.3361,0.0687
0.557000,7.3623,0.0688
0.558000,7.3887,0.0690
