t,pos_err_mm,yaw_err_deg
0.238000,6.5998,0.0614
0.250000,6.9967,0.0646
0.264000,7.4699,0.0683
0.265000,7.5041,0.0686
0.266000,7.5384,0.0689
0.267000,7.5728,0.0691
0.268000,7.6072,0.0693
0.269000,7.6417,0.0696
0.270000,7.6762,0.0698
0.271000,7.7108,0.0700
0.273000,7.7801,0.0705
0.277000,7.9195,0.0715
0.281000,8.0598,0.0725
0.227000,4.4465,0.0476
0.231000,4.5405,0.0486
0.232000,4.5641,0.0488
0.233000,4.5878,0.0491
0.234000,4.6115,0.0493
0.235000,4.6353,0.0495
0.236000,4.6591,0.0497
0.237000,4.6830,0.0500
0.238000,4.7069,0.0502
0.239000,4.7309,0.0505
0.240000,4.7549,0.0507
0.241000,4.7790,0.0510
0.242000,4.8031,0.0512
0.243000,4.8273,0.0514
0.244000,4.8516,0.0516
0.245000,4.8758,0.0519
0.246000,4.9002,0.0521
0.247000,4.9245,0.0523
0.248000,4.9490,0.0525
0.249000,4.9734,0.0527
0.250000,4.9980,0.0529
0.327000,6.1830,0.0472
0.328000,6.2080,0.0473
0.329000,6.2330,0.0475
0.330000,6.2581,0.0477
0.331000,6.2832,0.0478
0.332000,6.3084,0.0480
0.333000,6.3336,0.0482
0.334000,6.3589,0.0483
0.335000,6.3842,0.0485
0.336000,6.4096,0.0487
0.337000,6.4350,0.0488
0.338000,6.4605,0.0490
0.339000,6.4860,0.0491
0.340000,6.5116,0.0493
0.341000,6.5372,0.0495
0.342000,6.5629,0.0496
0.343000,6.5886,0.0498
0.344000,6.6143,0.0500
0.345000,6.6401,0.0502
0.396000,8.0255,0.0586
0.397000,8.0540,0.0587
0.398000,8.0826,0.0589
0.399000,8.1112,0.0590
0.400000,8.1399,0.0592
0.401000,8.1687,0.0593
0.402000,8.1975,0.0595
0.403000,8.2264,0.0597
0.404000,8.2553,0.0598
0.405000,8.2843,0.0600
0.406000,8.3133,0.0602
0.407000,8.3424,0.0603
0.410000,8.4300,0.0607
0.416000,8.6067,0.0616
0.418000,8.6660,0.0619
0.422000,8.7852,0.0626
0.424000,8.8451,0.0629
0.428000,8.9656,0.0637
0.431000,9.0565,0.0642
0.434000,9.1479,0.0647
0.436000,9.2091,0.0650
0.438000,9.2705,0.0653
0.450000,9.6435,0.0673
0.449000,9.5057,0.0398
0.450000,9.5366,0.0400
0.451000,9.5675,0.0401
0.452000,9.5985,0.0402
0.453000,9.6296,0.0403
0.470000,10.1652,0.0419
0.471000,10.1971,0.0420
0.472000,10.2292,0.0421
0.473000,10.2612,0.0422
0.474000,10.2934,0.0423
0.475000,10.3255,0.0424
0.476000,10.3578,0.0425
0.477000,10.3901,0.0426
0.478000,10.4224,0.0427
0.479000,10.4548,0.0429
0.480000,10.4873,0.0430
0.481000,10.5198,0.0431
0.482000,10.5524,0.0432
0.483000,10.5850,0.0433
0.484000,10.6177,0.0434
0.485000,10.6505,0.0435
0.486000,10.6833,0.0436
0.487000,10.7162,0.0437
0.488000,10.7491,0.0438
0.489000,10.7821,0.0439
0.490000,10.8151,0.0440
0.491000,10.8482,0.0441
0.492000,10.8814,0.0443
0.493000,10.9146,0.0444
0.494000,10.9479,0.0445
0.495000,10.9812,0.0446
0.496000,11.0146,0.0447
0.497000,11.0480,0.0448
0.498000,11.0815,0.0450
0.499000,11.1150,0.0451
0.500000,11.1487,0.0452
0.501000,11.1823,0.0453
0.502000,11.2160,0.0454
0.503000,11.2498,0.0455
0.504000,11.2836,0.0456
0.505000,11.3175,0.0457
0.506000,11.3515,0.0458
0.507000,11.3855,0.0459
0.508000,11.4196,0.0461
0.509000,11.4537,0.0462
0.510000,11.4879,0.0463
0.511000,11.5220,0.0464
0.512000,11.5562,0.0465
0.513000,11.5905,0.0466
0.514000,11.6248,0.0468
0.515000,11.6592,0.0469
0.516000,11.6937,0.0470
0.517000,11.7282,0.0471
0.518000,11.7628,0.0473
0.519000,11.7975,0.0474
0.519000,9.6947,0.0428
0.520000,9.7242,0.0429
0.521000,9.7533,0.0430
0.522000,9.7824,0.0431
0.523000,9.8117,0.0432
0.524000,9.8410,0.0432
0.525000,9.8705,0.0433
0.526000,9.9001,0.0434
0.527000,9.9297,0.0435
0.528000,9.9595,0.0436
0.529000,9.9894,0.0437
0.530000,10.0194,0.0437
0.531000,10.0485,0.0438
0.532000,10.0778,0.0439
0.533000,10.1072,0.0440
0.534000,10.1367,0.0441
0.535000,10.1664,0.0441
0.536000,10.1963,0.0442
0.536000,8.7856,0.0206
0.537000,8.8120,0.0206
0.538000,8.8386,0.0207
0.539000,8.8653,0.0208
0.540000,8.8922,0.0208
0.541000,8.9176,0.0209
0.542000,8.9432,0.0210
0.543000,8.9690,0.0211
0.544000,8.9950,0.0212
0.545000,9.0212,0.0212
0.546000,9.0476,0.0213
0.547000,9.0743,0.0214
0.548000,9.1012,0.0214
0.549000,9.1284,0.0215
0.550000,9.1558,0.0215
0.551000,9.1810,0.0216
0.552000,9.2064,0.0217
0.552000,8.9715,0.0196
0.553000,8.9972,0.0196
0.554000,9.0231,0.0197
0.555000,9.0494,0.0197
0.556000,9.0759,0.0198
0.557000,9.1027,0.0199
0.558000,9.1299,0.0200
0.559000,9.1573,0.0200
0.560000,9.1851,0.0201
0.667000,11.9108,0.0260
0.668000,11.9394,0.0261
