t,pos_err_mm,yaw_err_deg
0.127000,3.2846,0.0001
0.128000,3.3095,0.0001
0.128000,10.1250,0.0000
0.128000,6.6375,0.0005
0.128000,4.2459,0.0010
0.128000,3.2211,0.0011
0.129000,3.2440,0.0011
0.130000,3.2668,0.0010
0.131000,3.2897,0.0010
0.132000,3.3126,0.0010
0.133000,3.3354,0.0010
0.134000,3.3582,0.0010
0.135000,3.3811,0.0009
0.136000,3.4039,0.0009
0.137000,3.4268,0.0009
0.138000,3.4496,0.0009
0.139000,3.4724,0.0009
0.140000,3.4952,0.0008
0.141000,3.5180,0.0008
0.142000,3.5409,0.0008
0.143000,3.5637,0.0008
0.144000,3.5865,0.0008
0.145000,3.6093,0.0008
0.146000,3.6321,0.0008
0.147000,3.6549,0.0008
0.148000,3.6777,0.0008
0.149000,3.7005,0.0008
0.150000,3.7233,0.0008
0.151000,3.7461,0.0008
0.152000,3.7689,0.0009
0.153000,3.7917,0.0009
0.154000,3.8144,0.0009
0.155000,3.8372,0.0009
0.156000,3.8600,0.0010
0.156000,4.9224,0.0008
0.157000,4.9522,0.0009
0.158000,4.9820,0.0009
0.159000,5.0118,0.0009
0.160000,5.0416,0.0010
0.161000,5.0714,0.0010
0.162000,5.1012,0.0010
0.163000,5.1309,0.0010
0.164000,5.1607,0.0010
0.165000,5.1905,0.0010
0.173000,5.4286,0.0008
0.178000,5.5774,0.0008
0.179000,5.6071,0.0008
0.180000,5.6369,0.0008
0.181000,5.6667,0.0008
0.182000,5.6964,0.0008
0.183000,5.7262,0.0008
0.184000,5.7559,0.0008
0.185000,5.7857,0.0008
0.186000,5.8155,0.0008
0.187000,5.8452,0.0008
0.188000,5.8750,0.0008
0.189000,5.9048,0.0008
0.190000,5.9345,0.0008
0.191000,5.9643,0.0008
0.192000,5.9941,0.0008
0.193000,6.0238,0.0008
0.194000,6.0536,0.0008
0.195000,6.0833,0.0008
0.196000,6.1131,0.0008
0.197000,6.1429,0.0007
0.198000,6.1726,0.0008
0.199000,6.2024,0.0007
0.200000,6.2322,0.0007
0.201000,6.2619,0.0007
0.202000,6.2917,0.0007
0.203000,6.3214,0.0007
0.204000,6.3512,0.0007
0.205000,6.3810,0.0007
0.206000,6.4107,0.0007
0.207000,6.4405,0.0007
0.208000,6.4703,0.0007
0.209000,6.5000,0.0007
0.210000,6.5298,0.0008
0.211000,6.5596,0.0008
0.211000,5.3156,0.0013
0.212000,5.3393,0.0013
0.213000,5.3630,0.0013
0.214000,5.3867,0.0014
0.215000,5.4104,0.0014
0.216000,5.4341,0.0014
0.217000,5.4578,0.0014
0.218000,5.4815,0.0014
0.219000,5.5052,0.0015
0.220000,5.5289,0.0015
0.221000,5.5526,0.0015
0.222000,5.5763,0.0015
0.223000,5.6000,0.0015
0.224000,5.6237,0.0015
0.225000,5.6473,0.0015
0.226000,5.6710,0.0015
0.227000,5.6947,0.0015
0.228000,5.7184,0.0016
0.229000,5.7421,0.0016
0.230000,5.7659,0.0016
0.230000,4.3203,0.0018
0.230000,4.3223,0.0033
0.231000,4.3395,0.0033
0.232000,4.3567,0.0032
0.233000,4.3740,0.0032
0.234000,4.3912,0.0032
