t,pos_err_mm,yaw_err_deg
0.028000,0.8198,0.0002
0.029000,0.8448,0.0002
0.030000,0.8698,0.0002
0.031000,0.8947,0.0002
0.032000,0.9197,0.0002
0.033000,0.9447,0.0001
0.034000,0.9696,0.0001
0.035000,0.9946,0.0001
0.036000,1.0196,0.0001
0.037000,1.0445,0.0001
0.038000,1.0695,0.0001
0.039000,1.0944,0.0001
0.040000,1.1194,0.0000
0.041000,1.1444,0.0000
0.042000,1.1693,0.0000
0.043000,1.1943,0.0000
0.044000,1.2192,0.0000
0.045000,1.2442,0.0000
0.046000,1.2691,0.0000
0.047000,1.2941,0.0000
0.048000,1.3190,0.0000
0.049000,1.3440,0.0000
0.050000,1.3689,0.0000
0.051000,1.3939,0.0000
0.052000,1.4188,0.0000
0.053000,1.4438,0.0000
0.054000,1.4687,0.0000
0.055000,1.4936,0.0000
0.056000,1.5186,0.0000
0.057000,1.5435,0.0000
0.058000,1.5684,0.0000
0.059000,1.5934,0.0000
0.060000,1.6183,0.0000
0.061000,1.6432,0.0000
0.062000,1.6681,0.0000
0.063000,1.6931,0.0000
0.064000,1.7180,0.0001
0.064000,5.1862,0.0000
0.065000,5.2634,0.0000
0.066000,5.3406,0.0000
0.067000,5.4178,0.0000
0.068000,5.4949,0.0001
0.069000,5.5721,0.0001
0.070000,5.6492,0.0001
0.071000,5.7264,0.0001
0.072000,5.8035,0.0001
0.073000,5.8807,0.0001
0.074000,5.9578,0.0001
0.075000,6.0350,0.0001
0.076000,6.1121,0.0000
0.077000,6.1893,0.0000
0.078000,6.2664,0.0000
0.079000,6.3435,0.0000
0.079000,4.1905,0.0008
0.080000,4.2405,0.0009
0.081000,4.2904,0.0009
0.082000,4.3404,0.0009
0.083000,4.3903,0.0009
0.084000,4.4403,0.0008
0.085000,4.4903,0.0008
0.086000,4.5402,0.0008
0.087000,4.5902,0.0008
0.088000,4.6401,0.0008
0.089000,4.6901,0.0008
0.090000,4.7401,0.0008
0.091000,4.7900,0.0008
0.092000,4.8400,0.0008
0.093000,4.8899,0.0008
0.094000,4.9399,0.0008
0.095000,4.9898,0.0008
0.096000,5.0398,0.0008
0.097000,5.0897,0.0008
0.098000,5.1397,0.0008
0.099000,5.1896,0.0008
0.100000,5.2396,0.0008
0.101000,5.2895,0.0008
0.102000,5.3395,0.0008
0.103000,5.3894,0.0009
0.104000,5.4394,0.0009
0.105000,5.4893,0.0009
0.106000,5.5393,0.0009
0.107000,5.5892,0.0010
0.108000,5.6392,0.0010
0.109000,5.6891,0.0010
0.110000,5.7391,0.0011
0.111000,5.7890,0.0011
0.112000,5.8390,0.0011
0.112000,3.7490,0.0021
0.113000,3.7801,0.0021
0.114000,3.8113,0.0021
0.115000,3.8424,0.0021
0.116000,3.8735,0.0022
0.117000,3.9047,0.0022
0.118000,3.9358,0.0022
0.119000,3.9669,0.0022
0.120000,3.9981,0.0022
0.121000,4.0292,0.0022
0.122000,4.0604,0.0022
0.123000,4.0915,0.0022
0.124000,4.1227,0.0022
0.125000,4.1538,0.0021
0.126000,4.1850,0.0021
0.127000,4.2161,0.0021
0.128000,4.2473,0.0021
0.129000,4.2785,0.0020
0.130000,4.3096,0.0020
0.131000,4.3408,0.0020
0.132000,4.3719,0.0020
0.133000,4.4030,0.0020
0.134000,4.4342,0.0020
0.135000,4.4653,0.0019
0.136000,4.4964,0.0019
0.137000,4.5275,0.0019
0.138000,4.5587,0.0019
0.139000,4.5898,0.0019
0.140000,4.6209,0.0019
0.140000,3.4957,0.0026
0.141000,3.5185,0.0026
0.142000,3.5412,0.0026
0.143000,3.5640,0.0026
0.144000,3.5868,0.0026
0.145000,3.6096,0.0026
0.146000,3.6324,0.0026
0.147000,3.6552,0.0026
0.148000,3.6779,0.0027
0.149000,3.7007,0.0027
0.150000,3.7235,0.0027
0.151000,3.7463,0.0027
0.152000,3.7691,0.0028
0.153000,3.7918,0.0028
0.154000,3.8146,0.0028
0.155000,3.8374,0.0029
0.156000,3.8601,0.0029
0.157000,3.8829,0.0030
0.158000,3.9056,0.0030
0.159000,3.9284,0.0030
0.160000,3.9511,0.0031
0.161000,3.9739,0.0031
0.162000,3.9966,0.0031
0.162000,5.1040,0.0022
0.163000,5.1338,0.0022
0.164000,5.1636,0.0022
0.165000,5.1934,0.0022
0.166000,5.2232,0.0022
0.167000,5.2530,0.0022
0.168000,5.2827,0.0022
0.169000,5.3125,0.0021
0.170000,5.3423,0.0021
0.171000,5.3721,0.0021
0.172000,5.4019,0.0021
0.173000,5.4316,0.0021
0.174000,5.4614,0.0021
0.175000,5.4912,0.0021
0.176000,5.5209,0.0021
0.177000,5.5507,0.0021
0.178000,5.5805,0.0021
0.179000,5.6103,0.0021
0.180000,5.6400,0.0021
0.181000,5.6698,0.0021
0.182000,5.6996,0.0022
0.182000,4.6261,0.0044
0.183000,4.6497,0.0044
0.184000,4.6733,0.0044
0.185000,4.6969,0.0045
0.186000,4.7205,0.0045
0.187000,4.7441,0.0045
0.188000,4.7677,0.0045
0.189000,4.7913,0.0045
0.190000,4.8149,0.0045
0.191000,4.8386,0.0045
