t,pos_err_mm,yaw_err_deg
0.029000,0.8448,0.0002
0.030000,0.8698,0.0002
0.031000,0.8947,0.0002
0.032000,0.9197,0.0002
0.033000,0.9447,0.0001
0.034000,0.9696,0.0001
0.035000,0.9946,0.0001
0.036000,1.0196,0.0001
0.037000,1.0445,0.0001
0.038000,1.0695,0.0001
0.039000,1.0944,0.0001
0.040000,1.1194,0.0000
0.041000,1.1444,0.0000
0.042000,1.1693,0.0000
0.043000,1.1943,0.0000
0.044000,1.2192,0.0000
0.045000,1.2442,0.0000
0.051000,1.3939,0.0000
0.052000,1.4188,0.0000
0.053000,1.4438,0.0000
0.054000,1.4687,0.0000
0.055000,1.4936,0.0000
0.056000,1.5186,0.0000
0.057000,1.5435,0.0000
0.058000,1.5684,0.0000
0.059000,1.5934,0.0000
0.060000,1.6183,0.0000
0.061000,1.6432,0.0000
0.062000,1.6681,0.0000
0.063000,1.6931,0.0000
0.064000,1.7180,0.0001
0.065000,1.7429,0.0001
0.066000,1.7678,0.0001
0.067000,1.7927,0.0001
0.068000,1.8176,0.0002
0.069000,1.8425,0.0002
0.070000,1.8674,0.0002
0.071000,1.8923,0.0002
0.072000,1.9171,0.0002
0.073000,1.9420,0.0002
0.074000,1.9669,0.0002
0.074000,5.9578,0.0001
0.075000,6.0350,0.0001
0.076000,6.1121,0.0000
0.077000,6.1893,0.0000
0.078000,6.2664,0.0000
0.079000,6.3435,0.0000
0.080000,6.4207,0.0000
0.081000,6.4978,0.0000
0.082000,6.5750,0.0000
0.083000,6.6521,0.0000
0.084000,6.7292,0.0000
0.085000,6.8064,0.0000
0.086000,6.8835,0.0001
0.087000,6.9607,0.0001
0.088000,7.0378,0.0001
0.089000,7.1149,0.0001
0.090000,7.1921,0.0001
0.091000,7.2692,0.0001
0.092000,7.3464,0.0001
0.093000,7.4235,0.0001
0.094000,7.5007,0.0001
0.095000,7.5778,0.0001
0.096000,7.6549,0.0001
0.097000,7.7321,0.0001
0.098000,7.8092,0.0001
0.099000,7.8864,0.0001
0.100000,7.9635,0.0001
0.101000,8.0407,0.0001
0.102000,8.1178,0.0001
0.103000,8.1950,0.0001
0.104000,8.2721,0.0000
0.105000,8.3493,0.0000
0.106000,8.4264,0.0000
0.106000,5.5393,0.0009
0.107000,5.5892,0.0010
0.108000,5.6392,0.0010
0.109000,5.6891,0.0010
0.110000,5.7391,0.0011
0.111000,5.7890,0.0011
0.112000,5.8390,0.0011
0.113000,5.8890,0.0012
0.114000,5.9389,0.0012
0.115000,5.9889,0.0012
0.116000,6.0388,0.0012
0.117000,6.0888,0.0012
0.118000,6.1388,0.0012
0.119000,6.1887,0.0012
0.120000,6.2387,0.0012
0.120000,3.9981,0.0022
0.121000,4.0292,0.0022
0.122000,4.0604,0.0022
0.123000,4.0915,0.0022
0.124000,4.1227,0.0022
0.125000,4.1538,0.0021
0.126000,4.1850,0.0021
0.127000,4.2162,0.0021
0.128000,4.2473,0.0021
0.129000,4.2785,0.0020
0.130000,4.3096,0.0020
0.131000,4.3408,0.0020
0.131000,3.2903,0.0027
0.132000,3.3132,0.0027
0.133000,3.3360,0.0027
0.134000,3.3588,0.0027
0.135000,3.3816,0.0026
0.136000,3.4044,0.0026
0.137000,3.4273,0.0026
0.138000,3.4501,0.0026
0.139000,3.4729,0.0026
0.140000,3.4957,0.0026
0.141000,3.5185,0.0026
0.142000,3.5413,0.0026
0.143000,3.5640,0.0026
0.144000,3.5868,0.0026
0.148000,3.6780,0.0027
0.151000,3.7463,0.0027
0.156000,4.9252,0.0020
0.158000,4.9848,0.0021
0.160000,5.0445,0.0021
0.161000,5.0742,0.0022
0.162000,5.1040,0.0022
0.163000,5.1338,0.0022
0.164000,5.1636,0.0022
0.165000,5.1934,0.0022
0.166000,5.2232,0.0022
0.167000,5.2530,0.0022
0.168000,5.2828,0.0022
0.169000,5.3125,0.0021
0.170000,5.3423,0.0021
0.171000,5.3721,0.0021
0.172000,5.4019,0.0021
0.173000,5.4316,0.0021
0.174000,5.4614,0.0021
0.175000,5.4912,0.0021
0.176000,5.5210,0.0021
0.177000,5.5507,0.0021
0.178000,5.5805,0.0021
0.179000,5.6103,0.0021
0.180000,5.6400,0.0021
0.181000,5.6698,0.0021
0.182000,5.6996,0.0022
0.183000,5.7294,0.0022
0.184000,5.7592,0.0022
0.185000,5.7889,0.0022
0.186000,5.8187,0.0022
0.187000,5.8485,0.0022
0.188000,5.8783,0.0022
0.189000,5.9080,0.0022
0.190000,5.9378,0.0022
0.191000,5.9676,0.0022
0.192000,5.9974,0.0022
0.193000,6.0272,0.0022
0.194000,6.0569,0.0022
0.195000,6.0867,0.0022
0.196000,6.1165,0.0022
0.197000,6.1463,0.0022
0.198000,6.1760,0.0022
0.199000,6.2058,0.0022
0.200000,6.2356,0.0022
0.201000,6.2654,0.0022
0.202000,6.2951,0.0022
0.203000,6.3249,0.0022
0.204000,6.3547,0.0023
0.205000,6.3845,0.0023
0.206000,6.4142,0.0023
0.207000,6.4440,0.0023
0.208000,6.4738,0.0023
0.209000,6.5036,0.0023
0.210000,6.5334,0.0023
0.211000,6.5632,0.0024
0.212000,6.5930,0.0024
0.213000,6.6228,0.0024
0.214000,6.6526,0.0025
0.215000,6.6824,0.0025
0.216000,6.7122,0.0025
0.217000,6.7420,0.0025
0.218000,6.7718,0.0026
0.219000,6.8016,0.0026
0.220000,6.8315,0.0026
0.221000,6.8613,0.0026
0.222000,6.8911,0.0026
0.223000,6.9209,0.0027
0.224000,6.9507,0.0027
0.225000,6.9805,0.0027
0.226000,7.0103,0.0027
0.227000,7.0401,0.0027
0.228000,7.0699,0.0027
0.229000,7.0997,0.0028
0.230000,7.1296,0.0028
0.231000,7.1594,0.0028
0.232000,7.1892,0.0027
0.232000,5.8073,0.0054
0.233000,5.8310,0.0054
0.233000,4.3545,0.0062
0.234000,4.3714,0.0063
0.234000,4.3817,0.0131
0.235000,4.3988,0.0131
0.236000,4.4160,0.0131
0.237000,4.4331,0.0132
0.238000,4.4502,0.0132
0.239000,4.4673,0.0132
0.240000,4.4844,0.0133
0.241000,4.5015,0.0133
0.242000,4.5187,0.0133
0.243000,4.5358,0.0134
0.244000,4.5529,0.0134
0.245000,4.5700,0.0135
0.246000,4.5871,0.0135
0.247000,4.6042,0.0136
0.248000,4.6213,0.0136
0.249000,4.6384,0.0137
0.250000,4.6555,0.0137
0.251000,4.6726,0.0138
0.252000,4.6897,0.0139
0.253000,4.7068,0.0139
0.254000,4.7239,0.0140
0.255000,4.7410,0.0140
0.256000,4.7581,0.0140
0.257000,4.7752,0.0141
0.258000,4.7922,0.0141
0.259000,4.8093,0.0141
0.260000,4.8263,0.0142
0.261000,4.8434,0.0143
0.262000,4.8604,0.0143
0.263000,4.8775,0.0143
0.264000,4.8945,0.0144
0.265000,4.9116,0.0145
0.266000,4.9286,0.0145
0.267000,4.9456,0.0146
0.268000,4.9626,0.0146
0.269000,4.9797,0.0147
0.270000,4.9967,0.0148
0.271000,5.0137,0.0148
0.272000,5.0307,0.0149
0.273000,5.0477,0.0149
0.274000,5.0648,0.0150
0.275000,5.0818,0.0150
0.276000,5.0988,0.0151
0.277000,5.1158,0.0151
0.278000,5.1329,0.0152
0.279000,5.1499,0.0152
0.280000,5.1669,0.0152
0.281000,5.1839,0.0153
0.282000,5.2010,0.0153
0.283000,5.2180,0.0154
0.284000,5.2350,0.0154
0.285000,5.2520,0.0154
0.286000,5.2690,0.0155
0.287000,5.2860,0.0155
0.288000,5.3030,0.0156
0.307000,5.6256,0.0162
0.334000,5.8447,0.0162
0.340000,5.9414,0.0165
0.345000,6.0221,0.0167
0.349000,6.0866,0.0169
0.353000,6.1512,0.0171
0.354000,6.1673,0.0172
0.355000,6.1835,0.0172
0.356000,6.1996,0.0173
0.357000,6.2158,0.0173
0.358000,6.2320,0.0173
0.359000,6.2481,0.0174
0.360000,6.2643,0.0174
0.361000,6.2805,0.0175
0.362000,6.2966,0.0175
0.363000,6.3128,0.0176
0.364000,6.3290,0.0176
0.365000,6.3451,0.0177
0.366000,6.3613,0.0178
0.367000,6.3775,0.0178
0.368000,6.3937,0.0179
0.369000,6.4099,0.0179
0.370000,6.4260,0.0180
0.371000,6.4422,0.0181
0.372000,6.4584,0.0181
0.373000,6.4745,0.0182
0.374000,6.4907,0.0182
0.375000,6.5069,0.0183
0.376000,6.5230,0.0183
0.377000,6.5392,0.0184
0.378000,6.5553,0.0184
0.379000,6.5715,0.0184
0.380000,6.5877,0.0185
0.381000,6.6038,0.0185
0.382000,6.6200,0.0185
0.383000,6.6361,0.0185
0.415000,5.6461,0.0282
0.423000,5.7418,0.0287
0.424000,5.7538,0.0288
0.425000,5.7657,0.0289
0.426000,5.7777,0.0289
0.427000,5.7896,0.0290
0.428000,5.8015,0.0290
0.429000,5.8134,0.0291
0.430000,5.8253,0.0291
0.431000,5.8373,0.0291
0.432000,5.8492,0.0292
0.433000,5.8611,0.0293
0.434000,5.8730,0.0294
0.435000,5.8848,0.0294
0.436000,5.8967,0.0295
0.497000,5.8278,0.0254
0.498000,5.8378,0.0254
0.499000,5.8477,0.0254
0.500000,5.8577,0.0255
0.501000,5.8676,0.0255
0.502000,5.8776,0.0256
0.503000,5.8875,0.0256
0.504000,5.8975,0.0257
0.505000,5.9075,0.0257
0.506000,5.9174,0.0258
0.507000,5.9274,0.0258
0.508000,5.9374,0.0258
0.509000,5.9473,0.0259
0.536000,6.2173,0.0272
0.537000,6.2274,0.0272
0.538000,6.2374,0.0273
0.539000,6.2475,0.0273
0.540000,6.2575,0.0273
0.541000,6.2676,0.0273
0.542000,6.2776,0.0273
0.543000,6.2877,0.0274
0.544000,6.2978,0.0274
0.545000,6.3079,0.0274
0.546000,6.3179,0.0275
0.547000,6.3280,0.0275
0.548000,6.3381,0.0276
0.549000,6.3482,0.0276
0.550000,6.3583,0.0276
0.551000,6.3684,0.0277
0.552000,6.3785,0.0277
0.553000,6.3885,0.0277
0.554000,6.3986,0.0277
0.555000,6.4087,0.0278
0.556000,6.4188,0.0278
0.557000,6.4288,0.0278
0.558000,6.4389,0.0279
0.559000,6.4490,0.0279
0.560000,6.4591,0.0279
0.561000,6.4692,0.0280
0.562000,6.4792,0.0280
0.563000,6.4893,0.0281
0.564000,6.4994,0.0281
0.565000,6.5095,0.0281
0.566000,6.5195,0.0281
0.567000,6.5296,0.0282
0.568000,6.5397,0.0282
0.569000,6.5498,0.0282
0.570000,6.5599,0.0283
0.571000,6.5699,0.0283
0.572000,6.5800,0.0284
0.573000,6.5901,0.0284
0.574000,6.6002,0.0284
0.575000,6.6103,0.0285
0.576000,6.6204,0.0285
0.577000,6.6304,0.0286
0.578000,6.6405,0.0286
0.600000,5.5891,0.0584
0.601000,5.5960,0.0585
0.602000,5.6028,0.0586
0.603000,5.6097,0.0587
0.604000,5.6165,0.0588
0.605000,5.6234,0.0589
0.606000,5.6302,0.0590
0.607000,5.6370,0.0591
0.608000,5.6438,0.0592
0.609000,5.6507,0.0594
0.610000,5.6575,0.0595
0.611000,5.6643,0.0596
0.612000,5.6711,0.0597
0.613000,5.6779,0.0598
0.614000,5.6847,0.0600
0.615000,5.6915,0.0601
0.616000,5.6982,0.0601
0.617000,5.7050,0.0602
0.618000,5.7118,0.0603
0.619000,5.7186,0.0604
0.620000,5.7254,0.0605
0.621000,5.7321,0.0606
0.622000,5.7389,0.0606
0.623000,5.7456,0.0607
0.624000,5.7524,0.0608
0.625000,5.7592,0.0608
0.626000,5.7659,0.0609
0.627000,5.7727,0.0610
0.628000,5.7795,0.0611
0.629000,5.7862,0.0611
0.630000,5.7930,0.0612
0.631000,5.7997,0.0613
0.632000,5.8065,0.0614
0.633000,5.8133,0.0615
0.634000,5.8201,0.0616
0.635000,5.8268,0.0617
0.636000,5.8336,0.0617
0.637000,5.8404,0.0618
0.638000,5.8472,0.0619
0.639000,5.8540,0.0620
0.640000,5.8608,0.0621
0.641000,5.8675,0.0622
0.642000,5.8743,0.0622
0.643000,5.8811,0.0623
0.644000,5.8879,0.0624
0.645000,5.8947,0.0625
0.646000,5.9015,0.0626
0.647000,5.9082,0.0627
0.648000,5.9150,0.0628
0.649000,5.9218,0.0629
0.650000,5.9286,0.0630
0.651000,5.9353,0.0631
0.652000,5.9421,0.0631
0.653000,5.9489,0.0632
0.654000,5.9556,0.0633
0.655000,5.9624,0.0634
0.656000,5.9691,0.0635
0.657000,5.9759,0.0636
0.658000,5.9826,0.0637
0.659000,5.9894,0.0637
0.660000,5.9961,0.0638
0.661000,6.0028,0.0639
0.662000,6.0096,0.0640
0.706000,5.9900,0.0786
0.709000,6.0078,0.0788
0.710000,6.0138,0.0790
0.711000,6.0197,0.0791
0.712000,6.0256,0.0792
0.713000,6.0316,0.0793
0.714000,6.0375,0.0794
0.715000,6.0434,0.0795
0.717000,6.0553,0.0796
0.719000,6.0671,0.0798
0.721000,6.0790,0.0800
0.724000,6.0968,0.0803
0.726000,6.1086,0.0805
0.729000,6.1264,0.0808
0.731000,6.1382,0.0810
0.734000,6.1560,0.0813
0.736000,6.1678,0.0815
0.738000,6.1797,0.0817
0.740000,6.1915,0.0818
0.743000,6.2092,0.0820
0.745000,6.2211,0.0822
0.747000,6.2329,0.0823
0.748000,6.2388,0.0824
0.749000,6.2448,0.0825
0.750000,6.2507,0.0826
0.751000,6.2566,0.0827
0.768000,6.3564,0.0843
0.772000,6.3798,0.0847
0.783000,6.4440,0.0857
