t,pos_err_mm,yaw_err_deg
0.068000,1.8176,0.0002
0.069000,1.8425,0.0002
0.070000,1.8674,0.0002
0.071000,1.8923,0.0002
0.072000,1.9171,0.0002
0.073000,1.9420,0.0002
0.074000,1.9669,0.0002
0.075000,1.9918,0.0002
0.075000,6.0362,0.0001
0.076000,6.1134,0.0000
0.077000,6.1905,0.0000
0.078000,6.2677,0.0000
0.079000,6.3449,0.0000
0.080000,6.4220,0.0000
0.081000,6.4992,0.0000
0.081000,4.2911,0.0009
0.082000,4.3410,0.0009
0.083000,4.3910,0.0009
0.084000,4.4410,0.0008
0.085000,4.4909,0.0008
0.086000,4.5409,0.0008
0.087000,4.5909,0.0008
0.088000,4.6408,0.0008
0.089000,4.6908,0.0008
0.090000,4.7408,0.0008
0.091000,4.7907,0.0008
0.092000,4.8407,0.0008
0.093000,4.8907,0.0008
0.094000,4.9406,0.0008
0.095000,4.9906,0.0008
0.096000,5.0405,0.0008
0.097000,5.0905,0.0008
0.098000,5.1404,0.0008
0.099000,5.1904,0.0008
0.100000,5.2403,0.0008
0.101000,5.2903,0.0008
0.102000,5.3403,0.0008
0.103000,5.3902,0.0009
0.104000,5.4402,0.0009
0.105000,5.4901,0.0009
0.106000,5.5401,0.0009
0.107000,5.5901,0.0010
0.108000,5.6400,0.0010
0.109000,5.6900,0.0010
0.110000,5.7399,0.0011
0.110000,3.6871,0.0020
0.111000,3.7183,0.0021
0.112000,3.7494,0.0021
0.113000,3.7805,0.0021
0.114000,3.8117,0.0021
0.115000,3.8428,0.0021
0.116000,3.8739,0.0022
0.117000,3.9051,0.0022
0.118000,3.9362,0.0022
0.119000,3.9673,0.0022
0.120000,3.9985,0.0022
0.121000,4.0296,0.0022
0.122000,4.0608,0.0022
0.123000,4.0919,0.0022
0.124000,4.1231,0.0022
0.125000,4.1543,0.0021
0.126000,4.1854,0.0021
0.127000,4.2166,0.0021
0.128000,4.2477,0.0021
0.128000,3.2220,0.0027
0.129000,3.2448,0.0027
0.130000,3.2677,0.0027
0.131000,3.2905,0.0027
0.132000,3.3133,0.0027
0.133000,3.3362,0.0027
0.134000,3.3590,0.0027
0.135000,3.3818,0.0026
0.136000,3.4046,0.0026
0.137000,3.4274,0.0026
0.138000,3.4502,0.0026
0.139000,3.4730,0.0026
0.140000,3.4958,0.0026
0.141000,3.5186,0.0026
0.142000,3.5414,0.0026
0.143000,3.5642,0.0026
0.144000,3.5870,0.0026
0.145000,3.6098,0.0026
0.227000,5.4754,0.0040
0.228000,5.4982,0.0040
0.229000,5.5209,0.0040
0.230000,5.5437,0.0041
0.231000,5.5665,0.0041
0.232000,5.5893,0.0041
0.233000,5.6121,0.0041
0.234000,5.6348,0.0041
0.235000,5.6576,0.0041
0.236000,5.6804,0.0041
0.237000,5.7032,0.0041
0.238000,5.7260,0.0041
0.239000,5.7487,0.0041
0.240000,5.7715,0.0041
0.241000,5.7943,0.0041
0.242000,5.8170,0.0041
0.243000,5.8398,0.0041
