[INFO] [1785154065.752193504] [backend_optimizer_node]: graph (re)initialized at X0=(-2.419, 1.354, 0.000) V0=(0.000, 0.000)
[INFO] [1785154065.752542536] [backend_optimizer_node]: backend_optimizer_node started (0 cylinders registered)
[WARN] [1785154093.015811218] [backend_optimizer_node]: slow smoother update: 28.6ms (index 6)
[WARN] [1785154102.476228353] [backend_optimizer_node]: slow smoother update: 26.2ms (index 350)
[WARN] [1785154103.818712860] [backend_optimizer_node]: slow smoother update: 25.4ms (index 400)
[WARN] [1785154108.036694053] [backend_optimizer_node]: slow smoother update: 22.4ms (index 562)
[WARN] [1785154109.518691254] [backend_optimizer_node]: slow smoother update: 22.7ms (index 615)
[WARN] [1785154117.074647444] [backend_optimizer_node]: slow smoother update: 26.1ms (index 895)
[WARN] [1785154121.912831906] [backend_optimizer_node]: slow smoother update: 26.5ms (index 1080)
[WARN] [1785154123.631201119] [backend_optimizer_node]: slow smoother update: 39.0ms (index 1142)
[WARN] [1785154124.426461315] [backend_optimizer_node]: slow smoother update: 39.1ms (index 1168)
[WARN] [1785154127.739875270] [backend_optimizer_node]: slow smoother update: 21.2ms (index 1288)
[WARN] [1785154128.983220178] [backend_optimizer_node]: slow smoother update: 30.8ms (index 1335)
[WARN] [1785154130.562602670] [backend_optimizer_node]: slow smoother update: 26.2ms (index 1392)
[WARN] [1785154133.228195810] [backend_optimizer_node]: slow smoother update: 20.4ms (index 1490)
[WARN] [1785154133.369905872] [backend_optimizer_node]: slow smoother update: 31.1ms (index 1494)
[WARN] [1785154139.942419216] [backend_optimizer_node]: slow smoother update: 23.0ms (index 1733)
