t,pos_err_mm,yaw_err_deg
0.053000,1.4438,0.0000
0.054000,1.4687,0.0000
0.055000,1.4936,0.0000
0.056000,1.5186,0.0000
0.057000,1.5435,0.0000
0.058000,1.5684,0.0000
0.059000,1.5934,0.0000
0.060000,1.6183,0.0000
0.061000,1.6432,0.0000
0.062000,1.6681,0.0000
0.063000,1.6931,0.0000
0.064000,1.7180,0.0001
0.065000,1.7429,0.0001
0.066000,1.7678,0.0001
0.066000,5.3417,0.0000
0.067000,5.4189,0.0000
0.068000,5.4961,0.0001
0.069000,5.5732,0.0001
0.070000,5.6504,0.0001
0.071000,5.7276,0.0001
0.072000,5.8047,0.0001
0.073000,5.8819,0.0001
0.074000,5.9591,0.0001
0.075000,6.0362,0.0001
0.076000,6.1134,0.0000
0.077000,6.1905,0.0000
0.078000,6.2677,0.0000
0.079000,6.3449,0.0000
0.080000,6.4220,0.0000
0.080000,4.2411,0.0009
0.081000,4.2911,0.0009
0.082000,4.3410,0.0009
0.083000,4.3910,0.0009
0.084000,4.4410,0.0008
0.085000,4.4909,0.0008
0.086000,4.5409,0.0008
0.087000,4.5909,0.0008
0.088000,4.6408,0.0008
0.089000,4.6908,0.0008
0.090000,4.7408,0.0008
0.091000,4.7907,0.0008
0.092000,4.8407,0.0008
0.093000,4.8907,0.0008
0.094000,4.9406,0.0008
0.095000,4.9906,0.0008
0.096000,5.0405,0.0008
0.097000,5.0905,0.0008
0.098000,5.1404,0.0008
0.099000,5.1904,0.0008
0.100000,5.2403,0.0008
0.101000,5.2903,0.0008
0.102000,5.3403,0.0008
0.103000,5.3902,0.0009
0.104000,5.4402,0.0009
0.105000,5.4901,0.0009
0.106000,5.5401,0.0009
0.107000,5.5901,0.0010
0.108000,5.6400,0.0010
0.109000,5.6900,0.0010
0.109000,3.6560,0.0020
0.110000,3.6871,0.0020
0.111000,3.7183,0.0021
0.112000,3.7494,0.0021
0.113000,3.7805,0.0021
0.114000,3.8117,0.0021
0.115000,3.8428,0.0021
0.116000,3.8739,0.0022
0.117000,3.9051,0.0022
0.118000,3.9362,0.0022
0.119000,3.9673,0.0022
0.120000,3.9985,0.0022
0.121000,4.0296,0.0022
0.122000,4.0608,0.0022
0.123000,4.0919,0.0022
0.124000,4.1231,0.0022
0.125000,4.1543,0.0021
0.126000,4.1854,0.0021
0.127000,4.2166,0.0021
0.128000,4.2477,0.0021
0.129000,4.2789,0.0020
0.130000,4.3101,0.0020
0.131000,4.3412,0.0020
0.132000,4.3723,0.0020
0.133000,4.4035,0.0020
0.134000,4.4346,0.0020
0.135000,4.4658,0.0019
0.136000,4.4969,0.0019
0.137000,4.5280,0.0019
0.138000,4.5591,0.0019
0.139000,4.5902,0.0019
0.140000,4.6214,0.0019
0.141000,4.6525,0.0019
0.142000,4.6836,0.0019
0.143000,4.7147,0.0019
0.143000,3.5642,0.0026
0.144000,3.5870,0.0026
0.145000,3.6098,0.0026
0.147000,3.6554,0.0026
0.148000,3.6781,0.0027
0.149000,3.7009,0.0027
0.150000,3.7237,0.0027
0.151000,3.7465,0.0027
0.152000,3.7693,0.0028
0.163000,4.0196,0.0032
0.198000,6.1762,0.0022
0.208000,5.2402,0.0047
0.228000,5.7130,0.0054
0.244000,6.0914,0.0056
0.255000,6.3514,0.0058
0.270000,6.7050,0.0062
0.280000,6.9405,0.0064
0.282000,6.9876,0.0065
0.378000,9.2441,0.0084
0.379000,9.2676,0.0084
0.380000,9.2911,0.0084
0.381000,9.3146,0.0084
0.382000,9.3381,0.0084
0.384000,9.3851,0.0084
0.385000,9.4085,0.0084
0.394000,9.6200,0.0086
0.395000,9.6435,0.0086
0.396000,9.6670,0.0086
0.397000,9.6905,0.0087
0.398000,9.7140,0.0087
0.399000,9.7374,0.0087
0.400000,9.7609,0.0087
0.401000,9.7844,0.0087
0.402000,9.8079,0.0087
0.403000,9.8314,0.0087
0.403000,10.2119,0.0137
0.512000,9.2856,0.0116
0.513000,9.3024,0.0116
0.514000,9.3192,0.0116
0.515000,9.3361,0.0116
0.516000,9.3529,0.0116
0.517000,9.3697,0.0116
0.525000,9.5044,0.0118
0.526000,9.5213,0.0118
0.527000,9.5381,0.0118
0.528000,9.5549,0.0119
0.529000,9.5718,0.0119
0.530000,9.5886,0.0120
0.531000,9.6054,0.0120
0.532000,9.6223,0.0121
0.537000,9.7067,0.0122
0.543000,9.8081,0.0122
0.548000,7.1301,0.0074
0.551000,7.1644,0.0074
0.552000,7.1758,0.0074
0.553000,7.1872,0.0074
0.554000,7.1986,0.0074
0.555000,7.2101,0.0074
0.556000,7.2215,0.0074
0.557000,7.2329,0.0074
0.558000,7.2443,0.0074
0.559000,7.2558,0.0074
0.560000,7.2672,0.0074
0.561000,7.2786,0.0074
0.562000,7.2900,0.0074
0.563000,7.3014,0.0074
0.564000,7.3128,0.0074
0.565000,7.3243,0.0074
0.566000,7.3357,0.0074
0.567000,7.3471,0.0074
0.567000,6.8333,0.0310
0.568000,6.8436,0.0310
0.569000,6.8539,0.0311
0.570000,6.8642,0.0311
0.571000,6.8746,0.0312
0.572000,6.8849,0.0312
0.572000,7.6021,0.0271
0.573000,7.6140,0.0271
0.574000,7.6260,0.0271
0.575000,7.6379,0.0272
0.576000,7.6498,0.0272
0.577000,7.6617,0.0272
0.578000,7.6736,0.0273
0.579000,7.6855,0.0273
0.580000,7.6974,0.0273
0.581000,7.7093,0.0274
0.582000,7.7211,0.0274
0.583000,7.7330,0.0274
0.584000,7.7449,0.0274
0.585000,7.7567,0.0274
0.586000,7.7686,0.0275
0.587000,7.7804,0.0275
0.588000,7.7923,0.0276
0.589000,7.8041,0.0277
0.590000,7.8159,0.0277
0.591000,7.8278,0.0278
0.592000,7.8396,0.0278
0.593000,7.8514,0.0279
0.594000,7.8632,0.0279
0.595000,7.8750,0.0280
0.596000,7.8868,0.0280
0.597000,7.8986,0.0280
0.598000,7.9103,0.0281
0.598000,6.7062,0.0529
0.599000,6.7153,0.0529
0.600000,6.7243,0.0530
0.601000,6.7334,0.0531
0.602000,6.7424,0.0532
0.603000,6.7515,0.0533
