t,pos_err_mm,yaw_err_deg
0.102000,1.4006,0.0002
0.103000,1.4136,0.0002
0.104000,1.4267,0.0001
0.105000,1.4397,0.0001
0.106000,1.4527,0.0001
0.107000,1.4658,0.0001
0.108000,1.4788,0.0000
0.108000,6.7939,0.0000
0.109000,6.8550,0.0001
0.110000,6.9161,0.0001
0.111000,6.9772,0.0002
0.112000,7.0383,0.0002
0.113000,7.0994,0.0002
0.114000,7.1604,0.0002
0.115000,7.2215,0.0002
0.116000,7.2826,0.0002
0.117000,7.3437,0.0002
0.118000,7.4048,0.0002
0.119000,7.4660,0.0002
0.120000,7.5271,0.0002
0.121000,7.5882,0.0002
0.122000,7.6493,0.0002
0.123000,7.7104,0.0002
0.124000,7.7715,0.0002
0.125000,7.8327,0.0001
0.126000,7.8938,0.0001
0.127000,7.9549,0.0001
0.128000,8.0160,0.0000
0.129000,8.0772,0.0000
0.130000,8.1383,0.0001
0.131000,8.1994,0.0001
0.132000,8.2605,0.0001
0.133000,8.3216,0.0001
0.134000,8.3827,0.0001
0.135000,8.4438,0.0001
0.135000,6.1391,0.0011
0.135000,4.2158,0.0022
0.136000,4.2458,0.0022
0.137000,4.2757,0.0022
0.138000,4.3057,0.0022
0.139000,4.3356,0.0022
0.140000,4.3656,0.0022
0.140000,3.4706,0.0029
0.141000,3.4940,0.0029
0.142000,3.5175,0.0029
0.143000,3.5410,0.0029
0.144000,3.5644,0.0029
0.145000,3.5879,0.0029
0.146000,3.6113,0.0030
0.147000,3.6348,0.0030
0.148000,3.6583,0.0030
0.149000,3.6817,0.0030
0.150000,3.7052,0.0030
0.151000,3.7286,0.0030
0.152000,3.7521,0.0031
0.153000,3.7755,0.0031
0.153000,4.7488,0.0022
0.154000,4.7786,0.0022
0.155000,4.8085,0.0023
0.156000,4.8384,0.0023
0.157000,4.8682,0.0023
0.158000,4.8981,0.0024
0.159000,4.9280,0.0024
0.160000,4.9578,0.0025
0.161000,4.9877,0.0025
0.162000,5.0176,0.0025
0.163000,5.0474,0.0025
0.164000,5.0773,0.0025
0.165000,5.1071,0.0025
0.166000,5.1370,0.0025
0.167000,5.1668,0.0025
0.168000,5.1967,0.0025
0.169000,5.2265,0.0025
0.170000,5.2563,0.0024
0.171000,5.2862,0.0025
0.172000,5.3160,0.0025
0.173000,5.3458,0.0025
0.174000,5.3757,0.0024
0.175000,5.4055,0.0024
0.176000,5.4354,0.0024
0.177000,5.4652,0.0024
0.178000,5.4950,0.0024
0.179000,5.5249,0.0024
0.179000,4.5518,0.0047
0.180000,4.5761,0.0047
0.181000,4.6004,0.0048
0.182000,4.6247,0.0048
0.183000,4.6490,0.0048
0.184000,4.6734,0.0048
0.185000,4.6977,0.0049
0.186000,4.7220,0.0049
0.187000,4.7463,0.0049
0.188000,4.7706,0.0049
0.189000,4.7949,0.0049
0.190000,4.8192,0.0049
0.191000,4.8435,0.0050
