t,pos_err_mm,yaw_err_deg
0.040000,2.1554,0.0000
0.041000,2.2035,0.0000
0.042000,2.2515,0.0000
0.043000,2.2996,0.0001
0.044000,2.3476,0.0001
0.045000,2.3957,0.0001
0.046000,2.4438,0.0001
0.047000,2.4918,0.0001
0.048000,2.5399,0.0000
0.049000,2.5879,0.0000
0.050000,2.6360,0.0000
0.051000,2.6840,0.0000
0.052000,2.7321,0.0000
0.053000,2.7801,0.0000
0.054000,2.8281,0.0000
0.055000,2.8762,0.0000
0.056000,2.9242,0.0000
0.057000,2.9723,0.0000
0.058000,3.0203,0.0000
0.059000,3.0683,0.0000
0.060000,3.1164,0.0001
0.061000,3.1644,0.0001
0.062000,3.2124,0.0001
0.063000,3.2604,0.0001
0.064000,3.3084,0.0001
0.065000,3.3565,0.0001
0.066000,3.4045,0.0001
0.067000,3.4525,0.0002
0.068000,3.5005,0.0002
0.068000,6.5632,0.0001
0.069000,6.6553,0.0001
0.070000,6.7475,0.0001
0.071000,6.8397,0.0001
0.072000,6.9318,0.0001
0.073000,7.0240,0.0001
0.074000,7.1161,0.0001
0.075000,7.2083,0.0001
0.076000,7.3004,0.0000
0.077000,7.3926,0.0000
0.078000,7.4847,0.0000
0.079000,7.5769,0.0000
0.080000,7.6690,0.0000
0.081000,7.7612,0.0000
0.082000,7.8533,0.0000
0.082000,4.9906,0.0006
0.083000,5.0467,0.0006
0.084000,5.1027,0.0006
0.085000,5.1588,0.0005
0.086000,5.2149,0.0005
0.087000,5.2709,0.0005
0.088000,5.3270,0.0005
0.089000,5.3830,0.0005
0.090000,5.4391,0.0005
0.091000,5.4951,0.0005
0.092000,5.5512,0.0005
0.093000,5.6072,0.0005
0.094000,5.6633,0.0005
0.095000,5.7193,0.0005
0.096000,5.7754,0.0005
0.097000,5.8314,0.0005
0.098000,5.8875,0.0005
0.099000,5.9435,0.0005
0.100000,5.9996,0.0005
0.101000,6.0556,0.0005
0.102000,6.1117,0.0005
0.103000,6.1677,0.0006
0.103000,3.7448,0.0012
0.104000,3.7762,0.0013
0.105000,3.8076,0.0013
0.106000,3.8390,0.0013
0.107000,3.8703,0.0013
0.108000,3.9017,0.0014
0.109000,3.9331,0.0014
0.110000,3.9645,0.0015
0.111000,3.9959,0.0015
0.112000,4.0272,0.0015
0.113000,4.0586,0.0016
0.114000,4.0900,0.0016
0.115000,4.1214,0.0016
0.116000,4.1528,0.0016
0.117000,4.1842,0.0016
0.118000,4.2156,0.0016
0.119000,4.2470,0.0016
0.120000,4.2784,0.0016
0.121000,4.3098,0.0016
0.122000,4.3412,0.0016
0.123000,4.3726,0.0016
0.124000,4.4040,0.0016
0.125000,4.4355,0.0015
0.126000,4.4669,0.0015
0.127000,4.4983,0.0015
0.128000,4.5297,0.0015
0.129000,4.5612,0.0014
0.130000,4.5926,0.0014
0.131000,4.6240,0.0014
0.132000,4.6554,0.0014
0.133000,4.6868,0.0014
0.134000,4.7182,0.0014
0.135000,4.7496,0.0013
0.136000,4.7810,0.0013
0.137000,4.8124,0.0013
0.138000,4.8438,0.0013
0.139000,4.8752,0.0013
0.140000,4.9065,0.0013
0.141000,4.9379,0.0013
0.142000,4.9693,0.0013
0.143000,5.0007,0.0013
0.144000,5.0320,0.0013
0.145000,5.0634,0.0013
0.146000,5.0948,0.0013
0.147000,5.1261,0.0013
0.148000,5.1575,0.0013
0.149000,5.1889,0.0013
0.150000,5.2202,0.0013
0.151000,5.2516,0.0013
0.152000,5.2829,0.0013
0.153000,5.3143,0.0014
0.154000,5.3456,0.0014
0.155000,5.3770,0.0014
0.156000,5.4083,0.0015
0.156000,3.7774,0.0021
0.157000,3.7975,0.0021
0.158000,3.8176,0.0022
0.159000,3.8377,0.0022
0.160000,3.8578,0.0022
0.211000,4.8826,0.0026
0.212000,4.9027,0.0026
0.213000,4.9228,0.0026
0.214000,4.9429,0.0027
0.215000,4.9630,0.0027
0.216000,4.9832,0.0027
0.217000,5.0033,0.0027
0.218000,5.0234,0.0028
0.219000,5.0435,0.0028
0.220000,5.0637,0.0028
0.221000,5.0838,0.0028
0.222000,5.1039,0.0028
0.223000,5.1240,0.0029
0.224000,5.1442,0.0029
0.225000,5.1643,0.0029
0.226000,5.1844,0.0029
0.228000,5.2246,0.0030
0.241000,5.4864,0.0030
0.244000,5.5467,0.0030
0.245000,5.5668,0.0030
0.246000,5.5869,0.0030
0.248000,5.6272,0.0031
0.252000,5.7076,0.0032
0.255000,5.7679,0.0032
0.256000,5.7880,0.0032
0.257000,5.8081,0.0032
0.258000,5.8282,0.0032
0.259000,5.8482,0.0032
0.261000,5.8884,0.0033
0.262000,5.9084,0.0033
0.263000,5.9285,0.0033
0.264000,5.9485,0.0033
0.265000,5.9686,0.0033
0.266000,5.9886,0.0034
0.267000,6.0086,0.0034
0.268000,6.0286,0.0034
0.269000,6.0487,0.0034
0.270000,6.0687,0.0035
0.271000,6.0887,0.0035
0.272000,6.1087,0.0035
0.273000,6.1287,0.0035
0.274000,6.1488,0.0035
0.275000,6.1688,0.0036
0.276000,6.1888,0.0036
0.277000,6.2089,0.0036
0.277000,7.0369,0.0056
0.278000,7.0604,0.0056
0.279000,7.0840,0.0056
0.280000,7.1075,0.0056
0.281000,7.1310,0.0056
0.282000,7.1546,0.0056
0.283000,7.1781,0.0057
0.284000,7.2017,0.0057
0.285000,7.2252,0.0057
0.286000,7.2487,0.0057
0.287000,7.2722,0.0057
0.288000,7.2958,0.0057
0.289000,7.3193,0.0058
0.290000,7.3428,0.0058
0.291000,7.3663,0.0058
0.292000,7.3898,0.0058
0.293000,7.4134,0.0058
0.294000,7.4369,0.0058
0.295000,7.4604,0.0059
0.296000,7.4839,0.0059
0.297000,7.5074,0.0059
0.298000,7.5309,0.0059
0.299000,7.5544,0.0059
0.300000,7.5779,0.0059
0.301000,7.6013,0.0059
0.302000,7.6248,0.0059
0.303000,7.6483,0.0059
0.304000,7.6718,0.0059
0.305000,7.6953,0.0059
0.402000,5.2989,0.0024
0.406000,5.3404,0.0025
0.413000,5.4130,0.0026
0.414000,5.4234,0.0026
0.415000,5.4337,0.0026
0.416000,5.4441,0.0026
0.417000,5.4544,0.0026
0.419000,5.4751,0.0026
0.427000,5.5578,0.0027
0.432000,5.6096,0.0028
0.473000,6.0345,0.0031
0.505000,6.3640,0.0032
0.507000,6.3845,0.0032
0.508000,6.3947,0.0032
0.509000,6.4049,0.0031
0.510000,6.4151,0.0031
0.511000,6.4253,0.0031
0.512000,6.4355,0.0032
0.516000,6.4763,0.0033
0.614000,7.4754,0.0040
0.628000,7.6199,0.0039
0.629000,7.6302,0.0039
0.640000,7.7439,0.0038
0.643000,7.7750,0.0038
0.680000,8.1557,0.0037
0.681000,8.1658,0.0037
0.682000,8.1760,0.0038
0.683000,8.1862,0.0038
0.684000,8.1963,0.0038
0.685000,8.2065,0.0038
0.686000,8.2167,0.0038
0.679000,5.4613,0.0114
0.693000,5.5197,0.0116
0.694000,5.5238,0.0116
0.695000,5.5280,0.0116
0.696000,5.5322,0.0116
0.697000,5.5363,0.0116
0.698000,5.5405,0.0116
0.699000,5.5446,0.0116
0.700000,5.5488,0.0116
0.701000,5.5529,0.0116
0.702000,5.5571,0.0116
0.703000,5.5612,0.0116
0.704000,5.5654,0.0116
0.705000,5.5695,0.0117
0.706000,5.5737,0.0117
0.707000,5.5778,0.0116
0.708000,5.5819,0.0116
0.709000,5.5861,0.0117
0.710000,5.5902,0.0117
0.711000,5.5944,0.0117
0.712000,5.5985,0.0117
0.713000,5.6026,0.0118
0.714000,5.6068,0.0118
0.715000,5.6109,0.0118
0.716000,5.6150,0.0118
0.717000,5.6191,0.0118
0.718000,5.6233,0.0117
0.719000,5.6274,0.0117
0.720000,5.6315,0.0117
0.721000,5.6356,0.0117
0.722000,5.6397,0.0117
0.723000,5.6438,0.0117
0.724000,5.6479,0.0117
0.725000,5.6520,0.0116
0.726000,5.6562,0.0116
0.727000,5.6603,0.0116
0.728000,5.6644,0.0116
0.729000,5.6685,0.0116
0.730000,5.6726,0.0116
0.731000,5.6767,0.0116
0.732000,5.6808,0.0116
0.733000,5.6849,0.0116
0.734000,5.6890,0.0116
0.735000,5.6931,0.0116
0.736000,5.6971,0.0116
0.737000,5.7012,0.0116
0.738000,5.7053,0.0116
0.739000,5.7093,0.0116
0.740000,5.7134,0.0116
0.741000,5.7174,0.0116
0.742000,5.7215,0.0116
