t,pos_err_mm,yaw_err_deg
0.046000,2.1717,0.0002
0.047000,2.2145,0.0002
0.048000,2.2572,0.0002
0.049000,2.2999,0.0002
0.050000,2.3426,0.0002
0.051000,2.3853,0.0002
0.052000,2.4280,0.0002
0.053000,2.4706,0.0002
0.054000,2.5133,0.0002
0.055000,2.5560,0.0002
0.056000,2.5987,0.0002
0.057000,2.6414,0.0002
0.058000,2.6841,0.0002
0.058000,5.0241,0.0003
0.059000,5.1060,0.0003
0.060000,5.1879,0.0003
0.061000,5.2698,0.0003
0.062000,5.3517,0.0003
0.063000,5.4336,0.0003
0.064000,5.5155,0.0003
0.065000,5.5974,0.0002
0.066000,5.6793,0.0002
0.067000,5.7612,0.0002
0.068000,5.8431,0.0002
0.069000,5.9249,0.0001
0.070000,6.0068,0.0001
0.071000,6.0887,0.0001
0.072000,6.1705,0.0002
0.073000,6.2524,0.0002
0.074000,6.3343,0.0002
0.075000,6.4161,0.0002
0.076000,6.4980,0.0002
0.077000,6.5799,0.0002
0.078000,6.6617,0.0002
0.079000,6.7436,0.0002
0.079000,3.7753,0.0020
0.080000,3.8193,0.0020
0.081000,3.8633,0.0020
0.082000,3.9072,0.0020
0.123000,5.7092,0.0025
0.124000,5.7532,0.0025
0.125000,5.7972,0.0025
0.126000,5.8412,0.0024
0.127000,5.8852,0.0024
0.128000,5.9291,0.0024
0.129000,5.9731,0.0023
0.130000,6.0171,0.0023
0.131000,6.0611,0.0023
0.132000,6.1050,0.0023
0.133000,6.1490,0.0023
0.134000,6.1929,0.0023
0.135000,6.2369,0.0023
0.136000,6.2808,0.0023
0.142000,6.5444,0.0022
0.143000,6.5883,0.0022
0.145000,6.6762,0.0022
0.146000,6.7201,0.0022
0.147000,6.7640,0.0022
0.148000,6.8079,0.0022
0.149000,6.8518,0.0023
0.150000,6.8957,0.0023
0.151000,6.9396,0.0023
0.152000,6.9835,0.0023
0.153000,7.0274,0.0024
0.154000,7.0713,0.0024
0.155000,7.1152,0.0024
0.156000,7.1591,0.0025
0.157000,7.2030,0.0025
0.158000,7.2469,0.0025
0.159000,7.2908,0.0026
0.160000,7.3347,0.0026
0.161000,7.3786,0.0027
0.162000,7.4224,0.0027
0.163000,7.4663,0.0027
0.164000,7.5102,0.0027
0.165000,7.5541,0.0027
0.166000,7.5979,0.0027
0.167000,7.6418,0.0027
0.168000,7.6857,0.0026
0.169000,7.7295,0.0026
0.170000,7.7734,0.0026
0.171000,7.8173,0.0026
0.172000,7.8611,0.0026
0.172000,4.5552,0.0055
0.172000,5.6763,0.0033
0.173000,5.7074,0.0033
0.174000,5.7386,0.0033
0.175000,5.7697,0.0033
0.176000,5.8009,0.0033
0.177000,5.8320,0.0033
0.178000,5.8631,0.0033
0.179000,5.8943,0.0033
0.180000,5.9254,0.0033
0.181000,5.9566,0.0034
0.182000,5.9877,0.0034
0.183000,6.0188,0.0034
0.184000,6.0500,0.0034
0.185000,6.0811,0.0035
0.186000,6.1123,0.0035
0.187000,6.1434,0.0035
0.188000,6.1746,0.0035
0.189000,6.2057,0.0035
0.190000,6.2369,0.0035
0.191000,6.2680,0.0035
0.192000,6.2991,0.0035
0.193000,6.3303,0.0035
0.193000,4.8962,0.0074
0.194000,4.9194,0.0074
0.195000,4.9427,0.0074
0.196000,4.9659,0.0074
0.197000,4.9891,0.0074
0.198000,5.0123,0.0075
0.199000,5.0355,0.0075
0.200000,5.0588,0.0075
0.201000,5.0820,0.0075
0.202000,5.1052,0.0076
0.202000,3.7853,0.0085
0.203000,3.8014,0.0085
0.204000,3.8174,0.0086
0.205000,3.8335,0.0086
0.206000,3.8496,0.0086
0.207000,3.8657,0.0087
0.208000,3.8818,0.0087
0.211000,3.9301,0.0088
0.212000,3.9461,0.0089
0.213000,3.9623,0.0089
0.214000,3.9784,0.0090
0.215000,3.9945,0.0090
0.216000,4.0106,0.0091
0.217000,4.0267,0.0091
0.218000,4.0428,0.0092
0.219000,4.0589,0.0092
0.220000,4.0750,0.0093
0.221000,4.0911,0.0093
0.222000,4.1072,0.0093
0.223000,4.1233,0.0094
0.224000,4.1394,0.0094
0.225000,4.1555,0.0095
0.226000,4.1716,0.0095
0.227000,4.1877,0.0095
0.228000,4.2039,0.0096
0.229000,4.2200,0.0096
0.230000,4.2361,0.0096
0.231000,4.2522,0.0096
0.243000,4.4456,0.0099
0.244000,4.4617,0.0099
0.299000,6.3410,0.0290
0.304000,6.4401,0.0293
0.308000,6.5193,0.0295
0.312000,6.5985,0.0297
0.316000,6.6777,0.0300
0.319000,6.7372,0.0303
0.323000,6.8164,0.0306
0.326000,6.8758,0.0309
0.329000,6.9353,0.0312
0.330000,6.9551,0.0313
0.339000,7.1332,0.0321
0.341000,7.1728,0.0322
0.342000,7.1926,0.0323
0.350000,7.3510,0.0330
0.351000,7.3708,0.0331
0.352000,7.3906,0.0332
