t,pos_err_mm,yaw_err_deg
0.052000,1.4187,0.0000
0.052000,4.2605,0.0001
0.053000,4.3377,0.0001
0.054000,4.4149,0.0001
0.055000,4.4921,0.0001
0.056000,4.5693,0.0001
0.057000,4.6465,0.0001
0.058000,4.7237,0.0001
0.059000,4.8009,0.0001
0.060000,4.8781,0.0001
0.061000,4.9553,0.0001
0.062000,5.0325,0.0001
0.063000,5.1097,0.0001
0.064000,5.1869,0.0000
0.065000,5.2641,0.0000
0.066000,5.3413,0.0000
0.067000,5.4184,0.0000
0.068000,5.4956,0.0001
0.069000,5.5728,0.0001
0.070000,5.6499,0.0001
0.071000,5.7271,0.0001
0.072000,5.8042,0.0001
0.073000,5.8814,0.0001
0.074000,5.9585,0.0001
0.075000,6.0357,0.0001
0.076000,6.1128,0.0000
0.077000,6.1900,0.0000
0.078000,6.2671,0.0000
0.079000,6.3443,0.0000
0.080000,6.4214,0.0000
0.080000,4.2409,0.0009
0.081000,4.2909,0.0009
0.082000,4.3408,0.0009
0.083000,4.3908,0.0009
0.084000,4.4408,0.0008
0.085000,4.4907,0.0008
0.086000,4.5407,0.0008
0.087000,4.5907,0.0008
0.088000,4.6406,0.0008
0.089000,4.6906,0.0008
0.090000,4.7406,0.0008
0.091000,4.7906,0.0008
0.092000,4.8405,0.0008
0.093000,4.8905,0.0008
0.094000,4.9404,0.0008
0.095000,4.9904,0.0008
0.096000,5.0403,0.0008
0.097000,5.0903,0.0008
0.098000,5.1402,0.0008
0.099000,5.1902,0.0008
0.100000,5.2402,0.0008
0.101000,5.2901,0.0008
0.102000,5.3401,0.0008
0.103000,5.3900,0.0009
0.104000,5.4400,0.0009
0.105000,5.4900,0.0009
0.106000,5.5399,0.0009
0.107000,5.5899,0.0010
0.108000,5.6398,0.0010
0.109000,5.6898,0.0010
0.110000,5.7398,0.0011
0.110000,3.6879,0.0020
0.111000,3.7191,0.0021
0.112000,3.7502,0.0021
0.113000,3.7814,0.0021
0.114000,3.8125,0.0021
0.115000,3.8437,0.0021
0.116000,3.8748,0.0022
0.117000,3.9060,0.0022
0.118000,3.9371,0.0022
0.119000,3.9683,0.0022
0.120000,3.9995,0.0022
0.121000,4.0306,0.0022
0.122000,4.0618,0.0022
0.123000,4.0930,0.0022
