t,pos_err_mm,yaw_err_deg
0.064000,1.7178,0.0001
0.064000,5.1869,0.0000
0.065000,5.2641,0.0000
0.066000,5.3412,0.0000
0.067000,5.4184,0.0000
0.068000,5.4956,0.0001
0.069000,5.5728,0.0001
0.070000,5.6499,0.0001
0.071000,5.7271,0.0001
0.072000,5.8042,0.0001
0.073000,5.8814,0.0001
0.074000,5.9585,0.0001
0.075000,6.0357,0.0001
0.076000,6.1128,0.0000
0.077000,6.1900,0.0000
0.078000,6.2671,0.0000
0.079000,6.3442,0.0000
0.080000,6.4214,0.0000
0.081000,6.4985,0.0000
0.082000,6.5757,0.0000
0.083000,6.6528,0.0000
0.084000,6.7300,0.0000
0.085000,6.8071,0.0000
0.087000,6.9614,0.0001
0.090000,7.1929,0.0001
0.092000,7.3472,0.0001
0.119000,9.4304,0.0002
0.120000,9.5076,0.0002
0.121000,9.5848,0.0002
0.177000,13.9047,0.0002
0.178000,13.9818,0.0002
0.179000,14.0589,0.0002
0.180000,14.1360,0.0002
0.181000,14.2131,0.0002
0.182000,14.2902,0.0002
0.183000,14.3673,0.0001
0.184000,14.4444,0.0001
0.185000,14.5215,0.0001
0.186000,14.5986,0.0001
0.187000,14.6757,0.0001
0.188000,14.7528,0.0001
0.189000,14.8299,0.0001
0.190000,14.9070,0.0001
0.191000,14.9841,0.0001
0.192000,15.0612,0.0002
0.193000,15.1383,0.0002
0.194000,15.2154,0.0002
0.195000,15.2925,0.0002
0.196000,15.3696,0.0002
0.197000,15.4467,0.0002
0.198000,15.5237,0.0002
0.199000,15.6008,0.0002
0.200000,15.6779,0.0002
0.201000,15.7550,0.0002
0.202000,15.8321,0.0002
0.203000,15.9092,0.0002
0.204000,15.9863,0.0002
0.205000,16.0634,0.0002
0.206000,16.1405,0.0002
0.207000,16.2176,0.0002
0.208000,16.2947,0.0002
0.209000,16.3718,0.0002
0.210000,16.4490,0.0002
0.211000,16.5261,0.0002
0.212000,16.6032,0.0001
0.213000,16.6803,0.0001
0.214000,16.7575,0.0001
0.215000,16.8346,0.0001
0.216000,16.9117,0.0000
0.217000,16.9889,0.0000
0.218000,17.0660,0.0000
0.219000,17.1431,0.0000
0.220000,17.2203,0.0000
0.221000,17.2974,0.0000
0.222000,17.3745,0.0000
0.223000,17.4517,0.0000
0.224000,17.5288,0.0001
0.225000,17.6059,0.0001
0.226000,17.6831,0.0001
0.227000,17.7602,0.0001
0.228000,17.8374,0.0001
0.229000,17.9145,0.0001
0.230000,17.9917,0.0001
0.231000,18.0688,0.0001
0.232000,18.1460,0.0001
0.233000,18.2231,0.0001
0.234000,18.3003,0.0000
0.235000,18.3774,0.0000
0.236000,18.4546,0.0000
0.236000,10.2559,0.0008
0.237000,10.2980,0.0008
0.238000,10.3400,0.0008
0.239000,10.3820,0.0008
0.240000,10.4240,0.0008
0.241000,10.4661,0.0007
0.242000,10.5081,0.0008
0.243000,10.5501,0.0008
0.244000,10.5921,0.0008
0.245000,10.6342,0.0008
0.246000,10.6762,0.0008
0.247000,10.7182,0.0008
0.248000,10.7602,0.0008
0.249000,10.8022,0.0008
0.250000,10.8443,0.0008
0.251000,10.8863,0.0009
0.252000,10.9283,0.0009
0.253000,10.9703,0.0009
0.254000,11.0123,0.0009
0.255000,11.0543,0.0009
0.256000,11.0963,0.0009
0.257000,11.1383,0.0009
0.258000,11.1803,0.0009
0.259000,11.2223,0.0009
0.260000,11.2642,0.0009
0.261000,11.3062,0.0009
0.262000,11.3482,0.0009
