t,pos_err_mm,yaw_err_deg
0.056000,1.5184,0.0000
0.057000,1.5434,0.0000
0.057000,4.6465,0.0001
0.058000,4.7237,0.0001
0.059000,4.8009,0.0001
0.060000,4.8781,0.0001
0.061000,4.9553,0.0001
0.062000,5.0325,0.0001
0.063000,5.1097,0.0001
0.064000,5.1869,0.0000
0.065000,5.2641,0.0000
0.066000,5.3413,0.0000
0.067000,5.4184,0.0000
0.068000,5.4956,0.0001
0.069000,5.5728,0.0001
0.070000,5.6499,0.0001
0.071000,5.7271,0.0001
0.072000,5.8042,0.0001
0.073000,5.8814,0.0001
0.074000,5.9585,0.0001
0.075000,6.0357,0.0001
0.076000,6.1128,0.0000
0.077000,6.1900,0.0000
0.078000,6.2671,0.0000
0.079000,6.3443,0.0000
0.080000,6.4214,0.0000
0.081000,6.4985,0.0000
0.082000,6.5757,0.0000
0.083000,6.6528,0.0000
0.084000,6.7300,0.0000
0.085000,6.8071,0.0000
0.086000,6.8843,0.0001
0.087000,6.9614,0.0001
0.088000,7.0386,0.0001
0.089000,7.1157,0.0001
0.090000,7.1929,0.0001
0.091000,7.2700,0.0001
0.092000,7.3472,0.0001
0.093000,7.4243,0.0001
0.094000,7.5015,0.0001
0.095000,7.5786,0.0001
0.096000,7.6557,0.0001
0.097000,7.7329,0.0001
0.098000,7.8100,0.0001
0.099000,7.8872,0.0001
0.100000,7.9643,0.0001
0.101000,8.0415,0.0001
0.102000,8.1186,0.0001
0.103000,8.1958,0.0001
0.104000,8.2730,0.0000
0.105000,8.3501,0.0000
0.106000,8.4273,0.0000
0.107000,8.5044,0.0000
0.108000,8.5816,0.0000
0.109000,8.6587,0.0001
0.109000,5.6898,0.0010
0.109000,3.6568,0.0020
0.110000,3.6879,0.0020
0.111000,3.7191,0.0021
0.112000,3.7502,0.0021
0.113000,3.7814,0.0021
0.114000,3.8125,0.0021
0.115000,3.8437,0.0021
0.116000,3.8748,0.0022
0.117000,3.9060,0.0022
0.122000,4.0618,0.0022
0.130000,4.3112,0.0020
0.136000,4.4982,0.0019
0.139000,4.5916,0.0019
0.142000,4.6850,0.0019
0.144000,4.7472,0.0019
0.145000,4.7783,0.0019
0.148000,4.8717,0.0019
0.149000,4.9028,0.0019
0.151000,4.9650,0.0020
0.154000,5.0583,0.0021
0.155000,5.0894,0.0021
0.156000,5.1205,0.0021
0.157000,5.1516,0.0022
0.158000,5.1827,0.0022
0.159000,5.2138,0.0023
0.160000,5.2449,0.0023
0.161000,5.2760,0.0023
0.162000,5.3070,0.0023
0.163000,5.3381,0.0023
0.164000,5.3692,0.0023
0.165000,5.4003,0.0023
0.166000,5.4314,0.0023
0.167000,5.4624,0.0023
0.168000,5.4935,0.0023
0.187000,6.0838,0.0024
0.200000,4.8655,0.0034
0.204000,4.9566,0.0034
0.214000,3.7344,0.0042
0.223000,3.8762,0.0044
0.233000,4.0338,0.0046
0.242000,4.1756,0.0046
0.270000,4.6154,0.0052
0.271000,4.6311,0.0052
0.272000,4.6467,0.0053
0.273000,4.6624,0.0053
0.274000,4.6781,0.0053
0.275000,4.6937,0.0053
0.276000,4.7094,0.0054
0.277000,4.7250,0.0054
0.278000,4.7407,0.0054
0.279000,4.7564,0.0054
0.280000,4.7720,0.0054
0.281000,4.7877,0.0054
0.282000,4.8033,0.0054
0.283000,4.8190,0.0054
0.284000,4.8346,0.0054
0.285000,4.8502,0.0055
0.286000,4.8659,0.0055
0.287000,4.8815,0.0055
0.288000,4.8972,0.0055
0.289000,4.9128,0.0055
0.290000,4.9284,0.0055
0.291000,4.9441,0.0055
0.292000,4.9597,0.0056
0.293000,4.9753,0.0056
0.294000,4.9909,0.0056
0.295000,5.0065,0.0056
0.296000,5.0221,0.0056
0.297000,5.0378,0.0056
0.298000,5.0534,0.0057
0.299000,5.0690,0.0057
0.300000,5.0846,0.0057
0.301000,5.1002,0.0057
0.303000,5.1314,0.0057
0.312000,5.2718,0.0055
0.331000,4.0976,0.0147
0.336000,4.1521,0.0149
0.347000,4.2717,0.0153
0.348000,4.2825,0.0154
0.349000,4.2934,0.0154
0.350000,4.3043,0.0155
0.351000,4.3152,0.0155
0.352000,4.3261,0.0156
0.353000,4.3370,0.0156
0.354000,4.3479,0.0157
0.355000,4.3588,0.0157
0.356000,4.3697,0.0158
0.357000,4.3806,0.0158
0.358000,4.3915,0.0158
0.359000,4.4024,0.0159
0.360000,4.4133,0.0159
0.361000,4.4242,0.0159
0.362000,4.4351,0.0160
0.363000,4.4461,0.0160
0.364000,4.4570,0.0161
0.365000,4.4679,0.0161
0.366000,4.4788,0.0162
0.367000,4.4898,0.0163
0.368000,4.5007,0.0163
0.369000,4.5116,0.0164
0.370000,4.5226,0.0164
0.371000,4.5335,0.0165
0.372000,4.5444,0.0165
0.373000,4.5553,0.0166
0.374000,4.5662,0.0167
0.380000,4.6316,0.0169
0.384000,4.6752,0.0169
0.389000,4.7297,0.0171
0.392000,4.7624,0.0172
0.395000,4.7950,0.0173
0.397000,5.4828,0.0347
0.400000,5.5209,0.0349
0.402000,5.5463,0.0351
0.405000,5.5844,0.0353
0.406000,5.5971,0.0353
0.411000,5.6606,0.0357
0.414000,5.6987,0.0359
0.415000,5.7114,0.0360
0.416000,5.7241,0.0360
0.417000,5.7368,0.0361
0.418000,5.7494,0.0362
0.419000,5.7621,0.0363
0.420000,5.7748,0.0364
0.421000,5.7874,0.0365
0.422000,5.8001,0.0366
0.423000,5.8128,0.0367
0.424000,5.8254,0.0368
0.425000,5.8381,0.0368
0.426000,5.8507,0.0369
0.427000,5.8633,0.0370
0.428000,5.8760,0.0371
0.429000,5.8886,0.0371
0.430000,5.9012,0.0372
0.431000,5.9138,0.0372
0.432000,5.9265,0.0373
0.433000,5.9391,0.0374
0.438000,6.0020,0.0379
0.439000,6.0146,0.0380
0.440000,6.0272,0.0381
0.441000,6.0398,0.0381
0.442000,6.0524,0.0382
0.443000,6.0649,0.0383
0.444000,6.0775,0.0384
0.445000,6.0901,0.0385
0.446000,6.1027,0.0386
0.447000,6.1153,0.0387
0.448000,6.1279,0.0387
0.449000,6.1405,0.0388
0.450000,6.1531,0.0389
0.451000,6.1657,0.0390
0.461000,6.2917,0.0398
0.473000,6.4425,0.0409
0.475000,6.4676,0.0411
0.476000,6.4802,0.0411
0.480000,6.5305,0.0414
0.488000,5.7418,0.0456
0.489000,5.7523,0.0457
0.490000,5.7628,0.0457
0.491000,5.7733,0.0458
0.492000,5.7839,0.0459
0.493000,5.7944,0.0460
0.494000,5.8050,0.0460
0.498000,5.8471,0.0463
0.501000,5.8788,0.0466
0.504000,5.1426,0.0530
0.507000,5.1689,0.0533
0.510000,5.1953,0.0536
0.514000,5.2305,0.0539
0.515000,5.2393,0.0540
0.516000,5.2481,0.0541
0.517000,5.2569,0.0542
0.518000,5.2657,0.0542
0.519000,5.2745,0.0543
0.520000,5.2833,0.0544
0.521000,5.2921,0.0545
0.522000,5.3009,0.0546
0.531000,5.3802,0.0557
0.534000,5.4067,0.0560
0.535000,5.4155,0.0561
0.536000,5.4244,0.0562
0.537000,5.4332,0.0563
0.538000,5.4421,0.0564
0.539000,5.4510,0.0564
0.540000,5.4598,0.0565
0.541000,5.4687,0.0566
0.542000,5.4775,0.0567
0.543000,5.4864,0.0567
0.544000,5.4953,0.0568
0.545000,5.5042,0.0569
0.546000,5.5131,0.0570
0.547000,5.5220,0.0571
0.548000,5.5309,0.0572
0.549000,5.5398,0.0573
0.550000,5.5487,0.0574
0.551000,5.5576,0.0574
0.552000,5.5665,0.0575
0.553000,5.5753,0.0576
0.554000,5.5842,0.0577
0.555000,5.5931,0.0578
0.556000,5.6020,0.0578
0.582000,5.1884,0.0760
0.617000,5.4434,0.0806
0.618000,5.4505,0.0807
0.619000,5.4577,0.0808
0.620000,5.4649,0.0809
0.621000,5.4721,0.0810
0.622000,5.4792,0.0811
0.623000,5.4864,0.0812
0.624000,5.4936,0.0813
0.625000,5.5007,0.0814
0.626000,5.5079,0.0815
0.627000,5.5150,0.0816
0.628000,5.5222,0.0817
0.629000,5.5294,0.0818
0.630000,5.5365,0.0819
0.631000,5.5437,0.0821
0.632000,5.5509,0.0822
0.633000,5.5580,0.0823
0.634000,5.5652,0.0824
0.635000,5.5724,0.0826
0.636000,5.5796,0.0827
0.666000,4.9408,0.1094
0.684000,5.0368,0.1121
0.688000,5.0581,0.1127
0.690000,4.8049,0.1094
0.691000,4.8097,0.1096
0.692000,4.8144,0.1097
0.693000,4.8192,0.1099
0.694000,4.8240,0.1100
0.695000,4.8288,0.1102
0.696000,4.8336,0.1103
0.697000,4.8383,0.1105
0.698000,4.8431,0.1106
0.699000,4.8479,0.1108
0.700000,4.8526,0.1109
0.701000,4.8574,0.1110
0.702000,4.8622,0.1112
0.703000,4.8669,0.1113
0.704000,4.8717,0.1114
0.705000,4.8765,0.1115
0.706000,4.8812,0.1116
0.707000,4.8860,0.1118
0.708000,4.8907,0.1119
0.720000,4.9476,0.1135
0.726000,4.9757,0.1143
0.727000,4.9804,0.1144
0.728000,4.9851,0.1145
0.729000,4.9898,0.1147
0.730000,4.9944,0.1148
0.731000,4.9991,0.1150
0.732000,5.0037,0.1151
0.733000,5.0084,0.1153
0.734000,5.0130,0.1154
0.735000,5.0177,0.1156
0.736000,5.0223,0.1157
0.737000,5.0269,0.1159
0.738000,5.0316,0.1161
0.739000,5.0362,0.1162
0.740000,5.0408,0.1163
0.741000,5.0455,0.1165
0.742000,5.0501,0.1166
0.743000,5.0547,0.1168
0.744000,5.0593,0.1169
0.745000,5.0639,0.1170
0.746000,5.0686,0.1171
0.747000,5.0732,0.1173
0.748000,5.0778,0.1174
0.749000,5.0824,0.1175
0.750000,5.0870,0.1176
0.751000,5.0916,0.1177
0.752000,5.0962,0.1179
0.753000,5.1008,0.1180
