t,pos_err_mm,yaw_err_deg
0.050000,1.3686,0.0001
0.051000,1.3936,0.0001
0.052000,1.4185,0.0001
0.052000,4.2608,0.0001
0.053000,4.3380,0.0001
0.054000,4.4152,0.0001
0.055000,4.4925,0.0001
0.056000,4.5697,0.0000
0.057000,4.6469,0.0000
0.058000,4.7241,0.0000
0.059000,4.8013,0.0000
0.060000,4.8785,0.0000
0.061000,4.9557,0.0000
0.062000,5.0329,0.0000
0.118000,9.3548,0.0002
0.119000,9.4320,0.0002
0.120000,9.5092,0.0001
0.121000,9.5864,0.0001
0.122000,9.6637,0.0001
0.123000,9.7409,0.0001
0.124000,9.8181,0.0000
0.125000,9.8953,0.0000
0.126000,9.9726,0.0001
0.127000,10.0498,0.0001
0.128000,10.1270,0.0002
0.129000,10.2042,0.0002
0.130000,10.2814,0.0002
0.131000,10.3586,0.0002
0.132000,10.4358,0.0002
0.133000,10.5130,0.0002
0.134000,10.5902,0.0002
0.135000,10.6674,0.0003
0.136000,10.7446,0.0003
0.137000,10.8218,0.0003
0.138000,10.8989,0.0004
0.139000,10.9761,0.0004
0.140000,11.0533,0.0004
0.141000,11.1304,0.0004
0.142000,11.2076,0.0004
0.143000,11.2847,0.0003
0.144000,11.3619,0.0004
0.145000,11.4391,0.0003
0.146000,11.5162,0.0003
0.147000,11.5934,0.0004
0.148000,11.6705,0.0003
0.149000,11.7477,0.0003
0.150000,11.8249,0.0003
0.151000,11.9020,0.0003
0.152000,11.9792,0.0002
0.153000,12.0563,0.0002
0.154000,12.1335,0.0002
0.155000,12.2106,0.0001
0.156000,12.2877,0.0001
0.157000,12.3649,0.0000
0.158000,12.4420,0.0000
0.159000,12.5191,0.0000
0.160000,12.5963,0.0001
0.161000,12.6734,0.0001
0.162000,12.7505,0.0000
0.163000,12.8277,0.0000
0.164000,12.9048,0.0000
0.165000,12.9819,0.0001
0.166000,13.0590,0.0001
0.167000,13.1361,0.0001
0.168000,13.2132,0.0002
0.168000,10.2968,0.0005
0.169000,10.3563,0.0005
0.170000,10.4159,0.0005
0.171000,10.4754,0.0005
0.172000,10.5349,0.0005
0.173000,10.5944,0.0005
0.174000,10.6540,0.0006
0.175000,10.7135,0.0005
0.176000,10.7730,0.0006
0.177000,10.8325,0.0006
0.178000,10.8921,0.0006
0.179000,10.9516,0.0006
0.180000,11.0111,0.0005
0.181000,11.0706,0.0005
0.182000,11.1302,0.0005
0.183000,11.1897,0.0005
0.239000,8.4168,0.0008
0.240000,8.4505,0.0008
0.241000,8.4843,0.0008
0.242000,8.5180,0.0008
0.243000,8.5517,0.0009
0.244000,8.5854,0.0009
0.245000,8.6191,0.0009
0.246000,8.6528,0.0009
0.247000,8.6866,0.0009
0.248000,8.7203,0.0009
0.249000,8.7540,0.0010
0.250000,8.7877,0.0010
0.251000,8.8214,0.0010
0.252000,8.8551,0.0011
0.253000,8.8888,0.0010
0.254000,8.9225,0.0010
0.255000,8.9562,0.0010
0.256000,8.9899,0.0010
0.257000,9.0235,0.0010
0.258000,9.0572,0.0010
0.259000,9.0908,0.0010
0.260000,9.1245,0.0010
0.265000,9.2926,0.0012
0.266000,9.3262,0.0011
0.267000,9.3598,0.0012
0.268000,9.3934,0.0012
0.269000,9.4270,0.0012
0.270000,9.4607,0.0013
0.271000,9.4943,0.0013
0.272000,9.5279,0.0013
0.273000,9.5615,0.0013
0.274000,9.5952,0.0013
0.275000,9.6288,0.0013
0.276000,9.6624,0.0013
0.277000,9.6961,0.0013
0.278000,9.7297,0.0013
0.279000,9.7633,0.0013
0.280000,9.7969,0.0012
0.281000,9.8305,0.0012
0.282000,9.8642,0.0012
0.283000,9.8978,0.0013
0.284000,9.9314,0.0013
0.285000,9.9650,0.0013
0.286000,9.9986,0.0013
0.287000,10.0322,0.0013
0.316000,4.7231,0.0068
0.317000,4.7366,0.0069
0.318000,4.7500,0.0070
0.319000,4.7635,0.0070
0.320000,4.7769,0.0070
0.321000,4.7904,0.0071
0.322000,4.8038,0.0071
0.341000,5.0590,0.0076
0.361000,5.3278,0.0082
0.362000,5.3413,0.0082
0.363000,5.3548,0.0082
0.364000,5.3683,0.0082
0.365000,5.3817,0.0083
0.366000,5.3952,0.0084
0.367000,5.4087,0.0085
0.368000,5.4222,0.0085
0.369000,5.4357,0.0085
0.370000,5.4491,0.0086
0.371000,5.4626,0.0086
0.372000,5.4760,0.0086
0.373000,5.4895,0.0087
0.374000,5.5029,0.0087
0.375000,5.5164,0.0087
0.376000,5.5298,0.0087
0.377000,5.5433,0.0087
0.378000,5.5567,0.0087
0.379000,5.5701,0.0087
0.380000,5.5836,0.0087
0.381000,5.5970,0.0087
0.382000,5.6105,0.0086
0.383000,5.6239,0.0086
0.384000,5.6374,0.0086
0.385000,5.6508,0.0086
0.386000,5.6643,0.0087
0.387000,5.6777,0.0087
0.388000,5.6912,0.0088
0.389000,5.7046,0.0088
0.390000,5.7181,0.0088
0.391000,5.7315,0.0089
0.392000,5.7449,0.0089
0.393000,5.7584,0.0089
0.394000,5.7718,0.0090
0.395000,5.7853,0.0090
0.396000,5.7987,0.0090
0.397000,5.8122,0.0090
0.398000,5.8256,0.0091
0.399000,5.8390,0.0091
