t,pos_err_mm,yaw_err_deg
0.282000,5.1003,0.0153
0.283000,5.1169,0.0154
0.284000,5.1336,0.0154
0.285000,5.1502,0.0155
0.286000,5.1669,0.0155
0.287000,5.1835,0.0155
0.288000,5.2002,0.0156
0.289000,5.2168,0.0156
0.300000,5.3996,0.0161
0.301000,5.4162,0.0161
0.302000,5.4329,0.0162
0.303000,5.4495,0.0162
0.304000,5.4661,0.0162
0.305000,5.4827,0.0162
0.306000,5.4993,0.0162
0.311000,5.5823,0.0163
0.312000,5.5989,0.0163
0.313000,5.6155,0.0163
0.314000,5.6321,0.0164
0.317000,5.6820,0.0165
0.318000,5.6986,0.0166
0.319000,5.7152,0.0166
0.323000,5.7817,0.0168
0.361000,4.1189,0.0216
0.362000,4.1284,0.0216
0.370000,4.2047,0.0222
0.371000,4.2142,0.0223
0.372000,4.2237,0.0223
0.373000,4.2333,0.0224
0.374000,4.2428,0.0225
0.375000,4.2523,0.0225
0.376000,4.2618,0.0226
0.377000,4.2713,0.0226
0.378000,4.2808,0.0227
0.379000,4.2903,0.0227
0.380000,4.2998,0.0228
0.381000,4.3093,0.0228
0.382000,4.3188,0.0228
0.383000,4.3283,0.0228
0.384000,4.3378,0.0229
0.385000,4.3473,0.0229
0.386000,4.3568,0.0229
0.387000,4.3663,0.0230
0.388000,4.3758,0.0230
0.389000,4.3853,0.0231
0.390000,4.3948,0.0232
0.392000,4.4138,0.0233
0.396000,4.4517,0.0235
0.398000,4.4707,0.0236
0.401000,4.4991,0.0238
0.405000,4.5370,0.0239
0.410000,4.5843,0.0241
0.411000,4.5938,0.0242
0.412000,4.6033,0.0242
0.413000,4.6127,0.0243
0.414000,4.6222,0.0243
0.451000,5.9949,0.0466
0.457000,6.0669,0.0471
0.458000,6.0789,0.0472
0.458000,5.5342,0.0338
0.459000,5.5447,0.0339
0.460000,5.5553,0.0340
0.461000,5.5658,0.0341
0.462000,5.5764,0.0341
0.463000,5.5869,0.0342
0.464000,5.5974,0.0343
0.465000,5.6079,0.0343
0.466000,5.6185,0.0344
0.467000,5.6290,0.0345
0.468000,5.6395,0.0346
0.469000,5.6500,0.0347
0.470000,5.6605,0.0348
0.471000,5.6710,0.0349
0.476000,5.7236,0.0352
0.478000,5.7446,0.0354
0.479000,5.7551,0.0354
0.480000,5.7656,0.0355
0.481000,5.7761,0.0355
0.482000,5.7867,0.0356
0.483000,5.7972,0.0357
0.484000,5.8077,0.0358
0.485000,5.8183,0.0358
0.486000,5.8288,0.0359
0.487000,5.8393,0.0360
0.488000,5.8499,0.0360
0.489000,5.8604,0.0361
0.490000,5.8710,0.0362
0.491000,5.8815,0.0362
0.492000,5.8921,0.0363
0.493000,5.9027,0.0363
0.494000,5.9132,0.0364
0.495000,5.9238,0.0365
0.496000,5.9344,0.0365
0.497000,5.9449,0.0366
0.498000,5.9555,0.0366
0.499000,5.9661,0.0367
0.500000,5.9767,0.0367
0.501000,5.9872,0.0368
