[INFO] [1785154572.020254006] [backend_optimizer_node]: graph (re)initialized at X0=(-2.419, 1.354, 0.000) V0=(0.000, 0.000)
[INFO] [1785154572.020606592] [backend_optimizer_node]: backend_optimizer_node started (0 cylinders registered)
[WARN] [1785154610.543774532] [backend_optimizer_node]: slow smoother update: 28.7ms (index 270)
[WARN] [1785154611.756230649] [backend_optimizer_node]: slow smoother update: 27.8ms (index 307)
[WARN] [1785154614.237670823] [backend_optimizer_node]: slow smoother update: 21.5ms (index 385)
[WARN] [1785154615.071485194] [backend_optimizer_node]: slow smoother update: 30.2ms (index 411)
[WARN] [1785154615.104646709] [backend_optimizer_node]: slow smoother update: 32.4ms (index 412)
[WARN] [1785154616.175003515] [backend_optimizer_node]: slow smoother update: 26.8ms (index 455)
[WARN] [1785154616.940946931] [backend_optimizer_node]: slow smoother update: 21.0ms (index 484)
[WARN] [1785154617.647355670] [backend_optimizer_node]: slow smoother update: 30.6ms (index 511)
[WARN] [1785154627.659984236] [backend_optimizer_node]: slow smoother update: 46.1ms (index 891)
[WARN] [1785154643.255500276] [backend_optimizer_node]: slow smoother update: 25.2ms (index 1438)
[WARN] [1785154647.706274433] [backend_optimizer_node]: slow smoother update: 22.6ms (index 1603)
[WARN] [1785154649.370631076] [backend_optimizer_node]: slow smoother update: 22.2ms (index 1665)
[WARN] [1785154658.695905469] [backend_optimizer_node]: slow smoother update: 26.9ms (index 2009)
