t,pos_err_mm,yaw_err_deg
0.050000,1.3689,0.0000
0.051000,1.3939,0.0000
0.052000,1.4188,0.0000
0.053000,1.4438,0.0000
0.054000,1.4687,0.0000
0.075000,1.9918,0.0002
0.076000,2.0167,0.0001
0.077000,2.0416,0.0001
0.078000,2.0664,0.0001
0.079000,2.0913,0.0001
0.080000,2.1162,0.0001
0.081000,2.1411,0.0001
0.082000,2.1659,0.0001
0.083000,2.1908,0.0001
0.084000,2.2157,0.0001
0.085000,2.2405,0.0001
0.086000,2.2654,0.0002
0.087000,2.2903,0.0002
0.088000,2.3152,0.0002
0.089000,2.3400,0.0002
0.090000,2.3649,0.0002
0.091000,2.3898,0.0002
0.092000,2.4146,0.0002
0.093000,2.4395,0.0002
0.094000,2.4643,0.0002
0.095000,2.4892,0.0002
0.096000,2.5140,0.0002
0.097000,2.5389,0.0002
0.098000,2.5638,0.0002
0.098000,7.8109,0.0001
0.099000,7.8880,0.0001
0.100000,7.9652,0.0001
0.100000,5.2397,0.0008
0.101000,5.2896,0.0008
0.102000,5.3396,0.0008
0.103000,5.3896,0.0009
0.104000,5.4395,0.0009
0.105000,5.4895,0.0009
0.106000,5.5394,0.0009
0.107000,5.5894,0.0010
0.108000,5.6393,0.0010
0.109000,5.6893,0.0010
0.110000,5.7392,0.0011
0.111000,5.7892,0.0011
0.112000,5.8391,0.0011
0.113000,5.8891,0.0012
0.114000,5.9391,0.0012
0.115000,5.9890,0.0012
0.116000,6.0390,0.0012
0.117000,6.0890,0.0012
0.118000,6.1389,0.0012
0.119000,6.1889,0.0012
0.120000,6.2389,0.0012
0.121000,6.2888,0.0012
0.122000,6.3388,0.0012
0.122000,4.0602,0.0022
0.123000,4.0914,0.0022
0.124000,4.1225,0.0022
0.125000,4.1537,0.0021
0.126000,4.1848,0.0021
0.127000,4.2160,0.0021
0.128000,4.2471,0.0021
0.129000,4.2783,0.0020
0.130000,4.3094,0.0020
0.131000,4.3406,0.0020
0.132000,4.3717,0.0020
0.133000,4.4028,0.0020
0.134000,4.4340,0.0020
0.163000,4.0192,0.0032
0.164000,4.0419,0.0032
0.165000,4.0646,0.0032
0.166000,4.0874,0.0032
0.167000,4.1101,0.0032
0.168000,4.1328,0.0031
0.169000,4.1556,0.0031
0.170000,4.1783,0.0031
0.171000,4.2010,0.0031
0.172000,4.2237,0.0031
0.173000,4.2465,0.0031
0.174000,4.2692,0.0031
0.175000,4.2919,0.0031
0.176000,4.3147,0.0031
0.177000,4.3374,0.0031
0.178000,4.3601,0.0031
0.179000,4.3828,0.0031
0.180000,4.4056,0.0032
0.181000,4.4283,0.0032
0.182000,4.4511,0.0032
0.183000,4.4738,0.0032
0.184000,4.4965,0.0033
0.185000,4.5193,0.0033
0.186000,4.5420,0.0033
0.187000,4.5647,0.0033
0.188000,4.5875,0.0033
0.202000,4.9058,0.0034
0.203000,4.9285,0.0034
0.204000,4.9513,0.0034
0.205000,4.9740,0.0034
0.206000,4.9968,0.0034
0.207000,5.0195,0.0035
0.212000,5.1333,0.0036
0.213000,5.1560,0.0036
