t,pos_err_mm,yaw_err_deg
0.104000,2.7129,0.0001
0.104000,8.2739,0.0000
0.105000,8.3510,0.0000
0.106000,8.4282,0.0000
0.107000,8.5054,0.0000
0.146000,11.5156,0.0003
0.149000,11.7470,0.0003
0.153000,12.0556,0.0002
0.162000,12.7498,0.0000
0.163000,12.8269,0.0000
0.164000,12.9041,0.0000
0.165000,12.9812,0.0000
0.166000,13.0583,0.0000
0.167000,13.1354,0.0000
0.168000,13.2125,0.0001
0.169000,13.2896,0.0001
0.170000,13.3667,0.0001
0.171000,13.4438,0.0001
0.172000,13.5210,0.0001
0.173000,13.5981,0.0001
0.174000,13.6752,0.0001
0.175000,13.7523,0.0001
0.176000,13.8294,0.0002
0.177000,13.9065,0.0002
0.178000,13.9836,0.0002
0.200000,6.4805,0.0024
0.201000,6.5115,0.0024
0.202000,6.5426,0.0024
0.203000,6.5736,0.0024
0.204000,6.6046,0.0024
0.205000,6.6357,0.0025
0.206000,6.6667,0.0025
0.207000,6.6977,0.0025
0.208000,6.7288,0.0025
0.209000,6.7598,0.0025
0.210000,6.7909,0.0025
0.211000,6.8219,0.0026
0.212000,6.8530,0.0026
0.213000,6.8841,0.0026
0.214000,6.9151,0.0027
0.215000,6.9462,0.0027
0.216000,6.9773,0.0027
0.217000,7.0083,0.0027
0.218000,7.0394,0.0028
0.219000,7.0705,0.0028
0.237000,8.5713,0.0020
0.238000,8.6063,0.0020
0.239000,8.6414,0.0020
0.283000,10.1813,0.0025
0.284000,10.2162,0.0025
0.290000,10.4258,0.0025
0.291000,10.4607,0.0025
0.298000,10.7051,0.0026
0.312000,11.1938,0.0023
0.447000,10.3509,0.0050
0.448000,10.3729,0.0050
0.449000,10.3950,0.0050
0.450000,10.4170,0.0050
0.451000,10.4391,0.0050
0.452000,10.4611,0.0050
0.453000,10.4832,0.0050
0.454000,10.5053,0.0051
0.455000,10.5273,0.0051
0.456000,10.5494,0.0051
0.457000,10.5714,0.0051
0.458000,10.5935,0.0051
0.459000,10.6155,0.0051
0.460000,10.6375,0.0051
0.461000,10.6596,0.0052
0.462000,10.6816,0.0052
0.463000,10.7036,0.0052
0.464000,10.7257,0.0052
0.465000,10.7477,0.0052
0.466000,10.7697,0.0052
0.467000,10.7917,0.0053
0.468000,10.8137,0.0053
0.469000,10.8357,0.0053
0.470000,10.8577,0.0054
0.471000,10.8797,0.0054
0.472000,10.9017,0.0054
0.473000,10.9237,0.0055
0.474000,10.9458,0.0055
0.475000,10.9678,0.0055
0.476000,10.9898,0.0055
0.477000,11.0118,0.0055
0.478000,11.0338,0.0055
0.479000,11.0558,0.0055
0.480000,11.0778,0.0055
0.481000,11.0998,0.0055
0.482000,11.1219,0.0055
