[INFO] [1785154303.562422185] [backend_optimizer_node]: graph (re)initialized at X0=(-2.419, 1.354, 0.000) V0=(0.000, 0.000)
[INFO] [1785154303.562552650] [backend_optimizer_node]: backend_optimizer_node started (0 cylinders registered)
[WARN] [1785154331.893349058] [backend_optimizer_node]: slow smoother update: 23.6ms (index 3)
[WARN] [1785154338.168414956] [backend_optimizer_node]: slow smoother update: 30.3ms (index 215)
[WARN] [1785154342.079627419] [backend_optimizer_node]: slow smoother update: 32.2ms (index 338)
[WARN] [1785154343.093134227] [backend_optimizer_node]: slow smoother update: 52.9ms (index 366)
[WARN] [1785154343.513865584] [backend_optimizer_node]: slow smoother update: 25.5ms (index 379)
[WARN] [1785154343.770907391] [backend_optimizer_node]: slow smoother update: 29.9ms (index 386)
[WARN] [1785154344.826741309] [backend_optimizer_node]: slow smoother update: 23.7ms (index 417)
[WARN] [1785154345.177556502] [backend_optimizer_node]: slow smoother update: 20.6ms (index 431)
[WARN] [1785154347.113384587] [backend_optimizer_node]: slow smoother update: 20.1ms (index 501)
[WARN] [1785154348.442076348] [backend_optimizer_node]: slow smoother update: 22.7ms (index 548)
[WARN] [1785154352.973840798] [backend_optimizer_node]: slow smoother update: 33.9ms (index 702)
[WARN] [1785154356.638896155] [backend_optimizer_node]: slow smoother update: 26.5ms (index 836)
[WARN] [1785154357.767346209] [backend_optimizer_node]: slow smoother update: 29.5ms (index 869)
[WARN] [1785154362.022806799] [backend_optimizer_node]: slow smoother update: 35.8ms (index 1016)
[WARN] [1785154362.085599183] [backend_optimizer_node]: slow smoother update: 25.7ms (index 1018)
[WARN] [1785154372.166475654] [backend_optimizer_node]: slow smoother update: 27.5ms (index 1382)
[WARN] [1785154373.294374863] [backend_optimizer_node]: slow smoother update: 30.5ms (index 1419)
[WARN] [1785154379.012623559] [backend_optimizer_node]: slow smoother update: 37.6ms (index 1610)
[WARN] [1785154383.374174636] [backend_optimizer_node]: slow smoother update: 24.4ms (index 1756)
[WARN] [1785154386.083064677] [backend_optimizer_node]: slow smoother update: 26.7ms (index 1840)
[WARN] [1785154393.121617458] [backend_optimizer_node]: slow smoother update: 24.3ms (index 2087)
[WARN] [1785154393.472688674] [backend_optimizer_node]: slow smoother update: 87.3ms (index 2093)
