t,pos_err_mm,yaw_err_deg
0.116000,3.3697,0.0334
0.117000,3.4009,0.0337
0.118000,3.4322,0.0339
0.119000,3.4635,0.0342
0.120000,3.4949,0.0345
0.121000,3.5263,0.0348
0.122000,3.5578,0.0351
0.123000,3.5894,0.0354
0.124000,3.6210,0.0357
0.125000,3.6527,0.0360
0.126000,3.6844,0.0364
0.127000,3.7162,0.0367
0.128000,3.7480,0.0370
0.129000,3.7799,0.0373
0.130000,3.8119,0.0377
0.131000,3.8439,0.0380
0.132000,3.8760,0.0383
0.133000,3.9081,0.0386
0.133000,10.9319,0.0383
0.134000,11.0161,0.0386
0.152000,4.0295,0.0403
0.162000,4.3165,0.0428
0.163000,4.3455,0.0430
0.166000,4.4327,0.0439
0.167000,4.4619,0.0442
0.168000,4.4912,0.0445
0.169000,4.5205,0.0448
0.170000,4.5498,0.0451
0.171000,4.5792,0.0453
0.172000,4.6086,0.0456
0.173000,4.6381,0.0459
0.174000,4.6677,0.0462
0.174000,5.7507,0.0470
0.175000,5.7870,0.0473
0.176000,5.8233,0.0476
0.177000,5.8597,0.0478
0.178000,5.8962,0.0481
0.179000,5.9327,0.0484
0.180000,5.9693,0.0487
0.181000,6.0059,0.0489
0.182000,6.0426,0.0492
0.183000,6.0794,0.0495
0.184000,6.1162,0.0497
0.185000,6.1530,0.0500
0.186000,6.1899,0.0503
0.187000,6.2269,0.0506
0.188000,6.2639,0.0508
0.189000,6.3010,0.0511
0.190000,6.3382,0.0514
0.191000,6.3754,0.0517
0.192000,6.4126,0.0520
0.193000,6.4499,0.0523
0.194000,6.4873,0.0525
0.195000,6.5247,0.0528
0.196000,6.5622,0.0531
0.197000,6.5997,0.0534
0.198000,6.6373,0.0537
0.199000,6.6750,0.0540
0.200000,6.7127,0.0542
0.201000,6.7504,0.0545
0.202000,6.7882,0.0548
0.203000,6.8261,0.0551
0.204000,6.8640,0.0553
0.205000,6.9020,0.0556
0.206000,6.9401,0.0559
0.207000,6.9782,0.0562
0.208000,7.0163,0.0564
0.209000,7.0546,0.0567
0.210000,7.0929,0.0570
0.210000,5.7071,0.0537
0.211000,5.7384,0.0539
0.212000,5.7698,0.0542
0.213000,5.8013,0.0544
0.214000,5.8328,0.0547
0.256000,5.4398,0.0634
0.257000,5.4664,0.0637
0.258000,5.4931,0.0640
0.259000,5.5198,0.0642
0.260000,5.5466,0.0645
0.261000,5.5734,0.0647
0.262000,5.6003,0.0650
0.277000,6.0099,0.0686
0.283000,6.1773,0.0702
0.284000,6.2054,0.0705
0.285000,6.2335,0.0707
0.286000,6.2617,0.0710
0.287000,6.2899,0.0712
0.288000,6.3182,0.0715
0.289000,6.3466,0.0718
0.290000,6.3750,0.0720
