t,pos_err_mm,yaw_err_deg
0.306000,0.584161,0.000551
0.307000,0.603637,0.000552
0.308000,0.623112,0.000552
0.309000,0.642587,0.000553
0.310000,0.662063,0.000553
0.311000,0.681538,0.000553
0.312000,0.701014,0.000553
0.313000,0.720490,0.000553
0.314000,0.739965,0.000553
0.315000,0.759441,0.000553
0.316000,0.778917,0.000553
0.317000,0.798393,0.000553
0.318000,0.817869,0.000553
0.319000,0.837344,0.000553
0.320000,0.856820,0.000553
0.321000,0.876296,0.000553
0.322000,0.895773,0.000553
0.323000,0.915249,0.000553
0.324000,0.934725,0.000553
0.325000,0.954201,0.000553
0.326000,0.973677,0.000553
0.327000,0.993154,0.000553
0.328000,1.012630,0.000553
0.329000,1.032106,0.000553
0.330000,1.051583,0.000553
0.331000,1.071059,0.000552
0.332000,1.090536,0.000552
0.333000,1.110013,0.000552
0.333000,3.141542,0.001403
0.334000,3.212860,0.001405
0.335000,3.284181,0.001407
0.336000,3.355507,0.001408
0.337000,3.426836,0.001410
0.338000,3.498169,0.001412
0.339000,3.569505,0.001414
0.340000,3.640845,0.001416
0.341000,3.712187,0.001418
0.342000,3.783532,0.001420
0.343000,3.854879,0.001422
0.344000,3.926229,0.001424
0.345000,3.997582,0.001426
0.346000,4.068936,0.001428
0.347000,4.140293,0.001430
0.348000,4.211652,0.001432
0.349000,4.283012,0.001433
0.350000,4.354375,0.001435
0.351000,4.425739,0.001437
0.352000,4.497105,0.001439
0.353000,4.568472,0.001441
0.354000,4.639841,0.001443
0.355000,4.711211,0.001445
0.355000,3.798228,0.001785
0.356000,3.854237,0.001788
0.357000,3.910247,0.001791
0.358000,3.966260,0.001794
0.359000,4.022275,0.001797
0.360000,4.078291,0.001800
0.361000,4.134309,0.001803
0.362000,4.190328,0.001805
0.363000,4.246349,0.001808
0.364000,4.302372,0.001811
0.365000,4.358395,0.001814
0.366000,4.414421,0.001817
0.367000,4.470447,0.001820
0.368000,4.526475,0.001822
0.369000,4.582504,0.001825
0.370000,4.638534,0.001828
0.371000,4.694565,0.001830
0.372000,4.750597,0.001833
0.373000,4.806631,0.001836
0.374000,4.862665,0.001838
0.375000,4.918700,0.001841
0.376000,4.974737,0.001843
0.377000,5.030774,0.001846
0.378000,5.086812,0.001849
0.379000,5.142851,0.001851
0.380000,5.198891,0.001854
0.381000,5.254932,0.001857
0.382000,5.310973,0.001859
0.382000,5.932071,0.003406
0.383000,5.995290,0.003416
0.384000,6.058509,0.003425
0.385000,6.121728,0.003434
0.386000,6.184947,0.003444
0.387000,6.248166,0.003453
0.388000,6.311385,0.003462
0.389000,6.374604,0.003471
0.390000,6.437824,0.003481
0.391000,6.501043,0.003490
0.392000,6.564263,0.003499
0.393000,6.627483,0.003508
0.394000,6.690702,0.003517
0.395000,6.753922,0.003526
0.396000,6.817142,0.003535
0.397000,6.880362,0.003544
0.398000,6.943582,0.003553
0.399000,7.006802,0.003563
0.400000,7.070022,0.003572
0.401000,7.133242,0.003581
0.402000,7.196463,0.003590
0.403000,7.259683,0.003600
0.404000,7.322903,0.003609
0.405000,7.386124,0.003618
0.406000,7.449344,0.003628
0.406000,6.851383,0.004480
0.407000,6.908943,0.004494
0.408000,6.966502,0.004507
0.409000,7.024062,0.004521
0.410000,7.081623,0.004534
0.411000,7.139183,0.004547
0.412000,7.196743,0.004561
0.413000,7.254304,0.004574
0.414000,7.311865,0.004587
0.415000,7.369425,0.004601
0.416000,7.426986,0.004614
0.417000,7.484547,0.004627
0.418000,7.542108,0.004640
0.419000,7.599670,0.004654
0.420000,7.657231,0.004667
0.421000,7.714792,0.004680
0.422000,7.772354,0.004693
0.423000,7.829916,0.004706
0.424000,7.887477,0.004720
0.425000,7.945039,0.004733
0.426000,8.002601,0.004746
0.427000,8.060163,0.004759
0.428000,8.117725,0.004772
0.429000,8.175288,0.004784
0.430000,8.232850,0.004797
0.431000,8.290413,0.004810
0.432000,8.347975,0.004822
0.433000,8.405538,0.004835
0.434000,8.463101,0.004847
0.434000,7.480139,0.008196
0.435000,7.530144,0.008223
0.436000,7.580148,0.008251
0.437000,7.630153,0.008278
0.438000,7.680158,0.008306
0.439000,7.730162,0.008334
0.440000,7.780167,0.008361
0.441000,7.830172,0.008389
0.442000,7.880177,0.008417
0.443000,7.930182,0.008445
0.444000,7.980188,0.008473
0.445000,8.030193,0.008501
0.446000,8.080198,0.008529
0.447000,8.130204,0.008557
0.448000,8.180209,0.008585
0.449000,8.230215,0.008613
0.450000,8.280220,0.008641
0.451000,8.330226,0.008669
0.452000,8.380232,0.008697
0.453000,8.430238,0.008725
0.454000,8.480244,0.008753
0.455000,8.530249,0.008781
0.456000,8.580255,0.008809
0.456000,6.667071,0.009188
0.457000,6.704171,0.009218
0.458000,6.741271,0.009248
0.459000,6.778371,0.009277
0.460000,6.815471,0.009306
0.461000,6.852570,0.009336
0.462000,6.889670,0.009365
0.463000,6.926770,0.009394
0.464000,6.963869,0.009423
0.465000,7.000968,0.009452
0.466000,7.038068,0.009480
0.467000,7.075167,0.009509
0.468000,7.112266,0.009537
0.469000,7.149365,0.009566
0.470000,7.186464,0.009594
0.471000,7.223563,0.009622
0.472000,7.260661,0.009651
0.473000,7.297760,0.009679
0.474000,7.334858,0.009707
0.475000,7.371957,0.009735
0.476000,7.409055,0.009764
0.477000,7.446153,0.009792
0.478000,7.483251,0.009820
0.479000,7.520349,0.009849
0.480000,7.557447,0.009877
0.481000,7.594545,0.009905
0.481000,6.408630,0.012273
0.482000,6.438748,0.012311
0.483000,6.468866,0.012349
0.484000,6.498983,0.012387
0.485000,6.529100,0.012425
0.486000,6.559217,0.012462
0.487000,6.589334,0.012500
0.488000,6.619450,0.012538
0.489000,6.649567,0.012576
0.490000,6.679683,0.012613
0.491000,6.709799,0.012651
0.492000,6.739915,0.012689
0.493000,6.770030,0.012726
0.494000,6.800146,0.012764
0.495000,6.830261,0.012802
0.496000,6.860376,0.012840
0.497000,6.890491,0.012877
0.498000,6.920605,0.012915
0.499000,6.950720,0.012953
0.500000,6.980834,0.012990
0.501000,7.010948,0.013028
0.502000,7.041062,0.013065
0.503000,7.071176,0.013103
0.504000,7.101289,0.013140
0.505000,7.131402,0.013178
