t,pos_err_mm,yaw_err_deg
0.280000,3.064781,0.001122
0.281000,3.075678,0.001125
0.282000,3.086575,0.001129
0.283000,3.097473,0.001132
0.284000,3.108370,0.001136
0.285000,3.119267,0.001139
0.286000,3.130165,0.001143
0.287000,3.141062,0.001146
0.288000,3.151959,0.001149
0.289000,3.162857,0.001152
0.290000,3.173754,0.001155
0.291000,3.184652,0.001157
0.292000,3.195549,0.001160
0.293000,3.206447,0.001162
0.294000,3.217344,0.001165
0.295000,3.228242,0.001167
0.296000,3.239140,0.001170
0.297000,3.250037,0.001172
0.298000,3.260935,0.001174
0.299000,3.271833,0.001177
0.300000,3.282731,0.001179
0.301000,3.293629,0.001181
0.302000,3.304526,0.001183
0.303000,3.315424,0.001185
0.304000,3.326322,0.001188
0.305000,3.337220,0.001190
0.305000,5.447178,0.006299
0.306000,5.465020,0.006316
0.307000,5.482862,0.006333
0.308000,5.500704,0.006350
0.309000,5.518546,0.006367
0.310000,5.536389,0.006384
0.311000,5.554231,0.006401
0.312000,5.572074,0.006418
0.313000,5.589917,0.006434
0.314000,5.607760,0.006451
0.315000,5.625603,0.006468
0.316000,5.643446,0.006484
0.317000,5.661289,0.006501
0.318000,5.679132,0.006517
0.319000,5.696976,0.006534
0.320000,5.714820,0.006550
0.321000,5.732664,0.006567
0.322000,5.750507,0.006584
0.323000,5.768351,0.006600
0.324000,5.786196,0.006617
0.325000,5.804040,0.006634
0.326000,5.821884,0.006650
0.327000,5.839729,0.006667
0.328000,5.857574,0.006683
0.329000,5.875418,0.006700
0.330000,5.893263,0.006716
0.331000,5.911108,0.006732
0.331000,5.039190,0.013685
0.332000,5.054347,0.013720
0.333000,5.069504,0.013755
0.334000,5.084661,0.013790
0.335000,5.099818,0.013825
0.336000,5.114974,0.013860
0.337000,5.130131,0.013895
0.338000,5.145288,0.013930
0.339000,5.160445,0.013965
0.340000,5.175602,0.014000
0.341000,5.190760,0.014035
0.342000,5.205917,0.014070
0.343000,5.221074,0.014105
0.344000,5.236231,0.014140
0.345000,5.251388,0.014175
0.346000,5.266546,0.014210
0.347000,5.281703,0.014245
0.348000,5.296860,0.014279
0.349000,5.312018,0.014314
0.350000,5.327175,0.014349
0.351000,5.342333,0.014384
0.352000,5.357490,0.014419
0.353000,5.372648,0.014454
0.354000,5.387805,0.014489
0.355000,5.402963,0.014524
0.356000,5.418120,0.014559
0.357000,5.433278,0.014594
0.357000,4.565431,0.016589
0.358000,4.578026,0.016629
0.359000,4.590620,0.016668
0.360000,4.603215,0.016708
0.361000,4.615809,0.016747
0.362000,4.628403,0.016787
0.363000,4.640996,0.016826
0.364000,4.653590,0.016866
0.365000,4.666183,0.016905
0.366000,4.678777,0.016945
0.367000,4.691370,0.016984
0.368000,4.703963,0.017024
0.369000,4.716556,0.017063
0.370000,4.729148,0.017103
0.371000,4.741741,0.017142
0.372000,4.754333,0.017181
0.373000,4.766925,0.017221
0.374000,4.779518,0.017260
0.375000,4.792109,0.017299
0.376000,4.804701,0.017339
0.377000,4.817293,0.017378
0.378000,4.829884,0.017417
0.379000,4.842476,0.017457
0.379000,5.206928,0.026477
0.380000,5.220582,0.026538
0.381000,5.234236,0.026599
0.382000,5.247890,0.026660
0.383000,5.261543,0.026721
0.384000,5.275197,0.026781
0.385000,5.288851,0.026842
0.386000,5.302505,0.026903
0.387000,5.316159,0.026963
0.388000,5.329812,0.027024
0.389000,5.343466,0.027085
0.390000,5.357120,0.027145
0.391000,5.370774,0.027206
0.392000,5.384428,0.027266
0.393000,5.398082,0.027326
0.394000,5.411735,0.027387
0.395000,5.425389,0.027447
0.396000,5.439043,0.027508
0.397000,5.452697,0.027568
0.398000,5.466351,0.027629
0.399000,5.480005,0.027689
0.400000,5.493659,0.027750
0.401000,5.507312,0.027810
0.402000,5.520966,0.027871
0.403000,5.534620,0.027932
0.404000,5.548274,0.027992
0.405000,5.561928,0.028053
0.405000,5.720247,0.030967
0.406000,5.734368,0.031034
0.407000,5.748490,0.031101
0.408000,5.762611,0.031169
0.409000,5.776733,0.031236
0.410000,5.790855,0.031303
0.411000,5.804977,0.031371
0.412000,5.819099,0.031438
0.413000,5.833221,0.031505
0.414000,5.847343,0.031573
0.415000,5.861466,0.031640
0.416000,5.875588,0.031707
0.417000,5.889711,0.031774
0.418000,5.903834,0.031842
0.419000,5.917957,0.031909
0.420000,5.932080,0.031976
0.421000,5.946203,0.032043
0.422000,5.960326,0.032110
0.423000,5.974450,0.032177
0.424000,5.988574,0.032245
0.425000,6.002697,0.032312
0.426000,6.016821,0.032379
0.427000,6.030945,0.032446
0.428000,6.045070,0.032513
0.429000,6.059194,0.032579
0.430000,6.073319,0.032646
0.430000,6.155838,0.045986
0.431000,6.170208,0.046082
0.432000,6.184578,0.046177
0.433000,6.198948,0.046272
0.434000,6.213318,0.046367
0.435000,6.227689,0.046463
0.436000,6.242060,0.046558
0.437000,6.256431,0.046653
0.438000,6.270803,0.046749
0.439000,6.285174,0.046844
0.440000,6.299546,0.046940
0.441000,6.313918,0.047035
0.442000,6.328291,0.047131
0.443000,6.342663,0.047226
0.444000,6.357036,0.047322
0.445000,6.371409,0.047418
0.446000,6.385782,0.047514
0.447000,6.400156,0.047609
0.448000,6.414530,0.047705
0.449000,6.428904,0.047801
0.450000,6.443278,0.047897
0.451000,6.457653,0.047993
0.452000,6.472027,0.048088
0.453000,6.486402,0.048184
0.454000,6.500778,0.048280
0.455000,6.515153,0.048376
0.456000,6.529529,0.048471
0.456000,5.925958,0.047683
0.457000,5.938549,0.047777
0.458000,5.951140,0.047871
0.459000,5.963731,0.047965
0.460000,5.976320,0.048059
0.461000,5.988910,0.048153
0.462000,6.001498,0.048247
0.463000,6.014086,0.048340
0.464000,6.026673,0.048433
0.465000,6.039260,0.048527
0.466000,6.051846,0.048620
0.467000,6.064431,0.048713
0.468000,6.077015,0.048806
0.469000,6.089599,0.048899
0.470000,6.102183,0.048992
0.471000,6.114766,0.049084
0.472000,6.127348,0.049177
0.473000,6.139929,0.049270
0.474000,6.152510,0.049362
0.475000,6.165090,0.049455
0.476000,6.177670,0.049548
0.477000,6.190249,0.049641
0.478000,6.202827,0.049733
0.479000,6.215405,0.049826
0.480000,6.227982,0.049919
0.480000,5.856095,0.054398
0.481000,5.867556,0.054500
0.482000,5.879017,0.054602
0.483000,5.890476,0.054703
0.484000,5.901933,0.054805
0.485000,5.913390,0.054907
0.486000,5.924845,0.055008
0.487000,5.936299,0.055110
0.488000,5.947751,0.055211
0.489000,5.959203,0.055313
0.490000,5.970653,0.055414
0.491000,5.982102,0.055515
