t,pos_err_mm,yaw_err_deg
0.027000,1.059897,0.000744
0.028000,1.093182,0.000747
0.029000,1.126466,0.000750
0.030000,1.159750,0.000753
0.031000,1.193034,0.000755
0.032000,1.226319,0.000758
0.033000,1.259603,0.000761
0.034000,1.292887,0.000764
0.035000,1.326171,0.000766
0.036000,1.359455,0.000769
0.037000,1.392740,0.000772
0.038000,1.426024,0.000775
0.039000,1.459308,0.000777
0.040000,1.492592,0.000780
0.041000,1.525876,0.000783
0.042000,1.559160,0.000786
0.043000,1.592445,0.000789
0.044000,1.625729,0.000792
0.045000,1.659013,0.000794
0.046000,1.692297,0.000797
0.047000,1.725581,0.000800
0.048000,1.758865,0.000803
0.049000,1.792149,0.000806
0.050000,1.825433,0.000808
0.051000,1.858718,0.000811
0.052000,1.892002,0.000814
0.053000,1.925286,0.000817
0.054000,1.958570,0.000820
0.055000,1.991854,0.000823
0.055000,5.670483,0.000949
0.056000,5.767854,0.000952
0.057000,5.865225,0.000955
0.058000,5.962596,0.000958
0.059000,6.059967,0.000961
0.060000,6.157338,0.000965
0.061000,6.254709,0.000968
0.062000,6.352080,0.000971
0.063000,6.449452,0.000974
0.064000,6.546823,0.000977
0.065000,6.644194,0.000980
0.066000,6.741565,0.000983
0.067000,6.838936,0.000986
0.068000,6.936307,0.000989
0.069000,7.033679,0.000993
0.070000,7.131050,0.000996
0.071000,7.228421,0.000999
0.072000,7.325793,0.001002
0.073000,7.423164,0.001005
0.074000,7.520536,0.001008
0.075000,7.617907,0.001012
0.076000,7.715279,0.001015
0.077000,7.812650,0.001018
0.078000,7.910022,0.001021
0.079000,8.007393,0.001024
0.080000,8.104765,0.001027
0.081000,8.202137,0.001030
0.081000,5.665548,0.001277
0.082000,5.731785,0.001281
0.083000,5.798022,0.001285
0.084000,5.864260,0.001289
0.085000,5.930497,0.001293
0.086000,5.996734,0.001296
0.087000,6.062972,0.001300
0.088000,6.129209,0.001304
0.089000,6.195447,0.001308
0.090000,6.261684,0.001312
0.091000,6.327922,0.001316
0.092000,6.394159,0.001320
0.093000,6.460397,0.001324
0.094000,6.526634,0.001328
0.095000,6.592872,0.001333
0.096000,6.659109,0.001337
0.097000,6.725347,0.001341
0.098000,6.791585,0.001346
0.099000,6.857822,0.001351
0.100000,6.924060,0.001355
0.101000,6.990298,0.001360
0.102000,7.056536,0.001365
0.103000,7.122774,0.001370
0.104000,7.189011,0.001374
