t,pos_err_mm,yaw_err_deg
0.030000,0.106841,0.000654
0.031000,0.109909,0.000657
0.032000,0.112978,0.000659
0.033000,0.116046,0.000662
0.034000,0.119114,0.000664
0.035000,0.122183,0.000667
0.036000,0.125251,0.000669
0.037000,0.128319,0.000672
0.038000,0.131388,0.000674
0.039000,0.134456,0.000677
0.040000,0.137524,0.000680
0.041000,0.140593,0.000682
0.042000,0.143661,0.000685
0.043000,0.146729,0.000687
0.044000,0.149797,0.000690
0.045000,0.152866,0.000693
0.046000,0.155934,0.000695
0.047000,0.159002,0.000698
0.048000,0.162070,0.000700
0.049000,0.165138,0.000703
0.050000,0.168207,0.000705
0.051000,0.171275,0.000708
0.052000,0.174343,0.000711
0.053000,0.177411,0.000713
0.053000,1.310252,0.000917
0.054000,1.333578,0.000921
0.055000,1.356904,0.000924
0.056000,1.380229,0.000928
0.057000,1.403555,0.000931
0.058000,1.426881,0.000934
0.059000,1.450207,0.000937
0.060000,1.473533,0.000941
0.061000,1.496858,0.000944
0.062000,1.520184,0.000947
0.063000,1.543510,0.000950
0.064000,1.566836,0.000953
0.065000,1.590162,0.000956
0.066000,1.613487,0.000960
0.067000,1.636813,0.000963
0.068000,1.660139,0.000966
0.069000,1.683465,0.000969
0.070000,1.706791,0.000972
0.071000,1.730117,0.000976
0.072000,1.753442,0.000979
0.073000,1.776768,0.000982
0.074000,1.800094,0.000985
0.075000,1.823420,0.000989
0.076000,1.846746,0.000992
0.077000,1.870072,0.000995
0.078000,1.893398,0.000998
0.079000,1.916724,0.001001
0.079000,2.118685,0.001592
0.080000,2.144501,0.001598
0.081000,2.170317,0.001603
0.082000,2.196133,0.001609
0.083000,2.221948,0.001615
0.084000,2.247764,0.001620
0.085000,2.273580,0.001626
0.086000,2.299396,0.001631
0.087000,2.325212,0.001636
0.088000,2.351028,0.001642
0.089000,2.376843,0.001647
0.090000,2.402659,0.001653
0.091000,2.428475,0.001659
0.092000,2.454291,0.001664
0.093000,2.480107,0.001670
0.094000,2.505923,0.001676
0.095000,2.531739,0.001682
0.096000,2.557555,0.001688
0.097000,2.583371,0.001694
0.098000,2.609187,0.001701
0.099000,2.635004,0.001707
0.100000,2.660820,0.001713
0.101000,2.686636,0.001720
0.102000,2.712452,0.001726
0.103000,2.738268,0.001732
0.104000,2.764085,0.001739
0.104000,3.395301,0.002913
0.105000,3.427091,0.002925
0.106000,3.458881,0.002937
0.107000,3.490671,0.002949
0.108000,3.522461,0.002961
0.109000,3.554251,0.002973
0.110000,3.586041,0.002985
0.111000,3.617832,0.002997
0.112000,3.649622,0.003009
0.113000,3.681412,0.003021
0.114000,3.713203,0.003034
0.115000,3.744993,0.003046
0.116000,3.776783,0.003058
0.117000,3.808574,0.003071
0.118000,3.840364,0.003083
0.119000,3.872155,0.003096
0.120000,3.903945,0.003108
0.121000,3.935736,0.003120
0.122000,3.967526,0.003133
0.123000,3.999317,0.003145
0.124000,4.031107,0.003157
0.125000,4.062898,0.003170
0.126000,4.094689,0.003182
0.127000,4.126479,0.003194
0.128000,4.158270,0.003207
0.129000,4.190061,0.003219
0.130000,4.221852,0.003231
0.131000,4.253643,0.003244
0.131000,3.749517,0.003113
0.132000,3.777498,0.003124
0.133000,3.805480,0.003136
0.134000,3.833461,0.003148
0.135000,3.861443,0.003159
0.136000,3.889425,0.003171
