t,pos_err_mm,yaw_err_deg
0.028000,0.103051,0.000569
0.029000,0.106191,0.000571
0.030000,0.109331,0.000573
0.031000,0.112471,0.000576
0.032000,0.115611,0.000578
0.033000,0.118751,0.000580
0.034000,0.121890,0.000583
0.035000,0.125030,0.000585
0.036000,0.128170,0.000588
0.037000,0.131310,0.000590
0.038000,0.134450,0.000592
0.039000,0.137589,0.000594
0.040000,0.140729,0.000597
0.041000,0.143869,0.000599
0.042000,0.147009,0.000602
0.043000,0.150148,0.000604
0.044000,0.153288,0.000607
0.045000,0.156428,0.000609
0.046000,0.159568,0.000611
0.047000,0.162707,0.000614
0.048000,0.165847,0.000616
0.049000,0.168987,0.000618
0.050000,0.172126,0.000621
0.051000,0.175266,0.000623
0.052000,0.178406,0.000626
0.053000,0.181545,0.000628
0.053000,1.238180,0.000810
0.054000,1.260214,0.000813
0.055000,1.282248,0.000816
0.056000,1.304283,0.000819
0.057000,1.326317,0.000822
0.058000,1.348351,0.000825
0.059000,1.370386,0.000828
0.060000,1.392420,0.000831
0.061000,1.414454,0.000834
0.062000,1.436488,0.000837
0.063000,1.458523,0.000840
0.064000,1.480557,0.000843
0.065000,1.502591,0.000845
0.066000,1.524626,0.000848
0.067000,1.546660,0.000851
0.068000,1.568694,0.000854
0.069000,1.590729,0.000857
0.070000,1.612763,0.000860
0.071000,1.634797,0.000863
0.072000,1.656832,0.000866
0.073000,1.678866,0.000869
0.074000,1.700901,0.000872
0.075000,1.722935,0.000875
0.076000,1.744969,0.000878
0.077000,1.767004,0.000881
0.078000,1.789038,0.000884
0.079000,1.811073,0.000887
0.079000,1.984211,0.000971
0.080000,2.008379,0.000974
0.081000,2.032548,0.000977
0.082000,2.056717,0.000980
0.083000,2.080885,0.000983
0.084000,2.105054,0.000986
0.085000,2.129223,0.000989
0.086000,2.153392,0.000992
0.087000,2.177560,0.000995
0.088000,2.201729,0.000997
0.089000,2.225898,0.001000
0.090000,2.250067,0.001003
0.091000,2.274236,0.001007
0.092000,2.298404,0.001010
0.093000,2.322573,0.001013
0.094000,2.346742,0.001016
0.095000,2.370911,0.001020
0.096000,2.395080,0.001023
0.097000,2.419249,0.001027
0.098000,2.443418,0.001030
0.099000,2.467587,0.001034
0.100000,2.491756,0.001038
0.101000,2.515925,0.001042
0.102000,2.540094,0.001045
0.103000,2.564264,0.001049
0.104000,2.588433,0.001053
0.104000,3.157375,0.001777
0.105000,3.186927,0.001784
0.106000,3.216480,0.001791
0.107000,3.246033,0.001798
0.108000,3.275586,0.001806
0.109000,3.305138,0.001813
0.110000,3.334691,0.001820
0.111000,3.364244,0.001828
0.112000,3.393797,0.001835
0.113000,3.423350,0.001843
0.114000,3.452903,0.001850
0.115000,3.482456,0.001858
0.116000,3.512009,0.001866
0.117000,3.541562,0.001873
0.118000,3.571115,0.001881
0.119000,3.600668,0.001889
0.120000,3.630222,0.001896
0.121000,3.659775,0.001904
0.122000,3.689328,0.001912
0.123000,3.718881,0.001919
0.124000,3.748435,0.001927
0.125000,3.777988,0.001935
0.126000,3.807541,0.001942
0.127000,3.837095,0.001950
0.128000,3.866648,0.001957
0.129000,3.896201,0.001965
0.130000,3.925755,0.001973
0.131000,3.955308,0.001980
0.131000,3.381927,0.001871
0.132000,3.407149,0.001878
0.133000,3.432371,0.001885
0.134000,3.457593,0.001892
0.135000,3.482815,0.001899
0.136000,3.508037,0.001906
0.137000,3.533259,0.001913
0.138000,3.558481,0.001920
0.139000,3.583703,0.001927
0.140000,3.608925,0.001934
0.141000,3.634147,0.001941
0.142000,3.659369,0.001948
0.143000,3.684592,0.001955
0.144000,3.709814,0.001962
0.145000,3.735036,0.001969
0.146000,3.760258,0.001976
0.147000,3.785481,0.001983
0.148000,3.810703,0.001990
0.149000,3.835925,0.001998
0.150000,3.861148,0.002005
0.151000,3.886370,0.002012
0.152000,3.911593,0.002019
0.153000,3.936815,0.002026
0.154000,3.962038,0.002033
0.155000,3.987261,0.002040
0.155000,3.798802,0.002556
0.156000,3.822818,0.002565
0.157000,3.846833,0.002574
0.158000,3.870849,0.002584
0.159000,3.894865,0.002593
0.160000,3.918881,0.002603
0.161000,3.942897,0.002612
0.162000,3.966913,0.002621
0.163000,3.990929,0.002630
0.164000,4.014945,0.002639
0.165000,4.038961,0.002648
0.166000,4.062977,0.002657
0.167000,4.086993,0.002666
0.168000,4.111009,0.002675
0.169000,4.135025,0.002684
0.170000,4.159041,0.002693
0.171000,4.183058,0.002702
0.172000,4.207074,0.002711
0.173000,4.231090,0.002720
0.174000,4.255106,0.002729
0.175000,4.279123,0.002738
0.176000,4.303139,0.002746
0.177000,4.327155,0.002755
0.178000,4.351172,0.002764
0.179000,4.375188,0.002773
0.180000,4.399205,0.002782
0.180000,4.366233,0.003900
0.181000,4.390066,0.003914
0.182000,4.413900,0.003928
0.183000,4.437733,0.003942
0.184000,4.461566,0.003956
0.185000,4.485400,0.003970
0.186000,4.509233,0.003984
0.187000,4.533067,0.003998
0.188000,4.556900,0.004013
0.189000,4.580734,0.004027
0.190000,4.604567,0.004042
0.191000,4.628401,0.004056
0.192000,4.652234,0.004071
0.193000,4.676068,0.004085
0.194000,4.699902,0.004100
0.195000,4.723735,0.004114
0.196000,4.747569,0.004128
0.197000,4.771402,0.004142
0.198000,4.795236,0.004157
0.199000,4.819070,0.004171
0.200000,4.842903,0.004185
0.201000,4.866737,0.004199
0.202000,4.890571,0.004213
0.203000,4.914405,0.004228
0.204000,4.938238,0.004242
0.205000,4.962072,0.004256
0.205000,4.264785,0.003326
0.206000,4.285226,0.003336
0.207000,4.305667,0.003346
0.208000,4.326108,0.003357
0.209000,4.346550,0.003367
0.210000,4.366991,0.003377
0.211000,4.387432,0.003388
0.212000,4.407873,0.003398
0.213000,4.428315,0.003408
0.214000,4.448756,0.003419
0.215000,4.469197,0.003429
0.216000,4.489639,0.003439
0.217000,4.510080,0.003449
0.218000,4.530521,0.003460
0.219000,4.550962,0.003470
0.220000,4.571404,0.003480
0.221000,4.591845,0.003490
0.222000,4.612287,0.003500
0.223000,4.632728,0.003510
0.224000,4.653169,0.003520
0.225000,4.673611,0.003530
0.226000,4.694052,0.003539
0.227000,4.714494,0.003549
0.228000,4.734935,0.003559
0.229000,4.755376,0.003569
0.230000,4.775818,0.003579
0.230000,3.614125,0.003735
0.231000,3.629519,0.003745
0.232000,3.644913,0.003755
0.233000,3.660306,0.003765
0.234000,3.675700,0.003776
0.235000,3.691094,0.003786
0.236000,3.706488,0.003796
0.237000,3.721882,0.003806
0.238000,3.737276,0.003816
0.239000,3.752669,0.003827
0.240000,3.768063,0.003837
0.241000,3.783457,0.003847
0.242000,3.798851,0.003857
0.243000,3.814245,0.003867
0.244000,3.829639,0.003877
0.245000,3.845033,0.003887
0.246000,3.860426,0.003897
0.247000,3.875820,0.003907
0.248000,3.891214,0.003917
0.249000,3.906608,0.003927
0.250000,3.922002,0.003937
0.251000,3.937396,0.003947
0.252000,3.952789,0.003957
0.253000,3.968183,0.003968
0.254000,3.983577,0.003978
0.255000,3.998971,0.003988
0.255000,4.249712,0.019051
0.256000,4.266110,0.019111
0.257000,4.282508,0.019171
0.258000,4.298907,0.019231
0.259000,4.315305,0.019292
0.260000,4.331704,0.019352
0.261000,4.348102,0.019412
0.262000,4.364501,0.019473
0.263000,4.380899,0.019533
0.264000,4.397298,0.019594
0.265000,4.413696,0.019654
0.266000,4.430095,0.019715
0.267000,4.446494,0.019775
0.268000,4.462893,0.019836
0.269000,4.479291,0.019897
0.270000,4.495690,0.019957
0.271000,4.512089,0.020018
0.272000,4.528488,0.020078
0.273000,4.544887,0.020139
0.274000,4.561286,0.020199
0.275000,4.577685,0.020259
0.276000,4.594084,0.020319
0.277000,4.610484,0.020379
0.278000,4.626883,0.020439
0.279000,4.643282,0.020499
0.280000,4.659682,0.020560
0.280000,4.233154,0.021132
0.281000,4.248011,0.021194
0.282000,4.262867,0.021256
0.283000,4.277724,0.021318
0.284000,4.292581,0.021379
0.285000,4.307438,0.021441
0.286000,4.322295,0.021503
0.287000,4.337152,0.021564
0.288000,4.352009,0.021625
0.289000,4.366867,0.021687
0.290000,4.381724,0.021748
0.291000,4.396581,0.021809
0.292000,4.411438,0.021870
0.293000,4.426295,0.021930
0.294000,4.441153,0.021991
0.295000,4.456010,0.022052
0.296000,4.470867,0.022112
0.297000,4.485725,0.022173
0.298000,4.500582,0.022234
0.299000,4.515439,0.022294
0.300000,4.530297,0.022355
0.301000,4.545154,0.022415
0.302000,4.560012,0.022476
0.303000,4.574869,0.022536
0.304000,4.589727,0.022596
0.305000,4.604585,0.022657
0.305000,4.660570,0.026994
0.306000,4.675611,0.027067
0.307000,4.690652,0.027140
0.308000,4.705694,0.027214
0.309000,4.720735,0.027287
0.310000,4.735777,0.027360
0.311000,4.750818,0.027433
0.312000,4.765859,0.027506
0.313000,4.780901,0.027579
0.314000,4.795943,0.027651
0.315000,4.810984,0.027724
0.316000,4.826026,0.027797
0.317000,4.841067,0.027870
0.318000,4.856109,0.027942
0.319000,4.871151,0.028015
0.320000,4.886193,0.028088
0.321000,4.901234,0.028161
0.322000,4.916276,0.028233
0.323000,4.931318,0.028306
0.324000,4.946360,0.028379
0.325000,4.961402,0.028452
0.326000,4.976444,0.028525
0.327000,4.991486,0.028597
0.328000,5.006528,0.028670
0.329000,5.021570,0.028743
