t,pos_err_mm,yaw_err_deg
0.328000,0.546283,0.000766
0.329000,0.566520,0.000767
0.330000,0.586756,0.000768
0.331000,0.606993,0.000769
0.332000,0.627230,0.000770
0.333000,0.647467,0.000770
0.334000,0.667703,0.000771
0.335000,0.687940,0.000772
0.336000,0.708177,0.000773
0.337000,0.728414,0.000774
0.338000,0.748651,0.000775
0.339000,0.768888,0.000776
0.340000,0.789125,0.000777
0.341000,0.809362,0.000778
0.342000,0.829599,0.000778
0.343000,0.849836,0.000779
0.344000,0.870073,0.000780
0.345000,0.890310,0.000781
0.346000,0.910548,0.000782
0.347000,0.930785,0.000783
0.348000,0.951022,0.000783
0.349000,0.971259,0.000784
0.350000,0.991497,0.000785
0.351000,1.011734,0.000786
0.352000,1.031971,0.000787
0.353000,1.052209,0.000787
0.354000,1.072446,0.000788
0.355000,1.092684,0.000789
0.355000,1.911019,0.001088
0.356000,1.947328,0.001090
0.357000,1.983638,0.001092
0.358000,2.019948,0.001093
0.359000,2.056258,0.001095
0.360000,2.092568,0.001096
0.361000,2.128878,0.001098
0.362000,2.165188,0.001099
0.363000,2.201498,0.001101
0.364000,2.237808,0.001102
0.365000,2.274118,0.001104
0.366000,2.310428,0.001105
0.367000,2.346739,0.001107
0.368000,2.383049,0.001108
0.369000,2.419359,0.001109
0.370000,2.455669,0.001111
0.371000,2.491980,0.001112
0.372000,2.528290,0.001113
0.373000,2.564600,0.001115
0.374000,2.600911,0.001116
0.375000,2.637221,0.001117
0.376000,2.673532,0.001118
0.377000,2.709842,0.001120
0.378000,2.746153,0.001121
0.379000,2.782463,0.001122
0.380000,2.818774,0.001123
0.381000,2.855085,0.001125
0.381000,4.324387,0.002435
0.382000,4.380154,0.002442
0.383000,4.435922,0.002448
0.384000,4.491690,0.002455
0.385000,4.547458,0.002462
0.386000,4.603226,0.002469
0.387000,4.658994,0.002475
0.388000,4.714762,0.002482
0.389000,4.770530,0.002488
0.390000,4.826298,0.002495
0.391000,4.882066,0.002501
0.392000,4.937834,0.002508
0.393000,4.993603,0.002514
0.394000,5.049371,0.002521
0.395000,5.105140,0.002527
0.396000,5.160908,0.002534
0.397000,5.216677,0.002540
0.398000,5.272446,0.002547
0.399000,5.328214,0.002553
0.400000,5.383983,0.002560
0.401000,5.439752,0.002567
0.402000,5.495521,0.002573
0.403000,5.551290,0.002580
0.404000,5.607059,0.002587
0.405000,5.662828,0.002593
0.405000,5.969688,0.003336
0.406000,6.028626,0.003346
0.407000,6.087563,0.003356
0.408000,6.146501,0.003367
0.409000,6.205439,0.003377
0.410000,6.264377,0.003387
0.411000,6.323315,0.003397
0.412000,6.382253,0.003408
0.413000,6.441192,0.003418
0.414000,6.500130,0.003428
0.415000,6.559068,0.003438
0.416000,6.618007,0.003448
0.417000,6.676945,0.003458
0.418000,6.735884,0.003468
0.419000,6.794823,0.003479
0.420000,6.853762,0.003489
0.421000,6.912701,0.003499
0.422000,6.971640,0.003509
0.423000,7.030579,0.003519
0.424000,7.089518,0.003529
0.425000,7.148457,0.003539
0.426000,7.207397,0.003549
0.427000,7.266336,0.003558
0.428000,7.325276,0.003568
0.429000,7.384215,0.003578
0.429000,7.025814,0.006529
0.430000,7.081809,0.006552
0.431000,7.137805,0.006575
0.432000,7.193800,0.006599
0.433000,7.249796,0.006622
