t,pos_err_mm,yaw_err_deg
0.526000,6.026717,0.001040
0.527000,6.038063,0.001043
0.551000,34.940492,0.000382
0.552000,35.003538,0.000384
0.577000,31.818951,0.001611
0.578000,31.873773,0.001612
0.627000,26.605537,0.001676
0.628000,26.647670,0.001676
0.652000,22.275355,0.002763
0.653000,22.309220,0.002765
0.677000,21.116378,0.006351
0.678000,21.147272,0.006358
0.702000,17.867765,0.006555
0.703000,17.892914,0.006561
0.727000,13.120652,0.024612
0.728000,13.138376,0.024641
0.752000,14.331110,0.064978
0.753000,14.349898,0.065057
0.777000,11.959133,0.069882
0.778000,11.974196,0.069964
0.802000,13.397759,0.085194
0.803000,13.414167,0.085291
0.827000,12.679968,0.098397
0.828000,12.694975,0.098507
0.852000,11.693188,0.100488
0.853000,11.706547,0.100597
0.877000,12.296999,0.122036
0.878000,12.310676,0.122166
0.902000,12.848297,0.126096
0.903000,12.862213,0.126226
0.927000,13.186832,0.149833
0.928000,13.200735,0.149984
0.952000,11.982087,0.147561
0.953000,11.994217,0.147707
0.953000,11.425541,0.151311
0.954000,11.437013,0.151461
0.954000,11.075745,0.166648
0.955000,11.086787,0.166813
0.955000,10.351418,0.161058
0.956000,10.361588,0.161217
0.956000,9.415106,0.168165
0.957000,9.424096,0.168331
0.957000,8.766557,0.155801
0.958000,8.774717,0.155954
0.958000,9.200168,0.182462
0.959000,9.208881,0.182642
0.959000,8.746987,0.169342
0.960000,8.755080,0.169509
0.960000,8.380862,0.188126
0.961000,8.388442,0.188312
0.961000,7.735356,0.176729
0.962000,7.742015,0.176903
0.962000,7.325255,0.159191
0.963000,7.331311,0.159347
0.963000,7.047743,0.168610
0.964000,7.053368,0.168775
0.964000,6.720426,0.151244
0.965000,6.725532,0.151391
0.965000,6.649217,0.144524
0.966000,6.654242,0.144664
0.966000,6.140996,0.136328
0.967000,6.145140,0.136459
0.967000,5.653088,0.138921
0.968000,5.656346,0.139056
0.968000,5.786610,0.142115
0.969000,5.790089,0.142252
0.969000,5.790484,0.145890
0.970000,5.793938,0.146031
0.970000,5.715611,0.146635
0.971000,5.718902,0.146777
0.971000,5.598590,0.141142
0.972000,5.601635,0.141278
0.973000,5.604675,0.141414
0.974000,5.607711,0.141550
0.975000,5.610742,0.141685
0.976000,5.613769,0.141821
0.977000,5.616791,0.141957
0.978000,5.619810,0.142092
0.979000,5.622823,0.142228
0.979000,5.478144,0.152612
0.980000,5.480849,0.152758
0.981000,5.483550,0.152904
0.982000,5.486246,0.153050
0.983000,5.488937,0.153196
0.984000,5.491623,0.153342
0.985000,5.494305,0.153488
0.986000,5.496983,0.153634
0.987000,5.499655,0.153779
0.988000,5.502323,0.153925
0.989000,5.504987,0.154070
0.990000,5.507645,0.154216
0.991000,5.510299,0.154361
0.992000,5.512949,0.154507
0.993000,5.515593,0.154652
0.994000,5.518234,0.154797
0.995000,5.520869,0.154943
0.996000,5.523500,0.155088
0.997000,5.526126,0.155233
0.998000,5.528747,0.155378
0.999000,5.531364,0.155523
1.000000,5.533976,0.155668
1.001000,5.536584,0.155812
1.002000,5.539187,0.155957
1.002000,5.243596,0.138804
1.003000,5.245574,0.138931
1.004000,5.247546,0.139058
1.005000,5.249514,0.139185
1.006000,5.251476,0.139313
1.007000,5.253433,0.139440
1.008000,5.255384,0.139567
1.009000,5.257330,0.139694
1.010000,5.259271,0.139821
1.011000,5.261207,0.139948
1.012000,5.263138,0.140075
1.013000,5.265063,0.140202
1.014000,5.266983,0.140329
1.015000,5.268898,0.140457
1.016000,5.270808,0.140584
1.017000,5.272712,0.140711
1.018000,5.274612,0.140838
1.019000,5.276505,0.140965
1.020000,5.278394,0.141093
1.021000,5.280278,0.141220
1.022000,5.282156,0.141348
1.023000,5.284029,0.141475
1.024000,5.285897,0.141603
1.025000,5.287759,0.141731
1.026000,5.289616,0.141859
1.027000,5.291468,0.141986
1.028000,5.293315,0.142114
1.028000,4.935813,0.137007
1.029000,4.936883,0.137130
1.030000,4.937948,0.137253
1.031000,4.939006,0.137376
1.032000,4.940058,0.137500
1.033000,4.941104,0.137623
1.034000,4.942144,0.137746
1.035000,4.943178,0.137869
1.036000,4.944206,0.137992
1.037000,4.945228,0.138116
1.038000,4.946244,0.138239
1.039000,4.947254,0.138362
1.040000,4.948258,0.138485
1.041000,4.949256,0.138609
1.042000,4.950247,0.138732
1.043000,4.951233,0.138855
1.044000,4.952213,0.138978
1.045000,4.953186,0.139102
1.046000,4.954154,0.139225
1.047000,4.955116,0.139348
1.048000,4.956071,0.139472
1.049000,4.957021,0.139595
1.050000,4.957964,0.139718
1.051000,4.958902,0.139842
1.052000,4.959833,0.139966
1.053000,4.960759,0.140089
1.053000,4.790249,0.142998
1.054000,4.790799,0.143124
1.055000,4.791343,0.143251
1.076000,4.586574,0.143728
1.077000,4.586509,0.143852
1.078000,4.586437,0.143977
1.079000,4.586358,0.144101
1.080000,4.586272,0.144226
1.081000,4.586179,0.144350
1.082000,4.586079,0.144475
1.083000,4.585973,0.144599
1.084000,4.585860,0.144724
1.085000,4.585739,0.144849
1.086000,4.585612,0.144973
1.087000,4.585478,0.145098
1.088000,4.585337,0.145223
1.089000,4.585190,0.145347
1.090000,4.585035,0.145472
1.091000,4.584874,0.145596
1.092000,4.584705,0.145721
1.093000,4.584530,0.145845
1.094000,4.584348,0.145970
1.095000,4.584159,0.146094
1.096000,4.583964,0.146219
1.097000,4.583761,0.146343
1.098000,4.583552,0.146468
1.099000,4.583335,0.146592
1.100000,4.583112,0.146717
1.101000,4.582882,0.146842
1.102000,4.582645,0.146966
1.103000,4.582401,0.147091
1.104000,4.582151,0.147216
1.105000,4.581893,0.147340
1.106000,4.581629,0.147465
1.107000,4.581358,0.147589
1.108000,4.581079,0.147714
1.109000,4.580795,0.147838
1.110000,4.580503,0.147962
1.111000,4.580204,0.148087
1.112000,4.579898,0.148211
1.113000,4.579586,0.148336
1.114000,4.579267,0.148460
1.115000,4.578941,0.148584
1.116000,4.578608,0.148709
1.117000,4.578268,0.148833
1.118000,4.577921,0.148957
1.119000,4.577568,0.149081
1.120000,4.577207,0.149205
1.121000,4.576840,0.149329
1.122000,4.576466,0.149454
1.123000,4.576085,0.149577
1.124000,4.575697,0.149701
1.125000,4.575303,0.149825
1.126000,4.574901,0.149949
1.127000,4.574493,0.150073
1.128000,4.574078,0.150197
1.129000,4.573656,0.150321
1.130000,4.573227,0.150445
