t,pos_err_mm,yaw_err_deg
0.030000,0.395563,0.000643
0.031000,0.406917,0.000645
0.032000,0.418271,0.000648
0.033000,0.429625,0.000650
0.034000,0.440979,0.000653
0.035000,0.452333,0.000655
0.036000,0.463687,0.000658
0.037000,0.475041,0.000660
0.038000,0.486395,0.000663
0.039000,0.497749,0.000665
0.040000,0.509103,0.000668
0.041000,0.520457,0.000670
0.042000,0.531811,0.000673
0.043000,0.543165,0.000675
0.044000,0.554519,0.000678
0.045000,0.565872,0.000681
0.046000,0.577226,0.000683
0.047000,0.588580,0.000686
0.048000,0.599934,0.000688
0.049000,0.611288,0.000691
0.050000,0.622642,0.000693
0.051000,0.633996,0.000696
0.052000,0.645349,0.000699
0.053000,0.656703,0.000701
0.054000,0.668057,0.000704
0.054000,3.604895,0.000909
0.055000,3.667943,0.000912
0.056000,3.730991,0.000915
0.057000,3.794038,0.000919
0.058000,3.857086,0.000922
0.059000,3.920133,0.000925
0.060000,3.983181,0.000928
0.061000,4.046228,0.000932
0.062000,4.109276,0.000935
0.063000,4.172324,0.000938
0.064000,4.235371,0.000941
0.065000,4.298419,0.000944
0.066000,4.361467,0.000947
0.067000,4.424514,0.000950
0.068000,4.487562,0.000953
0.069000,4.550610,0.000957
0.070000,4.613658,0.000960
0.071000,4.676705,0.000963
0.072000,4.739753,0.000966
0.073000,4.802801,0.000970
0.074000,4.865849,0.000973
0.075000,4.928897,0.000976
0.076000,4.991945,0.000979
0.077000,5.054992,0.000982
0.078000,5.118040,0.000986
0.079000,5.181088,0.000989
0.080000,5.244136,0.000992
0.080000,4.573159,0.001578
0.081000,4.627993,0.001584
0.082000,4.682828,0.001589
0.083000,4.737662,0.001595
0.084000,4.792497,0.001600
0.085000,4.847332,0.001606
0.086000,4.902166,0.001611
0.087000,4.957001,0.001616
0.088000,5.011836,0.001622
0.089000,5.066670,0.001627
0.090000,5.121505,0.001633
0.091000,5.176340,0.001639
0.092000,5.231175,0.001644
0.093000,5.286010,0.001650
0.094000,5.340844,0.001656
0.095000,5.395679,0.001662
0.096000,5.450514,0.001668
0.097000,5.505349,0.001674
0.098000,5.560184,0.001680
0.099000,5.615019,0.001686
0.100000,5.669854,0.001693
0.101000,5.724690,0.001699
