t,pos_err_mm,yaw_err_deg
0.117000,1.383470,0.000862
0.118000,1.394825,0.000866
0.119000,1.406181,0.000869
0.120000,1.417536,0.000872
0.120000,7.766030,0.001129
0.121000,7.829079,0.001133
0.122000,7.892128,0.001138
0.123000,7.955177,0.001142
0.124000,8.018226,0.001146
0.125000,8.081275,0.001150
0.126000,8.144324,0.001154
0.127000,8.207373,0.001158
0.127000,7.148787,0.001869
0.128000,7.203610,0.001876
0.128000,7.311485,0.003182
0.129000,7.367149,0.003194
0.130000,7.422814,0.003206
0.131000,7.478479,0.003218
0.132000,7.534143,0.003231
0.133000,7.589808,0.003243
0.134000,7.645473,0.003255
0.135000,7.701138,0.003267
0.136000,7.756802,0.003279
0.137000,7.812467,0.003291
0.138000,7.868132,0.003304
0.139000,7.923797,0.003316
0.140000,7.979462,0.003328
0.141000,8.035127,0.003340
0.142000,8.090792,0.003352
0.143000,8.146457,0.003364
0.144000,8.202122,0.003377
0.145000,8.257788,0.003389
0.146000,8.313453,0.003401
0.147000,8.369118,0.003413
0.148000,8.424784,0.003425
0.149000,8.480449,0.003438
0.150000,8.536114,0.003450
0.151000,8.591780,0.003462
0.152000,8.647445,0.003474
0.153000,8.703111,0.003487
0.154000,8.758776,0.003499
0.155000,8.814442,0.003511
0.156000,8.870108,0.003523
0.157000,8.925774,0.003536
0.158000,8.981439,0.003548
0.159000,9.037105,0.003560
0.160000,9.092771,0.003572
0.161000,9.148437,0.003585
0.162000,9.204103,0.003597
0.163000,9.259770,0.003609
0.164000,9.315436,0.003621
0.165000,9.371102,0.003633
0.166000,9.426768,0.003645
0.167000,9.482435,0.003657
0.168000,9.538101,0.003669
0.169000,9.593767,0.003680
0.170000,9.649434,0.003692
0.171000,9.705100,0.003704
0.172000,9.760767,0.003716
0.173000,9.816433,0.003728
0.174000,9.872100,0.003739
0.175000,9.927767,0.003751
0.176000,9.983433,0.003763
0.177000,10.039100,0.003775
0.178000,10.094767,0.003787
0.179000,10.150434,0.003799
0.180000,10.206101,0.003811
0.181000,10.261768,0.003823
0.182000,10.317434,0.003835
0.183000,10.373101,0.003847
0.184000,10.428768,0.003860
0.185000,10.484435,0.003872
0.186000,10.540103,0.003885
0.187000,10.595770,0.003897
0.188000,10.651437,0.003910
0.189000,10.707104,0.003923
0.190000,10.762771,0.003936
0.191000,10.818439,0.003949
0.192000,10.874106,0.003961
0.193000,10.929773,0.003974
0.194000,10.985441,0.003987
0.195000,11.041108,0.004000
0.196000,11.096775,0.004012
0.197000,11.152443,0.004025
0.198000,11.208110,0.004037
0.199000,11.263778,0.004050
0.200000,11.319445,0.004063
0.201000,11.375113,0.004075
0.202000,11.430781,0.004088
0.203000,11.486448,0.004100
0.204000,11.542116,0.004113
0.204000,9.200377,0.004395
0.204000,7.152077,0.004376
0.205000,7.186137,0.004390
0.206000,7.220198,0.004403
0.207000,7.254258,0.004416
0.208000,7.288319,0.004429
0.209000,7.322379,0.004442
0.210000,7.356439,0.004455
0.211000,7.390500,0.004469
0.212000,7.424560,0.004482
0.213000,7.458620,0.004495
0.214000,7.492680,0.004508
0.215000,7.526741,0.004521
0.216000,7.560801,0.004534
0.217000,7.594861,0.004547
0.218000,7.628921,0.004560
