t,pos_err_mm,yaw_err_deg
3.196000,1.219424,0.030455
3.197000,1.220083,0.030478
3.198000,1.220743,0.030489
3.199000,1.221403,0.030538
3.200000,1.222061,0.030576
3.201000,1.222717,0.030579
3.202000,1.223375,0.030583
3.203000,1.224036,0.030605
3.204000,1.224699,0.030610
3.204000,0.670434,0.011355
3.205000,0.670840,0.011357
3.206000,0.671244,0.011364
3.207000,0.671644,0.011383
3.208000,0.672038,0.011390
3.209000,0.672425,0.011394
3.210000,0.672809,0.011395
3.211000,0.673196,0.011385
3.212000,0.673588,0.011393
3.213000,0.673981,0.011401
3.214000,0.674371,0.011407
3.215000,0.674754,0.011415
3.216000,0.675131,0.011413
3.217000,0.675496,0.011411
3.218000,0.675851,0.011412
3.219000,0.676197,0.011396
3.220000,0.676534,0.011365
3.221000,0.676862,0.011332
3.222000,0.677177,0.011288
3.223000,0.677482,0.011230
3.224000,0.677780,0.011192
3.225000,0.678074,0.011142
3.226000,0.678368,0.011127
3.227000,0.678669,0.011106
3.228000,0.678975,0.011090
3.229000,0.679288,0.011101
3.230000,0.679608,0.011096
3.231000,0.679934,0.011117
3.232000,0.680267,0.011154
3.232000,1.509472,0.092328
3.233000,1.510271,0.092429
3.234000,1.511065,0.092523
3.235000,1.511854,0.092636
3.236000,1.512632,0.092749
3.237000,1.513398,0.092832
3.238000,1.514158,0.092909
3.239000,1.514911,0.092985
3.240000,1.515657,0.093040
3.241000,1.516390,0.093082
3.242000,1.517108,0.093126
3.243000,1.517815,0.093173
3.244000,1.518513,0.093228
3.245000,1.519206,0.093297
3.246000,1.519895,0.093354
3.247000,1.520579,0.093416
3.248000,1.521255,0.093482
3.249000,1.521920,0.093529
3.250000,1.522574,0.093575
3.251000,1.523219,0.093610
3.252000,1.523859,0.093616
3.253000,1.524492,0.093602
3.254000,1.525118,0.093608
3.255000,1.525743,0.093630
3.256000,1.526363,0.093663
3.256000,0.820902,0.043890
3.257000,0.820911,0.043901
3.258000,0.820916,0.043915
3.259000,0.820919,0.043925
3.260000,0.820919,0.043944
3.261000,0.820922,0.043926
3.262000,0.820930,0.043914
3.263000,0.820941,0.043900
3.264000,0.820954,0.043893
3.265000,0.820967,0.043886
3.266000,0.820981,0.043894
3.267000,0.820998,0.043918
3.268000,0.821022,0.043929
3.269000,0.821056,0.043944
3.270000,0.821103,0.043920
3.271000,0.821160,0.043917
3.272000,0.821222,0.043926
3.273000,0.821287,0.043937
3.274000,0.821356,0.043959
3.275000,0.821430,0.043987
3.276000,0.821509,0.044022
3.277000,0.821591,0.044057
3.278000,0.821673,0.044092
3.279000,0.821759,0.044126
3.280000,0.821854,0.044159
3.281000,0.821958,0.044187
3.281000,0.438352,0.034876
3.282000,0.438109,0.034898
3.283000,0.437870,0.034923
3.284000,0.437633,0.034970
3.285000,0.437400,0.035005
3.286000,0.437171,0.035038
3.287000,0.436944,0.035079
3.288000,0.436721,0.035123
3.289000,0.436503,0.035182
3.290000,0.436294,0.035237
3.291000,0.436097,0.035306
3.292000,0.435912,0.035382
3.293000,0.435734,0.035456
3.294000,0.435564,0.035495
3.295000,0.435402,0.035531
3.296000,0.435247,0.035578
3.297000,0.435100,0.035633
3.298000,0.434958,0.035686
3.299000,0.434824,0.035738
3.300000,0.434695,0.035799
3.301000,0.434571,0.035839
3.302000,0.434454,0.035894
3.303000,0.434345,0.035948
3.304000,0.434241,0.035986
3.305000,0.434142,0.036015
3.306000,0.434048,0.036038
3.307000,0.433959,0.036047
3.308000,0.433874,0.036072
3.309000,0.433787,0.036114
3.310000,0.433697,0.036128
3.310000,0.358417,0.043290
3.311000,0.358377,0.043320
3.312000,0.358339,0.043358
3.313000,0.358305,0.043382
3.314000,0.358279,0.043383
3.315000,0.358260,0.043408
3.316000,0.358240,0.043443
3.317000,0.358220,0.043479
3.318000,0.358205,0.043524
3.319000,0.358195,0.043580
3.320000,0.358193,0.043628
3.321000,0.358199,0.043691
3.322000,0.358216,0.043763
3.323000,0.358239,0.043829
3.324000,0.358262,0.043897
3.325000,0.358286,0.043959
3.326000,0.358310,0.044022
3.327000,0.358337,0.044089
3.328000,0.358362,0.044112
3.329000,0.358381,0.044137
3.330000,0.358394,0.044190
3.331000,0.358400,0.044264
3.332000,0.358398,0.044334
3.333000,0.358395,0.044406
3.333000,0.695583,0.042081
3.334000,0.696064,0.042122
3.335000,0.696547,0.042174
3.336000,0.697029,0.042226
3.337000,0.697510,0.042272
3.338000,0.697997,0.042325
3.339000,0.698488,0.042386
3.340000,0.698982,0.042429
3.341000,0.699470,0.042462
3.342000,0.699947,0.042491
3.343000,0.700415,0.042524
3.344000,0.700874,0.042561
3.345000,0.701329,0.042599
3.346000,0.701777,0.042629
3.347000,0.702217,0.042644
3.348000,0.702653,0.042637
3.349000,0.703083,0.042619
3.350000,0.703505,0.042583
3.351000,0.703919,0.042564
3.352000,0.704326,0.042564
3.353000,0.704730,0.042534
3.354000,0.705132,0.042509
3.354000,0.695654,0.035899
3.355000,0.695988,0.035867
3.356000,0.696323,0.035840
3.357000,0.696658,0.035840
3.358000,0.696997,0.035824
3.359000,0.697339,0.035819
3.360000,0.697680,0.035825
3.361000,0.698022,0.035866
3.362000,0.698370,0.035883
3.363000,0.698725,0.035922
3.364000,0.699088,0.035955
3.365000,0.699457,0.036004
3.366000,0.699830,0.036059
3.367000,0.700207,0.036101
3.368000,0.700589,0.036137
3.369000,0.700975,0.036179
3.370000,0.701364,0.036219
3.371000,0.701758,0.036282
3.372000,0.702158,0.036317
3.373000,0.702566,0.036341
3.374000,0.702981,0.036365
3.375000,0.703403,0.036410
3.376000,0.703831,0.036442
3.377000,0.704265,0.036466
3.378000,0.704700,0.036474
3.379000,0.705139,0.036455
3.380000,0.705581,0.036431
3.381000,0.706022,0.036448
3.382000,0.706463,0.036477
3.383000,0.706905,0.036495
3.384000,0.707348,0.036522
3.385000,0.707790,0.036563
3.385000,0.544617,0.029873
3.386000,0.544727,0.029922
3.387000,0.544838,0.029964
3.388000,0.544952,0.029990
3.389000,0.545068,0.030011
3.390000,0.545182,0.030024
3.391000,0.545296,0.030022
3.392000,0.545416,0.030015
3.393000,0.545539,0.030005
3.394000,0.545669,0.029982
3.395000,0.545810,0.029945
3.396000,0.545964,0.029909
3.397000,0.546132,0.029857
3.398000,0.546308,0.029833
3.399000,0.546491,0.029837
3.400000,0.546681,0.029846
3.401000,0.546881,0.029848
3.402000,0.547087,0.029818
3.403000,0.547298,0.029835
3.404000,0.547512,0.029831
3.405000,0.547734,0.029835
3.406000,0.547966,0.029843
3.407000,0.548207,0.029878
3.408000,0.548456,0.029924
3.409000,0.548708,0.029966
3.410000,0.548962,0.030025
3.411000,0.549215,0.030091
3.412000,0.549464,0.030164
3.413000,0.549712,0.030210
3.414000,0.549962,0.030257
3.415000,0.550212,0.030299
3.416000,0.550462,0.030341
3.417000,0.550713,0.030405
3.418000,0.550966,0.030425
3.419000,0.551224,0.030457
3.420000,0.551484,0.030479
3.421000,0.551744,0.030486
3.421000,1.057015,0.040465
3.422000,1.058674,0.040468
3.423000,1.060332,0.040509
3.424000,1.061987,0.040563
3.425000,1.063637,0.040619
3.426000,1.065283,0.040666
3.427000,1.066924,0.040684
3.428000,1.068560,0.040683
3.429000,1.070191,0.040683
3.430000,1.071820,0.040683
3.431000,1.073449,0.040706
3.432000,1.075073,0.040734
3.433000,1.076695,0.040772
3.433000,0.929925,0.028791
3.434000,0.931015,0.028815
3.435000,0.932099,0.028838
3.436000,0.933179,0.028851
3.437000,0.934254,0.028870
3.438000,0.935325,0.028893
3.439000,0.936393,0.028918
3.440000,0.937457,0.028906
3.441000,0.938517,0.028916
3.442000,0.939570,0.028921
3.443000,0.940622,0.028944
3.444000,0.941671,0.028966
3.445000,0.942721,0.028962
3.446000,0.943780,0.028968
3.447000,0.944853,0.029024
3.448000,0.945942,0.029058
3.449000,0.947046,0.029083
3.450000,0.948162,0.029119
3.451000,0.949285,0.029140
3.452000,0.950411,0.029155
3.453000,0.951538,0.029157
3.454000,0.952667,0.029153
3.455000,0.953800,0.029137
3.456000,0.954938,0.029137
3.456000,1.033009,0.035372
3.457000,1.034468,0.035362
3.458000,1.035937,0.035342
3.459000,1.037417,0.035331
3.460000,1.038909,0.035335
3.461000,1.040411,0.035343
3.462000,1.041919,0.035367
3.463000,1.043435,0.035382
3.464000,1.044962,0.035405
3.465000,1.046501,0.035407
3.466000,1.048049,0.035446
3.467000,1.049609,0.035506
3.468000,1.051185,0.035573
3.469000,1.052775,0.035676
3.470000,1.054377,0.035794
3.471000,1.055987,0.035872
3.472000,1.057607,0.035942
3.473000,1.059233,0.036002
3.474000,1.060858,0.036042
3.475000,1.062477,0.036087
3.476000,1.064089,0.036120
3.477000,1.065689,0.036131
3.478000,1.067277,0.036149
3.479000,1.068853,0.036177
3.480000,1.070416,0.036186
3.481000,1.071966,0.036194
3.482000,1.073509,0.036212
3.483000,1.075049,0.036227
3.483000,1.213689,0.031134
3.484000,1.215543,0.031147
3.485000,1.217392,0.031164
3.486000,1.219234,0.031192
3.487000,1.221071,0.031215
3.488000,1.222904,0.031244
3.489000,1.224734,0.031305
3.490000,1.226563,0.031360
3.491000,1.228390,0.031410
3.492000,1.230211,0.031471
3.493000,1.232021,0.031528
3.494000,1.233822,0.031592
3.495000,1.235617,0.031644
3.496000,1.237408,0.031674
3.497000,1.239201,0.031698
3.498000,1.240998,0.031732
3.499000,1.242795,0.031773
3.500000,1.244587,0.031798
3.501000,1.246371,0.031801
3.502000,1.248150,0.031819
3.503000,1.249926,0.031837
3.504000,1.251698,0.031867
3.505000,1.253465,0.031889
3.506000,1.255230,0.031919
3.507000,1.257000,0.031958
3.508000,1.258778,0.032003
3.509000,1.260562,0.032061
3.510000,1.262347,0.032101
3.510000,1.098768,0.021246
3.511000,1.100009,0.021281
3.512000,1.101242,0.021330
3.513000,1.102468,0.021372
3.514000,1.103690,0.021408
3.515000,1.104912,0.021447
3.516000,1.106136,0.021489
3.517000,1.107358,0.021511
3.518000,1.108578,0.021511
3.519000,1.109795,0.021503
3.520000,1.111012,0.021467
3.521000,1.112231,0.021433
3.522000,1.113454,0.021385
3.523000,1.114685,0.021343
3.524000,1.115927,0.021303
3.525000,1.117175,0.021272
3.526000,1.118428,0.021262
3.527000,1.119685,0.021256
3.528000,1.120948,0.021259
3.529000,1.122216,0.021233
3.530000,1.123489,0.021206
3.531000,1.124765,0.021175
3.531000,0.707329,0.017785
3.532000,0.707354,0.017756
3.533000,0.707377,0.017745
3.534000,0.707400,0.017716
3.535000,0.707418,0.017710
3.536000,0.707434,0.017708
3.537000,0.707447,0.017708
3.538000,0.707459,0.017711
3.539000,0.707469,0.017723
3.540000,0.707472,0.017726
3.541000,0.707473,0.017734
3.542000,0.707475,0.017725
3.543000,0.707483,0.017706
3.544000,0.707501,0.017695
3.545000,0.707529,0.017691
3.546000,0.707569,0.017669
3.547000,0.707623,0.017648
3.548000,0.707685,0.017634
3.549000,0.707751,0.017603
3.550000,0.707819,0.017600
3.551000,0.707891,0.017573
3.552000,0.707969,0.017565
3.553000,0.708056,0.017554
3.554000,0.708149,0.017544
3.555000,0.708243,0.017528
3.556000,0.708335,0.017520
3.557000,0.708424,0.017529
3.558000,0.708515,0.017518
3.559000,0.708611,0.017523
3.560000,0.708710,0.017510
3.561000,0.708811,0.017500
3.562000,0.708915,0.017510
3.563000,0.709018,0.017510
3.564000,0.709122,0.017485
3.565000,0.709222,0.017457
3.566000,0.709320,0.017428
3.566000,0.288275,0.013978
3.567000,0.287091,0.013969
3.568000,0.285905,0.013960
3.569000,0.284714,0.013944
3.570000,0.283517,0.013922
3.571000,0.282308,0.013899
