t,pos_err_mm,yaw_err_deg
0.032000,0.030065,0.000109
0.033000,0.030881,0.000110
0.034000,0.031697,0.000112
0.035000,0.032513,0.000113
0.036000,0.033328,0.000114
0.037000,0.034144,0.000115
0.038000,0.034960,0.000117
0.039000,0.035776,0.000118
0.040000,0.036592,0.000119
0.041000,0.037408,0.000121
0.042000,0.038223,0.000122
0.043000,0.039039,0.000123
0.044000,0.039855,0.000125
0.045000,0.040671,0.000126
0.046000,0.041487,0.000127
0.047000,0.042303,0.000128
0.048000,0.043119,0.000130
0.049000,0.043935,0.000131
0.050000,0.044751,0.000132
0.051000,0.045567,0.000134
0.052000,0.046383,0.000135
0.053000,0.047199,0.000136
0.054000,0.048015,0.000138
0.055000,0.048831,0.000139
0.056000,0.049647,0.000140
0.057000,0.050463,0.000142
0.058000,0.051279,0.000143
0.059000,0.052095,0.000144
0.060000,0.052911,0.000145
0.061000,0.053727,0.000146
0.062000,0.054544,0.000147
0.063000,0.055360,0.000149
0.064000,0.056176,0.000150
0.065000,0.056992,0.000151
0.066000,0.057808,0.000152
0.067000,0.058624,0.000153
0.068000,0.059440,0.000154
0.069000,0.060256,0.000155
0.070000,0.061073,0.000156
0.071000,0.061889,0.000157
0.072000,0.062705,0.000159
0.073000,0.063521,0.000160
0.074000,0.064337,0.000161
0.075000,0.065153,0.000162
0.076000,0.065969,0.000163
0.077000,0.066785,0.000164
0.078000,0.067601,0.000166
0.079000,0.068418,0.000167
0.080000,0.069234,0.000168
0.081000,0.070050,0.000169
0.082000,0.070866,0.000169
0.083000,0.071682,0.000170
0.084000,0.072498,0.000171
0.085000,0.073314,0.000172
0.086000,0.074130,0.000172
0.087000,0.074945,0.000173
0.088000,0.075761,0.000174
0.089000,0.076577,0.000174
0.090000,0.077393,0.000175
0.091000,0.078209,0.000176
0.092000,0.079025,0.000177
0.093000,0.079841,0.000178
0.094000,0.080656,0.000179
0.095000,0.081472,0.000181
0.096000,0.082288,0.000182
0.097000,0.083104,0.000183
0.098000,0.083919,0.000185
0.099000,0.084735,0.000186
0.100000,0.085551,0.000188
0.101000,0.086366,0.000189
0.102000,0.087182,0.000191
0.103000,0.087997,0.000193
0.103000,2.203845,0.000670
0.104000,2.224680,0.000673
0.105000,2.245516,0.000676
0.105000,1.326322,0.000457
0.106000,1.338565,0.000460
0.106000,1.525143,0.000853
0.107000,1.539136,0.000857
